location,JAN_MaxTemp,JAN_MinTemp,FEB_MaxTemp,FEB_MinTemp,MAR_MaxTemp,MAR_MinTemp,APR_MaxTemp,APR_MinTemp,MAY_MaxTemp,MAY_MinTemp,JUN_MaxTemp,JUN_MinTemp,JUL_MaxTemp,JUL_MinTemp,AUG_MaxTemp,AUG_MinTemp,SEP_MaxTemp,SEP_MinTemp,OCT_MaxTemp,OCT_MinTemp,NOV_MaxTemp,NOV_MinTemp,DEC_MaxTemp,DEC_MinTemp
Cherrapunjee,16,7,18,9,21,13,22,15,23,16,23,18,23,18,23,18,23,18,23,16,20,12,17,9
Chhindwara,26,10,29,12,33,17,37,21,39,25,35,24,29,22,28,22,29,21,31,17,28,12,26,9
Chitradurga,29,17,32,19,35,22,36,23,34,22,30,22,28,21,28,21,29,21,29,20,28,19,27,17
Churu,22,4,26,7,32,13,37,20,41,24,41,28,37,27,36,25,35,23,35,17,29,10,24,5
Coonoor,19,8,21,9,23,11,24,13,25,14,23,15,21,15,22,14,22,13,21,13,20,11,19,9
Cuddalore,28,21,29,21,31,23,33,26,36,27,37,27,35,26,35,25,34,25,32,24,29,23,28,21
Cuttack,27,14,30,17,34,22,36,25,36,26,34,27,32,26,32,26,32,26,32,24,30,19,27,14
Dahanu,28,17,28,17,30,21,32,24,33,27,32,26,30,25,30,25,30,24,32,23,32,21,30,18
Dalhousie,11,2,13,3,18,7,22,11,26,15,27,17,24,16,23,16,23,14,22,11,18,7,15,5
Daltonganj,25,9,28,11,34,16,39,21,42,26,39,27,33,25,33,25,33,24,32,20,29,13,25,9
Daman,27,16,28,17,31,20,33,23,33,26,32,27,30,26,29,25,30,24,33,24,31,21,28,18
Darjeeling,10,2,11,3,15,7,18,10,19,12,20,14,20,14,20,14,20,13,19,10,16,6,13,3
Deesa,27,10,30,12,35,17,39,22,41,25,39,27,34,25,32,25,34,24,36,20,33,15,29,11
Dehradun,19,6,22,8,27,12,32,17,36,21,35,23,31,23,30,22,30,21,29,16,25,10,21,7
Dhanbad,25,12,29,14,34,19,38,23,39,25,36,25,32,24,31,24,32,24,31,21,29,16,26,12
Dharmsala,15,6,17,8,21,12,26,16,31,20,31,22,27,21,26,20,26,19,25,15,21,11,17,7
Dholpur,23,6,27,10,33,15,39,21,43,26,42,29,35,27,33,25,34,24,34,19,30,12,25,7
Dibrugarh East,23,9,24,12,27,15,28,19,29,22,31,24,31,24,31,25,31,24,29,20,27,14,24,10
Digboi,23,11,24,12,27,15,29,18,30,21,32,23,32,24,32,24,32,23,30,21,27,16,24,11
Dumka,25,10,29,13,34,18,38,23,38,25,35,25,32,25,32,24,32,24,32,21,29,15,26,11
Dungarpur,26,9,29,11,35,16,39,22,40,25,37,26,32,24,30,23,33,22,35,19,31,15,28,10
Durgapur,25,12,29,14,34,18,38,23,39,25,36,26,33,25,32,25,32,24,32,22,29,16,25,12
Dwarka,26,16,27,18,29,22,30,25,31,27,32,28,31,27,30,26,30,26,31,24,31,21,28,17
Egmore,28,21,30,21,32,23,34,26,36,28,37,27,35,26,34,25,34,25,31,24,29,23,28,22
Faizabad,23,8,27,11,32,15,38,21,40,24,38,27,33,26,33,26,33,24,33,20,30,13,25,9
Fatehpur,23,8,26,11,33,16,39,22,42,26,40,28,34,26,32,26,33,25,32,20,29,13,24,9
Ferozepur,19,5,22,7,28,12,35,18,39,22,41,26,36,26,35,26,35,23,33,17,27,10,22,6
Forbesganj,24,9,27,11,32,15,35,21,35,23,33,25,32,25,32,26,32,25,32,22,29,15,26,11
Gadag,30,17,33,19,36,21,37,23,36,22,31,22,28,21,29,21,30,21,31,21,30,18,29,16
Gangtok,14,4,15,6,20,9,22,12,22,14,23,16,23,17,23,17,22,16,22,12,19,9,15,6
Gannavaram,30,19,33,20,35,22,37,26,40,28,37,27,33,25,32,25,33,25,32,24,31,21,30,19
Gaya,24,9,27,12,34,17,39,23,41,27,38,28,33,26,33,26,33,25,32,22,29,14,25,10
Goalpara,25,10,27,11,31,15,32,19,32,21,31,23,32,24,32,24,32,23,32,20,29,15,26,12
Gohpur,23,8,24,11,28,14,29,18,30,21,31,24,32,24,32,24,32,23,30,20,27,14,24,9
Gonda,23,8,26,10,32,15,38,21,40,25,38,26,33,26,32,25,33,24,32,20,29,13,24,9
Gondiya,28,13,31,16,35,20,40,25,42,28,38,27,31,24,30,24,31,24,32,21,30,16,28,13
Gorakhpur,23,10,27,12,33,17,38,22,40,25,37,26,33,26,33,26,33,25,33,21,29,15,25,11
Gulbarga,31,16,34,19,37,22,39,25,40,26,35,24,31,23,31,22,31,22,32,21,31,18,30,16
Guna,25,8,28,10,33,15,38,21,41,26,39,27,32,24,30,23,31,22,33,17,29,12,26,8
Gurgaon,22,5,24,8,30,12,37,19,41,24,40,27,35,26,33,25,34,23,34,17,29,10,23,6
Guwahati,24,10,26,12,30,16,32,20,31,23,31,25,32,26,32,26,32,25,30,22,27,16,25,12
Gwalior,23,7,27,10,33,16,39,22,42,27,41,30,35,27,32,25,33,24,33,18,29,12,24,7
Haflong,20,10,22,12,26,16,27,18,27,19,27,21,27,21,28,21,28,21,26,19,23,15,21,12
Hanamkonda,30,17,33,19,36,22,39,25,41,28,37,27,32,24,31,24,32,24,32,22,30,19,29,16
Hardoi,22,8,25,10,32,15,38,21,41,25,39,27,34,26,33,26,33,25,32,20,29,13,24,9
Hassan,28,14,30,15,33,17,33,19,31,19,27,19,25,18,25,18,27,18,28,18,27,16,27,14
Hazaribag,23,9,26,12,31,17,36,21,38,24,34,24,30,23,29,23,29,22,29,19,26,13,23,9
Honavar,32,20,32,21,32,23,33,25,33,26,30,24,28,23,28,24,29,23,31,23,33,22,33,21
Hoshangabad,27,12,30,14,35,19,40,24,42,27,38,26,31,24,30,23,31,23,33,20,30,15,27,12
Idar,28,15,30,16,35,20,39,23,41,25,38,26,32,24,31,24,32,23,35,22,32,19,29,16
Jagdalpur,28,12,32,15,35,19,37,23,38,25,34,24,29,22,28,22,30,22,30,20,29,15,28,12
Jaisalmer,24,7,27,10,33,16,38,22,42,25,41,27,38,26,36,25,36,24,36,20,31,13,25,8
Jammu,19,7,22,10,27,14,33,19,38,24,41,27,36,25,34,24,34,23,32,18,27,13,21,9
Jamnagar,26,11,29,13,33,17,35,21,36,25,36,27,33,26,32,25,32,24,35,21,32,17,28,12
Jamshedpur,27,12,30,14,35,19,39,24,40,26,36,27,32,26,32,25,32,25,32,22,30,16,27,12
Jhansi,23,8,27,11,34,17,39,23,42,28,40,29,34,25,32,24,33,24,34,20,30,14,25,9
Jharsuguda,28,12,31,15,36,19,40,24,42,27,37,26,31,25,31,25,32,24,32,22,30,16,28,12
Joshimath,12,2,13,3,18,6,23,11,25,14,26,17,25,17,24,17,23,15,21,10,17,6,14,4
Kadapa,31,19,34,21,38,24,40,27,40,28,37,27,34,26,34,25,34,25,32,24,31,21,29,19
Kailashahar,26,10,28,12,32,17,33,21,32,23,32,24,32,25,32,25,32,24,31,22,29,17,27,11
Kalimpong,16,8,18,10,21,12,24,15,25,16,26,17,26,18,26,18,25,18,24,16,21,13,18,9
Kallakkurichi,30,20,33,20,36,22,38,25,38,26,37,26,35,25,35,25,34,25,32,24,30,22,29,21
Kanker,28,13,31,16,35,20,38,24,40,28,36,26,30,24,29,24,30,23,31,20,29,15,27,12
Kannod,27,11,30,13,36,18,40,24,42,28,37,26,31,24,30,23,32,22,34,19,31,15,28,11
Karnal,20,7,23,9,29,14,35,19,39,24,39,26,35,25,33,25,33,23,32,18,27,12,22,8
Karwar,31,19,31,19,31,22,32,25,32,26,30,25,29,24,28,24,29,24,30,23,32,21,32,20
Keshod,30,12,32,13,36,17,38,21,37,25,34,26,31,25,30,25,32,23,36,21,34,17,31,13
Khammam,31,18,34,20,37,23,39,26,41,28,37,27,33,25,32,25,33,25,33,23,31,20,30,17
Khandwa,30,11,33,14,37,19,41,24,42,28,38,26,32,24,30,23,32,23,34,19,32,14,30,11
Khargone,30,11,32,13,37,18,41,24,42,27,37,25,32,24,30,24,33,23,35,20,32,16,30,11
Kochi,31,22,32,23,32,25,33,25,32,25,30,24,29,24,29,24,30,24,30,24,31,24,31,23
Kodaikanal,17,8,18,8,20,10,20,12,21,13,19,12,18,11,18,11,18,11,17,11,16,10,17,9
Kohima,15,8,17,9,21,13,24,16,24,17,24,18,24,19,24,19,24,18,22,16,19,13,16,9
Kolkata,27,14,30,17,34,22,36,25,36,26,34,27,32,26,32,26,32,26,32,24,30,19,27,14
Konardam,24,11,27,13,32,17,37,22,39,23,37,25,32,23,31,23,31,23,31,20,28,17,25,12
Koraput,25,11,28,14,32,17,33,21,34,22,31,21,26,19,26,19,27,19,27,18,25,14,24,11
Kota,25,10,28,13,34,18,39,24,42,29,40,29,34,26,32,25,33,24,34,21,31,15,26,11
Kothagudem,31,17,34,20,37,23,39,26,41,28,37,27,32,25,32,25,33,24,33,23,31,19,30,16
Kozhikode,32,22,32,23,33,25,33,26,32,26,30,24,28,23,28,24,30,24,30,24,31,24,32,22
Kurnool,31,17,34,19,38,23,40,26,40,27,36,25,33,24,32,23,32,23,32,22,31,19,30,17
Lakhimpur,23,9,26,11,32,16,38,21,40,25,37,26,33,26,32,26,33,25,32,21,29,14,24,9
Leh,-2,-14,2,-11,7,-6,12,-1,16,3,22,7,25,11,25,10,22,6,15,-1,8,-7,2,-12
Lucknow,22,9,26,11,32,16,38,22,40,26,39,27,34,26,33,25,33,25,32,20,29,13,24,9
Ludhiana,20,6,23,8,29,13,35,19,40,23,41,27,36,27,34,26,34,24,33,18,28,11,22,7
Lumding,25,8,28,11,32,15,33,19,33,22,33,24,34,24,34,24,33,24,31,21,28,16,25,11
Machilipatnam,28,19,30,21,32,23,34,26,37,27,36,27,33,25,32,25,32,25,31,24,30,22,28,19
Madikeri,25,14,27,15,29,17,29,18,27,18,23,17,21,17,21,17,23,17,24,17,24,16,24,15
Madurai,31,21,33,21,35,23,37,25,38,26,37,26,36,25,36,25,35,24,33,24,31,23,30,22
Mahabaleshwar,25,13,28,15,30,17,31,19,29,18,23,17,20,16,19,16,21,16,25,16,25,15,25,14
Mahbubnagar,30,16,33,18,36,21,38,25,39,26,34,24,31,23,30,22,31,22,31,21,30,19,29,17
Mahuva,30,14,32,16,35,19,36,22,36,24,34,26,32,25,31,24,32,23,35,22,34,20,32,16
Mainpuri,23,8,26,10,33,15,39,21,42,25,41,28,35,27,33,26,34,24,34,19,30,13,25,8
Malegaon,30,11,33,13,37,17,40,22,41,24,36,24,31,23,30,22,32,21,33,19,32,15,30,12
Manali,10,-2,11,-1,16,3,22,6,25,9,27,12,26,15,25,15,25,10,23,5,18,1,14,0
Mandi,19,3,21,4,26,9,31,14,35,17,36,20,32,21,31,21,31,18,29,12,25,7,21,3
Mandla,26,8,29,10,34,14,38,19,41,24,37,25,30,23,29,23,30,22,31,18,29,11,26,8
Meerut,22,7,24,9,30,14,36,20,40,24,39,27,34,26,33,25,34,23,33,18,29,11,24,7
Mettur,31,20,34,21,36,24,37,26,37,26,35,25,34,24,34,24,34,24,32,23,31,22,30,20
Midnapore,26,13,30,16,35,21,38,24,38,26,35,26,32,25,32,25,32,25,31,23,29,17,26,13
Miraj,31,15,33,15,36,19,38,22,37,23,32,22,28,21,28,21,30,21,31,20,30,17,30,15
Mormugao,31,21,31,22,31,24,32,26,32,27,30,25,29,24,29,24,29,24,31,24,32,23,32,22
Motihari,23,8,26,10,31,15,36,20,36,23,35,25,33,25,32,26,32,25,32,21,28,14,24,9
Mukteshwar,11,2,13,3,17,6,21,10,24,13,24,14,21,14,20,14,20,13,19,10,16,6,14,4
Mumbai,31,16,31,17,33,21,33,24,33,26,32,26,30,25,29,25,30,24,33,23,33,21,32,18
Mussoorie,11,3,12,4,17,8,21,12,24,15,24,16,21,16,20,15,20,14,19,11,16,7,13,5
Muzaffarpur,23,10,25,11,31,16,36,22,37,25,35,26,33,27,32,26,32,25,31,22,29,15,24,10
Mysore,28,16,31,18,33,20,34,22,32,21,29,20,27,20,28,20,29,19,28,20,28,18,27,17
Nagaur,29,12,32,15,36,19,40,24,43,28,38,26,32,24,30,24,32,23,33,20,30,15,28,12
Nagpur,29,12,32,15,36,19,40,24,43,28,38,26,32,24,30,24,32,23,33,20,30,15,28,12
Nainital,11,2,12,4,16,8,21,12,24,15,24,16,22,17,21,16,21,14,19,10,15,6,13,3
Najibabad,21,6,24,8,29,13,36,19,39,23,38,25,34,25,32,25,33,23,31,18,28,11,23,7
Nanded,31,14,34,16,38,20,41,23,42,26,37,24,32,23,31,22,32,22,33,20,31,15,30,13
Nandurbar,30,15,33,17,37,22,40,25,40,26,36,25,31,24,30,23,32,23,35,22,33,19,31,16
Nandyal,31,17,35,19,38,22,40,26,40,27,37,25,34,24,33,23,33,23,33,22,31,19,30,17
Narnaul,22,5,26,8,31,13,37,20,40,24,40,27,36,26,34,25,34,23,34,18,30,12,24,7
Narsinghpur,27,8,30,11,35,16,40,21,43,26,38,26,31,24,30,23,32,23,34,18,31,12,27,9
Nashik,29,10,32,12,35,16,37,20,37,22,32,23,28,22,27,21,29,21,32,18,31,14,30,12
Nautanwa,23,8,26,10,32,15,37,20,38,24,36,25,33,25,32,25,33,24,32,20,28,13,25,9
Neemuch,25,10,28,12,33,17,38,23,40,26,37,26,31,24,29,23,31,22,33,19,29,15,26,11
Nellore,30,20,32,21,35,23,37,26,39,28,38,28,36,27,35,26,35,26,32,25,30,23,29,21
New Delhi,21,7,24,10,30,15,36,22,40,26,39,28,35,27,33,26,34,24,33,20,28,13,23,8
Nidadavole,30,18,32,20,34,22,36,25,39,27,36,26,32,25,31,25,32,25,32,24,31,21,29,18
Nizamabad,30,15,33,18,37,21,40,25,42,28,36,25,32,24,30,23,31,23,32,21,30,17,29,14
Nowgong,24,7,28,10,34,15,39,21,42,26,40,28,33,25,32,25,33,23,33,18,30,12,25,8
Okhamandal,24,19,25,20,27,22,30,24,32,27,32,28,31,27,30,26,30,25,30,25,29,24,26,20
Old Malda,25,11,28,13,33,18,37,22,36,25,34,26,32,26,32,26,33,26,31,23,29,17,25,13
Ongole,29,20,31,21,34,23,36,26,39,28,38,28,35,27,34,26,34,26,32,25,30,22,29,20
Ooty,21,5,21,6,22,9,23,11,22,11,19,11,17,11,18,11,19,10,19,10,19,8,20,7
Orai,23,8,26,10,33,16,39,22,42,26,41,28,34,25,32,24,33,24,33,20,29,13,24,8
Pachmarhi,22,8,25,10,29,15,33,20,36,24,31,22,25,20,24,20,25,19,27,15,24,10,22,8
Palakkad,33,22,36,23,38,24,37,25,34,25,30,23,28,22,29,23,30,23,31,23,32,23,32,22
Palam,21,6,24,8,30,14,37,20,41,24,40,28,35,26,33,25,34,23,33,18,28,12,23,7
Palayamkottai,31,22,33,23,35,24,36,26,37,27,36,27,35,26,35,26,36,26,34,25,31,24,30,23
Paradeep,28,15,29,18,31,22,32,25,33,26,33,26,32,25,31,26,32,26,32,24,30,21,28,15
Parangipettai,28,20,29,21,31,22,33,24,36,25,37,25,36,25,35,24,33,24,31,23,29,22,28,21
Parbhani,30,14,33,16,37,20,40,24,42,26,37,24,32,23,31,22,31,22,32,20,31,16,29,13
Pasighat,23,12,23,14,26,17,28,19,29,21,30,23,31,24,31,24,31,23,29,21,27,17,24,13
Pathankot,19,4,22,7,27,11,34,17,39,21,39,25,34,24,33,24,33,21,32,15,27,8,21,4
Patiala,20,7,23,9,29,14,35,19,39,23,39,26,35,26,33,25,34,24,32,18,28,11,22,7
Patna,24,11,27,13,33,18,38,24,40,26,37,27,33,27,33,27,33,26,32,23,29,16,25,12
Pendra,24,11,27,14,32,18,37,23,39,26,35,25,29,23,28,23,29,22,29,19,27,14,24,11
Phalodi,23,7,27,10,33,16,38,22,42,26,41,28,37,27,35,26,36,24,36,20,31,14,25,8
Phulabani,27,9,30,12,34,15,38,20,39,23,35,23,30,22,29,22,30,21,30,19,28,13,26,8
Pilani,23,4,25,7,31,13,37,19,40,24,41,28,36,26,35,25,35,23,35,17,30,11,24,6
Pondicherry,28,21,29,22,30,24,32,26,35,27,36,26,34,26,34,25,33,25,31,24,29,23,28,22
Porbandar,29,14,30,15,33,19,33,22,33,26,33,27,31,27,30,26,31,25,34,22,34,19,31,16
Puducherry,28,21,29,22,30,24,32,26,35,27,36,26,34,26,34,25,33,25,31,24,29,23,28,22
Punalur,34,20,35,21,36,22,35,23,33,24,31,23,30,22,30,23,31,22,31,22,32,22,33,21
Pune,30,11,33,13,36,17,38,21,37,23,32,23,28,22,28,21,29,21,32,19,31,15,30,12
Puri,27,17,29,21,30,24,31,26,32,27,32,27,31,26,31,26,32,26,32,25,30,21,28,17
Purnia,24,8,27,10,32,15,36,20,35,23,33,25,32,25,32,25,32,24,31,21,29,14,25,9
Purulia,25,12,29,15,34,20,39,25,40,27,36,26,32,25,32,25,32,24,31,22,29,17,26,13
Pusad,31,12,34,15,38,20,41,25,42,28,38,26,33,24,31,23,33,23,34,20,31,15,30,12
Radhanpur,27,10,30,13,35,17,39,22,42,25,39,27,34,25,33,24,34,24,36,21,33,16,29,12
Raichur,30,18,33,20,37,23,39,26,39,26,35,24,32,23,32,22,32,22,31,22,30,20,29,18
Raigarh,28,13,32,16,36,20,40,25,43,28,38,27,32,25,31,25,32,25,32,22,30,17,28,13
Raipur,28,13,31,17,36,21,40,25,42,28,37,27,31,24,30,24,31,24,32,22,30,17,27,13
Raisen,25,7,28,9,34,14,39,21,42,27,37,26,31,24,29,23,31,22,33,17,30,12,26,7
Rajkot,28,11,31,13,35,17,39,21,40,25,37,26,33,25,31,24,33,23,35,21,33,17,30,13
Ramagundam,31,16,34,19,38,22,40,26,42,29,38,27,33,25,32,24,33,24,33,22,31,18,30,15
Ranchi,24,10,28,12,32,16,36,21,39,24,35,24,30,22,30,22,30,22,29,19,27,13,24,10
Rangia,24,10,26,13,30,16,31,20,31,22,32,24,33,25,33,25,32,24,31,21,28,16,25,12
Ratnagiri,31,19,31,20,31,22,32,25,33,27,31,25,29,24,29,24,29,24,32,24,33,22,32,20
Raxaul,23,8,25,10,31,13,36,20,35,23,34,25,32,26,32,26,32,25,31,21,29,14,25,9
Rentachintala,31,18,34,20,38,23,40,26,42,29,38,28,35,26,34,26,34,25,33,24,31,20,30,18
Rewa,23,8,27,11,32,16,38,21,41,26,39,27,33,25,31,24,32,23,32,20,29,13,24,8
Rohtak,21,6,24,8,30,13,37,20,40,24,40,27,35,26,34,25,34,23,34,18,29,12,23,7
Roorkee,20,6,24,8,29,13,36,18,39,22,38,25,34,25,32,25,33,23,31,17,27,11,22,7
Sabour,23,8,27,10,33,15,37,21,37,24,35,26,33,26,32,26,32,25,32,22,29,14,25,9
Safdurjung,21,7,24,10,30,15,36,22,40,26,39,28,35,27,33,26,34,24,33,20,28,13,23,8
Sagar,25,11,28,13,33,18,38,23,41,26,38,25,30,23,29,22,30,22,32,20,29,16,25,13
Salem,31,19,34,20,36,23,37,25,37,25,35,25,33,24,33,23,33,23,32,23,31,21,30,20
Sambalpur,28,12,31,15,40,19,39,24,42,27,37,27,31,25,31,25,32,24,32,22,30,16,27,12
Satna,24,9,27,11,33,16,39,22,42,27,39,28,32,25,31,25,32,24,32,20,29,13,25,9
Seoni,26,11,29,14,34,18,38,22,40,26,36,25,30,23,29,22,30,22,31,19,28,14,26,11
Sheopur,25,7,28,10,34,16,39,22,42,27,40,28,34,26,32,25,33,23,34,18,30,12,26,8
Shillong,16,4,18,6,22,11,24,14,24,16,24,17,24,18,24,18,24,17,22,13,19,8,17,5
Shimla,9,2,11,3,15,7,19,11,23,14,24,16,21,15,20,15,20,13,19,11,15,7,12,4
Shimoga,30,14,33,16,35,19,36,22,34,22,29,22,27,21,27,21,29,20,30,20,29,17,29,15
Shivpuri,23,6,26,9,32,14,37,20,40,25,38,26,32,24,30,23,31,21,32,16,29,11,24,7
Sibsagar,23,10,24,13,27,16,29,20,30,23,32,25,32,25,32,25,32,24,30,21,27,16,25,12
Sidhi,24,8,28,11,33,16,39,22,42,26,39,28,33,25,32,25,32,24,33,19,30,13,25,8
Sikar,23,5,26,8,31,14,37,19,40,24,39,27,35,26,33,24,34,22,34,17,29,10,24,6
Sironcha,30,16,34,19,38,23,40,27,42,29,37,27,32,25,31,25,32,24,33,23,31,18,30,15
Solapur,31,16,34,18,37,22,40,25,40,25,35,23,32,22,31,22,32,22,33,21,31,18,30,16
Sonepur,28,14,31,17,36,21,39,26,42,29,37,27,31,25,31,25,32,25,32,23,29,18,27,13
Sri Ganganagar,21,5,24,8,30,13,37,19,41,24,42,28,39,28,37,27,37,24,35,18,29,11,23,6
Srinagar,5,-2,8,-1,14,4,19,8,24,11,29,15,30,18,30,18,28,13,22,6,15,1,8,-2
Surat,32,14,34,16,36,20,38,24,36,26,34,27,31,25,31,25,32,24,36,23,35,19,33,16
Suri,25,12,28,14,34,19,38,24,38,25,35,26,33,25,32,25,32,25,31,22,29,17,26,13
Tezpur,24,12,26,14,30,17,31,20,31,22,32,25,32,25,32,25,32,25,31,22,28,17,25,13
Thikri,30,12,33,14,38,19,41,24,43,27,38,26,33,25,31,24,32,23,35,19,33,15,30,12
Thiruvananthapuram,32,22,32,23,33,24,33,25,32,25,30,24,29,23,29,23,30,23,30,23,30,23,31,23
Tikamgarh,24,7,27,9,33,14,39,20,42,25,39,27,33,25,31,24,32,23,33,18,30,12,26,7
Tilaia,23,9,26,12,32,17,37,23,39,26,36,27,32,25,31,24,31,24,30,21,27,14,23,10
Tiruchirappalli,30,20,33,21,35,23,37,26,37,26,37,27,36,26,35,26,35,25,32,24,30,23,29,21
Tirupathur,30,16,32,18,35,20,36,23,37,23,35,23,33,23,33,23,33,23,32,22,30,20,29,17
Titlagarh,30,14,33,17,37,21,41,24,43,27,39,25,33,24,32,24,32,24,33,22,31,17,29,13
