City,Country,Continent,Population (2024),Population (2023),Growth Rate
Brasilia,Brazil,South America,4935274,4873048,0.0128
Kunming,China,Asia,4861079,4761284,0.021
Changchun,China,Asia,4802447,4710382,0.0195
Kabul,Afghanistan,Asia,4728384,4588666,0.0304
Hefei,China,Asia,4727290,4615758,0.0242
Yaounde,Cameroon,Africa,4681768,4509287,0.0383
Ningbo,China,Asia,4659830,4537901,0.0269
Shantou,China,Asia,4656525,4573713,0.0181
New Taipei,Taiwan,Asia,4534877,4504147,0.0068
Tel Aviv,Israel,Asia,4495727,4420855,0.0169
Kano,Nigeria,Africa,4490734,4348481,0.0327
Shijiazhuang,China,Asia,4454132,4370473,0.0191
Montreal,Canada,North America,4341638,4307958,0.0078
Rome,Italy,Europe,4331974,4315671,0.0038
Jaipur,India,Asia,4308510,4207084,0.0241
Recife,Brazil,South America,4305127,4263940,0.0097
Nanning,China,Asia,4291463,4191890,0.0238
Fortaleza,Brazil,South America,4246399,4206240,0.0095
Kozhikode,India,Asia,4243962,4088555,0.038
Porto Alegre,Brazil,South America,4239867,4211933,0.0066
Taiyuan Shanxi,China,Asia,4226782,4145010,0.0197
Douala,Cameroon,Africa,4203108,4063200,0.0344
Ekurhuleni,South Africa,Africa,4190832,4118327,0.0176
Malappuram,India,Asia,4184921,4009087,0.0439
Medellin,Colombia,South America,4137386,4102308,0.0086
Changzhou,China,Asia,4085502,3981658,0.0261
Kampala,Uganda,Africa,4050826,3846102,0.0532
Antananarivo,Madagascar,Africa,4048666,3872264,0.0456
Lucknow,India,Asia,4038214,3945409,0.0235
Abuja,Nigeria,Africa,4025735,3839646,0.0485
Nanchang,China,Asia,4016037,3920379,0.0244
Wenzhou,China,Asia,4009531,3919724,0.0229
Xiamen,China,Asia,4007468,3935484,0.0183
Ibadan,Nigeria,Africa,4004316,3874908,0.0334
Fuzhou Fujian,China,Asia,3998754,3922202,0.0195
Salvador,Brazil,South America,3994982,3958384,0.0092
Casablanca,Morocco,Africa,3950408,3892837,0.0148
Tangshan Hebei,China,Asia,3925206,3814702,0.029
Kumasi,Ghana,Africa,3903481,3768239,0.0359
Curitiba,Brazil,South America,3852459,3813082,0.0103
Bekasi,Indonesia,Asia,3830678,3729351,0.0272
Faisalabad,Pakistan,Asia,3800193,3710845,0.0241
Los Angeles,United States,North America,3748640,3785439,-0.0097
Guiyang,China,Asia,3661446,3580904,0.0225
Port Harcourt,Nigeria,Africa,3636547,3480101,0.045
Thrissur,India,Asia,3605238,3482456,0.0353
Santo Domingo,Dominican Republic,,3587402,3523890,0.018
Berlin,Germany,Europe,3576873,3573938,0.0008
Asuncion,Paraguay,South America,3568830,3510511,0.0166
Dakar,Senegal,Africa,3540462,3429536,0.0323
Kochi,India,Asia,3507053,3406055,0.0297
Wuxi,China,Asia,3498740,3437346,0.0179
Busan,South Korea,Asia,3477419,3471949,0.0016
Campinas,Brazil,South America,3458441,3422796,0.0104
Mashhad,Iran,Asia,3415532,3367852,0.0142
Sanaa,Yemen,Asia,3407814,3292497,0.035
Puebla,Mexico,North America,3394342,3344761,0.0148
Indore,India,Asia,3393380,3302077,0.0277
Lanzhou,China,Asia,3365910,3297528,0.0207
Ouagadougou,Burkina Faso,,3358934,3203923,0.0484
Kuwait City,Kuwait,Asia,3353602,3297759,0.0169
Lusaka,Zambia,Africa,3324219,3181250,0.0449
Kanpur,India,Asia,3286142,3234160,0.0161
Durban,South Africa,Africa,3262128,3228003,0.0106
Guayaquil,Ecuador,South America,3193267,3142466,0.0162
Pyongyang,North Korea,Asia,3183135,3157538,0.0081
Milan,Italy,Europe,3160631,3154570,0.0019
Guatemala City,Guatemala,North America,3159631,3095099,0.0208
Athens,Greece,Europe,3154591,3154463,0.0
Depok,Indonesia,Asia,3133298,3041229,0.0303
Izmir,Turkey,Asia,3120340,3088414,0.0103
Nagpur,India,Asia,3106340,3046687,0.0196
Surabaya,Indonesia,Asia,3088748,3044413,0.0146
Handan,China,Asia,3085998,3005409,0.0268
Coimbatore,India,Asia,3083721,3009047,0.0248
Huaian,China,Asia,3071048,2979893,0.0306
Port Au Prince,Haiti,North America,3060169,2987455,0.0243
Zhongshan,China,Asia,3051065,3010685,0.0134
Dubai,United Arab Emirates,Asia,3051016,3007583,0.0144
Bamako,Mali,Africa,3050570,2929373,0.0414
Mbuji Mayi,DR Congo,Africa,3022855,2891746,0.0453
Kiev,Ukraine,Europe,3020228,3016789,0.0011
Lisbon,Portugal,Europe,3014607,3000536,0.0047
Weifang,China,Asia,2994537,2917819,0.0263
Caracas,Venezuela,South America,2991727,2972145,0.0066
Thiruvananthapuram,India,Asia,2984154,2891119,0.0322
Algiers,Algeria,Africa,2952115,2901810,0.0173
Shizuoka,Japan,Asia,2935527,2937359,-0.0006
Lubumbashi,DR Congo,Africa,2933962,2811959,0.0434
Cali,Colombia,South America,2890433,2863730,0.0093
Goiania,Brazil,South America,2890418,2848473,0.0147
Pretoria,South Africa,Africa,2889899,2818100,0.0255
Shaoxing,China,Asia,2882171,2805654,0.0273
Incheon,South Korea,Asia,2861686,2848557,0.0046
Yantai,China,Asia,2834508,2764584,0.0253
Zibo,China,Asia,2828435,2780142,0.0174
Huizhou,China,Asia,2827610,2758593,0.025
Manchester,United Kingdom,,2811756,2791005,0.0074
Taipei,Taiwan,Asia,2766334,2754196,0.0044
Mogadishu,Somalia,Africa,2726815,2610483,0.0446
Brazzaville,Republic of the Congo,,2724566,2637733,0.0329
Accra,Ghana,Africa,2721165,2660072,0.023
Bandung,Indonesia,Asia,2714215,2674000,0.015
Damascus,Syria,Asia,2685361,2584771,0.0389
Birmingham,United Kingdom,Europe,2684807,2665100,0.0074
Vancouver,Canada,North America,2682509,2657088,0.0096
Toluca De Lerdo,Mexico,North America,2674336,2626368,0.0183
Luoyang,China,Asia,2666744,2602793,0.0246
Sapporo,Japan,Asia,2660947,2666112,-0.0019
Tashkent,Uzbekistan,Asia,2633661,2603243,0.0117
Patna,India,Asia,2633243,2579762,0.0207
Bhopal,India,Asia,2624865,2564502,0.0235
Chicago,United States,North America,2590002,2627520,-0.0143
Tangerang,Indonesia,Asia,2570980,2514077,0.0226
Nantong,China,Asia,2555722,2492230,0.0255
Brisbane,Australia,Oceania,2536449,2504505,0.0128
Tunis,Tunisia,Africa,2510673,2475446,0.0142
Peshawar,Pakistan,Asia,2480546,2411785,0.0285
Medan,Indonesia,Asia,2479070,2439054,0.0164
Gujranwala,Pakistan,Asia,2479058,2415416,0.0263
Baku,Azerbaijan,Asia,2464162,2432304,0.0131
Hohhot,China,Asia,2443686,2380636,0.0265
San Juan,Puerto Rico,North America,2436620,2439564,-0.0012
Belem,Brazil,South America,2432177,2409409,0.0094
Rawalpindi,Pakistan,Asia,2430388,2377325,0.0223
Agra,India,Asia,2422342,2367554,0.0231
Manaus,Brazil,South America,2406854,2375636,0.0131
Kannur,India,Asia,2405664,2346137,0.0254
Beirut,Lebanon,Asia,2402485,2421354,-0.0078
Maracaibo,Venezuela,South America,2400826,2367626,0.014
Liuzhou,China,Asia,2397410,2343452,0.023
Visakhapatnam,India,Asia,2385110,2330928,0.0232
Baotou,China,Asia,2381242,2334878,0.0199
Vadodara,India,Asia,2373365,2324084,0.0212
Barranquilla,Colombia,South America,2373302,2349400,0.0102
Phnom Penh,Cambodia,Asia,2352680,2281198,0.0313
Sendai,Japan,Asia,2341433,2342302,-0.0004
Taoyuan,Taiwan,Asia,2338724,2318850,0.0086
Xuzhou,China,Asia,2332531,2287166,0.0198
Aleppo,Syria,Asia,2317650,2203025,0.052
Houston,United States,North America,2305889,2304383,0.0007
Tijuana,Mexico,North America,2297216,2259787,0.0166
Esfahan,Iran,Asia,2294589,2258396,0.016
Nashik,India,Asia,2294299,2237369,0.0254
Vijayawada,India,Asia,2290785,2229765,0.0274
Amman,Jordan,Asia,2252688,2232240,0.0092
Putian,China,Asia,2250104,2176022,0.034
Multan,Pakistan,Asia,2205407,2154600,0.0236
Grande Vitoria,Brazil,South America,2196818,2170513,0.0121
Wuhu Anhui,China,Asia,2195262,2124797,0.0332
Mecca,Saudi Arabia,Asia,2184560,2149928,0.0161
Kollam,India,Asia,2181940,2106606,0.0358
Naples,Italy,Europe,2180027,2179384,0.0003
Daegu,South Korea,Asia,2179929,2180997,-0.0005
Conakry,Guinea,Africa,2178596,2110937,0.0321
Yangzhou,China,Asia,2175102,2131291,0.0206
Havana,Cuba,Africa,2152518,2148930,0.0017
Taizhou Zhejiang,China,Asia,2152226,2102143,0.0238
Baoding,China,Asia,2149703,2107539,0.02
Perth,Australia,Oceania,2143491,2117997,0.012
Brussels,Belgium,Europe,2132178,2121992,0.0048
Linyi Shandong,China,Asia,2120049,2076364,0.021
Bursa,Turkey,Asia,2115513,2086324,0.014
Rajkot,India,Asia,2096981,2043107,0.0264
Minsk,Belarus,Europe,2064733,2057257,0.0036
Hiroshima,Japan,Asia,2062884,2067591,-0.0023
Haikou,China,Asia,2056646,2016092,0.0201
Daqing,China,Asia,2044371,2000656,0.0219
Lome,Togo,Africa,2042734,1981615,0.0308
Lianyungang,China,Asia,2035631,1986439,0.0248
Yancheng Jiangsu,China,Asia,2034326,1993463,0.0205
Panama City,Panama,North America,2015735,1976866,0.0197
Almaty,Kazakhstan,Asia,2015209,1987301,0.014
Semarang,Indonesia,Asia,2013571,1975306,0.0194
Hyderabad,Pakistan,Asia,2011964,1967684,0.0225
Valencia,Venezuela,South America,2007265,1983445,0.012
Davao City,Philippines,Asia,1991457,1949400,0.0216
Vienna,Austria,Europe,1990487,1975271,0.0077
Rabat,Morocco,Africa,1989197,1959388,0.0152
Ludhiana,India,Asia,1988438,1951085,0.0191
Quito,Ecuador,South America,1986667,1956995,0.0152
Benin City,Nigeria,Africa,1972558,1904631,0.0357
La Paz,Bolivia,South America,1965570,1935619,0.0155
Baixada Santista,Brazil,South America,1965110,1947785,0.0089
West Yorkshire,United Kingdom,Europe,1942470,1928661,0.0072
Can Tho,Vietnam,Asia,1938915,1865172,0.0395
Zhuhai,China,Asia,1930373,1889829,0.0215
Leon De Los Aldamas,Mexico,North America,1924435,1898749,0.0135
Quanzhou,China,Asia,1920733,1869994,0.0271
Matola,Mozambique,Africa,1915035,1852405,0.0338
Datong,China,Asia,1913674,1873693,0.0213
Sharjah,United Arab Emirates,Asia,1872199,1830858,0.0226
Madurai,India,Asia,1871912,1834279,0.0205
Raipur,India,Asia,1871107,1816813,0.0299
Adana,Turkey,Asia,1856638,1835895,0.0113
Santa Cruz,Bolivia,South America,1855732,1820114,0.0196
Palembang,Indonesia,Asia,1852673,1818421,0.0188
Mosul,Iraq,Asia,1847691,1792020,0.0311
Cixi,China,Asia,1840039,1788871,0.0286
Meerut,India,Asia,1835403,1797805,0.0209
Gaziantep,Turkey,Asia,1833006,1804704,0.0157
La Laguna,Mexico,North America,1826135,1780592,0.0256
Batam,Indonesia,Asia,1806147,1748142,0.0332
Turin,Italy,Europe,1805727,1801944,0.0021
Warsaw,Poland,Europe,1799451,1797516,0.0011
Jiangmen,China,Asia,1797469,1768511,0.0164
Varanasi,India,Asia,1789047,1754425,0.0197
Hamburg,Germany,Europe,1787280,1787520,-0.0001
Montevideo,Uruguay,South America,1781363,1774396,0.0039
Budapest,Hungary,Europe,1780391,1778052,0.0013
Lyon,France,Europe,1774395,1761188,0.0075
Xiangyang,China,Asia,1772318,1742706,0.017
Bucharest,Romania,Europe,1767520,1776385,-0.005
Yichang,China,Asia,1758100,1711244,0.0274
Yinchuan,China,Asia,1757699,1716591,0.0239
Shiraz,Iran,Asia,1742750,1720954,0.0127
Kananga,DR Congo,Africa,1738716,1664442,0.0446
Srinagar,India,Asia,1737502,1698277,0.0231
Monrovia,Liberia,Africa,1735365,1678020,0.0342
Tiruppur,India,Asia,1731862,1677173,0.0326
Jamshedpur,India,Asia,1730521,1695060,0.0209
Suqian,China,Asia,1726327,1664968,0.0369
Aurangabad,India,Asia,1725283,1683389,0.0249
Qinhuangdao,China,Asia,1723728,1680962,0.0254
Stockholm,Sweden,Europe,1719604,1700066,0.0115
Anshan,China,Asia,1713452,1689499,0.0142
Glasgow,United Kingdom,,1708147,1698088,0.0059
Xining,China,Asia,1705078,1666605,0.0231
Makassar,Indonesia,Asia,1704930,1673094,0.019
Hengyang,China,Asia,1702012,1661854,0.0242
Novosibirsk,Russia,Asia,1701510,1694765,0.004
Ulaanbaatar,Mongolia,Asia,1699363,1672627,0.016
Onitsha,Nigeria,Africa,1694913,1623382,0.0441
Jilin,China,Asia,1693701,1668785,0.0149
Anyang,China,Asia,1693375,1642347,0.0311
Auckland,New Zealand,Oceania,1692770,1673220,0.0117
Tabriz,Iran,Asia,1678028,1660737,0.0104
Phoenix,United States,North America,1676481,1660445,0.0097
Muscat,Oman,Asia,1676167,1650319,0.0157
Calgary,Canada,North America,1665023,1639613,0.0155
Qiqihaer,China,Asia,1662407,1635458,0.0165
N Djamena,Chad,Africa,1655618,1592324,0.0397
Marseille,France,Europe,1635707,1627549,0.005
Cordoba,Argentina,South America,1625937,1611651,0.0089
Jodhpur,India,Asia,1625325,1586547,0.0244
Kathmandu,Nepal,Asia,1621642,1571010,0.0322
Rosario,Argentina,South America,1613041,1594096,0.0119
Tegucigalpa,Honduras,North America,1609261,1568025,0.0263
Ciudad Juarez,Mexico,North America,1604085,1582313,0.0138
Harare,Zimbabwe,Africa,1603201,1578128,0.0159
Karaj,Iran,Asia,1603011,1593608,0.0059
Medina,Saudi Arabia,Asia,1598976,1572571,0.0168
Jining Shandong,China,Asia,1595963,1569560,0.0168
Abu Dhabi,United Arab Emirates,Asia,1593284,1566999,0.0168
Munich,Germany,Europe,1584507,1576416,0.0051
Ranchi,India,Asia,1584237,1547258,0.0239
Daejon,South Korea,Asia,1581705,1577436,0.0027
Zhangjiakou,China,Asia,1568122,1536171,0.0208
Edmonton,Canada,North America,1567615,1544448,0.015
Mandalay,Myanmar,Asia,1563021,1531860,0.0203
Gaoxiong,Taiwan,Asia,1559085,1552899,0.004
Kota,India,Asia,1558468,1516795,0.0275
Natal,Brazil,South America,1556413,1535316,0.0137
Nouakchott,Mauritania,Africa,1552146,1491958,0.0403
Jabalpur,India,Asia,1551004,1522121,0.019
Huainan,China,Asia,1538603,1512668,0.0171
Grande Sao Luis,Brazil,South America,1536017,1523629,0.0081
Asansol,India,Asia,1534081,1505033,0.0193
Philadelphia,United States,North America,1533916,1550587,-0.0107
Yekaterinburg,Russia,Asia,1532970,1527728,0.0034
Gwangju,South Korea,Asia,1532902,1529472,0.0022
Yiwu,China,Asia,1525749,1483320,0.0286
Chaozhou,China,Asia,1520628,1496298,0.0163
Gwalior,India,Asia,1508846,1475016,0.0229
Ganzhou,China,Asia,1508037,1459678,0.0331
San Antonio,United States,North America,1506593,1489751,0.0113
Homs,Syria,Asia,1499603,1443429,0.0389
Niamey,Niger,Africa,1496258,1437233,0.0411
Mombasa,Kenya,Africa,1495223,1440396,0.0381
Allahabad,India,Asia,1493346,1465152,0.0192
Basra,Iraq,Asia,1485156,1448124,0.0256
Kisangani,DR Congo,Africa,1483513,1423395,0.0422
San Jose,Costa Rica,North America,1482460,1461989,0.014
Amritsar,India,Asia,1480470,1451748,0.0198
Taizhou Jiangsu,China,Asia,1477600,1446810,0.0213
Chon Buri,Thailand,Asia,1472709,1454222,0.0127
Jiaxing,China,Asia,1470917,1424982,0.0322
Weihai,China,Asia,1465926,1429315,0.0256
Hai Phong,Vietnam,Asia,1463650,1422974,0.0286
Ottawa,Canada,North America,1451571,1437188,0.01
Zurich,Switzerland,Europe,1443349,1431538,0.0083
Taian Shandong,China,Asia,1441911,1416064,0.0183
Queretaro,Mexico,North America,1436818,1413474,0.0165
Joao Pessoa,Brazil,South America,1435125,1421827,0.0094
Kaifeng,China,Asia,1434463,1398262,0.0259
Cochabamba,Bolivia,South America,1430688,1400250,0.0217
Konya,Turkey,Asia,1429935,1407632,0.0158
Liuyang,China,Asia,1428802,1373523,0.0402
Liuan,China,Asia,1427894,1378077,0.0361
Rizhao,China,Asia,1426583,1391258,0.0254
Kharkiv,Ukraine,Europe,1418978,1421052,-0.0015
Dhanbad,India,Asia,1414532,1389776,0.0178
Nanchong,China,Asia,1412714,1377572,0.0255
Dongying,China,Asia,1410791,1379377,0.0228
Belgrade,Serbia,Europe,1410697,1408144,0.0018
Zunyi,China,Asia,1406091,1376453,0.0215
Zhanjiang,China,Asia,1399310,1371998,0.0199
Bucaramanga,Colombia,South America,1396632,1381498,0.011
Uyo,Nigeria,Africa,1393453,1329284,0.0483
Copenhagen,Denmark,Europe,1391205,1381005,0.0074
Shiyan,China,Asia,1387377,1354025,0.0246
Taizhong,Taiwan,Asia,1381855,1369066,0.0093
Bareilly,India,Asia,1380715,1348664,0.0238
Pointe Noire,Republic of the Congo,,1379368,1336387,0.0322
Adelaide,Australia,Oceania,1379280,1366783,0.0091
Suweon,South Korea,Asia,1378229,1365352,0.0094
Mwanza,Tanzania,Africa,1378014,1310754,0.0513
Mianyang Sichuan,China,Asia,1376449,1351383,0.0185
Samut Prakan,Thailand,Asia,1376146,1358871,0.0127
Maceio,Brazil,South America,1375984,1363510,0.0091
San Diego,United States,North America,1375452,1378307,-0.0021
Qom,Iran,Asia,1373800,1354174,0.0145
Antalya,Turkey,Asia,1372400,1347240,0.0187
Joinville,Brazil,South America,1361992,1348521,0.01
Tengzhou,China,Asia,1360779,1322916,0.0286
Yingkou,China,Asia,1355564,1323174,0.0245
Ad Dammam,Saudi Arabia,Asia,1352912,1329291,0.0178
Suzhou,China,Asia,1349994,1310433,0.0302
Tanger,Morocco,Africa,1348848,1314178,0.0264
Freetown,Sierra Leone,Africa,1347559,1309168,0.0293
Helsinki,Finland,Europe,1346810,1337786,0.0067
Aligarh,India,Asia,1346018,1312369,0.0256
Moradabad,India,Asia,1335966,1301740,0.0263
Pekan Baru,Indonesia,Asia,1334532,1303355,0.0239
Maoming,China,Asia,1333930,1303900,0.023
Lilongwe,Malawi,Africa,1333096,1276316,0.0445
Porto,Portugal,Europe,1329301,1324652,0.0035
Prague,Czech Republic,,1327947,1323339,0.0035
Astana,Kazakhstan,Asia,1324111,1291280,0.0254
Jieyang,China,Asia,1320779,1282479,0.0299
Fushun Liaoning,China,Asia,1317276,1304565,0.0097
Mysore,India,Asia,1316461,1288245,0.0219
Abomey Calavi,Benin,Africa,1314916,1252890,0.0495
Ruian,China,Asia,1314784,1281790,0.0257
Fes,Morocco,Africa,1313311,1290039,0.018
Port Elizabeth,South Africa,Africa,1312631,1295928,0.0129
Florianopolis,Brazil,South America,1309895,1294486,0.0119
Ahvaz,Iran,Asia,1309372,1293619,0.0122
Bukavu,DR Congo,Africa,1308469,1248783,0.0478
Nnewi,Nigeria,Africa,1300993,1239186,0.0499
Kazan,Russia,Asia,1296232,1291884,0.0034
Jinhua,China,Asia,1296065,1257941,0.0303
Dallas,United States,North America,1295447,1297495,-0.0016
San Luis Potosi,Mexico,North America,1292133,1273325,0.0148
Baoji,China,Asia,1290231,1261077,0.0231
Durg Bhilainagar,India,Asia,1289673,1266034,0.0187
Bhubaneswar,India,Asia,1289254,1257642,0.0251
Kigali,Rwanda,Africa,1287952,1247551,0.0324
Sofia,Bulgaria,Europe,1287540,1288114,-0.0004
Pingdingshan Henan,China,Asia,1285750,1256581,0.0232
Dublin,Ireland,Europe,1284551,1270172,0.0113
Puning,China,Asia,1282756,1254160,0.0228
Chifeng,China,Asia,1279544,1252414,0.0217
Zhuzhou,China,Asia,1277238,1254519,0.0181
Bujumbura,Burundi,Africa,1277050,1206767,0.0582
Zhenjiang Jiangsu,China,Asia,1275395,1250668,0.0198
Liupanshui,China,Asia,1272872,1230644,0.0343
Barquisimeto,Venezuela,South America,1267872,1254192,0.0109
Islamabad,Pakistan,Asia,1266792,1232447,0.0279
Huaibei,China,Asia,1264856,1236271,0.0231
Tasikmalaya,Indonesia,Asia,1258124,1213778,0.0365
Maracay,Venezuela,South America,1256553,1242945,0.0109
Bogor,Indonesia,Asia,1256155,1231445,0.0201
Da Nang,Vietnam,Asia,1253228,1220634,0.0267
Nizhniy Novgorod,Russia,Asia,1250302,1251332,-0.0008
Nanyang Henan,China,Asia,1250300,1224629,0.021
Xiangtan Hunan,China,Asia,1249380,1223912,0.0208
Pizhou,China,Asia,1247177,1207275,0.0331
Tiruchirappalli,India,Asia,1244978,1221960,0.0188
Chelyabinsk,Russia,Asia,1243883,1240926,0.0024
Mendoza,Argentina,South America,1242319,1226427,0.013
Luohe,China,Asia,1241152,1197935,0.0361
Xiongan,China,Asia,1240158,1183042,0.0483
Chandigarh,India,Asia,1239699,1214775,0.0205
Merida,Mexico,North America,1239654,1220603,0.0156
Jinzhou,China,Asia,1238377,1215376,0.0189
Benxi,China,Asia,1237550,1216852,0.017
Binzhou,China,Asia,1233584,1200222,0.0278
Aba,Nigeria,Africa,1230407,1188803,0.035
Chiang Mai,Thailand,Asia,1228773,1213348,0.0127
Bazhong,China,Asia,1225591,1175989,0.0422
Quetta,Pakistan,Asia,1221495,1190348,0.0262
Kaduna,Nigeria,Africa,1221451,1187398,0.0287
Guilin,China,Asia,1218067,1196841,0.0177
Saharanpur,India,Asia,1207856,1171689,0.0309
Hubli Dharwad,India,Asia,1205428,1181194,0.0205
Yueqing,China,Asia,1201400,1169864,0.027
Guwahati,India,Asia,1199455,1176330,0.0197
Mexicali,Mexico,North America,1196982,1178477,0.0157
Salem,India,Asia,1194757,1169953,0.0212
Maputo,Mozambique,Africa,1193253,1162793,0.0262
Tripoli,Libya,Africa,1192436,1183292,0.0077
Haifa,Israel,Asia,1186475,1174429,0.0103
Bandar Lampung,Indonesia,Asia,1186233,1162242,0.0206
Bobo Dioulasso,Burkina Faso,Africa,1185053,1128646,0.05
Amsterdam,Netherlands,Europe,1181817,1174025,0.0066
Shimkent,Kazakhstan,Asia,1181020,1155073,0.0225
Omsk,Russia,Asia,1180677,1180745,-0.0001
Aguascalientes,Mexico,North America,1179301,1161448,0.0154
Hargeysa,Somalia,Africa,1176617,1127198,0.0438
Krasnoyarsk,Russia,Asia,1173095,1166792,0.0054
Xinxiang,China,Asia,1160840,1140599,0.0177
Siliguri,India,Asia,1159371,1126249,0.0294
Wenling,China,Asia,1159259,1131361,0.0247
Samara,Russia,Asia,1154451,1155732,-0.0011
Zaozhuang,China,Asia,1150859,1133629,0.0152
Cologne,Germany,Europe,1149014,1143715,0.0046
Yongin,South Korea,Asia,1147967,1135671,0.0108
Ufa,Russia,Asia,1146786,1144799,0.0017
Fuyang,China,Asia,1146343,1120694,0.0229
Ikorodu,Nigeria,Africa,1145224,1093308,0.0475
Bien Hoa,Vietnam,Asia,1142997,1110824,0.029
Jalandhar,India,Asia,1142682,1118826,0.0213
Panjin,China,Asia,1142542,1120675,0.0195
Ma'anshan,China,Asia,1140264,1112680,0.0248
Cuernavaca,Mexico,North America,1140169,1123843,0.0145
Rostov on Don,Russia,Asia,1139641,1138854,0.0007
Chihuahua,Mexico,North America,1135342,1116295,0.0171
Fuzhou Jiangxi,China,Asia,1131718,1100271,0.0286
