id,name,now_cost,position,team,ict_index_rank,transfers_in,news_added,threat_rank_type,cost_change_start_fall,red_cards,transfers_in_event,web_name,expected_goal_involvements_per_90,form_rank,minutes,goals_scored,value_season,chance_of_playing_next_round,threat_rank,expected_goals_per_90,goals_conceded_per_90,points_per_game,direct_freekicks_order,selected_rank_type,expected_assists,form,selected_rank,influence_rank_type,dreamteam_count,selected_by_percent,cost_change_start,clean_sheets_per_90,influence_rank,saves,ict_index,transfers_out,bps,expected_goals_conceded_per_90,ep_next,news,assists,expected_goals,expected_goal_involvements,status,form_rank_type,now_cost_rank_type,clean_sheets,expected_goals_conceded,creativity,starts_per_90,points_per_game_rank,starts,cost_change_event_fall,now_cost_rank,influence,points_per_game_rank_type,value_form,goals_conceded,ict_index_rank_type,saves_per_90,cost_change_event,threat,expected_assists_per_90,own_goals,event_points,chance_of_playing_this_round,corners_and_indirect_freekicks_order,transfers_out_event,yellow_cards,creativity_rank,creativity_rank_type,total_points,in_dreamteam,bonus,ep_this,penalties_order
11,Eddie Nketiah,59,FWD,Arsenal,620,11139,,65,1,0,8743,Nketiah,0.0,617,0,0,0.0,,614,0.0,0.0,0.0,,48,0.00,0.0,294,66,0,0.3,-1,0.0,620,0,0.0,18282,0,0.0,1.0,,0,0.00,0.00,a,65,26,0,0.00,0.0,0.0,617,0,0,91,0.0,65,0.0,0,66,0.0,0,0.0,0.0,0,0,,,8933,0,620,66,0,False,0,1.0,
12,Ethan Nwaneri,45,MID,Arsenal,508,6088,,184,0,0,3622,Nwaneri,0.0,507,0,0,0.0,,465,0.0,0.0,0.0,,113,0.00,0.0,339,200,0,0.2,0,0.0,500,0,0.0,6983,0,0.0,1.0,,0,0.00,0.00,a,208,261,0,0.00,0.0,0.0,507,0,0,483,0.0,208,0.0,0,207,0.0,0,0.0,0.0,0,0,,,4065,0,500,208,0,False,0,1.0,
13,Martin Ødegaard,84,MID,Arsenal,48,72587,,34,1,0,43740,Ødegaard,0.47,129,180,0,0.6,,55,0.14,0.0,2.5,1.0,12,0.66,2.5,33,67,0,12.4,-1,1.0,158,0,11.8,390745,20,0.88,3.5,,0,0.28,0.94,a,62,8,2,1.75,58.2,1.0,130,2,1,11,24.4,63,0.3,0,34,0.0,-1,35.0,0.33,0,2,,3.0,234056,1,27,24,5,False,0,3.5,2.0
15,David Raya Martin,55,GKP,Arsenal,129,428485,,67,0,0,356810,Raya,0.0,6,180,0,3.3,,600,0.0,0.0,9.0,,1,0.00,9.0,11,4,1,28.6,0,1.0,29,6,5.6,178959,55,0.88,10.0,,0,0.00,0.00,a,1,3,2,1.75,0.0,1.0,7,2,0,111,56.2,1,1.6,0,5,3.0,0,0.0,0.0,0,10,,,90681,0,610,67,18,True,4,10.0,
16,Declan Rice,65,MID,Arsenal,82,44347,,45,0,0,18931,Rice,0.16,123,174,0,0.8,,70,0.08,0.0,2.5,2.0,25,0.16,2.5,74,62,0,5.3,0,1.03,150,0,8.0,158775,27,0.83,3.5,,0,0.16,0.32,a,56,26,2,1.60,25.7,1.03,124,2,0,45,25.4,57,0.4,0,58,0.0,0,29.0,0.08,0,2,,2.0,89062,1,80,63,5,False,0,3.5,
17,Bukayo Saka,100,MID,Arsenal,1,546962,,2,0,0,306674,Saka,0.47,8,166,1,1.8,,3,0.22,0.0,9.0,,3,0.47,9.0,7,4,1,34.3,0,1.08,7,0,28.6,320575,63,0.85,10.0,,2,0.40,0.87,a,5,4,2,1.57,89.1,1.08,9,2,0,5,92.0,6,0.9,0,1,0.0,0,105.0,0.25,0,6,,1.0,222229,1,7,6,18,True,2,10.0,1.0
18,William Saliba,60,DEF,Arsenal,191,238552,,208,0,0,167397,Saliba,0.0,32,180,0,2.0,,620,0.0,0.0,6.0,,1,0.01,6.0,4,20,0,39.8,0,1.0,77,0,4.1,277434,50,0.88,7.0,,0,0.00,0.01,a,9,6,2,1.75,2.1,1.0,36,2,0,84,38.6,11,1.0,0,63,0.0,0,0.0,0.0,0,6,,,151888,0,247,77,12,False,0,7.0,
20,Thomas Partey,50,MID,Arsenal,50,111975,,84,0,0,107629,Thomas,0.15,13,180,1,2.8,,141,0.08,0.0,7.0,,54,0.14,7.0,171,18,0,1.4,0,1.0,36,0,11.4,21457,43,0.88,8.0,,0,0.16,0.30,a,8,128,2,1.75,51.1,1.0,14,2,0,201,53.8,9,1.4,0,35,0.0,0,9.0,0.07,0,11,,,19385,0,29,25,14,False,3,8.0,
21,Kieran Tierney,44,DEF,Arsenal,420,127,2024-08-12T14:30:04.394338Z,134,1,0,75,Tierney,0.0,417,0,0,0.0,0.0,345,0.0,0.0,0.0,,186,0.00,0.0,554,159,0,0.0,-1,0.0,412,0,0.0,2548,0,0.0,0.0,Hamstring injury - Unknown return date,0,0.00,0.00,i,155,141,0,0.00,0.0,0.0,417,0,1,537,0.0,155,0.0,0,159,0.0,-1,0.0,0.0,0,0,0.0,,764,0,400,158,0,False,0,0.0,
22,Tomiyasu Takehiro,49,DEF,Arsenal,550,124,2024-08-12T14:30:04.404182Z,194,1,0,75,Tomiyasu,0.0,550,0,0,0.0,0.0,514,0.0,0.0,0.0,,183,0.00,0.0,523,199,0,0.0,-1,0.0,543,0,0.0,4141,0,0.0,0.0,Knee injury - Unknown return date,0,0.00,0.00,i,197,39,0,0.00,0.0,0.0,550,0,0,316,0.0,197,0.0,0,199,0.0,0,0.0,0.0,0,0,0.0,,1174,0,542,199,0,False,0,0.0,
23,Leandro Trossard,69,MID,Arsenal,111,44721,,50,1,0,41281,Trossard,0.51,80,35,1,1.2,,79,0.46,0.0,4.0,,46,0.02,4.0,140,36,0,2.0,-1,0.0,86,0,6.5,69761,27,0.8,5.0,,0,0.18,0.20,a,36,18,0,0.31,0.8,0.0,83,0,0,34,37.8,37,0.6,0,70,0.0,0,26.0,0.05,0,7,,4.0,22919,0,285,163,8,False,1,5.0,
24,Benjamin White,65,DEF,Arsenal,210,57353,,24,0,0,38321,White,0.08,33,180,0,1.8,,129,0.04,0.0,6.0,,15,0.08,6.0,46,83,0,9.7,0,1.0,208,0,3.5,121858,45,0.88,7.0,,0,0.07,0.15,a,10,2,2,1.75,8.1,1.0,37,2,0,44,15.0,12,0.9,0,70,0.0,0,12.0,0.04,0,6,,,68199,0,181,51,12,False,0,7.0,
25,Oleksandr Zinchenko,50,DEF,Arsenal,266,61504,,45,0,0,15501,Zinchenko,0.05,104,68,0,1.2,,174,0.0,0.0,6.0,,41,0.04,3.0,113,94,0,2.7,0,1.32,254,0,1.8,87241,22,0.42,4.0,,0,0.00,0.04,a,39,24,1,0.32,4.9,1.32,30,1,0,217,7.2,8,0.6,0,89,0.0,0,6.0,0.05,0,0,,,64851,0,196,58,6,False,0,4.0,
578,Riccardo Calafiori,59,DEF,Arsenal,622,8500,,207,1,0,4433,Calafiori,0.0,326,11,0,0.2,,617,0.0,0.0,1.0,,56,0.00,0.5,149,106,0,1.9,-1,0.0,322,0,0.0,86665,2,1.31,1.5,,0,0.00,0.00,a,103,9,0,0.16,0.0,0.0,307,0,0,97,0.4,94,0.1,0,208,0.0,0,0.0,0.0,0,1,,,35801,0,622,208,1,False,0,1.5,
597,Myles Lewis-Skelly,45,MID,Arsenal,507,1769,,183,0,0,1027,Lewis-Skelly,0.0,506,0,0,0.0,,464,0.0,0.0,0.0,,215,0.00,0.0,528,199,0,0.0,0,0.0,499,0,0.0,1397,0,0.0,1.0,,0,0.00,0.00,a,207,260,0,0.00,0.0,0.0,506,0,0,482,0.0,207,0.0,0,206,0.0,0,0.0,0.0,0,0,,,886,0,499,207,0,False,0,1.0,
633,Mikel Merino,60,MID,Arsenal,624,1237,2024-08-30T13:30:05.886390Z,279,0,0,1237,Merino,0.0,620,0,0,0.0,0.0,619,0.0,0.0,0.0,,260,0.00,0.0,596,281,0,0.0,0,0.0,623,0,0.0,458,0,0.0,0.0,Shoulder injury - Unknown return date,0,0.00,0.00,i,282,54,0,0.00,0.0,0.0,620,0,0,80,0.0,282,0.0,0,282,0.0,0,0.0,0.0,0,0,,,458,0,624,282,0,False,0,3.2,
28,Leon Bailey,65,MID,Aston Villa,74,70756,,41,0,0,55157,Bailey,0.27,213,163,0,0.5,,66,0.14,1.66,1.5,4.0,34,0.23,1.5,104,91,0,3.2,0,0.0,210,0,8.8,113643,11,1.25,2.0,,0,0.25,0.48,a,112,28,0,2.26,45.0,1.1,218,2,0,47,14.6,114,0.2,3,50,0.0,0,30.0,0.13,0,2,,3.0,60278,1,41,35,3,False,0,0.5,
29,Ross Barkley,54,MID,Aston Villa,324,4316,,145,1,0,1790,Barkley,0.19,318,14,0,0.2,,255,0.13,6.43,1.0,,80,0.01,0.5,235,265,0,0.6,-1,0.0,596,0,0.2,29917,2,2.44,1.0,,0,0.02,0.03,a,163,95,0,0.38,1.6,0.0,290,0,0,153,0.0,151,0.1,1,166,0.0,0,1.0,0.06,0,1,,,12408,0,258,149,1,False,0,-0.5,
30,Enzo Barrenechea,50,MID,Aston Villa,587,855,,253,0,0,492,Barrenechea,0.0,584,0,0,0.0,,570,0.0,0.0,0.0,,205,0.00,0.0,514,256,0,0.1,0,0.0,580,0,0.0,2040,0,0.0,0.5,,0,0.00,0.00,a,261,173,0,0.00,0.0,0.0,584,0,0,269,0.0,261,0.0,0,262,0.0,0,0.0,0.0,0,0,,,1086,0,585,262,0,False,0,-1.0,
31,Emiliano Buendía Stati,54,MID,Aston Villa,605,1357,,265,1,0,819,Buendia,0.0,601,0,0,0.0,,591,0.0,0.0,0.0,,157,0.00,0.0,436,267,0,0.1,-1,0.0,601,0,0.0,5038,0,0.0,0.5,,0,0.00,0.00,a,270,101,0,0.00,0.0,0.0,601,0,1,163,0.0,270,0.0,0,271,0.0,-1,0.0,0.0,0,0,,,2421,0,602,271,0,False,0,-1.0,
32,Matty Cash,45,DEF,Aston Villa,238,37848,2024-08-24T21:30:05.205042Z,52,0,0,9822,Cash,0.01,171,96,0,0.7,0.0,191,0.0,0.94,1.5,,47,0.01,1.5,126,93,0,2.5,0,0.0,238,0,2.6,101862,10,1.43,0.0,Hamstring injury - Expected back 21 Sep,0,0.00,0.01,i,53,74,0,1.53,12.4,1.88,177,2,0,387,9.6,54,0.3,1,80,0.0,0,4.0,0.01,0,1,,,76843,0,157,37,3,False,0,0.5,
33,Leander Dendoncker,45,MID,Aston Villa,446,12869,,149,0,0,7775,Dendoncker,0.0,444,0,0,0.0,,386,0.0,0.0,0.0,,68,0.00,0.0,201,167,0,0.9,0,0.0,438,0,0.0,21839,0,0.0,0.5,,0,0.00,0.00,a,175,223,0,0.00,0.0,0.0,444,0,0,375,0.0,175,0.0,0,174,0.0,0,0.0,0.0,0,0,,,12483,0,434,175,0,False,0,-1.0,
34,Moussa Diaby,65,MID,Aston Villa,631,0,2024-07-26T08:50:40.300928Z,287,0,0,0,Diaby,0.0,627,0,0,0.0,0.0,629,0.0,0.0,0.0,,250,0.00,0.0,573,288,0,0.0,0,0.0,631,0,0.0,2544,0,0.0,0.0,Permanent transfer to Al Ittihad,0,0.00,0.00,u,288,31,0,0.00,0.0,0.0,627,0,0,50,0.0,288,0.0,0,288,0.0,0,0.0,0.0,0,0,0.0,,615,0,631,288,0,False,0,0.0,
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,449,8209,2024-08-30T15:00:05.616651Z,157,0,0,5496,Diego Carlos,0.0,447,0,0,0.0,0.0,390,0.0,0.0,0.0,,88,0.00,0.0,245,177,0,0.6,0,0.0,441,0,0.0,18577,0,0.0,0.0,Knock - Expected back 14 Sep,0,0.00,0.00,i,173,70,0,0.00,0.0,0.0,447,0,0,381,0.0,173,0.0,0,177,0.0,0,0.0,0.0,0,0,,,9478,0,437,176,0,False,0,-1.0,
36,Lucas Digne,45,DEF,Aston Villa,136,88702,,154,0,0,77408,Digne,0.1,130,148,0,0.9,,377,0.0,1.22,2.0,2.0,40,0.16,2.0,110,39,0,2.8,0,0.0,110,0,5.4,42493,22,1.14,2.5,,0,0.00,0.16,a,41,60,0,1.88,21.0,1.22,131,2,0,361,33.0,41,0.4,2,36,0.0,0,0.0,0.1,0,2,,4.0,28066,0,98,18,4,False,0,1.0,
37,Lewis Dobbin,50,MID,Aston Villa,580,0,2024-08-07T08:21:33.016106Z,247,0,0,0,Dobbin,0.0,578,0,0,0.0,0.0,560,0.0,0.0,0.0,,283,0.00,0.0,627,252,0,0.0,0,0.0,573,0,0.0,172,0,0.0,0.0,Permanent transfer to West Bromwich Albion,0,0.00,0.00,u,257,165,0,0.00,0.0,0.0,578,0,0,254,0.0,257,0.0,0,258,0.0,0,0.0,0.0,0,0,0.0,,47,0,576,258,0,False,0,0.0,
38,Jhon Durán,60,FWD,Aston Villa,92,48778,,17,0,0,24983,Duran,1.06,95,53,1,1.2,,64,0.82,3.4,3.5,,35,0.14,3.5,207,12,0,0.8,0,0.0,92,0,7.3,22913,31,2.85,4.0,,0,0.48,0.62,a,11,24,0,1.68,5.5,0.0,98,0,0,85,37.0,11,0.6,2,15,0.0,0,30.0,0.24,0,1,,,16527,0,190,19,7,False,1,2.5,
39,Joe Gauci,40,GKP,Aston Villa,383,26929,,24,0,0,19034,Gauci,0.0,379,0,0,0.0,,305,0.0,0.0,0.0,,29,0.00,0.0,203,45,0,0.8,0,0.0,375,0,0.0,9270,0,0.0,0.5,,0,0.00,0.00,a,44,62,0,0.00,0.0,0.0,379,0,0,610,0.0,44,0.0,0,45,0.0,0,0.0,0.0,0,0,,,6585,0,363,26,0,False,0,-1.0,
40,Kortney Hause,40,DEF,Aston Villa,350,12727,,83,0,0,8288,Hause,0.0,347,0,0,0.0,,271,0.0,0.0,0.0,,83,0.00,0.0,229,112,0,0.6,0,0.0,342,0,0.0,11389,0,0.0,0.5,,0,0.00,0.00,a,108,163,0,0.00,0.0,0.0,347,0,0,571,0.0,108,0.0,0,112,0.0,0,0.0,0.0,0,0,,,6510,0,330,111,0,False,0,-1.0,
41,Samuel Iling-Junior,54,MID,Aston Villa,609,342,2024-08-29T11:07:04.555253Z,269,1,0,163,Iling Jr,0.0,605,0,0,0.0,0.0,595,0.0,0.0,0.0,,200,0.00,0.0,506,271,0,0.1,-1,0.0,605,0,0.0,3427,0,0.0,0.0,Season long loan to Bologna,0,0.00,0.00,u,274,111,0,0.00,0.0,0.0,605,0,1,175,0.0,274,0.0,0,275,0.0,-1,0.0,0.0,0,0,,,1788,0,606,275,0,False,0,-1.0,
42,Boubacar Kamara,50,MID,Aston Villa,571,64,2024-07-17T13:30:04.954579Z,239,0,0,41,Kamara,0.0,569,0,0,0.0,0.0,548,0.0,0.0,0.0,,282,0.00,0.0,626,246,0,0.0,0,0.0,564,0,0.0,132,0,0.0,0.0,Knee injury - Expected back 14 Sep,0,0.00,0.00,i,251,148,0,0.00,0.0,0.0,569,0,0,230,0.0,251,0.0,0,252,0.0,0,0.0,0.0,0,0,0.0,,71,0,567,252,0,False,0,0.0,
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,386,0,2024-08-09T11:14:21.895838Z,103,0,0,0,Kesler-Hayden,0.0,382,0,0,0.0,0.0,308,0.0,0.0,0.0,,194,0.00,0.0,583,131,0,0.0,0,0.0,378,0,0.0,852,0,0.0,0.0,Has joined Preston North End for the rest of the season,0,0.00,0.00,u,126,188,0,0.00,0.0,0.0,382,0,0,613,0.0,126,0.0,0,131,0.0,0,0.0,0.0,0,0,0.0,,265,0,366,130,0,False,0,0.0,
44,Ezri Konsa Ngoyo,45,DEF,Aston Villa,152,214672,,28,0,0,174506,Konsa,0.05,172,180,0,0.7,,139,0.04,1.5,1.5,,11,0.02,1.5,30,59,0,13.0,0,0.0,155,0,4.9,169380,17,1.66,2.0,,0,0.07,0.09,a,54,75,0,3.33,15.1,1.0,178,2,0,388,24.6,55,0.3,3,45,0.0,0,9.0,0.01,0,1,,,97371,0,135,31,3,False,0,0.5,
45,Ian Maatsen,50,DEF,Aston Villa,197,26146,,201,0,0,14731,Maatsen,0.39,247,30,0,0.4,,558,0.0,3.0,1.0,,39,0.13,1.0,107,84,0,3.0,0,0.0,215,0,3.9,90959,5,4.32,1.5,,0,0.00,0.13,a,78,30,0,1.44,25.6,0.0,280,0,0,249,13.2,91,0.2,1,66,0.0,0,0.0,0.39,0,1,,,48347,0,81,11,2,False,0,0.0,
46,Filip Marschall,40,GKP,Aston Villa,382,0,2024-07-18T09:50:40.812599Z,23,0,0,0,Marschall,0.0,378,0,0,0.0,0.0,304,0.0,0.0,0.0,,66,0.00,0.0,633,44,0,0.0,0,0.0,374,0,0.0,28,0,0.0,0.0,Has joined MK Dons for the rest of the season,0,0.00,0.00,u,43,61,0,0.00,0.0,0.0,378,0,0,609,0.0,43,0.0,0,44,0.0,0,0.0,0.0,0,0,0.0,,12,0,362,25,0,False,0,0.0,
47,Emiliano Martínez Romero,50,GKP,Aston Villa,174,166713,,61,0,0,136648,Martinez,0.0,141,180,0,0.8,,532,0.0,1.5,2.0,,4,0.00,2.0,31,10,0,12.9,0,0.0,54,5,4.4,183093,21,1.66,2.5,,0,0.00,0.00,a,15,7,0,3.33,0.0,1.0,146,2,0,192,44.2,16,0.4,3,10,2.5,0,0.0,0.0,0,1,,,110413,0,555,61,4,False,0,1.0,
48,John McGinn,55,MID,Aston Villa,255,21553,,70,0,0,14298,McGinn,0.23,118,125,0,0.9,,116,0.22,0.72,2.5,3.0,48,0.02,2.5,143,146,0,2.0,0,0.72,296,0,2.2,48884,16,1.18,3.0,,0,0.30,0.32,a,51,66,1,1.64,4.6,1.44,119,2,0,109,2.2,52,0.5,1,125,0.0,0,15.0,0.01,0,3,,,24714,0,201,122,5,False,0,1.5,
49,Tyrone Mings,44,DEF,Aston Villa,415,169,2024-08-05T15:00:04.309727Z,129,1,0,104,Mings,0.0,412,0,0,0.0,0.0,340,0.0,0.0,0.0,,180,0.00,0.0,510,154,0,0.1,-1,0.0,407,0,0.0,3073,0,0.0,0.0,Knee injury - Expected back 14 Sep,0,0.00,0.00,i,150,135,0,0.00,0.0,0.0,412,0,1,531,0.0,150,0.0,0,154,0.0,-1,0.0,0.0,0,0,0.0,,1041,0,395,153,0,False,0,0.0,
50,Kosta Nedeljković,40,DEF,Aston Villa,236,137618,,121,0,0,128549,Nedeljkovic,0.01,216,82,0,0.5,,330,0.0,2.2,1.0,,59,0.01,1.0,157,72,0,1.6,0,0.0,180,0,2.6,29813,7,1.96,1.5,,0,0.00,0.01,a,65,207,0,1.79,5.5,0.0,225,0,0,636,19.8,70,0.2,2,79,0.0,0,0.0,0.01,0,1,,,26479,0,188,53,2,False,0,0.0,
51,Robin Olsen,45,GKP,Aston Villa,444,234,2024-08-12T14:30:04.425331Z,46,0,0,174,Olsen,0.0,442,0,0,0.0,100.0,382,0.0,0.0,0.0,,62,0.00,0.0,461,60,0,0.1,0,0.0,436,0,0.0,2114,0,0.0,0.5,,0,0.00,0.00,a,60,21,0,0.00,0.0,0.0,442,0,0,370,0.0,60,0.0,0,60,0.0,0,0.0,0.0,0,0,50.0,,874,0,431,48,0,False,0,-0.5,
52,Pau Torres,45,DEF,Aston Villa,193,54129,,176,0,0,45816,Pau,0.01,179,180,0,0.7,,420,0.0,1.5,1.5,,58,0.02,1.5,151,26,0,1.7,0,0.0,88,0,4.0,28204,20,1.66,2.0,,0,0.00,0.02,a,60,106,0,3.33,2.9,1.0,185,2,0,429,37.6,61,0.3,3,65,0.0,0,0.0,0.01,0,1,,,17842,0,226,69,3,False,0,0.5,
53,Jacob Ramsey,55,MID,Aston Villa,81,8720,,39,0,0,5153,Ramsey,0.39,119,53,0,0.9,,63,0.15,3.4,2.5,,95,0.14,2.5,295,61,0,0.3,0,0.0,149,0,8.0,8528,25,2.85,3.0,,1,0.09,0.23,a,52,77,0,1.68,23.7,0.0,120,0,0,125,25.6,53,0.5,2,57,0.0,0,30.0,0.24,0,1,,,5528,0,87,67,5,False,0,1.5,
54,Morgan Rogers,51,MID,Aston Villa,53,572214,,35,-1,0,517685,Rogers,0.24,151,180,0,0.8,,59,0.16,1.5,2.0,,10,0.15,2.0,26,44,0,13.3,1,0.0,113,0,11.0,120112,30,1.66,2.5,,0,0.32,0.47,a,78,115,0,3.33,46.7,1.0,156,2,-1,182,32.2,81,0.4,3,37,0.0,1,31.0,0.08,0,2,,,73948,0,39,33,4,False,0,1.0,
55,Viljami Sinisalo,40,GKP,Aston Villa,374,0,2024-07-18T09:43:21.242291Z,18,0,0,0,Sinisalo,0.0,370,0,0,0.0,0.0,296,0.0,0.0,0.0,,67,0.00,0.0,635,39,0,0.0,0,0.0,366,0,0.0,24,0,0.0,0.0,Permanent transfer to Celtic,0,0.00,0.00,u,38,56,0,0.00,0.0,0.0,370,0,0,600,0.0,38,0.0,0,39,0.0,0,0.0,0.0,0,0,0.0,,11,0,354,20,0,False,0,0.0,
56,Lino da Cruz Sousa,40,DEF,Aston Villa,397,0,2024-08-16T11:50:34.812830Z,111,0,0,0,Sousa,0.0,394,0,0,0.0,0.0,320,0.0,0.0,0.0,,149,0.00,0.0,403,138,0,0.1,0,0.0,389,0,0.0,10328,0,0.0,0.0,Loaned to  Bristol Rovers,0,0.00,0.00,u,134,197,0,0.00,0.0,0.0,394,0,0,626,0.0,134,0.0,0,138,0.0,0,0.0,0.0,0,0,0.0,,2721,0,377,137,0,False,0,0.0,
57,Youri Tielemans,55,MID,Aston Villa,42,60492,,119,0,0,32264,Tielemans,0.23,60,180,0,1.6,,210,0.09,1.5,4.5,,58,0.28,4.5,176,19,0,1.2,0,0.0,37,0,12.5,26196,41,1.66,5.0,,1,0.18,0.46,a,30,69,0,3.33,67.6,1.0,63,2,0,114,53.4,31,0.8,3,30,0.0,0,4.0,0.14,0,2,,2.0,17894,0,18,16,9,False,2,3.5,
58,Ollie Watkins,90,FWD,Aston Villa,147,285722,,18,0,0,238619,Watkins,0.63,162,125,0,0.4,,77,0.63,0.72,2.0,,3,0.00,2.0,10,26,0,29.0,0,0.72,288,0,5.1,827242,2,1.18,2.5,,0,0.87,0.87,a,19,2,1,1.64,21.5,1.44,168,2,0,8,3.2,20,0.2,1,17,0.0,0,27.0,0.0,0,2,,,465121,0,94,11,4,False,0,1.0,2.0
