Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
34,United Parcel Service,Transportation,"97,287",15.0%,"400,945","Atlanta, Georgia"
35,Lowe's,Retail,"96,250",7.4%,"270,000","Mooresville, North Carolina"
36,Bank of America,Financials,"93,851",0.1%,"208,248","Charlotte, North Carolina"
37,Johnson & Johnson,Pharmaceutical industry,"93,775",13.6%,"141,700","New Brunswick, New Jersey"
38,Archer Daniels Midland,Food industry,"85,959",32.5%,"39,979","Chicago, Illinois"
39,FedEx,Transportation,"83,959",21.3%,"484,000","Memphis, Tennessee"
40,Humana,Health Insurance,"83,064",7.7%,"95,500","Louisville, Kentucky"
41,Wells Fargo,Financials,"82,407",2.6%,"247,848","San Francisco, California"
42,State Farm,Financials,"82,407",4.2%,"53,586","Bloomington, Illinois"
43,Pfizer,Pharmaceutical industry,"81,288",94.0%,"79,000","New York City, New York"
44,Citigroup,Financials,"79,865",10.1%,"221,768","New York City, New York"
45,PepsiCo,Beverage,"79,474",12.9%,"309,000","Purchase, New York"
46,Intel,Technology,"79,024",1.5%,"121,100","Santa Clara, California"
47,Procter & Gamble,Consumer products Manufacturing,"76,118",7.3%,"101,000","Cincinnati, Ohio"
48,General Electric,Conglomerate,"74,196",6.8%,"168,000","Boston, Massachusetts"
49,IBM,Technology,"72,344",1.7%,"297,800","Armonk, New York"
50,MetLife,Financials,"71,080",4.8%,"43,000","New York City, New York"
51,Prudential Financial,Financials,"70,934",24.4%,"40,916","Newark, New Jersey"
52,Albertsons,Retail,"69,690",11.6%,"300,000","Boise, Idaho"
53,The Walt Disney Company,Media,"67,418",3.1%,"171,000","Burbank, California"
54,Energy Transfer Partners,Petroleum industry,"67,418",73.1%,"12,558","Dallas, Texas"
55,Lockheed Martin,Aerospace and Defense,"67,044",2.5%,"114,000","Bethesda, Maryland"
56,Freddie Mac,Financials,"65,898",0.5%,"7,301","McLean, Virginia"
57,Goldman Sachs,Financials,"64,989",2.7%,"43,900","New York City, New York"
58,Raytheon Technologies,Conglomerate,"64,388",13.8%,"174,000","Waltham, Massachusetts"
59,HP,Technology,"63,487",12.1%,"51,000","Palo Alto, California"
60,Boeing,Aerospace and defense,"62,286",7.1%,"142,000","Chicago, Illinois"
61,Morgan Stanley,Financials,"61,121",17.4%,"74,814","New York City, New York"
62,HCA Healthcare,Healthcare,"58,752",14.0%,"244,000","Nashville, Tennessee"
63,AbbVie,Pharmaceutical industry,"56,197",22.7%,"50,000","Lake Bluff, Illinois"
64,Dow Chemical Company,Chemical industry,"54,968",42.6%,"35,700","Midland, Michigan"
65,Tesla,Automotive and Energy,"53,823",70.7%,"99,290","Austin, Texas"
66,Allstate,Insurance,"53,228",18.8%,"54,500","Northfield Township, Cook County, Illinois"
67,AIG,Insurance,"52,057",19.0%,"36,600","New York City, New York"
68,Best Buy,Retail,"51,761",9.5%,"81,375","Richfield, Minnesota"
69,Charter Communications,Telecommunications,"51,682",7.5%,"93,700","Stamford, Connecticut"
70,Sysco,Food Service,"51,298",3.0%,"57,710","Houston, Texas"
71,Merck & Co.,Pharmaceutical industry,"51,216",6.7%,"67,500","Kenilworth, New Jersey"
72,New York Life Insurance Company,Insurance,"51,199",9.6%,"13,344","New York City, New York"
73,Novartis,Pharmaceuticals,"51,332",6.0%,"110,000","Cambridge, Massachusetts"
74,Caterpillar,Machinery,"50,971",22.1%,"107,700","Deerfield, Illinois"
75,Cisco,Telecom Hardware Manufacturing,"49,818",1.0%,"79,500","San Jose, California"
76,TJX,Retail,"48,550",51.1%,"340,000","Framingham, Massachusetts"
77,Publix,Retail,"48,394",7.1%,"232,000","Lakeland, Florida"
78,ConocoPhillips,Petroleum industry,"48,349",151.1%,"9,900","Houston, Texas"
79,Liberty Mutual Group,Insurance,"48,200",10.1%,"45,000","Boston, Massachusetts"
80,Progressive Corporation,Insurance,"47,702",11.8%,"49,077","Mayfield Village, Ohio"
81,Nationwide Mutual Insurance Company,Financial,"47,376",13.0%,"24,134","Columbus, Ohio"
82,Tyson Foods,Food Processing,"47,049",8.9%,"137,000","Springdale, Arkansas"
83,Bristol-Myers Squibb,Pharmaceutical industry,"46,385",9.1%,"32,200","New York City, New York"
84,GSK plc,Pharmaceuticals,"44,700",3.0%,"97,000","Philadelphia, Pennsylvania"
85,Nike,Apparel,"44,538",19.1%,"73,300","Beaverton, Oregon"
86,John Deere,Agriculture manufacturing,"44,024",23.9%,"75,550","Moline, Illinois"
87,American Express,Financial,"43,663",14.3%,"64,000","New York City, New York"
88,Abbott Laboratories,Medical devices,"43,075",24.5%,"113,000","Chicago, Illinois"
89,StoneX Group,Financials,"42,534",21.4%,"3,242","New York City, New York"
90,Plains All American Pipeline,Petroleum industry,"42,078",80.7%,"4,100","Houston, Texas"
91,Enterprise Products,Petroleum industry,"40,807",50.0%,"6,911","Houston, Texas"
92,TIAA,Insurance,"40,526",2.6%,"15,065","New York City, New York"
93,Oracle Corporation,Software,"40,479",3.6%,"132,000","Austin, Texas"
94,Thermo Fisher Scientific,Laboratory instruments,"39,211",21.7%,"129,000","Waltham, Massachusetts"
95,Coca-Cola Company,Beverages,"38,655",17.1%,"79,000","Atlanta, Georgia"
96,General Dynamics,Airspace and defense,"38,469",8.7%,"103,100","Reston, Virginia"
97,CHS,Agriculture cooperative,"38,448",1.4%,"9,941","Inver Grove Heights, Minnesota"
98,USAA,Financials,"37,470",3.2%,"37,335","San Antonio, Texas"
99,Northwestern Mutual,Insurance,"36,751",8.8%,"7,585","Milwaukee, Wisconsin"
100,Nucor,Metals,"36,484",81.2%,"28,800","Charlotte, North Carolina"
