Name,Action,2018/19,2019/20,2020/21,2021/22,2022/23,May2023/24
European_Union,export,"2,411","1,459","1,278","1,218",913,905
European_Union,import,"2,374","2,235","1,792","1,999","3,000","2,500"
European_Union,production,"16,750","17,040","15,216","16,497","14,899","15,475"
Guatemala,export,"2,125","1,858","1,395","1,651","1,657","1,662"
Guatemala,production,"2,966","2,764","2,565","2,575","2,558","2,575"
India,consumption,"27,500","27,000","28,000","29,000","29,500","31,000"
India,ending,"17,614","14,614","13,213","9,506","6,506","5,506"
India,export,"4,700","5,800","8,406","11,927","6,500","7,000"
India,import,"1,300",900,"1,245",340,"1,000","1,000"
India,production,"34,300","28,900","33,760","36,880","32,000","36,000"
Indonesia,consumption,"7,055","7,356","7,445","7,600","7,800","7,900"
Indonesia,ending,"2,300","1,941","2,653","2,370","2,330","2,210"
Indonesia,export,0,11,97,449,440,450
Indonesia,import,"5,362","4,758","6,124","5,466","5,800","5,630"
Indonesia,production,"2,200","2,250","2,130","2,300","2,400","2,600"
Iran,consumption,"2,450","2,176","2,821","2,613","2,554","2,590"
Iran,ending,485,430,565,525,510,520
Iran,import,935,"1,111","1,421",973,989,"1,000"
Iran,production,"1,520","1,010","1,535","1,600","1,550","1,600"
Iraq,import,"1,180","1,196","1,107","1,278","1,315","1,370"
Japan,consumption,"1,980","1,965","1,883","1,827","1,870","1,910"
Japan,ending,495,495,475,460,475,500
Japan,import,"1,187","1,142","1,051","1,004","1,077","1,127"
Japan,production,780,825,815,810,810,810
Kazakhstan,import,345,482,478,483,580,625
Korea_South,consumption,"1,668","1,623","1,614","1,688","1,690","1,740"
Korea_South,ending,415,405,405,420,420,425
Korea_South,export,306,313,320,280,260,280
Korea_South,import,"1,999","1,926","1,934","1,983","1,950","2,025"
Malaysia,consumption,"1,991","1,877","1,823","1,675","1,785","2,000"
Malaysia,ending,395,375,365,335,360,400
Malaysia,export,123,109,329,316,290,300
Malaysia,import,"2,139","1,966","2,142","1,961","2,100","2,340"
Mauritius,export,347,396,369,324,335,335
Mexico,consumption,"4,317","4,349","4,171","4,342","4,330","4,414"
Mexico,ending,"1,239",910,"1,116","1,022",943,951
Mexico,export,"2,337","1,285","1,235","1,777","1,134","1,376"
Mexico,production,"6,812","5,596","6,058","6,556","5,708","6,254"
Morocco,export,497,664,681,782,775,780
Morocco,import,"1,100","1,328","1,407","1,531","1,503","1,603"
Nicaragua,export,534,497,508,526,470,526
Nigeria,consumption,"1,610","1,620","1,610","1,600","1,620","1,600"
Nigeria,export,300,300,300,350,350,355
Nigeria,import,"1,870","1,890","1,880","1,930","1,950","1,930"
Other,consumption,"34,584","33,063","33,139","32,314","33,097","33,709"
Other,ending,"6,578","6,050","6,209","5,979","6,030","6,099"
Other,export,"5,011","4,735","4,492","3,696","4,014","3,706"
Other,import,"12,962","12,537","12,422","12,088","12,177","11,653"
Other,production,"15,082","14,625","13,802","13,598","13,621","13,603"
Pakistan,consumption,"5,400","5,540","5,750","6,000","6,150","6,300"
Pakistan,ending,"1,920","1,685","2,752","3,812","3,522","3,532"
Pakistan,export,"1,100",75,0,500,"1,000",800
Pakistan,production,"5,270","5,340","6,505","7,560","6,860","7,110"
Peru,production,"1,262","1,197","1,197","1,260","1,320","1,300"
Philippines,consumption,"2,300","2,300","2,275","2,300","2,000","2,200"
Philippines,ending,"1,234","1,289","1,196",931,"1,461","1,358"
Philippines,production,"2,100","2,150","2,143","1,800","1,830","1,900"
Russia,consumption,"6,110","6,820","5,804","6,350","6,500","6,450"
Russia,ending,550,609,565,624,992,557
Russia,export,402,"1,505",429,431,601,551
Russia,production,"6,080","7,800","5,625","6,000","7,184","6,336"
Saudi_Arabia,export,353,429,370,583,700,750
Saudi_Arabia,import,"1,342","1,420","1,488","1,517","1,720","1,950"
Somalia,import,738,877,821,879,885,925
South_Africa,consumption,"1,770","1,520","1,670","1,710","1,750","1,776"
South_Africa,export,"1,041","1,451","1,007",595,635,650
South_Africa,production,"2,257","2,295","2,106","1,906","1,994","2,174"
Sudan,consumption,"1,627","1,958","1,589","1,729","1,789","1,844"
Sudan,ending,325,395,320,345,360,370
Sudan,import,"1,042","1,528","1,219","1,254","1,304","1,354"
Thailand,consumption,"2,480","2,360","2,350","3,000","3,100","3,210"
Thailand,ending,"8,330","7,569","9,067","9,212","6,152","2,142"
Thailand,export,"10,612","6,695","3,739","7,012","11,000","12,000"
Thailand,production,"14,581","8,294","7,587","10,157","11,040","11,200"
Total,consumption,"171,994","171,252","171,498","173,661","176,007","180,045"
Total,ending,"52,827","47,652","50,239","47,372","39,465","33,455"
Total,export,"58,271","53,536","63,925","64,955","66,085","72,104"
Total,import,"53,161","53,735","58,704","56,105","57,527","59,012"
Total,production,"179,158","166,559","180,114","180,583","177,279","187,881"
Turkey,consumption,"2,784","2,999","2,914","3,020","3,400","3,400"
Turkey,production,"2,700","2,750","3,100","2,650","3,000","3,000"
Ukraine,ending,58,273,369,504,119,313
Ukraine,production,"1,753","1,638","1,240","1,450","1,330","1,510"
United_Arab_Emirates,export,209,187,792,909,940,960
United_Arab_Emirates,import,"1,579",751,"1,785","1,563","1,750","1,875"
United_Kingdom,production,"1,133","1,191",985,"1,025","1,040","1,050"
United_States,consumption,"10,982","11,109","11,032","11,314","11,498","11,499"
United_States,ending,"1,618","1,468","1,547","1,652","1,573","1,310"
United_States,import,"2,785","3,778","2,922","3,308","3,126","2,994"
United_States,production,"8,164","7,392","8,376","8,307","8,420","8,369"
Vietnam,consumption,"1,597","2,064","2,074","2,269","2,439","2,529"
Vietnam,ending,320,415,415,455,485,505
Vietnam,import,303,"1,312","1,325","1,490","1,520","1,575"
Vietnam,production,"1,300",850,750,820,950,975
Yemen,import,667,770,941,466,775,875
Zimbabwe,ending,36,60,82,186,295,406
