Competitions,Rank,NOC,Gold,Silver,Bronze,Total
Boxing,5, Algeria,1,0,0,1
Boxing,6, Ireland,1,0,0,1
Boxing,7, Ukraine,1,0,0,1
Boxing,8, France*,0,2,1,3
Boxing,9, Turkey,0,2,1,3
Boxing,10, Kazakhstan,0,1,1,2
Boxing,11, Spain,0,1,1,2
Boxing,12, Azerbaijan,0,1,0,1
Boxing,13, Kyrgyzstan,0,1,0,1
Boxing,14, Mexico,0,1,0,1
Boxing,15, Panama,0,1,0,1
Boxing,16, Poland,0,1,0,1
Boxing,17, Australia,0,0,2,2
Boxing,18, Dominican Republic,0,0,2,2
Boxing,19, Philippines,0,0,2,2
Boxing,20, Brazil,0,0,1,1
Boxing,21, Bulgaria,0,0,1,1
Boxing,22, Canada,0,0,1,1
Boxing,23, Cape Verde,0,0,1,1
Boxing,24, Georgia,0,0,1,1
Boxing,25, Germany,0,0,1,1
Boxing,26, Great Britain,0,0,1,1
Boxing,27, North Korea,0,0,1,1
Boxing,28, Refugee Olympic Team,0,0,1,1
Boxing,29, South Korea,0,0,1,1
Boxing,30, Tajikistan,0,0,1,1
Boxing,31, Thailand,0,0,1,1
Boxing,32, United States,0,0,1,1
Breaking,1, Canada,1,0,0,1
Breaking,2, Japan,1,0,0,1
Breaking,3, France*,0,1,0,1
Breaking,4, Lithuania,0,1,0,1
Breaking,5, China,0,0,1,1
Breaking,6, United States,0,0,1,1
Canoeing,1, New Zealand,4,0,0,4
Canoeing,2, Australia,3,1,1,5
Canoeing,3, Germany,2,2,2,6
Canoeing,4, China,2,0,0,2
Canoeing,5, Czech Republic,2,0,0,2
Canoeing,6, France*,1,2,0,3
Canoeing,7, Italy,1,1,0,2
Canoeing,8, Canada,1,0,1,2
Canoeing,9, Hungary,0,4,3,7
Canoeing,10, Great Britain,0,2,2,4
Canoeing,11, United States,0,1,1,2
Canoeing,12, Brazil,0,1,0,1
Canoeing,13, Poland,0,1,0,1
Canoeing,14, Ukraine,0,1,0,1
Canoeing,15, Spain,0,0,3,3
Canoeing,16, Cuba,0,0,1,1
Canoeing,17, Denmark,0,0,1,1
Canoeing,18, Moldova,0,0,1,1
Canoeing,19, Slovakia,0,0,1,1
Cycling,1, France*,3,3,3,9
Cycling,2, Netherlands,3,3,1,7
Cycling,3, Australia,3,2,3,8
Cycling,4, United States,3,2,1,6
Cycling,5, Great Britain,2,5,4,11
Cycling,6, New Zealand,2,2,1,5
Cycling,7, Belgium,2,0,3,5
Cycling,8, Italy,1,2,1,4
Cycling,9, Portugal,1,1,0,2
Cycling,10, Argentina,1,0,0,1
Cycling,11, China,1,0,0,1
Cycling,12, Germany,0,1,1,2
Cycling,13, Poland,0,1,0,1
Cycling,14, Denmark,0,0,1,1
Cycling,15, South Africa,0,0,1,1
Cycling,16, Sweden,0,0,1,1
Cycling,17, Switzerland,0,0,1,1
Diving,1, China,8,2,1,11
Diving,2, Great Britain,0,1,4,5
Diving,3, Mexico,0,1,1,2
Diving,4, North Korea,0,1,1,2
Diving,5, Australia,0,1,0,1
Diving,6, Japan,0,1,0,1
Diving,7, United States,0,1,0,1
Diving,8, Canada,0,0,1,1
Equestrian,1, Germany,4,1,0,5
Equestrian,2, Great Britain,2,0,3,5
Equestrian,3, France*,0,1,1,2
Equestrian,4, Australia,0,1,0,1
Equestrian,5, Denmark,0,1,0,1
Equestrian,6, Switzerland,0,1,0,1
Equestrian,7, United States,0,1,0,1
Equestrian,8, Japan,0,0,1,1
Equestrian,9, Netherlands,0,0,1,1
Fencing,1, Japan,2,1,2,5
Fencing,2, United States,2,1,1,4
Fencing,3, South Korea,2,1,0,3
Fencing,4, Hong Kong,2,0,0,2
Fencing,5, France*,1,4,2,7
Fencing,6, Italy,1,3,1,5
Fencing,7, Hungary,1,1,1,3
Fencing,8, Ukraine,1,0,1,2
Fencing,9, Tunisia,0,1,0,1
Fencing,10, Canada,0,0,1,1
Fencing,11, Czech Republic,0,0,1,1
Fencing,12, Egypt,0,0,1,1
Fencing,13, Poland,0,0,1,1
Field hockey,1, Netherlands,2,0,0,2
Field hockey,2, China,0,1,0,1
Field hockey,3, Germany,0,1,0,1
Field hockey,4, Argentina,0,0,1,1
Field hockey,5, India,0,0,1,1
Football,1, Spain,1,0,0,1
Football,2, United States,1,0,0,1
Football,3, Brazil,0,1,0,1
Football,4, France*,0,1,0,1
Football,5, Germany,0,0,1,1
Football,6, Morocco,0,0,1,1
Golf,1, New Zealand,1,0,0,1
Golf,2, United States,1,0,0,1
Golf,3, Germany,0,1,0,1
Golf,4, Great Britain,0,1,0,1
Golf,5, China,0,0,1,1
Golf,6, Japan,0,0,1,1
Gymnastics,1, China,3,6,3,12
Gymnastics,2, United States,3,1,5,9
Gymnastics,3, Japan,3,0,1,4
Gymnastics,4, Philippines,2,0,0,2
Gymnastics,5, Brazil,1,2,1,4
Gymnastics,6, Italy,1,1,3,5
Gymnastics,–, Individual Neutral Athletes,1,1,0,2
Gymnastics,7, Great Britain,1,0,2,3
Gymnastics,8, Algeria,1,0,0,1
Gymnastics,9, Germany,1,0,0,1
Gymnastics,10, Ireland,1,0,0,1
Gymnastics,11, Israel,0,2,0,2
Gymnastics,12, Armenia,0,1,0,1
Gymnastics,13, Bulgaria,0,1,0,1
Gymnastics,14, Colombia,0,1,0,1
Gymnastics,15, Kazakhstan,0,1,0,1
Gymnastics,16, Ukraine,0,1,0,1
Gymnastics,17, Canada,0,0,1,1
Gymnastics,18, Chinese Taipei,0,0,1,1
Gymnastics,19, Greece,0,0,1,1
Gymnastics,20, Romania,0,0,1,1
Handball,1, Denmark,1,0,1,2
Handball,2, Norway,1,0,0,1
Handball,3, France*,0,1,0,1
Handball,4, Germany,0,1,0,1
Handball,5, Spain,0,0,1,1
Judo,1, Japan,3,2,3,8
Judo,2, France*,2,2,6,10
Judo,3, Azerbaijan,2,0,0,2
Judo,4, Georgia,1,2,0,3
Judo,5, Brazil,1,1,2,4
Judo,6, Uzbekistan,1,0,2,3
Judo,7, Kazakhstan,1,0,1,2
Judo,8, Canada,1,0,0,1
Judo,9, Croatia,1,0,0,1
Judo,10, Italy,1,0,0,1
Judo,11, Slovenia,1,0,0,1
Judo,12, South Korea,0,2,3,5
Judo,13, Israel,0,2,1,3
Judo,14, Kosovo,0,1,1,2
Judo,15, Germany,0,1,0,1
Judo,16, Mexico,0,1,0,1
Judo,17, Mongolia,0,1,0,1
Judo,18, Moldova,0,0,2,2
Judo,19, Tajikistan,0,0,2,2
Judo,20, Austria,0,0,1,1
Judo,21, Belgium,0,0,1,1
Judo,22, China,0,0,1,1
Judo,23, Greece,0,0,1,1
Judo,24, Portugal,0,0,1,1
Judo,25, Spain,0,0,1,1
Judo,26, Sweden,0,0,1,1
Modern pentathlon,1, Egypt,1,0,0,1
Modern pentathlon,2, Hungary,1,0,0,1
Modern pentathlon,3, France*,0,1,0,1
Modern pentathlon,4, Japan,0,1,0,1
Modern pentathlon,5, Italy,0,0,1,1
Modern pentathlon,6, South Korea,0,0,1,1
Rowing,1, Netherlands,4,3,1,8
Rowing,2, Great Britain,3,2,3,8
Rowing,3, Romania,2,3,0,5
Rowing,4, New Zealand,1,2,1,4
Rowing,5, Germany,1,0,1,2
Rowing,6, Ireland,1,0,1,2
Rowing,7, United States,1,0,1,2
Rowing,8, Croatia,1,0,0,1
Rowing,9, Italy,0,2,0,2
Rowing,10, Canada,0,1,0,1
Rowing,11, Individual Neutral Athletes[A],0,1,0,1
Rowing,12, Greece,0,0,2,2
Rowing,13, Australia,0,0,1,1
Rowing,14, Lithuania,0,0,1,1
Rowing,15, Poland,0,0,1,1
Rowing,16, Switzerland,0,0,1,1
Rugby sevens,1, France*,1,0,0,1
Rugby sevens,2, New Zealand,1,0,0,1
Rugby sevens,3, Canada,0,1,0,1
Rugby sevens,4, Fiji,0,1,0,1
Rugby sevens,5, South Africa,0,0,1,1
Rugby sevens,6, United States,0,0,1,1
Sailing,1, Netherlands,2,0,2,4
Sailing,2, Austria,2,0,0,2
Sailing,3, Italy,2,0,0,2
Sailing,4, Australia,1,1,0,2
Sailing,5, Israel,1,1,0,2
Sailing,6, Great Britain,1,0,1,2
Sailing,7, Spain,1,0,0,1
Sailing,8, France*,0,1,1,2
Sailing,9, New Zealand,0,1,1,2
Sailing,10, Sweden,0,1,1,2
Sailing,11, Argentina,0,1,0,1
Sailing,12, Cyprus,0,1,0,1
Sailing,13, Denmark,0,1,0,1
Sailing,14, Japan,0,1,0,1
Sailing,15, Slovenia,0,1,0,1
Sailing,16, Norway,0,0,1,1
Sailing,17, Peru,0,0,1,1
Sailing,18, Singapore,0,0,1,1
Sailing,19, United States,0,0,1,1
Shooting,1, China,5,2,3,10
Shooting,2, South Korea,3,3,0,6
Shooting,3, United States,1,3,1,5
Shooting,4, Italy,1,2,1,4
Shooting,5, Great Britain,1,1,0,2
Shooting,6, Guatemala,1,0,1,2
Shooting,7, Switzerland,1,0,1,2
Shooting,8, Chile,1,0,0,1
Shooting,9, Serbia,1,0,0,1
Shooting,10, France*,0,1,0,1
Shooting,11, Sweden,0,1,0,1
Shooting,12, Turkey,0,1,0,1
Shooting,13, Ukraine,0,1,0,1
Shooting,14, India,0,0,3,3
Shooting,15, Australia,0,0,1,1
Shooting,16, Chinese Taipei,0,0,1,1
Shooting,17, Croatia,0,0,1,1
Shooting,18, Hungary,0,0,1,1
Shooting,19, Kazakhstan,0,0,1,1
Skateboarding,1, Japan,2,2,0,4
Skateboarding,2, Australia,2,0,0,2
Skateboarding,3, United States,0,2,1,3
Skateboarding,4, Brazil,0,0,2,2
Skateboarding,5, Great Britain,0,0,1,1
Sport climbing,1, Poland,1,0,1,2
Sport climbing,2, Great Britain,1,0,0,1
Sport climbing,3, Indonesia,1,0,0,1
Sport climbing,4, Slovenia,1,0,0,1
Sport climbing,5, China,0,2,0,2
Sport climbing,6, United States,0,1,1,2
Sport climbing,7, Japan,0,1,0,1
Sport climbing,8, Austria,0,0,2,2
Surfing,1, France*,1,0,1,2
Surfing,2, United States,1,0,0,1
Surfing,3, Brazil,0,1,1,2
Surfing,4, Australia,0,1,0,1
Swimming,1, United States,8,13,7,28
Swimming,2, Australia,7,9,3,19
Swimming,3, France*,4,1,2,7
Swimming,4, Canada,3,2,3,8
Swimming,5, Hungary,3,1,1,5
Swimming,6, China,2,3,7,12
Swimming,7, Italy,2,1,3,6
Swimming,8, Sweden,2,0,0,2
Swimming,9, Great Britain,1,4,0,5
Swimming,10, Germany,1,1,1,3
Swimming,11, South Africa,1,1,0,2
Swimming,12, Ireland,1,0,2,3
Swimming,13, Netherlands,1,0,2,3
Swimming,14, Romania,1,0,1,2
Swimming,15, Greece,0,1,0,1
Swimming,16, Japan,0,1,0,1
Swimming,17, Hong Kong,0,0,2,2
Swimming,18, South Korea,0,0,1,1
Swimming,19, Switzerland,0,0,1,1
Table tennis,1, China,5,1,0,6
Table tennis,2, Sweden,0,2,0,2
Table tennis,3, Japan,0,1,1,2
Table tennis,4, North Korea,0,1,0,1
Table tennis,5, France*,0,0,2,2
Table tennis,6, South Korea,0,0,2,2
Taekwondo,1, South Korea,2,0,1,3
Taekwondo,2, Iran,1,2,1,4
Taekwondo,3, Uzbekistan,1,1,0,2
Taekwondo,4, France*,1,0,1,2
Taekwondo,5, Tunisia,1,0,1,2
Taekwondo,6, Hungary,1,0,0,1
Taekwondo,7, Thailand,1,0,0,1
Taekwondo,8, China,0,1,1,2
Taekwondo,9, Azerbaijan,0,1,0,1
Taekwondo,10, Great Britain,0,1,0,1
Taekwondo,11, Jordan,0,1,0,1
Taekwondo,12, Serbia,0,1,0,1
Taekwondo,13, Belgium,0,0,1,1
Taekwondo,14, Brazil,0,0,1,1
Taekwondo,15, Bulgaria,0,0,1,1
Taekwondo,16, Canada,0,0,1,1
Taekwondo,17, Croatia,0,0,1,1
Taekwondo,18, Cuba,0,0,1,1
Taekwondo,19, Denmark,0,0,1,1
Taekwondo,20, Italy,0,0,1,1
Taekwondo,21, Ivory Coast,0,0,1,1
Taekwondo,22, Turkey,0,0,1,1
Taekwondo,23, United States,0,0,1,1
Tennis,1, China,1,1,0,2
Tennis,2, Italy,1,0,1,2
Tennis,3, Australia,1,0,0,1
Tennis,4, Czech Republic,1,0,0,1
Tennis,5, Serbia,1,0,0,1
Tennis,6, Spain,0,1,1,2
Tennis,7, United States,0,1,1,2
Tennis,8, Croatia,0,1,0,1
Tennis,9, Individual Neutral Athletes,0,1,0,1
Tennis,10, Canada,0,0,1,1
Tennis,11, Poland,0,0,1,1
Triathlon,1, Great Britain,1,0,2,3
Triathlon,2, France*,1,0,1,2
Triathlon,3, Germany,1,0,0,1
Triathlon,4, New Zealand,0,1,0,1
Triathlon,5, Switzerland,0,1,0,1
Triathlon,6, United States,0,1,0,1
Volleyball,1, Brazil,1,0,1,2
Volleyball,2, France*,1,0,0,1
Volleyball,3, Italy,1,0,0,1
Volleyball,4, Sweden,1,0,0,1
Volleyball,5, United States,0,1,1,2
Volleyball,6, Canada,0,1,0,1
Volleyball,7, Germany,0,1,0,1
Volleyball,8, Poland,0,1,0,1
Volleyball,9, Norway,0,0,1,1
Volleyball,10, Switzerland,0,0,1,1
Water polo,1, Serbia,1,0,0,1
Water polo,2, Spain,1,0,0,1
Water polo,3, Australia,0,1,0,1
Water polo,4, Croatia,0,1,0,1
Water polo,5, Netherlands,0,0,1,1
Water polo,6, United States,0,0,1,1
Weightlifting,1, China,5,0,0,5
Weightlifting,2, Bulgaria,1,0,1,2
Weightlifting,3, United States,1,0,1,2
Weightlifting,4, Georgia,1,0,0,1
Weightlifting,5, Indonesia,1,0,0,1
Weightlifting,6, Norway,1,0,0,1
Weightlifting,7, Thailand,0,2,1,3
Weightlifting,8, Colombia,0,2,0,2
Weightlifting,9, Armenia,0,1,0,1
Weightlifting,10, Canada,0,1,0,1
Weightlifting,11, Egypt,0,1,0,1
Weightlifting,12, Romania,0,1,0,1
Weightlifting,13, South Korea,0,1,0,1
Weightlifting,14, Uzbekistan,0,1,0,1
Weightlifting,15, Ecuador,0,0,2,2
Weightlifting,16, Bahrain,0,0,1,1
Weightlifting,17, Chinese Taipei,0,0,1,1
Weightlifting,18, Great Britain,0,0,1,1
Weightlifting,19, Italy,0,0,1,1
Weightlifting,20, Individual Neutral Athletes,0,0,1,1
Wrestling,1, Japan,8,1,2,11
Wrestling,2, Iran,2,4,2,8
Wrestling,3, United States,2,2,3,7
Wrestling,4, Bulgaria,2,0,0,2
Wrestling,5, Cuba,1,1,3,5
Wrestling,6, Georgia,1,1,0,2
Wrestling,7, Uzbekistan,1,0,1,2
Wrestling,8, Bahrain,1,0,0,1
Wrestling,9, Ukraine,0,2,1,3
Wrestling,10, China,0,1,4,5
Wrestling,11, Kyrgyzstan,0,1,4,5
Wrestling,12, Armenia,0,1,1,2
Wrestling,13, Chile,0,1,0,1
Wrestling,14, Ecuador,0,1,0,1
Wrestling,15, Kazakhstan,0,1,0,1
Wrestling,16, Moldova,0,1,0,1
Wrestling,17, Azerbaijan,0,0,3,3
Wrestling,18, Albania,0,0,2,2
Wrestling,19, North Korea,0,0,2,2
Wrestling,20, Turkey,0,0,2,2
Wrestling,21, Colombia,0,0,1,1
Wrestling,22, Denmark,0,0,1,1
Wrestling,23, Greece,0,0,1,1
Wrestling,24, India,0,0,1,1
Wrestling,25, Norway,0,0,1,1
Wrestling,26, Puerto Rico,0,0,1,1
