,Artificial object,Country,Year,Mass (lb),Mass (kg),Status,Location
34,Apollo 12 LM-6 Intrepid ascent stage[c],United States,1969,4771,2164,Crashed (post-mission),3°56′S 21°12′W﻿ / ﻿3.94°S 21.20°W
35,Luna 16 descent stage[d],Soviet Union,1970,3040,1380,Landed,0°41′S 56°18′E﻿ / ﻿0.68°S 56.3°E
36,Luna 17 and Lunokhod 1,Soviet Union,1970,12300,5600,Landed,38°17′N 35°00′W﻿ / ﻿38.28°N 35.0°W
37,Apollo 13 S-IVB (S-IVB-508)[41],United States,1970,29661,13454,Intentionally crashed,2°45′S 27°52′W﻿ / ﻿2.75°S 27.86°W
38,Luna 18,Soviet Union,1971,4140,1880,Crashed,3°34′N 56°30′E﻿ / ﻿3.57°N 56.5°E
39,Luna 19,Soviet Union,1971,4140,1880,Crashed,Unknown[a]
40,Apollo 14 S-IVB (S-IVB-509),United States,1971,30900,14016,Intentionally crashed,8°05′S 26°01′W﻿ / ﻿8.09°S 26.02°W
41,Apollo 14 LM-8 Antares descent stage,United States,1971,4727,2144,Landed,3°38′43″S 17°28′17″W﻿ / ﻿3.6453°S 17.4714°W
42,Apollo 14 LM-8 Antares ascent stage[c],United States,1971,4705,2132,Crashed (post-mission),3°25′S 19°40′W﻿ / ﻿3.42°S 19.67°W
43,Apollo 15 S-IVB (S-IVB-510),United States,1971,30944,14036,Intentionally crashed,1°31′S 11°49′W﻿ / ﻿1.51°S 11.81°W
44,Apollo 15 LM-10 Falcon descent stage,United States,1971,6193,2809,Landed,26°07′56″N 3°38′02″E﻿ / ﻿26.1322°N 3.6339°E
45,Apollo 15 Lunar Roving Vehicle (LRV-1),United States,1971,460,210,Landed,26°05′N 3°40′E﻿ / ﻿26.08°N 3.66°E
46,Apollo 15 LM-10 Falcon ascent stage[c],United States,1971,4700,2132,Crashed (post-mission),26°22′N 0°15′E﻿ / ﻿26.36°N 0.25°E
47,Apollo 15 subsatellite,United States,1971,79,36,Crashed (post-mission),Unknown[a]
48,Luna 20 descent stage[d],Soviet Union,1972,"<12,626","<5,727",Landed,3°34′N 56°30′E﻿ / ﻿3.57°N 56.5°E
49,Apollo 16 S-IVB (S-IVB-511),United States,1972,30869,14002,Intentionally crashed,1°55′16″N 24°37′23″W﻿ / ﻿1.921°N 24.623°W
50,Apollo 16 LM-11 Orion descent stage,United States,1972,6096,2765,Landed,8°58′23″S 15°30′01″E﻿ / ﻿8.9730°S 15.5002°E
51,Apollo 16 Lunar Roving Vehicle (LRV-2),United States,1972,460,210,Landed,8°58′S 15°31′E﻿ / ﻿8.97°S 15.51°E
52,Apollo 16 LM-11 Orion ascent stage[c],United States,1972,4713,2138,Crashed (post-mission),Unknown
53,Apollo 16 subsatellite,United States,1972,79,36,Crashed (post-mission),Unknown[a]
54,Apollo 17 S-IVB (S-IVB-512),United States,1972,30780,13960,Intentionally crashed,4°13′S 12°19′W﻿ / ﻿4.21°S 12.31°W
55,Apollo 17 LM-12 Challenger descent stage,United States,1972,6169,2798,Landed,20°11′27″N 30°46′18″E﻿ / ﻿20.1908°N 30.7717°E
56,Apollo 17 Lunar Roving Vehicle (LRV-3),United States,1972,460,210,Landed,20°10′N 30°46′E﻿ / ﻿20.17°N 30.77°E
57,Apollo 17 LM-12 Challenger ascent stage[c],United States,1972,4740,2150,Crashed (post-mission),19°58′N 30°30′E﻿ / ﻿19.96°N 30.50°E
58,Luna 21 and Lunokhod 2[e],Soviet Union,1973,10690,4850,Landed,25°51′N 30°27′E﻿ / ﻿25.85°N 30.45°E
59,Explorer 49 (RAE-B),United States,1973,723,328,Crashed,Unknown[a]
60,Luna 22,Soviet Union,1974,8800,4000,Crashed,Unknown[a]
61,Luna 23,Soviet Union,1974,12300,5600,Landed,12°45′N 62°12′E﻿ / ﻿12.75°N 62.20°E
62,Luna 24 descent stage[d],Soviet Union,1976,"<12,787","<5,800",Landed,12°45′N 62°12′E﻿ / ﻿12.75°N 62.20°E
63,Hagoromo Hiten[f],Japan,1990,26,12,Crashed (not confirmed),Unknown
64,Hiten,Japan,1993,315,143,Intentionally crashed,34°18′S 55°36′E﻿ / ﻿34.3°S 55.6°E
65,Lunar Prospector,United States,1998,278,126,Intentionally crashed,87°42′S 42°21′E﻿ / ﻿87.7°S 42.35°E
66,SMART-1,European Space Agency,2006,677,307,Intentionally crashed,34°15′43″S 46°11′35″W﻿ / ﻿34.262°S 46.193°W
67,Moon Impact Probe (MIP) Chandrayaan-1,India,2008,77,35,Intentionally crashed,89°46′S 39°24′W﻿ / ﻿89.76°S 39.40°W
68,SELENE Rstar (Okina),Japan,2009,117,53,Crashed,28°12′47″N 159°01′59″W﻿ / ﻿28.213°N 159.033°W
69,Chang'e 1,China,2009,4400,2000,Intentionally crashed,1°30′S 52°22′E﻿ / ﻿1.50°S 52.36°E
70,SELENE (Kaguya) main orbiter,Japan,2009,4374,"1,984[76]",Intentionally crashed,65°30′S 80°30′E﻿ / ﻿65.5°S 80.5°E
71,LCROSS Shepherding Spacecraft,United States,2009,1500,700,Intentionally crashed,84°43′44″S 49°21′36″W﻿ / ﻿84.729°S 49.36°W
72,LCROSS Centaur,United States,2009,5000,2270,Intentionally crashed,84°40′30″S 48°43′30″W﻿ / ﻿84.675°S 48.725°W
73,GRAIL,United States,2012,293,133,Crashed (post-mission),75°37′N 26°38′W﻿ / ﻿75.62°N 26.63°W
74,Chang'e 3 Yutu rover,China,2013,2600,1200,Landed[87],44°07′N 19°31′W﻿ / ﻿44.12°N 19.51°W
75,LADEE,United States,2014,547,248,Intentionally crashed,10°48′N 91°36′W﻿ / ﻿10.8°N 91.6°W
76,Chang'e 4 Yutu-2 rover,China,2019,2600,1200,Operational,45°27′22″S 177°35′19″E﻿ / ﻿45.4561°S 177.5885°E
77,Beresheet,Israel,2019,330,150,Crashed[92][93],32°35′44″N 19°20′59″E﻿ / ﻿32.5956°N 19.3496°E
78,Longjiang-2,China,2019,104,47,Intentionally crashed[94],16°41′44″N 159°31′01″E﻿ / ﻿16.6956°N 159.5170°E
79,Chandrayaan-2 Vikram lander Pragyan rover,India,2019,3243,1471,Crashed[96],70°52′52″S 22°47′02″E﻿ / ﻿70.8810°S 22.7840°E
80,Chang'e 5 descent stage,China,2020,"<18,077","<8,200",Operational,43°05′56″N 51°50′13″W﻿ / ﻿43.099°N 51.837°W
81,Chang'e 5 ascent stage,China,2020,>400,>882,Intentionally crashed,30°00′00″S 0°00′00″E﻿ / ﻿30.000°S 0.000°E
82,Chang'e 5-T1 third stage rocket,China,2022,6100,2800,Crashed (post-mission),5°13′34″N 125°30′50″W﻿ / ﻿5.226°N 125.514°W
83,Manfred Memorial Moon Mission,Luxembourg,2022,31,14,Crashed,5°13′34″N 125°30′50″W﻿ / ﻿5.226°N 125.514°W
84,Hakuto-R Mission 1,Japan,2023,750,340,Crashed,47°34′52″N 44°05′38″E﻿ / ﻿47.581°N 44.094°E
85,Emirates Lunar Mission,United Arab Emirates,2023,750,340,Crashed,47°34′52″N 44°05′38″E﻿ / ﻿47.581°N 44.094°E
86,Luna 25,Russia,2023,3860,1750,Crashed,
87,Chandrayaan-3 Vikram lander Pragyan rover,India,2023,3863,1752,Operational,69°22′01″S 32°20′53″E﻿ / ﻿69.367°S 32.348°E
88,Total estimated dry mass,Total estimated dry mass,Total estimated dry mass,453791,205868,,
