,CompanyName,Rating,Reviews,Salaries,Jobs,Location,Industry,Description
10,J.P. Morgan,4.1,23.5T,7.4T,15,Bengaluru,Investment & Asset Management,"J.P. Morgan is a leader in financial services, offering solutions to clients in more than 100 countries with one of the most comprehensive global product platforms available. We have been helping our clients to do business and manage their wealth for more than 200 years. Our business has been built upon our core principle of putting our clients' interests first. We have been a key player in the economic development of India, with a legacy going back 100 years. After having a presence in India for many years, we established our first representative office in Mumbai in 1945, and J.P. Morgan has been providing first-class service to clients in the country since then. Today, the firm has presence across the country - in Mumbai, Bengaluru, Hyderabad, New Delhi, Chennai, Pune, Ahmedabad and Noida. Our India franchise provides a comprehensive range of services including Corporate and Investment banking, Commercial Banking and Asset & Wealth Management. Our India Corporate Centers provide 24x7 global support for every division of the firm around the world, including Consumer and Community Banking. J.P. Morgan is part of JPMorgan Chase & Co. (NYSE: JPM), a global financial services firm. © 2023 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans"
11,Hewlett Packard Enterprise | HPE,4.2,16.9T,3.9T,875,Bengaluru,Information Technology Support Services,"At Hewlett Packard Enterprise, we are changing the world together. We’re advancing the way people live, work and communicate. With a culture that thrives on finding new and better ways to accelerate what's next, we offer businesses the opportunity to turn insights into outcomes. We do this by making Hybrid IT simple, powering the Intelligent Edge, and providing the expertise to make it happen. What starts here changes the world."
12,Qualcomm,4.1,9.8T,3.8T,--,Bengaluru,Computer Hardware Development,"We’re looking for inventive minds to help fuel what’s next in 5G. Qualcomm is the wireless technology innovator and the company of inventors that unlocked 5G. We’re ushering in an age of rapid acceleration in wireless connectivity that’s transforming entire industries and enriching lives on a global scale. From smartphones to smart homes, mobile PCs to automotive, gaming to XR/VR/AR, and audio to factories of the future, 5G may be the most important technological development of the 21 st century — and Qualcomm is leading the way. But this is just the beginning. It takes brilliant minds with diverse skills, backgrounds, and cultures to transform 5G’s potential into world-changing technologies and products. This is the Invention Age — and this is where you come in."
13,Concentrix,4.3,30.4T,9.1T,1.8T,Bengaluru,Information Technology Support Services,"In a world full of average, we stand out. We believe experience is everything. Period. To achieve outstanding results, we’re disrupting the market by being absolutely obsessed with making our clients’ businesses better. We bring together the brightest and most creative minds in business, cutting-edge technology solutions, proven design thinking expertise and exceptional customer experience centers. Our clients notice the difference too… in increased customer loyalty, improved business performance and differentiation in their markets. As a diverse, global organization, we have unconventionally fresh ideas and deliver extraordinary customer experiences for more than 450 of the world’s best brands. Concentrix. A passionate company powered by passionate people."
14,Nokia,4.2,17.8T,4.9T,832,Bengaluru,Telecommunications Services,"Join us in creating the technology that helps the world act together. We are a B2B technology innovation leader pioneering the future where networks meet cloud. At Nokia you will have a positive impact on people’s lives and help build the capabilities needed for a more productive, sustainable, and accessible world. Be part of a culture built on an inclusive way of working where we are open to your ideas, you are empowered to take risks and are encouraged to be fearless in bringing your authentic self to work. www.nokia.com/careers"
15,Robert Bosch,4.3,15.2T,4.4T,262,Bengaluru,Computer Hardware Development,"The Bosch Group is a leading global supplier of technology and services. It employs roughly 421,300 associates worldwide (as of December 31, 2022). The company generated sales of 88.2 billion euros in 2022. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. As a leading IoT provider, Bosch offers innovative solutions for smart homes, Industry 4.0, and connected mobility. Bosch is pursuing a vision of mobility that is sustainable, safe, and exciting. It uses its expertise in sensor technology, software, and services, as well as its own IoT cloud, to offer its customers connected, cross-domain solutions from a single source. The Bosch Group’s strategic objective is to facilitate connected living with products and solutions that either contain artificial intelligence (AI) or have been developed or manufactured with its help. Bosch improves quality of life worldwide with products and services that are innovative and spark enthusiasm. In short, Bosch creates technology that is “Invented for life.” The Bosch Group comprises Robert Bosch GmbH and its roughly 470 subsidiary and regional companies in over 60 countries. Including sales and service partners, Bosch’s global manufacturing, engineering, and sales network covers nearly every country in the world. With its more than 400 locations worldwide, the Bosch Group has been carbon neutral since the first quarter of 2020. The basis for the company’s future growth is its innovative strength. At 136 locations across the globe, Bosch employs some 85,500 associates in research and development, of which nearly 44,000 are software engineers. Website: https://www.bosch.com/careers Instagram: https://www.instagram.com/boschglobal/ Facebook: https://www.facebook.com/BoschGlobal Twitter: https://www.twitter.com/BoschGlobal Imprint: www.bosch.com/corporate-information Privacy statement: www.bosch.com/data-protection-notice"
16,JPMorgan Chase & Co,4.0,23.5T,3.6T,5.5T,Bengaluru,Banking & Lending,"JPMorgan Chase is one of the world's oldest, largest and best-known financial institutions. With a history that traces our roots to 1799 in New York City, we carry forth the innovative spirit of our heritage firms in our global operations in over 60 countries. We serve millions of customers and many of the world’s most prominent corporate, institutional, and government clients-managing assets and investments, offering business advice and strategies, and providing innovative banking solutions and services. © 2023 JPMorgan Chase & Co. All rights reserved. JPMorgan Chase is an Equal Opportunity Employer, including Disability/Veterans."
17,Siemens,4.1,20.4T,4.5T,11.3T,"No. 84, Keonics, Electronics City, Hosur Road",Electronics Manufacturing,"Siemens is a global powerhouse focusing on the areas of electrification, automation and digitalization. In 1908, the company established a Technical Bureau in Singapore as a sales office of the London-based Siemens Brothers Dynamo Works Limited, to search for new business opportunities in the then flourishing British colony. More than 100 years on, Siemens has grown with Singapore, and has helped to develop the Lion City into the modern, economic powerhouse it is today."
18,VMware,4.5,10.9T,3.3T,778,"Kalyani Vista, 192A, 3rd Main Rd, Doresanipalya, Anthappa Layout, Phase 4, J. P. Nagar, Bengaluru, Karnataka",Enterprise Software & Network Solutions,"VMware is a leading provider of multi-cloud services for all apps, enabling digital innovation with enterprise control. With VMware Cross-Cloud™ services and our global ecosystem of partners, we deliver the smartest path to cloud, edge, and app modernization. Our technology also supports multi-cloud autonomy for developers and consistent operations for DevSecOps—while creating a more secure, frictionless experience for the distributed workforce. As the trusted foundation to accelerate innovation, VMware preserves customer choice and protects against lock-in. Instead of tradeoffs and compromises, our software offers businesses the freedom and flexibility they need to build the future."
19,IQVIA,4.0,12.9T,4T,2.1T,Bengaluru,Biotech & Pharmaceuticals,"IQVIA (NYSE:IQV) is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry dedicated to delivering actionable insights. Learn more at jobs.iqvia.com."
20,Fidelity Investments,4.3,14.9T,2.5T,1.2T,Bengaluru,Investment & Asset Management,"Fidelity Investments is one of the world’s largest providers of financial services. Headquartered in Boston, US, Fidelity’s goal is to make financial expertise broadly accessible and effective in helping people live the lives they want. Fidelity focuses on meeting the unique needs of a diverse set of customers: helping more than 25 million people invest their own life savings, nearly 20,000 businesses manage their employee benefit programs, as well as providing nearly 10,000 advisory firms with investment and technology solutions to invest their own clients’ money. Privately held for nearly 70 years, Fidelity employs 47,000 associates who are focused on the long-term success of our customers."
21,Morgan Stanley,3.9,17.7T,3.4T,835,3 office locations in Bengaluru,Investment & Asset Management,"Morgan Stanley mobilizes capital to help governments, corporations, institutions and individuals around the world achieve their financial goals. For over 85 years, the firm’s reputation for using innovative thinking to solve complex problems has been well earned and rarely matched. A consistent industry leader throughout decades of dramatic change in modern finance, Morgan Stanley will continue to break new ground in advising, serving and providing new opportunities for its clients. Morgan Stanley is committed to maintaining the first-class service and high standard of excellence that have always defined the firm. At its foundation are five core values — putting clients first, doing the right thing, leading with exceptional ideas, committing to diversity and inclusion, and giving back — that guide its more than 80,000 employees in 1,200 offices across 41 countries. Morgan Stanley has been operating in India for over 28 years, providing a variety of services to domestic and international clients. The firm has a premier institutional securities platform in India, offering a full range of investment banking, capital markets, equities, fixed income, commodities and derivative products, as well as research. Discover what makes Morgan Stanley such a great place to work by using the resources on this page to learn more about our people, our business and our heritage."
22,GE,4.0,18.3T,2.3T,1.2T,"Unit No.1, 4th Floor,Inventor Building, ITPL, Whitefield",Machinery Manufacturing,"For more than 125 years, GE has invented the future of industry, and today the company’s dedicated team, leading technology, and global reach and capabilities help the world work more efficiently, reliably, and safely. GE’s people are diverse and dedicated, operating with the highest level of integrity and focus to fulfill GE’s mission and deliver for its customers."
23,Teleperformance,4.5,49.8T,8.5T,1.2T,Bengaluru,Telecommunications Services,"Passion. Integrity. Excellence. We are Teleperformance, the worldwide leader in outsourced omnichannel customer experience management. For almost four decades, we have been helping our clients across 80 countries serving 175 markets strengthen their relationships with their customers by providing customer care, technical support, customer acquisition, digital solutions, analytics, and other specialized services. Aon, Great Place to Work, the Everest Group and many others have recognized our expertise in different fields. As a people company, we want to be the bridge that connects you to great opportunities. Allow us to take your career to new places. With your passion and our mission, we can do great things together. Ready to take that first step? We want to hear from you."
24,Schneider Electric,4.2,13.9T,3T,3.5T,Bengaluru,Energy & Utilities,"At Schneider, we believe access to energy and digital is a basic human right. We empower all to make the most of their energy and resources, ensuring Life Is On everywhere, for everyone, at every moment. We provide energy and automation digital solutions for efficiency and sustainability. We combine world-leading energy technologies, real-time automation, software and services into integrated solutions for Homes, Buildings, Data Centers, Infrastructure and Industries. We are committed to unleash the infinite possibilities of an open, global, innovative community that is passionate about our Meaningful Purpose, Inclusive and Empowered values. -135,000+ employees -100+ countries -27.2B Euro in revenue (FY2019)"
25,Flipkart,4.0,5T,6.9T,89,"Flipkart Internet Private Limited, Buildings Alyssa, Begonia & Clove Embassy Tech Village, Outer Ring Road, Devarabeesanahalli Village, Bangalore, Karnataka, IN",Internet & Web Services,"Flipkart is committed to transforming commerce in India through investments in made-in-India technology innovations, customer-centric constructs, a diverse category landscape and a world-class supply chain. With a customer base of over 350 million, product coverage of over 150 million across 80+ categories, a focus on generating direct and indirect employment and a commitment to empowering generations of entrepreneurs and MSMEs, all driven by a sustainable growth strategy – Flipkart is maximising for customers, stakeholders, and the planet at large! At Flipkart, our promise to every Flipster is - getting an opportunity to leave a mark and create their own legacy, the freedom to experiment, learn and grow, work with the industry’s brightest minds as part of a diverse team and we will extend our culture of care to them to ensure that they can focus on doing their best work. Driven by audacity, bias for action, customer first, integrity and inclusion – Flipsters have pioneered solutions that have transformed digital commerce in India. From the industry-first introduction of cash-on-delivery in 2010 to the launch of voice search and multiple vernacular interfaces in 2021 that have made e-commerce a very inclusive experience, Flipkart continues the exciting journey of solving for the Indian customer. We understand that your own aspirations and journeys are unique. So you choose what you want to maximise, and we provide you the platform for it. Because when you maximise, we maximise. Explore opportunities at www.flipkartcareers.com. Flipkart is a part of the Walmart-owned Flipkart Group, which also includes group companies Flipkart Wholesale, Myntra, and Cleartrip. The Group is also a majority shareholder in PhonePe, one of the leading Payments Apps in India."
26,Adobe,4.4,8.9T,4.2T,445,Bengaluru,Computer Hardware Development,"Adobe is the global leader in digital media and digital marketing solutions. Our creative, marketing and document solutions empower everyone – from emerging artists to global brands – to bring digital creations to life and deliver immersive, compelling experiences to the right person at the right moment for the best results. In short, Adobe is everywhere, and we’re changing the world through digital experiences."
27,Shell,4.1,13.2T,2T,1.1T,Bengaluru,Energy & Utilities,"Shell is an international energy company with expertise in the exploration, production, refining and marketing of oil and natural gas, and the manufacturing and marketing of chemicals. We use advanced technologies and take an innovative approach to help build a sustainable energy future. We invest in power, including from renewable sources such as wind and solar. We also invest in electric vehicle charging and low-carbon fuels for transport, such as advanced biofuels and hydrogen. Together at Shell, we are transitioning to become a net-zero emissions business while providing the energy that people around the world need today. Working with experienced colleagues on this important challenge, you’ll have the opportunity to develop the skills you need to grow, in an environment where we value honesty, integrity and respect for one another. At Shell, you progress as we tackle the energy challenge together."
28,HP Inc.,4.2,9.3T,2T,1.1T,Bengaluru,Computer Hardware Development,"From day one, HP broke new ground by refusing to accept the status quo. Bill Hewlett and Dave Packard created more than an audio oscillator in their Palo Alto garage. They built a way of doing business—the HP Way. What started in Bill and Dave’s garage still thrives today. We continue to change the world with our products, our people, and our business practices. Reinvention is the key. It is the accelerant to growth. It drives us to create experiences that amaze. Keep reinventing. It’s what we do."
29,Salesforce,4.3,17.3T,2.5T,992,"Torrey Pines, Third Floor, Embassy Golf Links Business Park, Varthur Hobli, Challaghatta Village, Bangalore Urban, Karnataka,",Enterprise Software & Network Solutions,"Salesforce is an online customer relationship management, or CRM, solution. It offers all your teams, including marketing, sales, commerce and service, a shared view of your customers thanks to an integrated CRM platform."
30,Intuit,4.6,10T,1.1T,1.4T,"EcoSpace, Intuit Campus 8 , 4A , 6A, Pritech Rd, Adarsh Palm Retreat, Bellandur",Software Development,"Intuit is the global financial technology platform that powers prosperity for the people and communities we serve. With more than 100 million customers worldwide using TurboTax, Credit Karma, QuickBooks, and Mailchimp, we believe that everyone should have the opportunity to prosper. Our strategy is to create an AI-driven expert platform that helps solve our customers’ most important financial challenges. By digitizing the financial services industry, we’re giving people the confidence they need to make the right decisions for themselves and their families. Working with a day-one entrepreneurial mindset, we’re always open to new perspectives and ideas. This helps us remain nimble, encourages experimentation and open collaboration, and results in a constant stream of game-changing innovations. Through our culture of inclusion and belonging, you can do meaningful work with a diverse community of people who share your values and support you in doing the best work of your life. Learn more about Intuit and our career opportunities at intuit.com/careers."
31,ABB,4.1,9T,2T,3.8T,Bengaluru,Electronics Manufacturing,"ABB is a leading global technology company that energizes the transformation of society and industry to achieve a more productive, sustainable future. By connecting software to its electrification, robotics, automation, and motion portfolio, ABB pushes the boundaries of technology to drive performance to new levels. With a history of excellence stretching back more than 130 years, ABB’s success is driven by about 105,000 talented employees in over 100 countries."
32,Robert Bosch India,4.0,4.4T,4.4T,1,Bengaluru,Machinery Manufacturing,"Mission We are motivated by the desire to develop products that are “Invented for life,” that spark enthusiasm, that improve quality of life, and that help conserve natural resources. Our “We are Bosch” mission statement reflects this. It summarizes our values, our strengths, and our strategic orientation. The mission is based on seven central values, which shape our corporate culture – ranging from a focus on the future and earnings to cultural diversity. Responsibility and sustainability are part of this set of values and thus of our actions."
33,Freelancer,4.2,14.8T,6.2T,44,Bengaluru,HR Consulting,"8 time Webby award winning Freelancer.com is the world's largest freelancing and crowdsourcing marketplace by total number of users and projects posted. Over 15 million registered users have posted over 7.5 million projects and contests to date in over 700 areas as diverse as website development, logo design, marketing, copywriting, astrophysics, aerospace engineering and manufacturing. Freelancer Limited is listed on the Australian Securities Exchange under the ticker ASX:FLN."
34,GE HealthCare,4.3,7.2T,1.5T,1.2T,Bengaluru,Healthcare Services & Hospitals,"GE Healthcare is a leading global medical technology and digital solutions innovator with over 100 years of healthcare industry experience and around 50,000 employees globally. We enable clinicians to make faster, more informed decisions through intelligent devices, data analytics, applications and services, supported by our Edison intelligence platform. We operate at the center of an ecosystem working toward precision health - digitizing healthcare, helping drive productivity and improving outcomes for patients, providers, health systems and researchers around the world."
35,NVIDIA,4.6,5.1T,1.8T,2.9T,Bengaluru,Computer Hardware Development,"NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. We engineer technology for the da Vincis and Einsteins of our time. Our work in AI and the metaverse is profoundly impacting society and transforming the world’s largest industries. From gaming to robotics, self-driving cars to life-saving healthcare, climate change to virtual worlds where we can all connect and create. Our work is truly unique. Part science. Part art. Completely rewarding. We take on challenges that make a significant difference in the world. Every breakthrough helps shape what comes next."
36,Visa Inc.,4.1,6T,1.1T,609,Bengaluru,Information Technology Support Services,"Visa is a global payments technology company that connects consumers, businesses, financial institutions and governments in more than 200 countries and territories to fast, secure and reliable electronic payments. At the core of our business is our payment processing network, VisaNet, which is capable of handling more than 54,000 transaction messages a second, with fraud protection for consumers and guaranteed payment for merchants. We are one of the most recognized and respected brands in the world. Behind the Visa brand are our 11,000 talented and proud employees delivering the convenience and security of digital currency to customers around the world. Together, we are shaping the future of commerce. Visit www.visa.com/careers to learn more."
37,Informatica,4.1,2.9T,1.7T,24,"No. 66/1, Bagmane Commerz 02 - Bagmane Tech Park C V Raman Nagar",Enterprise Software & Network Solutions,"Informatica is the only Enterprise Cloud Data Management leader that accelerates data-driven digital transformation. Informatica enables companies to unleash the power of data to become more agile, realize new growth opportunities, lead to new inventions resulting in intelligent market disruptions. Over the past 25 years, Informatica has helped more than 9,000 customers unleash the power of data."
38,Unilever,4.1,15.1T,1.7T,841,Bengaluru,Consumer Product Manufacturing,
39,NetApp,4.2,5T,1.4T,157,"NetApp Bangalore Campus ITPL Main Road, Hoodi, Bengaluru 560048 India",Enterprise Software & Network Solutions,"We empower you with hybrid multicloud solutions In a world of hybrid multicloud complexity, we envision a better IT experience—an evolved cloud state where on-premises and cloud environments are united as one, always delivering simplicity, security, savings, and sustainability. To get you there, we build solutions that drive faster innovation wherever your data and applications live, with unified management and AI-driven optimisation. No walled gardens. No lock-in. You get the freedom to do what’s best for your business today and the flexibility to adapt to whatever tomorrow throws at you."
40,Apple,4.3,38.8T,1.1T,4.2T,Bengaluru,Computer Hardware Development,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own. Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more."
41,Texas Instruments,4.5,5.2T,1.2T,268,Bengaluru,Electronics Manufacturing,"Texas Instruments has been making progress possible for decades. We are a global semiconductor company that designs, manufactures, tests and sells analog and embedded processing chips. Our approximately 80,000 products help over 100,000 customers efficiently manage power, accurately sense and transmit data and provide the core control or processing in their designs, going into markets such as industrial, automotive, personal electronics, communications equipment and enterprise systems. Our passion to create a better world by making electronics more affordable through semiconductors is alive today as each generation of innovation builds upon the last to make our technology smaller, more efficient, more reliable and more affordable – opening new markets and making it possible for semiconductors to go into electronics everywhere. We think of this as Engineering Progress. It’s what we do and have been doing for decades."
42,American Express,4.2,16T,4.4T,201,Bengaluru,Financial Transaction Processing,"With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally. At American Express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success. Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day. And we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong. Join Team Amex and let’s lead the way together. Check out the recent awards we’re proud of: • #8 on FORTUNE 100 Best Companies to Work For - 2022 • Human Rights Campaign Corporate Equality Index Score of 100% (since 2004)- 2022 • Forbes America's Best Employers for Diversity - 2022 • Seramount 100 Best Companies - 2022 • FORTUNE World’s Most Admired Companies - 2022 • #3 on FORTUNE 100 Best Large Workplaces in New York - 2022 • Fast Company's 2022 Finance Brands That Matter"
43,Juniper Networks,4.3,4.1T,1.6T,254,Bengaluru,Telecommunications Services,"At Juniper Networks, we are leading the charge to architecting the new network. At the heart of the new network is our promise to transform the economics and experience of networking for our customers. We offer a high-performance network infrastructure built on simplicity, security, openness, and scale. We are innovating in ways that empower our customers, our partners, and ultimately everyone in a connected world."
44,ANZ,4.1,4.9T,1.4T,170,2 office locations in Bengaluru,Banking & Lending,"At ANZ, everything we do boils down to ‘why’ – our purpose – to shape a world where people and communities thrive. Our people are striving to create a balanced, sustainable society where everyone can build a better life. We believe in the inherent strength of a vibrant, diverse and inclusive workplace where the backgrounds, perspectives and life experiences of our people create a great place to belong. ANZ Operations and Technology Pvt. Ltd. and ANZ Support Services India Pvt. Ltd. in Bengaluru are an integral part of ANZ’s Technology Services and Operations division. In Bengaluru, ANZ currently employs more than 6,000 people in technology development, operations and shared services roles. The group has been servicing ANZ’s technology needs for almost three decades now and has in recent years extended its capabilities to include operations and support functions. This division is led by Venkataraman SV."
45,Vodafone,4.0,16.3T,3T,4.5T,Bengaluru,Telecommunications Services,"Here at Vodafone, we do amazing things to empower everybody to be confidently connected, and that could be providing superfast network speeds to smartphones, providing ‘total communications’ through fixed line solutions, making farmers lives easier with mobile money payments or streaming music into a car through the internet of things. As you can imagine, this means that we have a vibrant and diverse mix of skills and people that makes us a great place to work."
46,LinkedIn,4.3,6.6T,878,32,Bengaluru,Internet & Web Services,
47,Akamai,4.7,2.9T,1.2T,153,Bengaluru,Information Technology Support Services,"India is a technology-driven region, and one of our fastest-growing markets globally. The Akamai India Center of Excellence (COE), plays a significant role in our success – it’s the largest among the three centres we operate across the world.   The COE has grown rapidly, going from 350 employees in 2009 to over 2,000 at present. Driven by trends in AI, IoT (Internet of Things) and zero trust in cybersecurity, we’ve transformed ourselves over the decade by globalizing our efforts to achieve larger organizational goals. We’re also making major contributions around engineering excellence, innovation, sales, marketing, human resources and much more.     The Akamai Intelligent Edge gives top businesses across the world the competitive advantage to drive digital transformation. Our platform gets smarter, more secure and works more intelligently every day as it learns from the incredible amounts of data and insight we’re able to gather.   Security is embedded at every digital touchpoint, from the core to the cloud, to the edge. Our defensive shield surrounds everything to provide unmatched protection and peace of mind. It’s a solution born out of a 20-year track record in the industry. We’re the inspirational leaders who are dedicated to solving the most intractable problems that hamper digital transformation. We give customers the security – and the freedom – to deliver mission-critical goals, solve big needs and drive innovation through their business.   Akamai has around 2000+ employees in India located in Bangalore (India Head Office), Gurgaon, Mumbai and Chennai."
48,[24]7.ai,4.2,3.3T,2T,11,Bengaluru,Information Technology Support Services,"Founded in 2000, [24]7.ai is a global leader in intent-driven customer engagement solutions. We are redefining the way companies interact with consumers by combining artificial intelligence with human intelligence to substantially improve customer experience. Our clients include more than 250 of the world’s largest brands and most recognizable brands across 12 industries. We hold more than 150 patents and patent applications, including several specifically related to artificial intelligence and customer experience. Join the ranks of an established, fast-growing company that works with the world’s leading brands. We make it simple for consumers to connect with companies to get things done."
49,McKinsey & Company,4.3,10.1T,1.6T,100,Bengaluru,Business Consulting,"McKinsey &amp; Company is a global management consulting firm that serves private and public companies, governments, not-for-profits and non-governmental organizations. Our clients come to us with their most complex issues and our people help them to make change happen at all levels of their organization. In the past five years, we have served more than 2,000 clients of all sizes in all geographies and sectors. Our more than 10,000 consultants and 2,000 knowledge professionals speak nearly 130 languages and work in more than 100 locations in more than 60 countries. They hail from all backgrounds including medicine, engineering, civil service, entrepreneurship, science, business, professional athletics, and linguistics. They are united by their desire to make positive change in the world. That’s why we say that when you come to McKinsey, you “don’t just come to work. You come to change.”"
50,Volvo Group,4.2,4.9T,684,1.2T,Bengaluru,Transportation Equipment Manufacturing,
51,Capital One,4.1,15.4T,344,1.5T,Bengaluru,Banking & Lending,"You know who you are and you’re good at it. You never settle for “good enough.” That’s why we want you at Capital One. We’re doing some bold, transformative things here. Like changing banking for good. What’s in it for you? A career surrounded by brilliant minds. People from different backgrounds, experiences and education levels. Coming together to create a sense of belonging. Supporting you where you are and where you want to be. And the chance to create real, impactful work that matters—without giving up your life or integrity to achieve it. That’s life at Capital One."
