"State/UT","Area","Ever tobacco users (%)","Current tobacco users (%)","Ever tobacco smokers (%)","Current tobacco smokers (%)","Ever cigarette users (%)","Current cigarette users (%)","Ever bidi users (%) ","Current bidi users (%)","Ever smokeless tobacco users (%)","Current smokeless tobacco users (%)","Ever users of  paan masala together with tobacco (%)","Never cigarette smokers susceptible to cigarette use in future (%)","Median age of initiation of Cigarette (in years)","Median age of initiation of Bidi (in years)","Median age of initiation of smokeless tobacco (in years)","Awareness about e-cigarette (%)","Ever e-cigarette use (%)","Ever tobacco smokers who quit in last 12 months (%)","Current tobacco smokers who tried to quit smoking in the past 12 months (%)","Current tobacco smokers who wanted to quit smoking now   (%)","Ever  smokeless tobacco users who quit  in last 12 months (%)","Current smokeless tobacco users who tried to quit tobacco in the past 12 months   (%)","Current  smokeless tobacco users who wanted to quit tobacco now     (%)","Exposure to tobacco smoke at home/public place (%)","Exposure to tobacco smoke at home   (%)","Exposure to tobacco smoke inside any enclosed public  places  (%)","Exposure to tobacco smoke at any outdoor public places  (%)","Students who saw anyone smoking inside the  school building or outside school property (%)","Major source of tobacco product- Cigarette: Store   (%)","Major source of tobacco product- Cigarette: Paan shop (%)","Major source of tobacco product- Bidi: Store   (%)","Major source of tobacco product- Bidi: Paan shop (%)","Major source of tobacco product- Smokeless tobacco: Store   (%)","Major source of tobacco product- Smokeless tobacco: Paan shop  (%)","Current cigarette smokers who bought cigarettes from a store, paan shop, street vendor, or vending machine       (%)","Current bidi smokers who bought bidi from a store, paan shop, or street vendor (%)","Refused sale of cigarette because of age in past 30 days   (%)","Refused sale of bidi because of age in past 30 days   (%)","Refused sale of smokeless tobacco because of age in past 30 days    (%)","Bought Cigarette as individual sticks in past 30 days    (%)","Bought Bidi as individual sticks in past 30 days     (%)","Students who noticed anti-tobacco messages anywhere in past 30 days    (%)","Students who noticed anti-tobacco messages in mass media in past 30 days    (%)","Students who noticed anti-tobacco messages at sporting,  fairs, concerts, community events or social gatherings in past 30 days   (%)","Students who noticed health warnings on any tobacco product/cigarette packages in past 30 days       (%)","Students who saw tobacco advertisements anywhere in past 30 days  (%)","Students who saw anyone using tobacco on mass media in past 30 days  (%)","Students who noticed cigarette advertisements/promotions at point of sale in past 30 days (%)","Students who were taught in class about harmful effects of tobacco use during past 12 months (%)","Students who thought it is difficult to quit once someone starts smoking tobacco (%)","Students who thought other people’s tobacco smoking is harmful to them (%)","Students who favoured ban on smoking inside enclosed public places (%)","Students who favoured ban on smoking at outdoor public places (%)","School heads aware of COTPA, 2003  (%)","Schools authorized by the state government to collect fine for violation under Section-6 of the COTPA, 2003  (%)","Schools followed ‘tobacco-free school’ guidelines  (%)","Schools aware of the policy for displaying ‘tobacco-free school’ board  (%)"
"Arunachal Pradesh","Urban","55.7","51.4","54.5","50.0","47.8","47.8","48.1","47.4","48.5","47.8","11.6","27.1","8.7","8.7","8.5","24.1","18.6","15.3","33.5","13.7","11.9","17.6","11.8","68.6","20.8","67.9","61.0","80.2","84.7","10.0","90.0","3.4","86.5","3.7","99.4","98.0","59.0","61.5","60.6","14.6","11.0","97.6","86.8","89.8","57.7","66.4","59.8","8.7","15.1","11.6","51.8","79.4","76.5","77.8","33.3","33.3","66.7"
"Arunachal Pradesh","Rural","75.7","69.2","67.2","59.6","48.0","42.8","50.2","43.3","30.1","28.4","13.4","20.8","7.9","7.9","8.7","29.0","13.2","32.7","37.5","38.3","34.0","28.6","31.4","71.6","49.5","68.0","69.5","33.1","24.1","51.8","17.1","41.4","29.6","42.1","84.6","68.2","86.5","77.9","78.3","18.5","41.6","89.0","42.5","38.8","72.3","56.2","35.1","36.5","30.8","22.4","39.0","47.4","57.9","53.9","61.5","61.5","61.5"
"Assam","Total","16.2","11.9","12.3","10.5","5.3","4.3","3.4","2.9","9.1","5.4","3.3","5.8","10.9","9.5","10.7","28.6","4.2","11.6","14.9","22.9","20.0","20.0","17.5","26.0","6.7","19.1","22.1","19.7","67.9","12.6","42.5","18.6","27.6","25.6","68.4","76.0","82.1","40.9","35.3","34.1","23.6","77.0","56.9","30.4","28.3","52.4","42.1","15.5","40.0","18.3","74.2","53.7","52.6","81.3","31.3","90.6","84.4"
"Assam","Urban","14.5","5.3","8.8","5.3","7.3","4.6","2.4","1.1","11.7","3.3","3.1","7.9","13.8","13.3","13.8","15.2","0.9","24.9","53.9","50.2","11.7","67.8","80.0","38.0","10.4","33.3","33.5","42.8","1.0","45.1","0.0","0.0","0.0","17.5","32.9","0.0","61.0","0.0","34.0","85.1","58.8","77.5","55.5","24.8","24.2","67.1","60.1","24.3","51.0","19.0","83.8","68.7","64.4","100.0","0.0","80.0","80.0"
"Assam","Rural","16.3","12.5","12.6","10.9","5.2","4.3","3.5","3.1","8.9","5.5","3.3","5.6","10.5","9.4","10.6","29.7","4.5","10.8","13.3","21.7","20.9","17.6","14.4","25.0","6.4","17.9","21.2","17.7","73.5","9.9","44.1","19.3","28.9","26.0","71.6","78.4","84.2","42.9","35.4","29.8","22.3","77.0","57.0","30.9","28.7","51.2","40.5","14.8","39.1","18.2","73.3","52.4","51.5","77.8","37.0","92.6","85.2"
"Bihar","Total","21.5","7.3","9.4","4.7","4.8","2.3","3.3","1.8","15.5","3.2","1.1","13.7","7.9","8.5","<7","39.3","2.0","5.1","23.6","28.9","1.5","12.4","17.2","18.4","5.4","14.3","11.9","26.1","37.4","28.9","44.8","24.0","71.0","20.9","66.5","83.9","68.2","82.0","100.0","52.8","31.2","67.6","51.2","34.4","21.8","65.7","61.1","17.3","39.4","22.5","61.8","52.2","55.5","100.0","37.1","94.3","97.1"
"Bihar","Urban","15.2","7.0","10.0","6.9","7.2","4.4","5.5","5.0","7.7","0.2","0.4","11.8","12.5","11.8","--","34.8","3.5","18.9","49.5","30.0","0.0","0.0","0.0","37.9","3.0","31.8","34.2","36.7","24.8","50.4","63.6","16.8","0.0","0.0","72.8","80.4","74.6","80.4","0.0","93.7","38.2","90.4","84.2","44.8","26.8","91.5","91.1","14.4","40.3","30.1","85.1","81.5","85.5","100.0","50.0","100.0","100.0"
"Bihar","Rural","21.9","7.3","9.4","4.6","4.7","2.1","3.1","1.6","15.9","3.4","1.1","13.8","7.7","8.3","<7","39.6","1.9","4.2","21.3","28.8","1.5","12.4","17.3","17.3","5.6","13.3","10.6","25.5","39.1","26.1","41.1","25.4","100.0","100.0","65.7","84.6","67.4","82.3","100.1","47.4","29.9","66.3","49.2","33.8","21.6","64.2","59.3","17.4","39.4","22.1","60.4","50.4","53.7","100.0","35.5","93.6","96.8"
"Chandigarh","Total","10.3","3.0","6.9","2.5","1.1","0.6","3.2","0.6","5.0","1.2","1.3","5.6","9.5","8.4","10.2","24.8","2.5","10.4","22.6","13.4","5.7","12.1","14.1","28.2","4.6","15.8","22.6","21.9","31.1","30.6","26.6","23.7","55.8","44.2","58.7","59.9","64.7","72.5","50.1","51.6","36.9","72.4","57.5","37.1","20.6","75.3","72.1","13.5","37.7","35.5","76.2","71.4","70.4","100.0","42.9","95.2","100.0"
"Chandigarh","Urban","10.3","3.0","7.0","2.5","1.1","0.5","3.2","0.7","4.9","1.2","1.3","5.5","9.9","8.3","9.8","25.4","2.4","7.7","21.0","14.0","4.6","12.1","13.8","29.1","4.8","16.3","23.3","22.1","35.9","19.9","26.8","23.9","100.0","100.0","52.9","59.6","59.2","73.2","50.1","59.6","37.2","73.9","58.6","37.7","21.0","76.8","73.7","13.6","38.7","36.5","77.7","73.8","72.5","100.0","42.1","94.7","100.0"
"Chandigarh","Rural","9.9","3.2","4.8","3.2","1.6","1.6","3.2","0.1","6.8","0.1","0.2","8.1","--","8.5","--","11.6","4.6","94.0","47.6","3.2","22.2","0.0","100.0","9.2","1.8","5.9","6.2","17.3","0.0","100.0","0.0","0.0","0.0","0.0","100.0","100.0","100.0","0.0","0.0","0.0","0.0","41.4","35.7","22.7","11.6","44.6","38.4","11.4","16.0","14.1","45.3","20.4","26.6","100.0","50.0","100.0","100.0"
"Chhattisgarh","Total","18.8","8.0","10.4","6.9","6.3","4.5","4.2","2.2","14.4","2.6","2.7","10.0","8.2","9.1","7.3","20.6","2.1","18.5","23.1","29.0","23.7","37.7","21.3","36.8","16.8","25.6","24.2","27.8","47.3","25.4","51.4","23.7","47.0","22.9","75.5","67.0","70.3","86.4","52.6","31.1","24.7","80.3","63.1","33.6","31.2","61.5","56.6","15.8","47.1","26.3","70.7","63.8","69.1","71.0","19.4","96.8","90.3"
"Chhattisgarh","Urban","17.4","7.5","13.9","7.3","4.8","3.7","6.0","2.0","8.0","1.5","1.9","6.9","12.1","9.3","8.9","28.8","2.4","9.8","16.6","22.1","18.8","75.7","56.3","26.7","3.1","21.0","20.0","27.9","62.9","14.6","82.5","0.0","65.4","19.7","72.3","36.4","58.9","77.2","22.5","39.1","24.5","80.1","61.6","33.7","28.4","60.4","54.7","16.2","30.7","26.6","68.6","70.7","74.4","88.9","22.2","100.0","100.0"
"Chhattisgarh","Rural","19.1","8.1","9.5","6.8","6.6","4.7","3.8","2.2","15.8","2.8","2.9","10.7","8.0","9.0","7.3","18.7","2.0","21.5","24.7","30.7","24.3","33.2","17.2","39.1","19.9","26.6","25.2","27.8","44.3","27.4","48.1","26.2","44.4","23.4","76.1","73.1","71.6","87.1","62.2","29.5","24.7","80.4","63.5","33.5","31.9","61.7","57.1","15.7","50.8","26.2","71.2","62.2","67.8","63.6","18.2","95.5","86.4"
"Dadra and Nagar Haweli","Total","15.3","2.4","4.6","2.2","1.7","1.1","2.5","1.3","12.4","0.7","5.3","4.2","11.1","12.1","9.6","17.2","1.2","22.3","57.1","52.1","80.0","67.4","65.2","38.0","6.5","21.6","30.8","37.4","73.7","13.7","72.6","9.7","78.3","12.3","58.6","56.8","35.2","48.0","29.0","50.8","15.1","72.3","58.9","39.9","25.2","52.6","40.8","22.4","33.0","19.8","77.9","56.1","55.9","100.0","22.2","88.9","88.9"
"Dadra and Nagar Haweli","Urban","7.1","2.1","4.7","2.1","1.6","1.2","3.1","1.2","3.5","0.4","1.3","5.0","13.4","13.1","9.8","15.5","0.5","4.1","23.2","20.5","60.7","100.0","87.1","22.1","3.3","11.8","20.2","23.9","68.9","0.0","48.7","31.1","52.6","14.8","22.8","11.5","27.4","13.3","17.9","100.0","20.2","66.9","51.8","35.0","25.6","63.5","56.9","21.4","28.0","26.4","78.9","62.6","62.3","100.0","16.7","100.0","83.3"
"Dadra and Nagar Haweli","Rural","19.2","2.5","4.5","2.2","1.7","1.1","2.2","1.4","16.7","0.9","7.2","3.7","9.6","11.1","9.6","18.1","1.6","31.4","72.0","65.9","82.0","60.6","60.6","45.5","8.0","26.3","35.9","43.8","74.4","15.5","75.1","7.5","84.2","11.7","78.1","75.0","39.5","60.3","31.5","44.1","14.6","74.8","62.2","42.3","25.1","47.4","33.2","22.8","35.3","16.6","77.5","53.0","52.9","100.0","25.0","83.3","91.7"
"Daman and Diu","Total","11.8","4.3","6.9","3.4","3.4","2.2","3.5","2.1","7.5","1.9","2.6","4.0","12.3","9.8","9.6","26.2","1.5","9.7","28.6","29.7","27.4","24.0","49.4","28.2","4.8","19.1","22.0","28.8","37.0","19.8","54.6","19.9","43.8","25.4","70.5","52.5","35.1","49.4","19.8","31.4","11.1","70.5","54.5","32.4","28.3","55.1","44.4","18.7","25.1","27.0","72.2","66.6","63.7","94.1","41.2","76.5","88.2"
"Daman and Diu","Urban","8.6","1.9","4.2","1.1","2.0","0.5","1.5","0.9","5.7","1.2","1.3","2.4","12.4","<7.0","9.7","25.0","0.7","7.6","81.5","40.0","60.5","29.5","27.7","26.1","2.4","16.4","20.9","25.5","0.0","28.7","80.3","19.7","81.1","0.0","100.0","76.2","71.3","76.0","18.0","0.0","43.7","70.5","53.5","26.6","25.8","56.4","50.6","14.5","26.5","29.7","73.9","70.8","68.6","100.0","42.9","85.7","85.7"
"Daman and Diu","Rural","13.3","5.5","8.1","4.5","4.0","3.0","4.4","2.7","8.4","2.2","3.2","4.8","12.2","10.0","9.5","26.8","1.9","10.3","22.2","28.5","16.7","22.6","54.8","29.2","6.0","20.4","22.5","30.3","40.1","19.1","50.3","19.9","33.7","32.3","68.3","48.8","31.7","45.0","20.3","34.1","5.6","70.6","54.9","35.1","29.5","54.4","41.5","20.7","24.4","25.7","71.4","64.6","61.4","90.0","40.0","70.0","90.0"
"Delhi","Total","16.5","8.0","11.6","7.5","3.9","2.7","3.0","2.5","9.6","1.3","4.2","13.2","7.8","8.0","11.6","40.6","11.1","4.0","30.0","11.4","9.6","14.1","8.9","37.8","4.6","31.6","32.5","27.6","32.1","29.8","49.5","39.3","43.5","22.2","88.6","90.8","49.4","85.0","71.3","23.8","10.3","82.6","59.3","42.0","30.8","87.2","85.4","11.8","45.3","46.1","78.0","61.5","63.5","100.0","33.3","100.0","96.7"
"Delhi","Urban","16.5","8.1","11.8","7.7","4.0","2.8","3.1","2.5","9.5","1.2","4.3","13.5","7.8","7.9","11.6","41.1","11.4","3.8","30.0","11.2","10.0","15.8","9.7","38.0","4.5","32.1","32.7","27.7","32.2","29.7","49.7","39.5","44.3","26.1","88.8","90.8","49.5","85.0","76.6","23.7","10.0","82.5","58.7","41.8","30.7","87.1","85.3","11.4","44.9","46.8","77.8","60.6","62.7","100.0","29.2","100.0","95.8"
"Delhi","Rural","14.3","5.7","4.7","2.4","2.0","0.5","1.4","0.7","11.5","4.3","1.3","5.6","10.6","11.4","8.8","28.1","2.9","20.6","32.7","26.7","0.0","1.2","2.9","31.0","7.5","19.8","27.1","24.9","19.4","35.6","33.4","21.9","39.4","0.0","55.0","88.7","45.0","71.7","42.0","35,2","33.4","86.6","75.0","48.2","31.2","89.2","88.7","23.3","53.8","28.6","83.9","85.7","85.7","100.0","50.0","100.0","100.0"
"Goa","Total","9.3","2.1","5.3","1.4","2.7","0.7","2.3","0.8","5.6","0.9","1.4","6.2","11.7","13.3","11.3","22.0","0.7","7.7","26.8","26.4","5.5","11.8","31.0","28.4","2.8","17.0","23.0","18.2","44.7","32.7","48.9","30.3","53.1","23.1","48.8","37.6","36.8","85.3","66.1","27.1","41.6","64.1","41.1","20.0","31.3","67.9","53.0","25.9","26.1","32.4","73.8","74.9","72.1","100.0","27.3","90.9","90.9"
"Goa","Urban","7.7","1.9","4.0","1.2","1.9","0.6","1.7","0.8","4.8","0.7","1.3","5.4","12.3","12.4","11.3","23.3","0.9","11.4","38.8","43.2","8.2","0.0","46.4","24.1","1.8","13.7","19.8","18.0","37.5","25.0","50.0","20.0","0.0","49.2","62.5","80.0","62.5","70.0","10.9","62.5","60.0","62.8","36.6","21.3","33.4","65.5","50.6","22.5","25.0","33.1","73.6","76.1","75.3","100.0","11.1","100.0","88.9"
"Goa","Rural","10.4","2.2","3.1","1.5","3.2","0.8","2.7","0.8","6.0","1.0","1.5","6.7","11.4","13.6","11.4","21.2","0.5","6.2","20.3","17.2","4.2","16.9","24.3","31.2","3.4","19.1","25.1","18.3","50.1","38.5","46.5","53.5","100.0","0.0","41.7","12.3","0.0","100.0","100.0","0.0","0.0","64.9","43.9","19.2","30.0","69.4","54.6","28.0","26.8","31.9","74.0","74.1","70.1","100.0","38.5","84.6","92.3"
"Gujarat","Total","13.9","5.4","8.8","5.1","4.9","3.3","5.8","3.3","8.1","1.9","3.4","3.8","10.8","9.4","9.9","21.6","2.0","25.8","63.0","57.1","68.6","40.2","64.9","29.8","10.3","20.6","22.2","34.4","31.5","22.5","77.8","8.4","52.1","21.4","63.3","80.8","43.5","69.2","39.8","68.4","53.2","75.6","62.1","40.8","33.8","48.0","38.6","17.8","39.4","25.4","68.3","60.7","59.1","94.1","52.9","85.3","91.2"
"Gujarat","Urban","10.7","3.3","6.1","2.7","3.0","1.5","3.5","1.3","6.4","1.0","1.8","2.9","12.5","12.5","10.8","25.3","0.9","31.7","55.6","51.3","76.6","65.2","71.2","30.2","7.0","21.3","23.7","35.3","41.9","4.9","65.7","17.1","91.8","1.6","49.0","76.8","68.2","82.7","61.9","18.2","54.4","78.1","63.9","38.1","31.8","51.9","44.8","14.5","27.4","25.3","69.0","67.3","65.0","92.9","50.0","85.7","92.9"
"Gujarat","Rural","15.0","6.1","9.8","5.9","5.5","4.0","6.6","3.9","8.7","2.2","3.9","4.1","10.1","9.2","9.7","20.3","2.4","24.5","64.2","58.0","66.7","36.5","64.0","29.6","11.5","20.3","21.7","34.1","30.4","24.5","79.2","7.4","46.7","24.1","65.2","81.2","40.2","67.4","36.8","73.8","53.0","74.8","61.5","41.7","34.5","46.6","36.5","18.9","43.5","25.5","68.0","58.5","57.1","95.0","55.0","85.0","90.0"
"Haryana","Total","10.6","3.8","5.4","2.7","1.5","0.8","1.9","0.7","6.5","1.6","2.6","9.3","11.8","9.5","7.7","31.0","2.2","4.1","19.1","19.2","2.2","10.7","7.5","23.7","8.5","14.4","16.5","24.5","42.4","28.2","36.8","23.3","58.9","28.0","74.8","54.8","24.2","30.8","78.2","33.1","24.1","80.6","62.4","47.7","24.6","68.2","63.7","13.8","35.4","28.4","72.2","63.4","67.2","96.8","58.1","90.3","83.9"
"Haryana","Urban","12.9","5.6","7.9","4.3","2.1","1.3","2.5","1.0","7.0","2.5","1.6","11.5","11.7","9.9","<7","31.1","4.0","3.0","13.1","14.6","2.6","3.7","7.4","25.5","6.9","17.0","19.3","26.8","25.9","36.9","14.7","49.6","38.5","41.9","74.1","19.6","18.4","26.7","60.7","48.5","35.7","82.6","55.3","49.6","27.0","69.3","64.2","17.5","33.1","28.1","68.2","62.4","64.2","91.7","66.7","91.7","75.0"
"Haryana","Rural","9.0","2.6","3.7","1.7","1.1","0.5","1.6","0.5","6.2","1.1","2.0","8.0","12.3","8.8","7.8","30.9","1.0","5.6","29.4","27.1","2.0","21.2","7.8","22.6","9.5","12.6","14.6","23.0","73.0","12.3","56.5","0.0","100.0","0.0","75.8","100.0","33.7","35.1","100.0","4.4","13.8","79.2","67.1","46.5","22.9","67.5","63..4","11.4","37.0","28.6","74.8","64.0","69.2","100.0","52.6","89.5","89.5"
"Himachal Pradesh","Total","33.4","1.0","5.5","0.5","1.3","0.1","2.2","0.1","30.6","0.5","1.4","7.1","11.3","12.9","8.2","15.1","0.4","1.1","12.3","11.6","0.8","2.3","0.0","13.4","4.5","7.6","9.1","11.7","73.8","16.2","80.4","18.4","56.6","43.4","99.4","49.2","60.4","23.4","15.3","45.8","75.3","64.4","46.8","24.2","14.6","48.7","42.8","10.8","30.0","19.6","59.9","52.6","55.8","77.8","25.9","81.5","77.8"
"Himachal Pradesh","Urban","11.7","1.4","4.1","0.3","2.9","0.3","2.1","0.3","9.0","1.1","1.2","7.1","<7","14","<7","27.2","0.6","0.5","52.1","2.1","3.5","0.0","0.0","26.2","8.1","14.4","18.1","30.4","97.9","0.0","97.8","0.0","56.6","43.4","97.9","97.8","0.0","0.0","96.7","97.9","97.8","76.9","56.8","32.9","23.7","53.9","46.2","13.8","35.1","29.3","73.9","68.8","69.5","50.0","12.5","75.0","62.5"
"Himachal Pradesh","Rural","36.3","1.0","5.7","0.5","1.0","0.1","2.3","0.1","33.5","0.5","1.5","7.1","11.6","12.4","8.3","13.5","0.3","1.1","9.5","12.3","0.7","3.0","0.0","11.7","4.0","6.7","7.9","9.1","63.4","23.2","56.0","44.0","0.0","0.0","100.0","22.3","86.6","56.0","0.0","23.2","44.0","62.7","45.4","23.0","13.3","48.0","42.4","10.4","29.3","18.2","58.0","50.4","54.0","89.5","31.6","84.2","84.2"
"Jharkhand","Total","24.6","5.1","9.0","3.6","3.7","1.1","4.5","1.7","20.1","2.7","7.5","6.2","10.4","10.0","7.4","31.4","3.6","11.1","17.1","21.7","6.3","23.0","20.5","23.2","6.8","17.5","19.7","21.8","28.7","28.3","34.2","28.0","37.5","27.7","66.4","46.4","74.8","79.5","68.4","34.0","20.0","63.8","48.0","33.3","19.9","40.5","30.0","15.2","36.1","20.5","62.1","49.4","52.3","90.6","43.8","93.8","90.6"
