StudentID,Gender,Age,StudyHoursPerWeek,AttendanceRate,GPA,Major,PartTimeJob,ExtraCurricularActivities
100,Male,18,22,70.22,3.72,Arts,No,Yes
101,Male,24,30,78.62,3.6,Science,No,Yes
102,Female,20,17,90.2,2.37,Arts,Yes,No
103,Female,21,26,76.92,2.59,Business,Yes,No
104,Female,19,36,83.08,3.59,Education,No,Yes
105,Female,24,1,86.89,2.37,Science,No,Yes
106,Female,19,8,76.01,3.84,Science,No,No
107,Female,22,35,71.34,2.85,Business,Yes,Yes
108,Female,19,15,93.83,2.17,Engineering,No,Yes
109,Female,22,22,70.88,3.63,Education,Yes,No
110,Male,23,14,73.1,2.75,Science,No,Yes
111,Female,24,26,99.52,3.05,Education,No,Yes
112,Male,24,28,50.01,2.22,Science,No,No
113,Female,18,23,59.27,2.01,Education,Yes,Yes
114,Female,21,14,69.2,3.28,Arts,Yes,Yes
115,Male,22,24,96.63,3.03,Science,No,No
116,Female,18,2,53.5,3.19,Education,Yes,Yes
117,Male,19,26,50.47,3.59,Engineering,No,No
118,Female,19,14,52.63,3.29,Arts,Yes,Yes
119,Female,18,7,54.43,2.35,Arts,Yes,Yes
120,Male,24,3,51.88,2.72,Engineering,Yes,No
121,Female,19,23,73.99,3.81,Education,No,No
122,Male,23,18,79.04,3.54,Business,Yes,Yes
123,Female,23,38,63.58,3.11,Engineering,Yes,No
124,Male,18,35,69.91,2.51,Education,No,No
125,Male,22,15,54.58,2.6,Engineering,No,Yes
126,Female,22,25,66.82,3.46,Engineering,No,Yes
127,Female,18,37,76.13,3.7,Science,No,Yes
128,Male,22,28,86.61,3.34,Education,Yes,No
129,Female,24,10,50.17,3.62,Business,Yes,No
130,Female,24,39,73.37,3.53,Science,Yes,No
131,Female,22,17,64.85,2.3,Engineering,Yes,No
132,Male,23,39,92.64,2.85,Engineering,Yes,Yes
133,Male,22,22,85.78,2.31,Engineering,No,No
134,Male,24,26,79.46,2.47,Education,Yes,Yes
135,Male,20,25,63.86,3.74,Education,Yes,No
136,Male,21,17,95.52,2.95,Science,Yes,Yes
137,Male,19,13,52.26,3.07,Business,No,Yes
138,Male,20,20,55.47,2.36,Science,No,Yes
139,Male,22,25,69.58,2.62,Arts,Yes,No
140,Male,23,4,56.22,2.46,Engineering,No,Yes
141,Female,18,10,97.82,2.41,Engineering,No,Yes
142,Male,22,3,89.9,3.28,Engineering,No,No
143,Female,23,18,62.95,2.51,Science,No,Yes
144,Female,21,36,79.43,3.26,Science,No,No
145,Female,22,22,99.12,2.12,Engineering,No,No
146,Male,24,34,94.21,2.28,Science,No,Yes
147,Male,18,8,80.04,2.55,Education,Yes,Yes
148,Male,23,19,95.19,3.19,Education,Yes,No
149,Male,23,37,99.46,3.35,Science,No,Yes
150,Female,23,6,87.17,2.89,Engineering,Yes,No
151,Male,21,26,53.25,2.89,Science,Yes,No
152,Male,22,34,70.08,3.45,Science,No,No
153,Male,21,6,91.89,2.03,Science,Yes,Yes
154,Male,19,37,61.53,2.68,Arts,No,No
155,Male,19,33,91.53,3.64,Education,No,Yes
156,Female,22,22,56.02,3.21,Business,No,Yes
157,Male,24,21,52.35,2.67,Business,Yes,Yes
158,Female,21,6,69.2,3.81,Arts,Yes,Yes
159,Male,18,6,51.84,3.55,Science,Yes,No
160,Female,23,4,97.86,2.53,Arts,Yes,Yes
161,Male,23,30,91.31,3.29,Arts,No,No
162,Male,22,11,90.04,3.19,Engineering,No,No
163,Female,24,30,81.49,2.8,Education,Yes,Yes
164,Female,19,31,60.82,2.73,Business,No,No
165,Female,19,24,75.91,2.69,Science,No,No
166,Male,23,9,79.86,3.23,Business,Yes,Yes
167,Female,22,3,76.25,2.88,Business,No,No
168,Male,21,31,63.01,3.66,Education,Yes,No
169,Male,19,37,75.76,3.34,Business,No,No
170,Female,21,36,74.56,2.14,Business,Yes,No
171,Female,24,24,99.82,3.28,Arts,No,Yes
172,Male,19,31,94.87,2.54,Education,No,No
173,Male,19,6,73.17,3.19,Engineering,Yes,No
174,Female,20,2,81.15,3.36,Science,Yes,No
175,Female,19,20,87.39,2.46,Business,Yes,No
176,Female,18,28,51.74,2.91,Science,Yes,Yes
177,Male,22,11,94.75,2.38,Engineering,No,No
178,Male,22,4,93.01,2.1,Science,No,Yes
179,Male,21,15,72.87,2.76,Engineering,Yes,No
180,Male,24,6,69.56,2.73,Arts,No,Yes
181,Male,19,30,63.65,3.99,Business,Yes,Yes
182,Male,18,38,73.83,2.89,Engineering,Yes,Yes
183,Female,21,2,52.22,2.67,Science,No,Yes
184,Male,20,15,92.61,3.16,Business,No,Yes
185,Male,21,11,51.77,2.18,Arts,Yes,No
186,Male,21,8,66.45,3.92,Business,Yes,No
187,Female,19,26,96.58,3.27,Engineering,Yes,No
188,Male,20,5,86.76,3.51,Arts,No,Yes
189,Male,21,6,64.07,2.34,Science,No,No
190,Female,18,26,62.63,2.82,Arts,No,Yes
191,Male,18,4,50.25,2.85,Arts,No,Yes
192,Male,22,19,84.79,3.64,Education,Yes,No
193,Male,20,20,52.44,2.0,Arts,Yes,No
194,Male,20,33,76.63,2.6,Arts,Yes,Yes
195,Male,22,20,98.11,3.96,Business,Yes,Yes
196,Female,21,12,55.47,2.95,Science,Yes,No
197,Female,20,1,94.72,2.77,Business,Yes,No
198,Female,18,26,99.57,2.24,Business,No,No
199,Male,18,14,53.08,3.95,Engineering,No,No
200,Male,19,38,94.15,2.04,Business,Yes,Yes
201,Male,20,37,75.8,3.47,Education,Yes,No
202,Female,21,11,95.33,3.54,Education,No,No
203,Male,22,36,78.57,2.49,Engineering,No,No
204,Male,22,13,83.11,3.34,Science,No,Yes
205,Female,21,3,77.19,2.19,Science,No,Yes
206,Male,24,33,93.22,2.51,Business,Yes,Yes
207,Female,23,6,86.7,3.58,Business,Yes,Yes
208,Female,19,10,76.06,3.73,Business,Yes,No
209,Female,22,5,93.41,3.22,Science,Yes,Yes
210,Male,20,23,62.26,3.01,Arts,Yes,No
211,Male,19,10,57.87,2.32,Education,No,No
212,Male,20,2,58.02,2.13,Arts,Yes,No
213,Male,24,13,66.7,2.24,Arts,No,No
214,Male,18,2,61.93,2.45,Science,Yes,Yes
215,Male,19,20,96.5,2.68,Arts,Yes,Yes
216,Male,22,1,55.29,2.76,Engineering,Yes,Yes
217,Female,19,37,84.95,2.69,Business,Yes,No
218,Male,19,9,59.46,2.48,Engineering,Yes,No
219,Female,19,17,94.08,3.02,Education,No,No
220,Male,23,9,98.07,3.65,Business,No,No
221,Male,19,11,73.27,2.56,Arts,No,No
222,Male,20,15,93.95,3.88,Education,Yes,Yes
223,Female,18,24,50.26,3.75,Business,Yes,No
224,Female,24,38,91.0,2.32,Arts,No,Yes
225,Female,21,35,61.43,3.57,Engineering,Yes,No
226,Female,19,30,95.44,3.15,Business,Yes,No
227,Male,22,31,50.06,3.13,Arts,No,Yes
228,Female,19,5,77.81,2.78,Engineering,Yes,Yes
229,Male,22,14,87.83,3.0,Education,No,No
230,Male,20,11,62.93,2.79,Education,Yes,No
231,Female,22,9,59.66,3.08,Education,No,No
232,Female,21,34,54.2,3.26,Education,Yes,No
233,Female,18,12,66.32,3.35,Science,Yes,Yes
234,Female,22,35,77.99,3.06,Business,No,No
235,Female,22,35,55.79,3.44,Business,Yes,Yes
236,Female,18,1,68.83,2.28,Science,Yes,No
237,Female,21,22,50.45,2.42,Arts,No,Yes
238,Female,19,29,90.93,3.64,Arts,Yes,Yes
239,Male,22,8,56.42,2.65,Education,No,No
240,Female,18,11,64.17,2.05,Engineering,Yes,Yes
241,Female,20,37,50.92,2.31,Arts,Yes,No
242,Male,18,14,71.61,2.45,Engineering,Yes,Yes
243,Female,20,30,92.01,3.91,Business,Yes,No
244,Male,21,35,69.61,3.15,Engineering,No,Yes
245,Male,19,21,58.97,3.87,Business,Yes,No
246,Female,18,37,87.68,3.15,Science,No,No
247,Male,24,5,89.44,2.96,Science,Yes,Yes
248,Male,24,19,58.69,2.63,Education,Yes,Yes
249,Male,23,14,88.54,3.21,Arts,Yes,Yes
250,Male,22,26,97.36,2.28,Education,Yes,Yes
251,Female,21,4,58.32,3.8,Business,No,No
252,Male,18,25,88.55,3.66,Education,No,Yes
253,Female,24,25,85.43,2.64,Engineering,No,No
254,Male,22,18,73.68,3.91,Business,No,Yes
255,Male,24,8,52.9,3.65,Science,Yes,No
256,Male,18,39,53.73,3.33,Arts,No,No
257,Male,20,14,92.62,2.24,Business,No,No
258,Female,18,32,99.51,2.96,Business,Yes,No
259,Female,23,38,83.8,3.01,Engineering,Yes,Yes
260,Male,18,33,72.3,2.47,Arts,Yes,Yes
261,Male,18,23,82.38,2.16,Science,Yes,No
262,Female,23,15,79.72,3.55,Business,No,Yes
263,Male,21,33,69.18,2.24,Business,No,Yes
264,Male,18,25,53.28,3.19,Engineering,Yes,No
265,Male,23,17,91.08,3.87,Education,Yes,Yes
266,Female,22,33,68.59,3.75,Science,Yes,Yes
267,Female,20,2,90.94,2.56,Arts,No,Yes
268,Female,20,14,62.63,3.7,Business,No,No
269,Male,18,39,50.05,2.0,Business,Yes,Yes
270,Male,21,6,57.95,2.04,Science,Yes,No
271,Female,21,6,73.43,3.21,Education,No,Yes
272,Female,22,3,97.22,2.73,Business,Yes,Yes
273,Female,18,7,55.11,2.77,Science,Yes,Yes
274,Female,20,8,92.71,3.13,Engineering,No,No
275,Male,21,15,76.35,2.38,Education,Yes,No
276,Female,18,29,91.3,2.42,Arts,No,Yes
277,Male,24,33,64.92,2.97,Business,Yes,No
278,Female,21,30,92.0,3.51,Science,Yes,Yes
279,Male,23,39,88.64,3.24,Engineering,No,No
280,Female,24,27,61.5,2.59,Arts,No,No
281,Female,21,36,56.57,2.86,Science,Yes,Yes
282,Female,20,29,93.4,2.34,Science,No,Yes
283,Female,19,38,98.16,2.15,Arts,Yes,Yes
284,Male,24,33,51.57,3.57,Engineering,Yes,Yes
285,Female,22,37,86.56,2.53,Engineering,No,No
286,Male,22,27,95.48,2.36,Education,Yes,No
287,Male,20,33,92.87,3.38,Business,Yes,No
288,Male,21,4,98.23,3.24,Arts,No,Yes
289,Male,18,22,88.0,3.27,Arts,No,Yes
290,Female,21,2,72.11,2.46,Arts,Yes,No
291,Male,20,10,65.6,2.47,Engineering,No,Yes
292,Male,22,5,66.04,2.44,Business,No,No
293,Male,21,10,86.22,2.35,Education,No,No
294,Female,22,33,87.29,3.31,Science,No,No
295,Female,24,38,60.02,3.7,Science,Yes,No
296,Female,18,13,93.41,3.45,Arts,Yes,No
297,Female,24,31,85.75,3.58,Business,Yes,Yes
298,Male,22,36,78.14,2.81,Engineering,No,Yes
299,Male,22,24,73.58,3.31,Business,No,Yes
300,Female,19,15,77.16,2.71,Business,No,No
301,Male,19,29,57.96,3.05,Engineering,No,No
302,Male,24,8,60.19,2.96,Arts,No,No
303,Male,23,5,54.56,2.35,Business,No,No
304,Female,24,29,57.68,2.77,Science,No,Yes
305,Female,19,4,72.68,3.93,Engineering,Yes,Yes
306,Male,22,12,76.52,2.5,Education,Yes,No
307,Female,20,2,50.89,2.27,Arts,No,No
308,Female,24,27,89.84,2.84,Engineering,No,No
309,Female,22,31,64.71,3.58,Education,No,Yes
310,Female,20,36,95.59,3.16,Education,Yes,Yes
311,Female,20,36,98.38,3.36,Business,Yes,Yes
312,Male,19,26,59.27,2.38,Business,No,No
313,Female,24,27,73.1,3.24,Business,No,No
314,Male,21,5,50.06,2.65,Engineering,Yes,Yes
315,Male,18,20,79.92,3.67,Engineering,Yes,No
316,Female,19,11,80.37,3.26,Arts,Yes,Yes
317,Male,19,10,62.38,2.4,Business,Yes,No
318,Male,21,38,77.92,2.13,Education,No,Yes
319,Male,18,6,61.28,2.09,Science,Yes,No
320,Female,22,8,58.04,2.74,Arts,Yes,Yes
321,Female,23,23,82.58,2.53,Engineering,No,Yes
322,Male,24,26,66.3,3.29,Arts,Yes,Yes
323,Female,23,12,79.51,3.0,Arts,Yes,Yes
324,Female,22,26,71.66,2.53,Arts,Yes,Yes
325,Female,19,13,99.22,2.3,Arts,No,Yes
326,Female,18,18,57.48,2.25,Science,Yes,No
327,Male,19,25,73.23,3.73,Business,No,No
328,Male,20,33,84.02,2.49,Education,No,No
329,Female,19,12,69.78,3.3,Arts,Yes,Yes
330,Female,19,36,98.73,3.62,Arts,Yes,Yes
331,Male,22,4,86.09,3.23,Arts,Yes,No
332,Male,22,5,82.85,3.72,Business,Yes,Yes
333,Female,22,37,87.85,2.78,Engineering,No,Yes
334,Male,23,8,97.63,3.91,Engineering,Yes,Yes
335,Female,20,28,95.39,2.27,Science,Yes,Yes
336,Female,22,31,86.21,2.2,Engineering,Yes,Yes
337,Male,18,9,87.46,3.32,Arts,No,No
338,Male,23,29,57.3,3.89,Arts,Yes,No
339,Female,21,14,55.14,3.62,Arts,Yes,No
340,Female,18,22,78.55,2.15,Science,No,No
341,Male,24,11,50.92,2.56,Arts,No,No
342,Female,24,23,74.12,3.86,Engineering,Yes,Yes
343,Male,18,1,60.52,2.51,Business,Yes,Yes
344,Female,22,37,67.3,3.56,Business,Yes,Yes
345,Male,21,21,88.79,3.65,Education,Yes,Yes
346,Male,21,26,97.06,2.99,Engineering,Yes,No
347,Male,23,36,53.62,2.77,Arts,No,No
348,Female,21,23,76.71,2.9,Business,No,No
349,Female,24,1,94.13,2.45,Engineering,Yes,Yes
350,Male,20,15,54.13,3.78,Business,Yes,No
351,Female,22,21,91.23,2.9,Arts,No,Yes
352,Male,21,9,67.89,3.76,Business,Yes,No
353,Male,23,9,66.1,2.21,Education,Yes,No
354,Female,24,10,98.87,3.98,Education,Yes,Yes
355,Female,20,26,60.04,2.89,Business,Yes,Yes
356,Male,19,35,84.66,2.1,Engineering,Yes,No
357,Female,19,25,91.07,2.08,Engineering,No,No
358,Female,20,26,52.06,3.49,Engineering,Yes,Yes
359,Male,24,11,83.52,3.32,Business,Yes,No
360,Male,23,38,97.58,3.6,Engineering,Yes,No
361,Female,20,2,56.21,2.21,Arts,No,Yes
362,Male,22,7,94.81,2.07,Education,No,No
363,Male,22,18,79.74,3.02,Arts,No,Yes
364,Female,19,27,80.83,2.78,Engineering,No,No
365,Male,21,34,80.65,2.92,Arts,Yes,Yes
366,Male,23,27,64.94,3.98,Engineering,No,No
367,Female,19,17,96.76,3.94,Business,Yes,Yes
368,Female,21,24,97.37,3.88,Arts,Yes,No
369,Male,21,25,81.27,3.57,Business,No,Yes
370,Male,22,7,89.17,2.71,Business,No,No
371,Female,24,6,80.61,2.82,Science,No,No
372,Female,18,24,74.22,3.1,Engineering,No,No
373,Female,24,33,83.04,3.66,Education,No,No
374,Female,18,29,77.65,2.14,Engineering,Yes,No
375,Male,20,22,79.87,2.85,Education,No,No
376,Female,22,26,89.19,2.17,Engineering,No,No
377,Female,21,28,74.05,3.03,Business,No,No
378,Male,23,21,52.04,3.8,Arts,Yes,No
379,Female,18,7,58.2,3.56,Arts,No,Yes
380,Male,24,17,71.93,2.46,Science,Yes,Yes
381,Female,21,20,86.24,3.95,Education,No,No
382,Female,18,20,79.66,3.33,Education,No,Yes
383,Female,18,22,82.51,2.02,Education,Yes,No
384,Male,18,28,73.96,2.51,Business,No,No
385,Male,23,7,80.79,2.52,Education,Yes,Yes
386,Female,22,1,66.45,2.14,Arts,Yes,No
387,Male,23,32,73.51,3.92,Business,Yes,No
388,Male,19,13,87.21,2.96,Engineering,No,Yes
389,Male,21,30,93.59,3.79,Education,No,Yes
390,Male,22,23,71.68,2.64,Education,No,No
391,Male,22,19,52.18,2.25,Engineering,Yes,Yes
392,Male,22,32,58.08,2.95,Education,No,Yes
393,Female,24,30,51.04,2.23,Engineering,Yes,No
394,Female,22,29,82.66,2.97,Business,No,Yes
395,Male,23,29,66.62,3.84,Arts,Yes,Yes
396,Female,22,30,77.12,3.04,Engineering,Yes,No
397,Female,20,16,74.66,3.23,Science,Yes,Yes
398,Female,21,19,54.08,2.31,Engineering,No,Yes
399,Female,22,18,70.16,2.09,Education,Yes,No
400,Male,21,1,61.03,2.22,Business,Yes,No
401,Female,20,14,70.92,3.2,Business,Yes,No
402,Female,20,2,60.18,2.19,Engineering,Yes,Yes
403,Male,21,28,92.02,2.75,Arts,Yes,No
404,Male,18,30,58.71,3.1,Science,Yes,No
405,Female,19,38,98.04,2.78,Business,No,Yes
406,Female,24,4,70.8,2.33,Education,No,No
407,Female,18,1,92.31,2.55,Education,Yes,No
408,Female,18,8,81.44,3.86,Arts,No,No
409,Female,23,29,86.77,3.35,Business,No,No
410,Female,24,39,88.39,2.99,Engineering,Yes,Yes
411,Male,24,3,75.24,2.03,Education,Yes,No
412,Female,18,32,77.17,3.98,Arts,Yes,No
413,Female,22,10,75.7,3.34,Business,No,Yes
414,Male,23,10,79.4,2.63,Business,Yes,No
415,Male,23,19,51.47,3.76,Business,No,Yes
416,Male,20,34,69.78,2.52,Business,Yes,Yes
417,Male,24,33,80.31,3.09,Business,No,Yes
418,Female,18,23,79.89,3.27,Education,Yes,No
419,Female,20,28,89.65,2.44,Arts,Yes,Yes
420,Female,21,32,82.75,3.96,Business,No,Yes
421,Female,19,7,99.61,3.5,Science,No,Yes
422,Female,23,29,64.19,3.12,Science,No,No
423,Female,21,8,67.96,2.36,Arts,No,No
424,Male,21,1,69.19,2.11,Engineering,No,No
425,Female,22,3,73.29,2.64,Engineering,No,No
426,Male,19,24,91.8,3.51,Engineering,Yes,No
427,Male,21,23,61.79,2.54,Science,No,No
428,Female,21,8,88.8,3.08,Engineering,Yes,No
429,Male,19,37,70.27,3.46,Education,Yes,Yes
430,Female,19,3,80.09,2.22,Business,No,Yes
431,Male,21,33,81.63,3.37,Science,Yes,Yes
432,Female,19,28,68.64,2.18,Arts,No,Yes
433,Male,21,8,75.63,3.93,Arts,No,No
434,Female,21,34,70.65,2.98,Business,Yes,Yes
435,Female,22,35,53.46,2.3,Science,Yes,Yes
436,Female,18,32,71.86,2.68,Engineering,No,Yes
437,Female,21,24,54.87,2.83,Engineering,No,Yes
438,Female,20,14,70.25,3.52,Education,Yes,No
439,Male,23,32,79.65,3.49,Education,Yes,No
440,Male,24,16,78.97,3.22,Engineering,Yes,No
441,Male,18,4,83.13,2.21,Arts,Yes,Yes
442,Female,18,37,54.76,2.3,Arts,No,No
443,Male,18,21,82.61,2.19,Education,No,Yes
444,Female,22,14,65.61,3.15,Business,No,No
445,Female,21,31,69.95,3.75,Engineering,No,No
446,Male,22,18,92.9,2.87,Education,Yes,No
447,Male,21,7,50.45,2.32,Education,Yes,No
448,Female,22,10,79.42,3.12,Engineering,No,No
449,Male,22,7,79.94,3.62,Engineering,No,Yes
450,Female,23,33,69.83,3.48,Arts,No,No
451,Female,20,23,61.85,3.76,Business,No,Yes
452,Female,22,21,61.73,2.56,Business,No,Yes
453,Female,23,19,94.19,2.39,Engineering,No,Yes
454,Female,19,19,72.1,3.76,Science,No,Yes
455,Male,20,36,66.54,3.32,Education,No,Yes
456,Male,22,29,72.44,2.62,Education,No,No
457,Female,24,18,83.47,3.48,Engineering,Yes,No
458,Female,18,2,57.29,3.63,Science,No,No
459,Male,19,1,72.47,3.23,Arts,Yes,No
460,Male,19,5,79.39,3.38,Engineering,Yes,Yes
461,Female,23,20,97.43,2.75,Engineering,No,No
462,Male,19,11,62.63,3.08,Education,No,No
463,Female,20,2,67.96,3.05,Engineering,Yes,Yes
464,Male,22,3,68.97,3.7,Engineering,Yes,Yes
465,Female,22,23,80.28,3.68,Engineering,No,No
466,Male,24,12,67.84,3.67,Education,Yes,No
467,Female,18,20,76.68,2.02,Arts,No,Yes
468,Male,23,5,89.09,3.5,Arts,No,No
469,Male,18,37,85.27,3.52,Engineering,No,No
470,Female,19,38,72.32,3.36,Education,Yes,No
471,Male,24,30,93.21,3.51,Arts,Yes,No
472,Female,18,9,77.91,3.68,Arts,No,Yes
473,Male,20,34,77.0,2.94,Arts,Yes,Yes
474,Female,22,35,51.71,3.0,Education,Yes,Yes
475,Male,19,22,99.33,2.25,Education,Yes,No
476,Female,24,24,56.15,2.77,Engineering,Yes,No
477,Male,18,17,61.56,3.29,Business,Yes,No
478,Female,23,10,52.58,3.56,Arts,Yes,No
479,Male,20,30,82.0,2.43,Business,Yes,No
480,Female,20,23,61.24,2.28,Education,No,Yes
481,Female,18,32,59.0,3.33,Education,Yes,No
482,Female,22,17,54.43,2.0,Education,Yes,No
483,Male,18,17,55.17,2.36,Business,Yes,Yes
484,Female,19,14,79.23,2.06,Education,Yes,No
485,Male,18,9,84.41,2.33,Engineering,Yes,Yes
486,Female,20,2,69.87,2.36,Education,Yes,Yes
487,Male,24,25,73.99,2.78,Science,Yes,Yes
488,Female,18,39,84.3,2.8,Business,Yes,Yes
489,Male,22,9,50.87,3.75,Science,No,Yes
490,Male,24,22,66.16,3.02,Education,Yes,No
491,Female,23,4,98.65,3.45,Engineering,Yes,Yes
492,Male,21,26,79.01,2.21,Arts,Yes,Yes
493,Male,18,29,62.71,2.45,Education,Yes,No
494,Female,22,34,76.09,3.41,Engineering,No,No
495,Male,24,23,67.13,2.11,Business,No,Yes
496,Male,22,37,76.61,2.97,Science,No,No
497,Male,23,11,56.29,3.2,Science,No,No
498,Female,20,6,56.64,3.2,Science,No,Yes
499,Male,22,18,57.18,2.05,Business,No,Yes
500,Female,24,21,96.99,2.64,Engineering,No,No
