City,Accomadation_Type,Accomdation_Cost
Mount Abu,Homestay,700 - 500
Mount Abu,Luxury Camps,1200 -5000
Mount Abu,Boutique Hotel,500 - 6000
Wayanad,Hotel,500 - 6000
Wayanad,GuestHouse,800 - 3000
Wayanad,Homestay,700 - 500
Wayanad,Luxury Camps,1200 -5000
Wayanad,Boutique Hotel,500 - 6000
Hyderabad,Hotel,500 - 6000
Hyderabad,GuestHouse,800 - 3000
Hyderabad,Homestay,700 - 500
Hyderabad,Luxury Camps,1200 -5000
Hyderabad,Boutique Hotel,500 - 6000
Pondicherry,Hotel,500 - 6000
Pondicherry,GuestHouse,800 - 3000
Pondicherry,Homestay,700 - 500
Pondicherry,Luxury Camps,1200 -5000
Pondicherry,Boutique Hotel,500 - 6000
Khajuraho,Hotel,2000 -8000
Khajuraho,GuestHouse,1000 - 4000
Khajuraho,Homestay,800 - 3000
Khajuraho,Luxury Camps,1200 -5000
Khajuraho,Boutique Hotel,500 - 6000
Chennai,Hotel,500 - 6000
Chennai,GuestHouse,800 - 3000
Chennai,Homestay,700 - 500
Chennai,Luxury Camps,1200 -5000
Chennai,Boutique Hotel,500 - 6000
Vaishno Devi,Hotel,500 - 6000
Vaishno Devi,GuestHouse,800 - 3000
Vaishno Devi,Homestay,700 - 500
Vaishno Devi,Luxury Camps,1200 -5000
Vaishno Devi,Boutique Hotel,500 - 6000
Ajanta and Ellora Caves,Hotel,2000 -8000
Ajanta and Ellora Caves,GuestHouse,1000 - 4000
Ajanta and Ellora Caves,Homestay,800 - 3000
Ajanta and Ellora Caves,Luxury Camps,1200 -5000
Ajanta and Ellora Caves,Boutique Hotel,500 - 6000
Haridwar,Hotel,500 - 6000
Haridwar,GuestHouse,800 - 3000
Haridwar,Homestay,700 - 500
Haridwar,Luxury Camps,1200 -5000
Haridwar,Boutique Hotel,500 - 6000
Kanyakumari,Hotel,500 - 6000
Kanyakumari,GuestHouse,800 - 3000
Kanyakumari,Homestay,700 - 500
Kanyakumari,Luxury Camps,1200 -5000
Kanyakumari,Boutique Hotel,500 - 6000
Pune,Hotel,2000 -8000
Pune,GuestHouse,1000 - 4000
Pune,Homestay,800 - 3000
Pune,Luxury Camps,1200 -5000
Pune,Boutique Hotel,500 - 6000
Kochi,Hotel,500 - 6000
Kochi,GuestHouse,800 - 3000
Kochi,Homestay,700 - 500
Kochi,Luxury Camps,1200 -5000
Kochi,Boutique Hotel,500 - 6000
Ahmedabad,Hotel,500 - 6000
Ahmedabad,GuestHouse,800 - 3000
Ahmedabad,Homestay,700 - 500
Ahmedabad,Luxury Camps,1200 -5000
Ahmedabad,Boutique Hotel,500 - 6000
Kanha National Park,Hotel,2000 -8000
Kanha National Park,GuestHouse,1000 - 4000
Kanha National Park,Homestay,800 - 3000
Kanha National Park,Luxury Camps,1200 -5000
Kanha National Park,Boutique Hotel,500 - 6000
Mysore,Hotel,500 - 6000
Mysore,GuestHouse,800 - 3000
Mysore,Homestay,700 - 500
Mysore,Luxury Camps,1200 -5000
Mysore,Boutique Hotel,500 - 6000
Chandigarh,Hotel,500 - 6000
Chandigarh,GuestHouse,800 - 3000
Chandigarh,Homestay,700 - 500
Chandigarh,Luxury Camps,1200 -5000
Chandigarh,Boutique Hotel,500 - 6000
Hampi,Hotel,500 - 6000
Hampi,GuestHouse,800 - 3000
Hampi,Homestay,700 - 500
Hampi,Luxury Camps,1200 -5000
Hampi,Boutique Hotel,500 - 6000
Gulmarg,Hotel,2000 -8000
Gulmarg,GuestHouse,1000 - 4000
Gulmarg,Homestay,800 - 3000
Gulmarg,Luxury Camps,1200 -5000
Gulmarg,Boutique Hotel,500 - 6000
Almora,Hotel,500 - 6000
Almora,GuestHouse,800 - 3000
Almora,Homestay,700 - 500
Almora,Luxury Camps,1200 -5000
Almora,Boutique Hotel,500 - 6000
Shirdi,Hotel,500 - 6000
Shirdi,GuestHouse,800 - 3000
Shirdi,Homestay,700 - 500
Shirdi,Luxury Camps,1200 -5000
Shirdi,Boutique Hotel,500 - 6000
Auli,Hotel,2000 -8000
Auli,GuestHouse,1000 - 4000
Auli,Homestay,800 - 3000
Auli,Luxury Camps,1200 -5000
Auli,Boutique Hotel,500 - 6000
Madurai,Hotel,500 - 6000
Madurai,GuestHouse,800 - 3000
Madurai,Homestay,700 - 500
Madurai,Luxury Camps,1200 -5000
Madurai,Boutique Hotel,500 - 6000
Amarnath,Hotel,2000 -8000
Amarnath,GuestHouse,1000 - 4000
Amarnath,Homestay,800 - 3000
Amarnath,Luxury Camps,1200 -5000
Amarnath,Boutique Hotel,500 - 6000
Bodh Gaya,Hotel,500 - 6000
Bodh Gaya,GuestHouse,800 - 3000
Bodh Gaya,Homestay,700 - 500
Bodh Gaya,Luxury Camps,1200 -5000
Bodh Gaya,Boutique Hotel,500 - 6000
Mahabaleshwar,Hotel,500 - 6000
Mahabaleshwar,GuestHouse,800 - 3000
Mahabaleshwar,Homestay,700 - 500
Mahabaleshwar,Luxury Camps,1200 -5000
Mahabaleshwar,Boutique Hotel,500 - 6000
Visakhapatnam,Hotel,500 - 6000
Visakhapatnam,GuestHouse,800 - 3000
Visakhapatnam,Homestay,700 - 500
Visakhapatnam,Luxury Camps,1200 -5000
Visakhapatnam,Boutique Hotel,500 - 6000
Kasol,Hotel,2000 -8000
Kasol,GuestHouse,1000 - 4000
Kasol,Homestay,800 - 3000
Kasol,Luxury Camps,1200 -5000
Kasol,Boutique Hotel,500 - 6000
Nashik,Hotel,500 - 6000
Nashik,GuestHouse,800 - 3000
Nashik,Homestay,700 - 500
Nashik,Luxury Camps,1200 -5000
Nashik,Boutique Hotel,500 - 6000
Tirupati,Hotel,500 - 6000
Tirupati,GuestHouse,800 - 3000
Tirupati,Homestay,700 - 500
Tirupati,Luxury Camps,1200 -5000
Tirupati,Boutique Hotel,500 - 6000
Ujjain,Hotel,2000 -8000
Ujjain,GuestHouse,1000 - 4000
Ujjain,Homestay,800 - 3000
Ujjain,Luxury Camps,1200 -5000
Ujjain,Boutique Hotel,500 - 6000
Jim Corbett National Park,Hotel,500 - 6000
Jim Corbett National Park,GuestHouse,800 - 3000
Jim Corbett National Park,Homestay,700 - 500
Jim Corbett National Park,Luxury Camps,1200 -5000
Jim Corbett National Park,Boutique Hotel,500 - 6000
Gwalior,Hotel,500 - 6000
Gwalior,GuestHouse,800 - 3000
Gwalior,Homestay,700 - 500
Gwalior,Luxury Camps,1200 -5000
Gwalior,Boutique Hotel,500 - 6000
Mathura,Hotel,500 - 6000
Mathura,GuestHouse,"500 - 6000
800 - "
Mathura,Homestay,700 - 500
Mathura,Luxury Camps,1200 -5000
Mathura,Boutique Hotel,500 - 6000
Jog Falls,Hotel,2000 -8000
Jog Falls,GuestHouse,1000 - 4000
Jog Falls,Homestay,800 - 3000
Jog Falls,Luxury Camps,1200 -5000
Jog Falls,Boutique Hotel,500 - 6000
Alibaug,Hotel,500 - 6000
Alibaug,GuestHouse,800 - 3000
Alibaug,Homestay,700 - 500
Alibaug,Luxury Camps,1200 -5000
Alibaug,Boutique Hotel,500 - 6000
Rameshwaram,Hotel,500 - 6000
Rameshwaram,GuestHouse,800 - 3000
Rameshwaram,Homestay,700 - 500
Rameshwaram,Luxury Camps,1200 -5000
Rameshwaram,Boutique Hotel,500 - 6000
Vrindavan,Hotel,2000 -8000
Vrindavan,GuestHouse,1000 - 4000
Vrindavan,Homestay,800 - 3000
Vrindavan,Luxury Camps,1200 -5000
Vrindavan,Boutique Hotel,500 - 6000
Coimbatore,Hotel,500 - 6000
Coimbatore,GuestHouse,800 - 3000
Coimbatore,Homestay,700 - 500
Coimbatore,Luxury Camps,1200 -5000
Coimbatore,Boutique Hotel,500 - 6000
Lucknow,Hotel,500 - 6000
Lucknow,GuestHouse,800 - 3000
Lucknow,Homestay,700 - 500
Lucknow,Luxury Camps,1200 -5000
Lucknow,Boutique Hotel,500 - 6000
Digha,Hotel,500 - 6000
Digha,GuestHouse,800 - 3000
Digha,Homestay,700 - 500
Digha,Luxury Camps,1200 -5000
Digha,Boutique Hotel,500 - 6000
Dharamshala,Hotel,500 - 6000
Dharamshala,GuestHouse,800 - 3000
Dharamshala,Homestay,700 - 500
Dharamshala,Luxury Camps,1200 -5000
Dharamshala,Boutique Hotel,500 - 6000
Kovalam,Hotel,2000 -8000
Kovalam,GuestHouse,1000 - 4000
Kovalam,Homestay,800 - 3000
Kovalam,Luxury Camps,1200 -5000
Kovalam,Boutique Hotel,500 - 6000
Kaziranga National Park,Hotel,500 - 6000
Kaziranga National Park,GuestHouse,800 - 3000
Kaziranga National Park,Homestay,700 - 500
Kaziranga National Park,Luxury Camps,1200 -5000
Kaziranga National Park,Boutique Hotel,500 - 6000
Madikeri,Hotel,500 - 6000
Madikeri,GuestHouse,800 - 3000
Madikeri,Homestay,700 - 500
Madikeri,Luxury Camps,1200 -5000
Madikeri,Boutique Hotel,500 - 6000
Matheran,Hotel,500 - 6000
Matheran,GuestHouse,800 - 3000
Matheran,Homestay,700 - 500
Matheran,Luxury Camps,1200 -5000
Matheran,Boutique Hotel,500 - 6000
Ranthambore,Hotel,2000 -8000
Ranthambore,GuestHouse,1000 - 4000
Ranthambore,Homestay,800 - 3000
Ranthambore,Luxury Camps,1200 -5000
Ranthambore,Boutique Hotel,500 - 6000
Agartala,Hotel,500 - 6000
Agartala,GuestHouse,800 - 3000
Agartala,Homestay,700 - 500
Agartala,Luxury Camps,1200 -5000
Agartala,Boutique Hotel,500 - 6000
Khandala,Hotel,500 - 6000
Khandala,GuestHouse,800 - 3000
Khandala,Homestay,700 - 500
Khandala,Luxury Camps,1200 -5000
Khandala,Boutique Hotel,500 - 6000
Kalimpong,Hotel,2000 -8000
Kalimpong,GuestHouse,1000 - 4000
Kalimpong,Homestay,800 - 3000
Kalimpong,Luxury Camps,1200 -5000
Kalimpong,Boutique Hotel,500 - 6000
Thanjavur,Hotel,500 - 6000
Thanjavur,GuestHouse,800 - 3000
Thanjavur,Homestay,700 - 500
Thanjavur,Luxury Camps,1200 -5000
Thanjavur,Boutique Hotel,500 - 6000
Bhubaneswar,Hotel,2000 -8000
Bhubaneswar,GuestHouse,1000 - 4000
Bhubaneswar,Homestay,800 - 3000
Bhubaneswar,Luxury Camps,1200 -5000
Bhubaneswar,Boutique Hotel,500 - 6000
Ajmer,Hotel,500 - 6000
Ajmer,GuestHouse,800 - 3000
Ajmer,Homestay,700 - 500
Ajmer,Luxury Camps,1200 -5000
Ajmer,Boutique Hotel,500 - 6000
Aurangabad,Hotel,500 - 6000
Aurangabad,GuestHouse,800 - 3000
Aurangabad,Homestay,700 - 500
Aurangabad,Luxury Camps,1200 -5000
Aurangabad,Boutique Hotel,500 - 6000
Jammu,Hotel,2000 -8000
Jammu,GuestHouse,1000 - 4000
Jammu,Homestay,800 - 3000
Jammu,Luxury Camps,1200 -5000
Jammu,Boutique Hotel,500 - 6000
Dehradun,Hotel,500 - 6000
Dehradun,GuestHouse,800 - 3000
Dehradun,Homestay,700 - 500
Dehradun,Luxury Camps,1200 -5000
Dehradun,Boutique Hotel,500 - 6000
Puri,Hotel,2000 -8000
Puri,GuestHouse,1000 - 4000
Puri,Homestay,800 - 3000
Puri,Luxury Camps,1200 -5000
Puri,Boutique Hotel,500 - 6000
Cherrapunji,Hotel,500 - 6000
Cherrapunji,GuestHouse,800 - 3000
Cherrapunji,Homestay,700 - 500
Cherrapunji,Luxury Camps,1200 -5000
Cherrapunji,Boutique Hotel,500 - 6000
Bikaner,Hotel,2000 -8000
Bikaner,GuestHouse,1000 - 4000
Bikaner,Homestay,800 - 3000
Bikaner,Luxury Camps,1200 -5000
Bikaner,Boutique Hotel,500 - 6000
Shimoga (Shivamogga),Hotel,500 - 6000
Shimoga (Shivamogga),GuestHouse,800 - 3000
Shimoga (Shivamogga),Homestay,700 - 500
Shimoga (Shivamogga),Luxury Camps,1200 -5000
Shimoga (Shivamogga),Boutique Hotel,500 - 6000
Hogenakkal,Hotel,2000 -8000
Hogenakkal,GuestHouse,1000 - 4000
Hogenakkal,Homestay,800 - 3000
Hogenakkal,Luxury Camps,1200 -5000
Hogenakkal,Boutique Hotel,500 - 6000
Gir National Park,Hotel,500 - 6000
Gir National Park,GuestHouse,800 - 3000
Gir National Park,Homestay,700 - 500
Gir National Park,Luxury Camps,1200 -5000
Gir National Park,Boutique Hotel,500 - 6000
Kasauli,Hotel,500 - 6000
Kasauli,GuestHouse,800 - 3000
Kasauli,Homestay,700 - 500
Kasauli,Luxury Camps,1200 -5000
Kasauli,Boutique Hotel,500 - 6000
Pushkar,Hotel,2000 -8000
Pushkar,GuestHouse,1000 - 4000
Pushkar,Homestay,800 - 3000
Pushkar,Luxury Camps,1200 -5000
Pushkar,Boutique Hotel,500 - 6000
Chittorgarh,Hotel,2000 -8000
Chittorgarh,GuestHouse,1000 - 4000
Chittorgarh,Homestay,800 - 3000
Chittorgarh,Luxury Camps,1200 -5000
Chittorgarh,Boutique Hotel,500 - 6000
Nahan,Hotel,2000 -8000
Nahan,GuestHouse,1000 - 4000
Nahan,Homestay,800 - 3000
Nahan,Luxury Camps,1200 -5000
Nahan,Boutique Hotel,500 - 6000
Lavasa,Hotel,500 - 6000
Lavasa,GuestHouse,800 - 3000
Lavasa,Homestay,700 - 500
Lavasa,Luxury Camps,1200 -5000
Lavasa,Boutique Hotel,500 - 6000
Poovar,Hotel,2000 -8000
Poovar,GuestHouse,1000 - 4000
Poovar,Homestay,800 - 3000
Poovar,Luxury Camps,1200 -5000
Poovar,Boutique Hotel,500 - 6000
