STATE/UT,YEAR,No. Of Cases In Which Offenders Were Known To The Victims,No. Of Cases In Which Offenders Were Parents / Close Family Members,No. Of Cases In Which Offenders Were Relatives,No. Of Cases In Which Offenders Were Neighbours,No. Of Cases In Which Offenders Were Other Known Persons
Chhattisgarh,2012,1034,30,51,301,652
Goa,2001,12,0,1,5,6
Goa,2002,11,0,1,4,6
Goa,2003,29,0,0,9,20
Goa,2004,36,1,0,14,21
Goa,2005,17,1,1,6,9
Goa,2006,19,1,0,6,12
Goa,2007,20,1,3,6,10
Goa,2008,27,0,1,8,18
Goa,2009,43,1,3,16,23
Goa,2010,34,2,1,13,18
Goa,2011,28,1,1,7,19
Goa,2012,55,3,3,16,33
Gujarat,2001,285,2,16,39,228
Gujarat,2002,253,10,11,39,193
Gujarat,2003,202,7,4,43,148
Gujarat,2004,321,14,15,70,222
Gujarat,2005,314,19,9,59,227
Gujarat,2006,354,16,19,57,262
Gujarat,2007,307,3,18,74,212
Gujarat,2008,370,4,36,81,249
Gujarat,2009,419,18,14,111,276
Gujarat,2010,404,4,22,61,317
Gujarat,2011,438,2,29,74,333
Gujarat,2012,461,8,29,58,366
Haryana,2001,398,0,55,107,236
Haryana,2002,292,52,8,90,142
Haryana,2003,304,14,15,127,148
Haryana,2004,386,20,35,133,198
Haryana,2005,457,15,7,204,231
Haryana,2006,608,10,25,285,288
Haryana,2007,447,3,14,224,206
Haryana,2008,603,8,30,234,331
Haryana,2009,603,12,23,267,301
Haryana,2010,720,15,30,312,363
Haryana,2011,733,8,43,393,289
Haryana,2012,668,10,58,253,347
Himachal Pradesh,2001,124,0,7,32,85
Himachal Pradesh,2002,136,1,10,42,83
Himachal Pradesh,2003,118,2,8,23,85
Himachal Pradesh,2004,142,8,9,41,84
Himachal Pradesh,2005,139,5,8,43,83
Himachal Pradesh,2006,111,7,5,33,66
Himachal Pradesh,2007,159,2,4,31,122
Himachal Pradesh,2008,157,1,2,20,134
Himachal Pradesh,2009,180,10,12,36,122
Himachal Pradesh,2010,133,7,6,32,88
Himachal Pradesh,2011,168,8,7,25,128
Himachal Pradesh,2012,175,8,5,51,111
Jammu & Kashmir,2001,169,2,1,23,143
Jammu & Kashmir,2002,186,3,22,40,121
Jammu & Kashmir,2003,211,2,19,61,129
Jammu & Kashmir,2004,206,1,28,60,117
Jammu & Kashmir,2005,201,0,26,60,115
Jammu & Kashmir,2006,250,0,26,58,166
Jammu & Kashmir,2007,275,0,32,70,173
Jammu & Kashmir,2008,219,0,14,65,140
Jammu & Kashmir,2009,237,4,10,41,182
Jammu & Kashmir,2010,245,0,10,42,193
Jammu & Kashmir,2011,276,0,18,77,181
Jammu & Kashmir,2012,292,0,13,71,208
Jharkhand,2001,456,12,49,222,173
Jharkhand,2002,488,18,74,163,233
Jharkhand,2003,444,14,78,291,61
Jharkhand,2004,488,18,74,163,233
Jharkhand,2005,525,120,23,153,229
Jharkhand,2006,678,94,50,173,361
Jharkhand,2007,747,0,50,225,472
Jharkhand,2008,742,12,17,186,527
Jharkhand,2009,719,22,46,266,385
Jharkhand,2010,771,11,84,266,410
Jharkhand,2011,784,8,117,306,353
Jharkhand,2012,812,0,85,357,370
Karnataka,2001,183,5,24,54,100
Karnataka,2002,196,4,10,61,121
Karnataka,2003,256,1,25,95,135
Karnataka,2004,217,7,22,92,96
Karnataka,2005,298,5,29,100,164
Karnataka,2006,315,2,35,95,183
Karnataka,2007,404,2,28,115,259
Karnataka,2008,347,0,20,117,210
Karnataka,2009,325,18,26,93,188
Karnataka,2010,466,2,31,169,264
Karnataka,2011,352,1,42,81,228
Karnataka,2012,526,2,42,142,340
Kerala,2001,547,4,34,227,282
Kerala,2002,489,4,34,231,220
Kerala,2003,386,7,33,153,193
Kerala,2004,480,3,47,186,244
Kerala,2005,475,12,44,217,202
Kerala,2006,595,28,38,267,262
Kerala,2007,509,21,46,149,293
Kerala,2008,567,17,27,171,352
Kerala,2009,568,18,38,147,365
Kerala,2010,632,14,65,204,349
Kerala,2011,1119,38,56,244,781
Kerala,2012,1019,47,50,203,719
Madhya Pradesh,2001,1881,301,188,762,630
Madhya Pradesh,2002,2891,72,174,968,1677
Madhya Pradesh,2003,2738,123,239,1007,1369
Madhya Pradesh,2004,2800,63,253,938,1546
Madhya Pradesh,2005,2820,141,230,999,1450
Madhya Pradesh,2006,29,29,0,0,0
Madhya Pradesh,2007,3010,49,180,1397,1384
Madhya Pradesh,2008,2937,52,173,1279,1433
Madhya Pradesh,2009,2998,14,202,1254,1528
Madhya Pradesh,2010,3135,21,232,1223,1659
Madhya Pradesh,2011,3406,10,301,1849,1246
Madhya Pradesh,2012,3425,36,255,1779,1355
Maharashtra,2001,1279,20,70,394,795
Maharashtra,2002,1316,21,56,378,861
Maharashtra,2003,1249,18,60,410,761
Maharashtra,2004,1352,31,54,372,895
Maharashtra,2005,1487,38,89,524,836
Maharashtra,2006,1476,36,98,574,768
Maharashtra,2007,1426,40,111,521,754
Maharashtra,2008,1485,35,73,545,832
Maharashtra,2009,1454,76,93,533,752
Maharashtra,2010,1573,44,84,583,862
Maharashtra,2011,1699,43,97,566,993
Maharashtra,2012,1832,77,153,501,1101
Manipur,2001,20,2,1,2,15
Manipur,2002,14,3,1,3,7
Manipur,2003,18,0,0,3,15
Manipur,2004,30,0,0,2,28
Manipur,2005,25,1,0,1,23
Manipur,2006,20,0,0,3,17
Manipur,2007,20,1,0,7,12
Manipur,2008,38,0,0,18,20
Manipur,2009,31,0,0,13,18
Manipur,2010,34,0,0,13,21
Manipur,2011,53,0,0,16,37
Manipur,2012,63,5,0,18,40
Meghalaya,2001,15,5,0,5,5
Meghalaya,2002,31,1,0,4,26
Meghalaya,2003,34,5,0,9,20
Meghalaya,2004,54,4,12,15,23
Meghalaya,2005,51,4,1,18,28
Meghalaya,2006,74,0,6,41,27
Meghalaya,2007,81,9,2,32,38
Meghalaya,2008,86,5,14,24,43
Meghalaya,2009,108,5,7,20,76
Meghalaya,2010,146,8,6,36,96
Meghalaya,2011,117,6,14,24,73
Meghalaya,2012,144,23,6,28,87
Mizoram,2001,23,0,1,12,10
Mizoram,2002,37,0,1,16,20
Mizoram,2003,45,2,2,11,30
Mizoram,2004,12,0,0,12,0
Mizoram,2005,0,0,0,0,0
Mizoram,2006,40,0,4,6,30
Mizoram,2007,68,2,4,17,45
Mizoram,2008,14,3,0,9,2
Mizoram,2009,75,3,6,32,34
Mizoram,2010,50,3,2,0,45
Mizoram,2011,77,3,16,32,26
Mizoram,2012,102,4,20,34,44
Nagaland,2001,9,1,0,1,7
Nagaland,2002,4,0,0,0,4
Nagaland,2003,3,0,0,1,2
Nagaland,2004,15,0,0,0,15
Nagaland,2005,16,0,0,0,16
Nagaland,2006,14,0,0,2,12
Nagaland,2007,3,1,0,0,2
Nagaland,2008,9,1,0,1,7
Nagaland,2009,8,0,0,0,8
Nagaland,2010,13,1,0,4,8
Nagaland,2011,16,9,0,4,3
Nagaland,2012,16,1,2,6,7
Odisha,2001,720,4,33,163,520
Odisha,2002,669,1,40,160,468
Odisha,2003,442,0,30,102,310
Odisha,2004,541,1,12,175,353
Odisha,2005,659,7,40,106,506
Odisha,2006,850,0,46,164,640
Odisha,2007,0,0,0,0,0
Odisha,2008,846,17,53,205,571
Odisha,2009,959,6,74,258,621
Odisha,2010,1025,37,69,287,632
Odisha,2011,1112,0,92,302,718
Odisha,2012,1458,2,136,369,951
Punjab,2001,298,0,6,190,102
Punjab,2002,299,4,15,150,130
Punjab,2003,380,9,15,137,219
Punjab,2004,384,65,13,123,183
Punjab,2005,378,50,13,131,184
Punjab,2006,442,1,24,118,299
Punjab,2007,506,7,14,153,332
Punjab,2008,517,2,13,154,348
Punjab,2009,433,8,22,114,289
Punjab,2010,542,17,32,218,275
Punjab,2011,467,6,61,156,244
Punjab,2012,651,4,66,261,320
Rajasthan,2001,868,18,43,185,622
Rajasthan,2002,919,31,40,195,653
Rajasthan,2003,926,32,30,218,646
Rajasthan,2004,945,39,48,186,672
Rajasthan,2005,961,33,52,177,699
Rajasthan,2006,990,42,100,271,577
Rajasthan,2007,1159,42,118,400,599
Rajasthan,2008,1282,40,77,356,809
Rajasthan,2009,1398,36,95,425,842
Rajasthan,2010,1437,24,101,503,809
Rajasthan,2011,1689,43,134,502,1010
Rajasthan,2012,2013,44,174,582,1213
Sikkim,2001,2,1,0,0,1
Sikkim,2002,6,1,0,2,3
Sikkim,2003,10,0,0,0,10
Sikkim,2004,3,0,0,0,3
Sikkim,2005,18,1,0,0,17
Sikkim,2006,20,0,0,0,20
Sikkim,2007,24,4,3,3,14
Sikkim,2008,20,1,0,1,18
Sikkim,2009,18,0,0,11,7
Sikkim,2010,17,2,1,4,10
Sikkim,2011,16,1,0,1,14
Sikkim,2012,34,0,0,6,28
Tamil Nadu,2001,398,21,57,100,220
Tamil Nadu,2002,505,0,74,178,253
Tamil Nadu,2003,541,40,67,163,271
Tamil Nadu,2004,592,36,95,209,252
Tamil Nadu,2005,566,11,71,210,274
Tamil Nadu,2006,455,1,49,150,255
Tamil Nadu,2007,511,2,58,124,327
Tamil Nadu,2008,571,1,70,169,331
Tamil Nadu,2009,569,4,66,171,328
Tamil Nadu,2010,666,0,76,190,400
Tamil Nadu,2011,675,2,96,249,328
Tamil Nadu,2012,737,4,87,196,450
Tripura,2001,102,0,0,0,102
Tripura,2002,108,0,0,8,100
Tripura,2003,114,0,0,12,102
Tripura,2004,160,1,14,97,48
Tripura,2005,162,0,7,108,47
Tripura,2006,189,4,16,110,59
Tripura,2007,157,0,12,90,55
Tripura,2008,204,0,8,125,71
Tripura,2009,190,0,13,113,64
Tripura,2010,238,0,76,127,35
Tripura,2011,205,1,14,99,91
Tripura,2012,229,1,49,142,37
Uttar Pradesh,2001,1747,3,123,593,1028
Uttar Pradesh,2002,1142,12,76,445,609
Uttar Pradesh,2003,766,10,65,320,371
Uttar Pradesh,2004,1266,35,67,445,719
Uttar Pradesh,2005,1147,70,77,400,600
Uttar Pradesh,2006,1287,0,98,418,771
Uttar Pradesh,2007,1638,1,114,535,988
Uttar Pradesh,2008,1871,1,148,507,1215
Uttar Pradesh,2009,1759,2,83,485,1189
Uttar Pradesh,2010,1562,4,85,411,1062
Uttar Pradesh,2011,2042,2,79,452,1509
Uttar Pradesh,2012,1953,12,107,560,1274
Uttarakhand,2001,74,0,6,20,48
Uttarakhand,2002,89,16,14,11,48
Uttarakhand,2003,107,2,4,26,75
Uttarakhand,2004,115,13,3,19,80
Uttarakhand,2005,133,3,4,26,100
Uttarakhand,2006,147,6,9,51,81
Uttarakhand,2007,117,8,11,23,75
Uttarakhand,2008,82,6,0,5,71
Uttarakhand,2009,107,6,5,19,77
Uttarakhand,2010,103,11,4,29,59
Uttarakhand,2011,112,4,6,35,67
Uttarakhand,2012,116,14,8,26,68
West Bengal,2001,18,0,0,1,17
West Bengal,2002,32,0,1,11,20
West Bengal,2003,41,15,3,11,12
West Bengal,2004,24,24,0,0,0
West Bengal,2005,49,36,1,5,7
West Bengal,2006,411,6,19,158,228
West Bengal,2007,1908,114,237,535,1022
West Bengal,2008,1034,9,39,268,718
West Bengal,2009,1828,3,237,651,937
West Bengal,2010,2134,4,106,1037,987
West Bengal,2011,1184,7,20,540,617
West Bengal,2012,1904,6,40,984,874
A&N Islands,2001,3,1,0,0,2
A&N Islands,2002,2,0,0,0,2
A&N Islands,2003,2,0,0,0,2
A&N Islands,2004,10,0,0,2,8
A&N Islands,2005,4,0,0,1,3
A&N Islands,2006,6,0,0,0,6
A&N Islands,2007,3,0,0,0,3
A&N Islands,2008,12,0,0,0,12
A&N Islands,2009,18,0,1,6,11
A&N Islands,2010,24,0,0,4,20
A&N Islands,2011,13,0,3,1,9
A&N Islands,2012,12,1,0,2,9
Chandigarh,2001,18,2,0,7,9
Chandigarh,2002,17,2,0,6,9
Chandigarh,2003,18,1,7,10,0
Chandigarh,2004,19,1,1,10,7
Chandigarh,2005,33,1,0,11,21
Chandigarh,2006,19,5,3,1,10
Chandigarh,2007,22,2,0,3,17
Chandigarh,2008,20,3,1,3,13
Chandigarh,2009,29,0,0,4,25
Chandigarh,2010,31,0,1,8,22
Chandigarh,2011,27,0,0,2,25
Chandigarh,2012,27,4,6,16,1
D&N Haveli,2001,6,0,0,3,3
D&N Haveli,2002,4,0,0,1,3
D&N Haveli,2003,1,0,0,0,1
D&N Haveli,2004,7,0,0,2,5
D&N Haveli,2005,5,0,0,2,3
D&N Haveli,2006,6,0,0,3,3
D&N Haveli,2007,7,0,0,3,4
D&N Haveli,2008,5,0,0,2,3
D&N Haveli,2009,4,0,0,1,3
D&N Haveli,2010,3,0,0,0,3
D&N Haveli,2011,4,0,0,0,4
D&N Haveli,2012,3,1,0,0,2
Daman & Diu,2001,0,0,0,0,0
Daman & Diu,2002,0,0,0,0,0
Daman & Diu,2003,5,0,0,2,3
Daman & Diu,2004,1,0,0,1,0
Daman & Diu,2005,2,0,0,0,2
Daman & Diu,2006,3,0,0,2,1
Daman & Diu,2007,1,0,0,0,1
Daman & Diu,2008,0,0,0,0,0
Daman & Diu,2009,1,0,0,0,1
Daman & Diu,2010,1,0,0,1,0
Daman & Diu,2011,1,0,1,0,0
Daman & Diu,2012,5,0,0,0,5
Delhi UT,2001,272,9,13,179,71
Delhi UT,2002,355,32,15,177,131
Delhi UT,2003,457,21,23,216,197
Delhi UT,2004,518,16,23,249,230
Delhi UT,2005,641,32,23,350,236
Delhi UT,2006,592,26,28,360,178
Delhi UT,2007,590,18,78,362,132
Delhi UT,2008,457,37,13,261,146
Delhi UT,2009,456,19,32,215,190
Delhi UT,2010,487,21,53,231,182
Delhi UT,2011,558,23,59,211,265
Delhi UT,2012,680,41,61,248,330
Lakshadweep,2001,0,0,0,0,0
Lakshadweep,2002,1,0,0,0,1
Lakshadweep,2003,0,0,0,0,0
Lakshadweep,2004,2,0,0,0,0
Lakshadweep,2005,0,0,0,0,0
Lakshadweep,2006,0,0,0,0,0
Lakshadweep,2007,1,0,0,0,1
Lakshadweep,2008,2,0,0,0,2
Lakshadweep,2009,1,0,0,0,1
Lakshadweep,2010,0,0,0,0,0
Lakshadweep,2011,0,0,0,0,0
Lakshadweep,2012,0,0,0,0,0
Puducherry,2001,9,0,0,5,4
Puducherry,2002,6,0,1,2,3
Puducherry,2003,2,0,0,2,0
Puducherry,2004,4,0,0,2,2
Puducherry,2005,6,0,0,5,1
Puducherry,2006,9,0,0,4,5
Puducherry,2007,9,0,0,4,5
Puducherry,2008,8,0,0,3,5
Puducherry,2009,1,0,0,0,1
Puducherry,2010,3,0,0,3,0
Puducherry,2011,7,0,0,2,5
Puducherry,2012,13,0,0,4,9
Andhra Pradesh,2013,1635,5,156,626,848
Arunachal Pradesh,2013,75,0,6,14,55
Assam,2013,1937,8,99,990,840
Bihar,2013,1022,6,26,578,412
Chhattisgarh,2013,1380,15,70,323,972
Goa,2013,86,6,7,9,64
Gujarat,2013,711,17,44,152,498
Haryana,2013,971,8,103,339,521
Himachal Pradesh,2013,250,9,3,21,217
Jammu & Kashmir,2013,351,0,0,103,248
Jharkhand,2013,1156,0,125,408,623
Karnataka,2013,953,11,79,214,649
Kerala,2013,1193,79,67,233,814
Madhya Pradesh,2013,4335,22,280,2423,1610
Maharashtra,2013,3057,108,173,609,2167
Manipur,2013,72,0,2,34,36
Meghalaya,2013,181,22,9,35,115
Mizoram,2013,86,7,7,16,56
Nagaland,2013,30,0,1,9,20
Odisha,2013,1832,3,91,489,1249
Punjab,2013,854,9,58,330,457
Rajasthan,2013,3164,56,251,877,1980
Sikkim,2013,33,0,0,12,21
Tamil Nadu,2013,898,6,98,263,531
Tripura,2013,206,1,7,135,63
Uttar Pradesh,2013,3020,63,167,986,1804
Uttarakhand,2013,228,10,6,62,150
West Bengal,2013,422,18,195,25,184
A&N Islands,2013,27,3,0,5,19
Chandigarh,2013,45,0,10,26,9
D&N Haveli,2013,3,0,0,0,3
Daman & Diu,2013,4,0,0,0,4
Delhi UT,2013,1571,47,174,429,921
Lakshadweep,2013,2,0,0,0,2
Puducherry,2013,17,0,1,7,9
Andhra Pradesh,1999,895,11,110,235,539
Arunachal Pradesh,1999,39,0,0,5,34
Assam,1999,703,12,26,209,456
Bihar,1999,1439,20,13,488,918
Goa,1999,18,1,1,6,10
Gujarat,1999,331,70,25,39,197
Haryana,1999,372,41,11,108,212
Himachal Pradesh,1999,109,1,4,25,79
jammu & Kashmir,1999,116,1,10,23,82
Karnataka,1999,301,0,0,0,301
Kerala,1999,423,2,49,234,138
Madhya Pradesh,1999,3197,76,118,847,2156
Maharashtra,1999,1320,25,128,242,925
Manipur,1999,3,0,0,0,3
Meghalaya,1999,27,1,0,4,22
Mizoram,1999,54,0,0,5,49
Nagaland,1999,11,0,0,2,9
Orissa,1999,291,2,22,70,197
Punjab,1999,282,11,10,91,170
Rajasthan,1999,723,19,23,208,473
Sikkim,1999,NR,NR,NR,NR,NR
Tamil Nadu,1999,382,10,27,42,303
Tripura,1999,72,0,0,62,10
Uttar Pradesh,1999,1324,6,96,575,647
West Bengal,1999,196,87,5,33,71
Total States,1999,12628,396,678,3553,8001
A & N Islands,1999,6,1,0,0,5
Chandigarh,1999,0,0,0,0,0
D & N Haveli,1999,3,0,0,0,3
Daman & DIU,1999,4,0,1,1,2
Delhi,1999,351,5,20,213,113
Lakshadeep,1999,0,0,0,0,0
Pondicherry,1999,6,0,0,2,4
Total (UTs),1999,370,6,21,216,127
Total (All-India),1999,12998,402,699,3769,8128
Ahmedabad,1999,14,0,0,4,10
Bangalore,1999,29,1,0,18,10
Bhopal,1999,42,3,9,11,19
Calcutta,1999,24,0,0,0,24
Chennai,1999,27,0,0,4,23
Coimbatore,1999,4,0,0,2,2
Delhi,1999,332,5,18,206,103
Hyderabad,1999,48,0,5,7,36
Indore,1999,29,0,0,19,10
Jaipur,1999,34,0,0,7,27
Kanpur,1999,27,0,3,12,12
Kochi,1999,9,0,1,2,6
Lucknow,1999,14,1,0,5,8
Ludhiana,1999,38,2,1,14,21
Madurai,1999,6,0,2,4,0
Mumbai,1999,100,7,2,41,50
Nagpur,1999,40,1,1,1,37
Patna,1999,18,0,0,16,2
Pune,1999,51,1,1,25,24
Surat,1999,17,0,0,4,13
Vadodra,1999,10,0,0,0,10
Varanasi,1999,0,0,0,0,0
Vishakhapatnam,1999,17,0,0,2,15
