species,size,fragrance,height_cm
shoeblack plant,medium,none,140.72
rose,small,mild,41.13
shoeblack plant,medium,mild,56.51
rose,small,mild,60.78
hibiscus,large,none,165.83
shoeblack plant,large,mild,60.31
hibiscus,large,none,129.82
shoeblack plant,medium,mild,57.11
rose,small,strong,53.11
shoeblack plant,medium,none,115.81
shoeblack plant,large,mild,121.78
shoeblack plant,large,mild,135.3
hibiscus,large,none,177.77
shoeblack plant,large,none,112.75
hibiscus,large,none,140.01
hibiscus,large,none,122.6
rose,medium,mild,49.87
hibiscus,large,none,168.52
rose,small,mild,68.76
hibiscus,large,none,138.52
shoeblack plant,medium,mild,101.15
rose,small,strong,32.45
shoeblack plant,large,mild,131.44
rose,small,strong,75.56
shoeblack plant,large,none,147.81
hibiscus,large,none,151.75
rose,small,mild,30.27
shoeblack plant,large,mild,51.53
hibiscus,large,none,143.8
shoeblack plant,large,mild,139.18
shoeblack plant,medium,none,104.31
hibiscus,large,none,153.32
shoeblack plant,large,mild,124.37
rose,small,mild,62.18
rose,medium,mild,79.04
hibiscus,large,none,100.52
rose,small,mild,55.06
hibiscus,large,none,151.76
shoeblack plant,large,none,55.47
hibiscus,large,none,181.66
rose,small,mild,77.44
shoeblack plant,medium,none,69.9
shoeblack plant,medium,none,79.26
hibiscus,large,none,168.83
shoeblack plant,medium,mild,96.99
hibiscus,large,none,101.4
rose,medium,mild,35.27
shoeblack plant,medium,none,86.45
shoeblack plant,medium,mild,81.34
rose,medium,mild,68.41
hibiscus,large,none,193.2
shoeblack plant,medium,none,60.7
rose,small,mild,98.07
shoeblack plant,medium,none,116.79
shoeblack plant,medium,none,121.08
rose,small,mild,33.39
rose,small,strong,65.26
hibiscus,large,none,110.34
rose,medium,mild,75.32
rose,medium,strong,90.5
shoeblack plant,medium,mild,69.13
rose,small,strong,92.65
rose,small,strong,55.91
rose,small,mild,66.14
rose,small,strong,76.54
shoeblack plant,medium,mild,120.92
shoeblack plant,large,none,50.92
rose,medium,mild,93.83
rose,small,strong,94.56
shoeblack plant,medium,none,114.57
hibiscus,large,none,127.19
shoeblack plant,large,mild,64.47
shoeblack plant,medium,mild,95.49
hibiscus,large,none,120.77
hibiscus,large,none,128.54
hibiscus,large,none,132.09
rose,small,strong,95.33
hibiscus,large,none,110.76
rose,small,mild,60.73
rose,small,mild,99.28
hibiscus,large,none,144.35
rose,small,strong,82.49
rose,medium,mild,67.13
rose,small,mild,66.31
rose,medium,mild,55.71
hibiscus,large,none,164.73
rose,small,mild,99.61
shoeblack plant,large,none,111.36
hibiscus,large,none,158.8
hibiscus,large,none,110.93
hibiscus,large,none,182.66
shoeblack plant,medium,none,92.65
rose,small,strong,88.31
shoeblack plant,large,none,121.93
hibiscus,large,none,118.95
shoeblack plant,large,none,82.36
rose,small,strong,90.21
hibiscus,large,none,196.45
shoeblack plant,medium,mild,93.7
hibiscus,large,none,157.54
rose,small,mild,71.1
shoeblack plant,large,mild,57.5
shoeblack plant,medium,none,139.54
hibiscus,large,none,141.12
hibiscus,large,none,170.25
shoeblack plant,medium,mild,54.89
hibiscus,large,none,119.27
hibiscus,large,none,134.18
hibiscus,large,none,165.33
hibiscus,large,none,184.38
rose,small,mild,55.48
shoeblack plant,large,none,80.51
shoeblack plant,medium,mild,68.32
shoeblack plant,large,mild,83.59
hibiscus,large,none,121.1
shoeblack plant,medium,mild,120.47
shoeblack plant,medium,none,105.05
shoeblack plant,medium,mild,74.19
shoeblack plant,large,none,113.59
shoeblack plant,large,mild,135.36
hibiscus,large,none,184.2
rose,small,mild,76.16
hibiscus,large,none,186.48
rose,medium,mild,87.7
shoeblack plant,medium,mild,110.95
hibiscus,large,none,166.3
hibiscus,large,none,169.31
hibiscus,large,none,138.49
rose,medium,strong,45.38
hibiscus,large,none,182.82
rose,small,mild,39.67
rose,small,mild,40.58
shoeblack plant,large,mild,133.69
shoeblack plant,medium,mild,60.59
rose,medium,strong,39.04
shoeblack plant,large,none,138.41
shoeblack plant,medium,mild,140.19
hibiscus,large,none,116.33
shoeblack plant,large,mild,84.32
hibiscus,large,none,149.27
shoeblack plant,medium,none,135.21
shoeblack plant,medium,mild,63.36
shoeblack plant,large,mild,120.62
rose,medium,strong,49.2
rose,medium,strong,56.04
rose,small,mild,45.38
hibiscus,large,none,185.09
rose,medium,strong,92.72
shoeblack plant,medium,none,143.49
hibiscus,large,none,161.18
rose,medium,mild,100.0
hibiscus,large,none,106.25
rose,small,strong,30.16
hibiscus,large,none,165.23
shoeblack plant,large,none,75.3
shoeblack plant,medium,mild,87.56
rose,small,strong,32.48
hibiscus,large,none,188.64
rose,medium,strong,38.32
shoeblack plant,large,none,129.93
hibiscus,large,none,159.19
rose,small,strong,97.02
shoeblack plant,medium,none,148.82
hibiscus,large,none,125.84
rose,small,strong,30.58
hibiscus,large,none,162.08
shoeblack plant,medium,none,70.62
hibiscus,large,none,120.33
rose,small,strong,93.58
hibiscus,large,none,182.55
rose,medium,mild,71.93
shoeblack plant,medium,mild,106.5
rose,medium,strong,91.75
hibiscus,large,none,173.2
shoeblack plant,medium,mild,145.27
hibiscus,large,none,105.9
hibiscus,large,none,135.72
shoeblack plant,medium,mild,85.92
hibiscus,large,none,111.73
shoeblack plant,large,mild,78.31
shoeblack plant,large,mild,147.24
hibiscus,large,none,106.08
shoeblack plant,large,none,123.89
rose,medium,mild,69.12
hibiscus,large,none,167.97
shoeblack plant,large,mild,82.27
hibiscus,large,none,177.82
rose,small,mild,56.45
shoeblack plant,large,mild,93.9
hibiscus,large,none,166.6
hibiscus,large,none,176.71
shoeblack plant,large,none,78.87
shoeblack plant,medium,mild,103.06
shoeblack plant,medium,none,68.34
hibiscus,large,none,108.35
shoeblack plant,large,mild,70.01
shoeblack plant,large,mild,62.15
shoeblack plant,large,none,127.62
shoeblack plant,medium,mild,143.8
hibiscus,large,none,144.72
shoeblack plant,large,none,131.17
hibiscus,large,none,173.53
hibiscus,large,none,125.76
rose,small,mild,88.01
shoeblack plant,large,mild,147.82
hibiscus,large,none,166.22
shoeblack plant,large,none,89.62
hibiscus,large,none,146.15
hibiscus,large,none,165.21
rose,small,mild,83.05
shoeblack plant,medium,none,133.7
rose,small,mild,30.52
rose,medium,strong,92.49
shoeblack plant,large,none,87.51
hibiscus,large,none,102.03
shoeblack plant,large,mild,135.35
shoeblack plant,large,none,103.53
rose,small,strong,62.48
hibiscus,large,none,152.72
hibiscus,large,none,195.76
shoeblack plant,large,none,118.69
rose,small,strong,97.64
rose,small,strong,56.75
rose,medium,strong,89.0
rose,small,strong,72.44
shoeblack plant,medium,none,149.8
hibiscus,large,none,142.33
rose,small,mild,92.86
hibiscus,large,none,195.52
rose,medium,mild,81.26
hibiscus,large,none,176.06
shoeblack plant,medium,mild,81.68
shoeblack plant,large,none,148.48
shoeblack plant,large,none,71.9
rose,medium,mild,98.22
rose,small,mild,48.81
hibiscus,large,none,143.49
hibiscus,large,none,120.43
hibiscus,large,none,107.8
shoeblack plant,large,mild,142.35
rose,small,mild,73.49
hibiscus,large,none,174.55
shoeblack plant,medium,none,61.04
hibiscus,large,none,110.78
hibiscus,large,none,148.2
rose,medium,mild,44.51
shoeblack plant,large,none,149.24
shoeblack plant,large,none,50.96
hibiscus,large,none,194.21
rose,small,strong,54.04
rose,medium,strong,45.12
rose,small,strong,46.17
shoeblack plant,large,none,66.64
hibiscus,large,none,169.81
hibiscus,large,none,144.35
rose,small,mild,91.2
rose,medium,strong,64.84
shoeblack plant,large,mild,104.6
rose,small,mild,89.96
shoeblack plant,large,mild,119.31
hibiscus,large,none,108.1
rose,medium,mild,79.2
rose,medium,mild,62.92
hibiscus,large,none,167.28
rose,medium,strong,82.63
rose,medium,strong,72.46
rose,medium,strong,38.52
hibiscus,large,none,105.22
rose,medium,mild,81.16
shoeblack plant,medium,none,60.82
rose,small,strong,80.25
shoeblack plant,large,mild,95.03
rose,medium,mild,34.46
hibiscus,large,none,128.78
shoeblack plant,medium,mild,94.81
shoeblack plant,medium,mild,86.56
shoeblack plant,large,mild,97.17
rose,medium,strong,99.75
rose,medium,strong,42.91
shoeblack plant,large,mild,145.82
shoeblack plant,medium,mild,62.81
rose,small,mild,62.0
hibiscus,large,none,168.62
rose,medium,mild,66.13
shoeblack plant,large,mild,70.96
hibiscus,large,none,168.76
rose,small,strong,68.95
rose,medium,mild,34.34
shoeblack plant,large,mild,105.55
shoeblack plant,large,none,57.33
rose,medium,strong,78.98
shoeblack plant,large,none,62.55
hibiscus,large,none,181.03
rose,medium,strong,57.58
hibiscus,large,none,131.4
hibiscus,large,none,182.37
hibiscus,large,none,180.86
rose,small,strong,56.84
hibiscus,large,none,178.06
rose,medium,strong,99.33
rose,small,strong,69.37
rose,small,mild,48.03
shoeblack plant,medium,mild,129.13
rose,medium,mild,65.51
rose,medium,strong,78.18
rose,medium,strong,78.84
hibiscus,large,none,126.08
rose,medium,mild,45.67
hibiscus,large,none,114.5
hibiscus,large,none,157.88
rose,small,strong,32.48
shoeblack plant,medium,none,141.79
hibiscus,large,none,115.83
hibiscus,large,none,189.37
rose,small,mild,47.8
hibiscus,large,none,157.01
shoeblack plant,medium,mild,78.14
rose,medium,strong,62.5
hibiscus,large,none,131.84
rose,small,mild,72.79
shoeblack plant,large,none,142.98
shoeblack plant,large,mild,95.56
shoeblack plant,medium,none,113.42
hibiscus,large,none,178.63
hibiscus,large,none,103.53
hibiscus,large,none,118.8
shoeblack plant,large,mild,100.45
shoeblack plant,large,none,147.99
hibiscus,large,none,122.35
hibiscus,large,none,155.23
rose,medium,strong,63.03
hibiscus,large,none,130.98
shoeblack plant,medium,mild,103.59
rose,small,strong,76.88
shoeblack plant,medium,mild,135.17
hibiscus,large,none,198.69
shoeblack plant,large,mild,136.85
shoeblack plant,large,none,52.28
shoeblack plant,large,none,63.63
rose,medium,strong,70.63
hibiscus,large,none,132.34
rose,small,strong,81.01
shoeblack plant,medium,mild,68.96
hibiscus,large,none,122.04
shoeblack plant,large,mild,125.77
shoeblack plant,large,none,147.54
shoeblack plant,large,none,140.16
hibiscus,large,none,119.06
hibiscus,large,none,115.67
shoeblack plant,large,none,117.03
rose,medium,mild,78.04
rose,small,mild,82.99
shoeblack plant,medium,none,106.41
hibiscus,large,none,110.93
hibiscus,large,none,125.03
hibiscus,large,none,185.62
hibiscus,large,none,114.37
hibiscus,large,none,128.43
rose,medium,strong,44.24
hibiscus,large,none,123.47
hibiscus,large,none,145.76
shoeblack plant,large,none,96.76
rose,small,mild,57.53
hibiscus,large,none,138.51
hibiscus,large,none,106.39
shoeblack plant,large,none,112.07
rose,small,strong,47.37
hibiscus,large,none,110.92
rose,small,mild,82.81
hibiscus,large,none,119.27
hibiscus,large,none,148.18
rose,small,strong,90.55
shoeblack plant,medium,mild,55.53
hibiscus,large,none,167.57
rose,small,strong,69.48
hibiscus,large,none,174.21
rose,medium,strong,54.79
rose,medium,strong,34.78
rose,medium,mild,89.03
hibiscus,large,none,198.44
rose,small,mild,69.11
hibiscus,large,none,174.7
hibiscus,large,none,180.69
rose,medium,strong,61.86
shoeblack plant,large,mild,137.36
rose,small,mild,67.49
hibiscus,large,none,192.31
rose,medium,strong,43.9
shoeblack plant,large,mild,70.86
hibiscus,large,none,113.25
hibiscus,large,none,110.18
hibiscus,large,none,196.16
rose,medium,strong,78.51
rose,small,mild,49.34
rose,medium,mild,91.24
shoeblack plant,medium,mild,121.33
rose,small,mild,43.95
shoeblack plant,medium,mild,99.2
rose,medium,strong,54.19
shoeblack plant,medium,mild,99.47
shoeblack plant,large,mild,65.38
hibiscus,large,none,165.57
hibiscus,large,none,152.32
shoeblack plant,large,none,85.59
hibiscus,large,none,122.2
hibiscus,large,none,111.04
rose,medium,strong,50.01
shoeblack plant,large,none,51.01
shoeblack plant,medium,mild,66.88
hibiscus,large,none,160.76
rose,medium,mild,59.6
shoeblack plant,large,none,112.39
hibiscus,large,none,199.65
rose,small,mild,75.89
shoeblack plant,medium,mild,126.97
shoeblack plant,medium,mild,96.44
rose,small,strong,68.39
shoeblack plant,medium,mild,140.82
rose,small,strong,82.49
hibiscus,large,none,123.5
hibiscus,large,none,149.33
hibiscus,large,none,129.26
rose,medium,strong,48.99
hibiscus,large,none,114.06
hibiscus,large,none,101.05
hibiscus,large,none,110.73
rose,small,strong,66.62
rose,small,strong,35.74
hibiscus,large,none,185.54
hibiscus,large,none,175.58
rose,small,mild,78.33
shoeblack plant,medium,mild,90.31
hibiscus,large,none,163.3
shoeblack plant,medium,none,108.78
rose,medium,mild,90.11
hibiscus,large,none,187.85
shoeblack plant,medium,mild,140.07
hibiscus,large,none,106.97
hibiscus,large,none,154.58
hibiscus,large,none,146.34
shoeblack plant,large,none,132.18
shoeblack plant,large,none,113.21
rose,small,strong,32.99
rose,medium,strong,63.14
shoeblack plant,medium,none,71.84
shoeblack plant,large,none,126.15
hibiscus,large,none,110.38
hibiscus,large,none,130.64
rose,medium,mild,32.29
hibiscus,large,none,189.56
hibiscus,large,none,195.67
rose,medium,mild,79.33
shoeblack plant,large,mild,99.92
hibiscus,large,none,101.47
hibiscus,large,none,114.82
shoeblack plant,large,mild,141.46
rose,small,strong,87.29
shoeblack plant,medium,none,59.54
hibiscus,large,none,173.33
hibiscus,large,none,129.51
rose,small,mild,98.82
hibiscus,large,none,182.55
hibiscus,large,none,179.8
shoeblack plant,medium,mild,119.69
rose,medium,mild,54.69
rose,medium,strong,93.01
rose,medium,mild,75.62
rose,small,mild,62.78
shoeblack plant,large,mild,77.01
shoeblack plant,medium,mild,78.46
hibiscus,large,none,145.33
shoeblack plant,large,mild,70.6
hibiscus,large,none,123.06
hibiscus,large,none,162.59
rose,medium,strong,80.04
hibiscus,large,none,157.69
shoeblack plant,medium,none,142.68
rose,small,mild,33.14
rose,small,strong,96.1
rose,small,mild,43.76
shoeblack plant,medium,none,84.5
rose,small,mild,67.65
hibiscus,large,none,132.72
shoeblack plant,medium,none,139.98
shoeblack plant,large,none,68.91
shoeblack plant,medium,none,109.58
shoeblack plant,medium,mild,141.35
shoeblack plant,large,none,143.15
hibiscus,large,none,146.88
shoeblack plant,large,none,65.93
hibiscus,large,none,143.11
shoeblack plant,medium,none,80.54
hibiscus,large,none,142.84
rose,medium,strong,81.81
hibiscus,large,none,152.72
rose,small,mild,79.8
shoeblack plant,medium,none,61.47
rose,small,mild,47.48
hibiscus,large,none,126.12
shoeblack plant,large,none,121.15
shoeblack plant,large,none,93.03
hibiscus,large,none,185.74
hibiscus,large,none,112.85
shoeblack plant,large,none,125.6
hibiscus,large,none,150.92
shoeblack plant,medium,none,77.7
rose,medium,strong,51.39
rose,small,strong,54.42
rose,medium,strong,32.16
hibiscus,large,none,119.23
shoeblack plant,large,none,120.71
rose,small,strong,72.82
shoeblack plant,large,none,107.7
shoeblack plant,medium,none,137.09
rose,small,strong,40.7
shoeblack plant,large,none,51.07
shoeblack plant,medium,mild,95.33
rose,small,strong,51.98
shoeblack plant,large,none,84.2
rose,small,mild,41.79
shoeblack plant,large,none,127.48
hibiscus,large,none,107.41
rose,small,strong,48.33
rose,medium,strong,52.81
hibiscus,large,none,137.83
hibiscus,large,none,137.88
rose,medium,mild,82.96
rose,medium,strong,68.12
shoeblack plant,medium,mild,121.23
rose,medium,strong,53.4
rose,small,mild,81.37
shoeblack plant,large,none,102.26
shoeblack plant,medium,none,132.69
shoeblack plant,large,none,51.59
shoeblack plant,medium,mild,103.6
rose,small,mild,43.17
shoeblack plant,medium,none,93.16
hibiscus,large,none,175.17
rose,small,mild,95.88
rose,small,mild,40.16
shoeblack plant,large,none,131.05
rose,small,mild,47.18
shoeblack plant,large,none,93.76
shoeblack plant,large,mild,111.49
rose,medium,strong,50.36
hibiscus,large,none,129.69
rose,medium,strong,69.96
rose,medium,strong,30.17
shoeblack plant,medium,mild,145.09
shoeblack plant,large,none,141.47
shoeblack plant,large,mild,111.87
hibiscus,large,none,156.04
rose,medium,mild,33.61
shoeblack plant,large,mild,70.38
hibiscus,large,none,108.59
hibiscus,large,none,145.81
shoeblack plant,medium,mild,131.41
hibiscus,large,none,177.15
shoeblack plant,medium,none,90.04
shoeblack plant,medium,mild,136.72
rose,small,mild,72.54
shoeblack plant,large,mild,63.55
shoeblack plant,large,mild,126.91
rose,medium,mild,39.37
rose,small,strong,38.99
hibiscus,large,none,111.89
hibiscus,large,none,160.02
shoeblack plant,large,none,141.97
shoeblack plant,large,mild,100.91
shoeblack plant,large,none,88.26
shoeblack plant,large,mild,78.26
shoeblack plant,medium,none,142.32
shoeblack plant,large,none,70.7
hibiscus,large,none,160.68
shoeblack plant,large,none,116.53
hibiscus,large,none,169.46
rose,small,strong,90.1
hibiscus,large,none,137.76
shoeblack plant,medium,none,140.61
shoeblack plant,large,mild,111.82
shoeblack plant,large,none,130.25
rose,small,strong,54.87
hibiscus,large,none,100.83
hibiscus,large,none,171.61
shoeblack plant,large,none,103.07
hibiscus,large,none,164.21
hibiscus,large,none,165.34
rose,small,strong,91.15
shoeblack plant,medium,none,147.05
hibiscus,large,none,190.23
rose,medium,mild,53.88
shoeblack plant,medium,mild,119.36
hibiscus,large,none,166.0
rose,small,strong,55.57
hibiscus,large,none,114.61
hibiscus,large,none,152.49
shoeblack plant,medium,mild,107.51
hibiscus,large,none,190.08
rose,small,strong,66.44
rose,small,strong,62.93
hibiscus,large,none,182.92
shoeblack plant,large,none,74.04
rose,medium,strong,93.09
rose,medium,strong,90.82
rose,medium,mild,37.01
hibiscus,large,none,156.92
rose,medium,strong,90.63
shoeblack plant,large,mild,63.61
shoeblack plant,medium,none,115.94
shoeblack plant,large,mild,101.69
shoeblack plant,large,mild,78.98
hibiscus,large,none,132.48
hibiscus,large,none,197.88
shoeblack plant,large,mild,73.65
rose,medium,strong,99.91
shoeblack plant,medium,mild,60.82
shoeblack plant,medium,mild,83.37
shoeblack plant,medium,none,90.98
hibiscus,large,none,164.55
rose,small,strong,84.84
hibiscus,large,none,190.84
rose,medium,strong,47.69
shoeblack plant,large,mild,86.21
hibiscus,large,none,178.28
rose,small,mild,83.3
hibiscus,large,none,190.77
rose,medium,mild,86.99
hibiscus,large,none,163.42
rose,small,strong,41.78
rose,medium,strong,59.51
rose,medium,mild,95.23
shoeblack plant,large,none,71.97
shoeblack plant,medium,none,142.69
hibiscus,large,none,138.99
rose,small,strong,37.72
hibiscus,large,none,137.36
shoeblack plant,medium,none,133.13
hibiscus,large,none,117.89
shoeblack plant,large,none,60.93
rose,small,mild,64.75
hibiscus,large,none,155.22
shoeblack plant,large,none,79.42
shoeblack plant,medium,none,104.05
rose,small,mild,68.37
hibiscus,large,none,109.43
hibiscus,large,none,192.78
shoeblack plant,large,mild,89.68
rose,small,mild,77.39
hibiscus,large,none,106.83
rose,small,mild,62.9
rose,medium,mild,63.24
hibiscus,large,none,142.0
shoeblack plant,medium,mild,134.7
shoeblack plant,medium,mild,54.48
shoeblack plant,medium,none,138.66
shoeblack plant,medium,mild,137.42
shoeblack plant,medium,none,96.45
rose,small,strong,96.41
shoeblack plant,medium,mild,135.96
hibiscus,large,none,103.11
hibiscus,large,none,191.12
shoeblack plant,large,mild,132.97
rose,small,mild,85.44
shoeblack plant,large,mild,92.01
hibiscus,large,none,154.85
hibiscus,large,none,160.08
shoeblack plant,medium,mild,146.38
shoeblack plant,large,mild,119.6
rose,small,strong,81.08
hibiscus,large,none,147.66
shoeblack plant,medium,none,74.4
hibiscus,large,none,153.81
rose,medium,mild,92.85
shoeblack plant,medium,none,143.39
hibiscus,large,none,123.41
hibiscus,large,none,123.84
rose,small,strong,39.15
rose,medium,mild,92.27
rose,medium,mild,52.36
shoeblack plant,large,none,101.33
rose,small,mild,35.35
shoeblack plant,medium,mild,63.36
rose,small,strong,78.23
shoeblack plant,large,mild,107.69
rose,small,strong,30.32
hibiscus,large,none,189.29
rose,small,strong,90.06
shoeblack plant,large,mild,97.16
shoeblack plant,large,mild,126.76
hibiscus,large,none,170.19
shoeblack plant,large,mild,63.0
shoeblack plant,medium,mild,85.3
hibiscus,large,none,159.71
shoeblack plant,large,none,100.53
rose,small,strong,67.47
shoeblack plant,large,none,73.9
shoeblack plant,medium,mild,109.14
shoeblack plant,large,none,56.55
shoeblack plant,large,none,115.47
shoeblack plant,medium,mild,135.14
rose,small,mild,89.22
hibiscus,large,none,168.69
rose,small,mild,61.73
shoeblack plant,medium,mild,88.44
rose,small,mild,99.43
shoeblack plant,medium,mild,137.66
shoeblack plant,medium,mild,99.66
rose,medium,strong,49.52
rose,medium,mild,57.81
shoeblack plant,medium,mild,60.97
shoeblack plant,large,none,145.51
shoeblack plant,large,none,116.61
rose,medium,strong,42.0
hibiscus,large,none,195.14
shoeblack plant,medium,mild,76.98
rose,medium,mild,68.87
shoeblack plant,medium,none,113.11
shoeblack plant,large,mild,71.42
shoeblack plant,large,none,92.96
shoeblack plant,medium,none,127.75
shoeblack plant,large,none,123.05
rose,small,mild,61.09
hibiscus,large,none,190.63
rose,small,strong,53.26
shoeblack plant,medium,none,104.71
shoeblack plant,medium,mild,111.29
shoeblack plant,medium,mild,86.76
hibiscus,large,none,128.94
hibiscus,large,none,161.76
hibiscus,large,none,103.14
shoeblack plant,large,mild,105.28
rose,medium,strong,85.73
hibiscus,large,none,116.76
shoeblack plant,large,none,89.28
shoeblack plant,medium,none,111.33
rose,medium,strong,66.71
hibiscus,large,none,127.87
hibiscus,large,none,157.44
hibiscus,large,none,119.07
rose,small,strong,78.37
rose,medium,mild,58.84
hibiscus,large,none,181.08
shoeblack plant,medium,mild,70.64
hibiscus,large,none,112.07
rose,small,strong,79.92
shoeblack plant,medium,none,100.97
rose,medium,strong,68.33
hibiscus,large,none,145.18
rose,small,mild,47.01
hibiscus,large,none,137.02
shoeblack plant,medium,mild,127.49
shoeblack plant,medium,none,132.79
hibiscus,large,none,189.63
hibiscus,large,none,165.71
rose,small,mild,68.0
hibiscus,large,none,192.89
rose,medium,mild,96.92
rose,medium,strong,58.73
rose,medium,mild,69.67
hibiscus,large,none,190.99
rose,medium,strong,66.07
shoeblack plant,large,none,122.94
hibiscus,large,none,117.45
rose,small,mild,92.12
rose,small,mild,75.5
rose,medium,strong,76.84
shoeblack plant,medium,mild,133.61
rose,small,strong,63.23
shoeblack plant,large,none,62.87
hibiscus,large,none,165.73
shoeblack plant,large,none,71.67
hibiscus,large,none,117.27
hibiscus,large,none,146.88
hibiscus,large,none,107.28
rose,small,mild,86.6
rose,medium,mild,98.23
hibiscus,large,none,172.3
hibiscus,large,none,136.28
shoeblack plant,medium,mild,67.54
rose,medium,strong,30.25
rose,small,strong,55.31
hibiscus,large,none,136.0
rose,medium,strong,89.11
rose,small,mild,97.59
shoeblack plant,medium,none,131.72
shoeblack plant,medium,none,138.47
shoeblack plant,large,mild,141.98
hibiscus,large,none,103.43
shoeblack plant,large,none,122.61
shoeblack plant,medium,none,67.76
rose,small,strong,32.7
rose,medium,mild,75.18
rose,small,mild,77.83
shoeblack plant,medium,mild,51.51
hibiscus,large,none,109.39
hibiscus,large,none,110.68
rose,medium,mild,98.59
hibiscus,large,none,112.95
hibiscus,large,none,152.95
rose,medium,strong,66.0
hibiscus,large,none,112.49
rose,medium,mild,60.43
shoeblack plant,large,none,146.77
rose,small,strong,64.67
rose,medium,mild,79.64
hibiscus,large,none,136.78
shoeblack plant,large,none,92.23
hibiscus,large,none,166.37
rose,small,strong,67.95
rose,small,strong,89.49
hibiscus,large,none,129.85
rose,small,mild,98.16
rose,medium,mild,62.32
hibiscus,large,none,157.66
hibiscus,large,none,193.73
rose,small,strong,91.78
hibiscus,large,none,141.51
rose,small,mild,44.38
shoeblack plant,medium,none,54.45
shoeblack plant,medium,mild,80.76
hibiscus,large,none,146.65
rose,medium,mild,75.66
shoeblack plant,medium,mild,76.11
shoeblack plant,large,mild,139.95
rose,small,strong,39.06
hibiscus,large,none,148.96
shoeblack plant,large,mild,101.04
rose,medium,mild,91.93
rose,small,mild,73.54
hibiscus,large,none,182.94
shoeblack plant,medium,none,53.47
hibiscus,large,none,149.41
shoeblack plant,medium,mild,72.18
shoeblack plant,large,none,111.61
shoeblack plant,large,mild,96.55
hibiscus,large,none,187.87
shoeblack plant,large,none,147.6
rose,small,mild,58.88
rose,medium,strong,53.89
shoeblack plant,medium,mild,140.15
hibiscus,large,none,139.65
rose,small,mild,52.21
rose,small,mild,37.12
shoeblack plant,medium,mild,149.32
rose,small,mild,95.3
shoeblack plant,medium,mild,61.75
shoeblack plant,medium,mild,78.75
rose,small,mild,43.03
rose,small,strong,35.78
shoeblack plant,medium,none,129.23
hibiscus,large,none,145.16
rose,small,strong,46.83
rose,small,mild,83.04
hibiscus,large,none,186.51
shoeblack plant,medium,mild,92.43
rose,small,mild,90.23
hibiscus,large,none,188.71
hibiscus,large,none,182.04
