Emotion,Song Name,old/new,Movie/Artist name,,
Kindness,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety,,
Kindness,Ishq Wala Love ,new, Student of the Year,,
Kindness,Tum Hi Ho ,new, Aashiqui 2,,
Kindness,Tum Se Hi ,new, Jab We Met,,
Kindness,Tum Mile ,new, Tum Mile,,
Kindness,Tere Bina ,new, Guru,,
Kindness,Tujhe Bhula Diya ,new, Anjaana Anjaani.,,
Kindness,Tere Bina Zindagi Se ,old, Aandhi,,
Kindness,Tum Aa Gaye Ho ,old, Aandhi,,
Kindness,Tum Paas Aaye ,old, Kuch Kuch Hota Hai,,
Kindness,Tere Liye ,old, Veer-Zaara,,
Kindness,Suraj Hua Maddham ,old, Kabhi Khushi Kabhie Gham,,
Kindness,Tere Naam ,old, Tere Naam,,
Kindness,Pehla Pehla Pyar Hai ,old, Hum Aapke Hain Koun,,
Kindness,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Kindness,Bahon Ke Darmiyan ,old, Khamoshi: The Musical,,
Kindness,Pardesi Pardesi ,old, Raja Hindustani.,,
Love,Dil Chahta Hai ,new, Dil Chahta Hai,,
Love,Pehli Nazar Mein ,new, Race,,
Love,Tum Se Hi ,new, Jab We Met,,
Love,Tum Mile ,new, Tum Mile,,
Love,Ishq Wala Love ,new, Student of the Year,,
Love,Tum Hi Ho ,new, Aashiqui 2,,
Love,Tera Ban Jaunga ,new, Kabir Singh,,
Love,Tum Hi Aana ,new, Marjaavaan,,
Love,Tere Sang Yaara ,new, Rustom,,
Love,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety.,,
Love,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Love,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Love,Dil To Pagal Hai ,old, Dil To Pagal Hai,,
Love,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai,,
Love,Tere Bina ,old, Guru,,
Love,Tumko Dekha To ,old, Saath Saath,,
Love,Tere Bina Jiya Jaye Na ,old, Ghar,,
Love,Dil Kya Kare ,old, Julie,,
Love,Tum Itna Jo Muskura Rahe Ho ,old, Arth,,
Love,Tum Se Milke ,old, Parinda.,,
Patience,Tera Ban Jaunga ,new, Kabir Singh,,
Patience,Tum Hi Aana ,new, Marjaavaan,,
Patience,Tere Sang Yaara ,new, Rustom,,
Patience,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety,,
Patience,Ishq Wala Love ,new, Student of the Year,,
Patience,Tum Hi Ho ,new, Aashiqui 2,,
Patience,Tum Se Hi ,new, Jab We Met,,
Patience,Tum Mile ,new, Tum Mile,,
Patience,Tere Bina ,new, Guru,,
Patience,Tujhe Bhula Diya ,new, Anjaana Anjaani.,,
Patience,Tere Bina Zindagi Se ,old, Aandhi,,
Patience,Tum Aa Gaye Ho ,old, Aandhi,,
Patience,Tum Paas Aaye ,old, Kuch Kuch Hota Hai,,
Patience,Tere Liye ,old, Veer-Zaara,,
Patience,Suraj Hua Maddham ,old, Kabhi Khushi Kabhie Gham,,
Patience,Tere Naam ,old, Tere Naam,,
Patience,Pehla Pehla Pyar Hai ,old, Hum Aapke Hain Koun,,
Patience,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Patience,Bahon Ke Darmiyan ,old, Khamoshi: The Musical,,
Patience,Pardesi Pardesi ,old, Raja Hindustani.,,
Pity,Tujhe Bhula Diya ,new, Anjaana Anjaani,,
Pity,Channa Mereya ,new, Ae Dil Hai Mushkil,,
Pity,Phir Bhi Tumko Chaahunga ,new, Half Girlfriend,,
Pity,Agar Tum Saath Ho ,new, Tamasha,,
Pity,Hamari Adhuri Kahani ,new, Hamari Adhuri Kahani,,
Pity,Tere Bina ,new, Guru,,
Pity,Tum Se Hi ,new, Jab We Met,,
Pity,Main Rahoon Ya Na Rahoon ,new, Main Rahoon Ya Na Rahoon,,
Pity,Tere Bin ,new, Simmba,,
Pity,Tum Hi Aana ,new, Marjaavaan.,,
Pity,Tadap Tadap Ke ,old, Hum Dil De Chuke Sanam,,
Pity,Kal Ho Naa Ho ,old, Kal Ho Naa Ho,,
Pity,Tere Naam ,old, Tere Naam,,
Pity,Do Pal ,old, Veer-Zaara,,
Pity,Tanhayee ,old, Dil Chahta Hai,,
Pity,Jaane Kyun ,old, Dil Chahta Hai,,
Pity,Tere Liye ,old, Veer-Zaara,,
Pity,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Pity,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Pity,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai.,,
Romance,Dil Chahta Hai ,new, Dil Chahta Hai,,
Romance,Pehli Nazar Mein ,new, Race,,
Romance,Tum Se Hi ,new, Jab We Met,,
Romance,Tum Mile ,new, Tum Mile,,
Romance,Ishq Wala Love ,new, Student of the Year,,
Romance,Tum Hi Ho ,new, Aashiqui 2,,
Romance,Tera Ban Jaunga ,new, Kabir Singh,,
Romance,Tum Hi Aana ,new, Marjaavaan,,
Romance,Tere Sang Yaara ,new, Rustom,,
Romance,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety.,,
Romance,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Romance,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Romance,Dil To Pagal Hai ,old, Dil To Pagal Hai,,
Romance,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai,,
Romance,Tere Bina ,old, Guru,,
Romance,Tumko Dekha To ,old, Saath Saath,,
Romance,Tere Bina Jiya Jaye Na ,old, Ghar,,
Romance,Dil Kya Kare ,old, Julie,,
Romance,Tum Itna Jo Muskura Rahe Ho ,old, Arth,,
Romance,Tum Se Milke ,old, Parinda.,,
Satisfaction,Zinda ,new, Bhaag Milkha Bhaag,,
Satisfaction,Kar Har Maidaan Fateh ,new, Sanju,,
Satisfaction,Dangal ,new, Dangal,,
Satisfaction,Sultan ,new, Sultan,,
Satisfaction,Brothers Anthem ,new, Brothers,,
Satisfaction,Malhari ,new, Bajirao Mastani,,
Satisfaction,Ghungroo ,new, War,,
Satisfaction,Garmi ,new, Street Dancer 3D,,
Satisfaction,Jai Jai Shivshankar ,new, War,,
Satisfaction,London Thumakda ,new, Queen.,,
Satisfaction,Chak De India ,old, Chak De India,,
Satisfaction,Jai Ho ,old, Slumdog Millionaire,,
Satisfaction,Khalbali ,old, Rang De Basanti,,
Satisfaction,Dhoom Machale ,old, Dhoom,,
Satisfaction,Desi Girl ,old, Dostana,,
Satisfaction,Mauja Hi Mauja ,old, Jab We Met,,
Satisfaction,Dola Re Dola ,old, Devdas,,
Satisfaction,Ishq Wala Love ,old, Student of the Year,,
Satisfaction,Chammak Challo ,old, Ra.One,,
Satisfaction,Say Shava Shava ,old, Kabhi Khushi Kabhie Gham.,,
Shame,Shame ,new, Mumbai Matinee,,
Shame,Tujhe Bhula Diya ,new, Anjaana Anjaani,,
Shame,Channa Mereya ,new, Ae Dil Hai Mushkil,,
Shame,Phir Bhi Tumko Chaahunga ,new, Half Girlfriend,,
Shame,Agar Tum Saath Ho ,new, Tamasha,,
Shame,Hamari Adhuri Kahani ,new, Hamari Adhuri Kahani,,
Shame,Tere Bina ,new, Guru,,
Shame,Tum Se Hi ,new, Jab We Met,,
Shame,Main Rahoon Ya Na Rahoon ,new, Main Rahoon Ya Na Rahoon,,
Shame,Tere Bin ,new, Simmba.,,
Shame,Tadap Tadap Ke ,old, Hum Dil De Chuke Sanam,,
Shame,Kal Ho Naa Ho ,old, Kal Ho Naa Ho,,
Shame,Tere Naam ,old, Tere Naam,,
Shame,Do Pal ,old, Veer-Zaara,,
Shame,Tanhayee ,old, Dil Chahta Hai,,
Shame,Jaane Kyun ,old, Dil Chahta Hai,,
Shame,Tere Liye ,old, Veer-Zaara,,
Shame,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Shame,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Shame,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai.,,
Shyness,Pehli Baar ,new, Dil Dhadakne Do,,
Shyness,Bolna ,new, Kapoor & Sons,,
Shyness,Soch Na Sake ,new, Airlift,,
Shyness,Nazm Nazm ,new, Bareilly Ki Barfi,,
Shyness,Dil Diyan Gallan ,new, Tiger Zinda Hai,,
Shyness,Naina Da Kya Kasoor ,new, Andhadhun,,
Shyness,Tera Fitoor ,new, Genius,,
Shyness,Pal ,new, Jalebi,,
Shyness,Dil Mein Ho Tum ,new, Why Cheat India,,
Shyness,Tu Jaane Na ,new, Ajab Prem Ki Ghazab Kahani.,,
Shyness,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Shyness,Tum Paas Aaye ,old, Kuch Kuch Hota Hai,,
Shyness,Tum Se Hi ,old, Jab We Met,,
Shyness,Tum Mile ,old, Tum Mile,,
Shyness,Ishq Wala Love ,old, Student of the Year,,
Shyness,Tum Hi Ho ,old, Aashiqui 2,,
Shyness,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Shyness,Tere Bina Jiya Jaye Na ,old, Ghar,,
Shyness,Tum Itna Jo Muskura Rahe Ho ,old, Arth,,
Shyness,Tum Se Milke ,old, Parinda.,,
Suffering,Tujhe Bhula Diya ,new, Anjaana Anjaani,,
Suffering,Channa Mereya ,new, Ae Dil Hai Mushkil,,
Suffering,Phir Bhi Tumko Chaahunga ,new, Half Girlfriend,,
Suffering,Agar Tum Saath Ho ,new, Tamasha,,
Suffering,Hamari Adhuri Kahani ,new, Hamari Adhuri Kahani,,
Suffering,Tere Bina ,new, Guru,,
Suffering,Tum Se Hi ,new, Jab We Met,,
Suffering,Main Rahoon Ya Na Rahoon ,new, Main Rahoon Ya Na Rahoon,,
Suffering,Tere Bin ,new, Simmba,,
Suffering,Tum Hi Aana ,new, Marjaavaan.,,
Suffering,Tadap Tadap Ke ,old, Hum Dil De Chuke Sanam,,
Suffering,Kal Ho Naa Ho ,old, Kal Ho Naa Ho,,
Suffering,Tere Naam ,old, Tere Naam,,
Suffering,Do Pal ,old, Veer-Zaara,,
Suffering,Tanhayee ,old, Dil Chahta Hai,,
Suffering,Jaane Kyun ,old, Dil Chahta Hai,,
Suffering,Tere Liye ,old, Veer-Zaara,,
Suffering,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Suffering,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Suffering,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai.,,
Joy,Kala Chashma ,new, Baar Baar Dekho,,
Joy,Badtameez Dil ,new, Yeh Jawaani Hai Deewani,,
Joy,Tamma Tamma Again ,new, Badrinath Ki Dulhania,,
Joy,Zingaat ,new, Dhadak,,
Joy,Aankh Marey ,new, Simmba,,
Joy,Kar Gayi Chull ,new, Kapoor & Sons,,
Joy,Nashe Si Chadh Gayi ,new, Befikre,,
Joy,Ghungroo ,new, War,,
Joy,Garmi ,new, Street Dancer 3D,,
Joy,Malhari ,new, Bajirao Mastani.,,
Joy,Koi Mil Gaya ,old, Kuch Kuch Hota Hai,,
Joy,Barso Re ,old, Guru,,
Joy,Kajra Re ,old, Bunty Aur Babli,,
Joy,Say Shava Shava ,old, Kabhi Khushi Kabhie Gham,,
Joy,Dhoom Machale ,old, Dhoom,,
Joy,Desi Girl ,old, Dostana,,
Joy,Mauja Hi Mauja ,old, Jab We Met,,
Joy,Dola Re Dola ,old, Devdas,,
Joy,Ishq Wala Love ,old, Student of the Year,,
Joy,Chammak Challo ,old, Ra.One.,,
Sadness,Tujhe Bhula Diya ,new, Anjaana Anjaani,,
Sadness,Channa Mereya ,new, Ae Dil Hai Mushkil,,
Sadness,Tum Hi Ho ,new, Aashiqui 2,,
Sadness,Phir Bhi Tumko Chaahunga ,new, Half Girlfriend,,
Sadness,Agar Tum Saath Ho ,new, Tamasha,,
Sadness,Kabira ,new, Yeh Jawaani Hai Deewani,,
Sadness,Hamari Adhuri Kahani ,new, Hamari Adhuri Kahani,,
Sadness,Tere Bina ,new, Guru,,
Sadness,Tum Se Hi ,new, Jab We Met,,
Sadness,Main Rahoon Ya Na Rahoon ,new, Main Rahoon Ya Na Rahoon.,,
Sadness,Tadap Tadap Ke ,old, Hum Dil De Chuke Sanam,,
Sadness,Kal Ho Naa Ho ,old, Kal Ho Naa Ho,,
Sadness,Tere Naam ,old, Tere Naam,,
Sadness,Do Pal ,old, Veer-Zaara,,
Sadness,Tanhayee ,old, Dil Chahta Hai,,
Sadness,Jaane Kyun ,old, Dil Chahta Hai,,
Sadness,Tere Liye ,old, Veer-Zaara,,
Sadness,Pehla Nasha ,old, Jo Jeeta Wohi Sikandar,,
Sadness,Tujhe Dekha To ,old, Dilwale Dulhania Le Jayenge,,
Sadness,Kuch Kuch Hota Hai ,old, Kuch Kuch Hota Hai.,,
Fear,Tum Se ,new, Jalebi,,
Fear,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety,,
Fear,Tum Ho ,new, Rockstar,,
Fear,Tere Sang Yaara ,new, Rustom,,
Fear,Tum Hi Aana ,new, Marjaavaan,,
Fear,Tere Bin ,new, Simmba,,
Fear,Tu Jaane Na ,new, Ajab Prem Ki Ghazab Kahani,,
Fear,Pehli Nazar Mein ,new, Race,,
Fear,Tum Mile ,new, Tum Mile,,
Fear,Tera Ban Jaunga ,new, Kabir Singh.,,
Fear,Gumnaam Hai Koi ,old, Gumnaam,,
Fear,Aayega Aane Wala ,old, Mahal,,
Fear,Tum Agar Saath Dene Ka Vada Karo ,old, Hamraaz,,
Fear,Lag Jaa Gale ,old, Woh Kaun Thi,,
Fear,Aaj Ki Raat ,old, Anamika,,
Fear,Aati Kya Khandala ,old, Ghulam,,
Fear,Raat Akeli Hai ,old, Jewel Thief,,
Fear,Akele Hain To Kya Gham Hai ,old, Qayamat Se Qayamat Tak,,
Fear,Tumse Milne Ki Tamanna Hai ,old, Saajan,,
Fear,Dil Se Re ,old, Dil Se.,,
Surprise,Badri Ki Dulhania ,new, Badrinath Ki Dulhania,,
Surprise,Dilbar ,new, Satyameva Jayate,,
Surprise,Kamariya ,new, Stree,,
Surprise,Coca Cola ,new, Luka Chuppi,,
Surprise,Bom Diggy Diggy ,new, Sonu Ke Titu Ki Sweety,,
Surprise,Dil Chori ,new, Sonu Ke Titu Ki Sweety,,
Surprise,Suit Suit ,new, Hindi Medium,,
Surprise,High Heels Te Nachche ,new, Ki & Ka,,
Surprise,Baby Ko Bass Pasand Hai ,new, Sultan,,
Surprise,London Thumakda ,new, Queen.,,
Surprise,Ek Do Teen ,old, Tezaab,,
Surprise,Chura Liya Hai Tumne Jo Dil Ko ,old, Yaadon Ki Baaraat,,
Surprise,Mehbooba Mehbooba ,old, Sholay,,
Surprise,Choli Ke Peeche ,old, Khalnayak,,
Surprise,Tip Tip Barsa Paani ,old, Mohra,,
Surprise,Sarkai Lo Khatiya ,old, Raja Babu,,
Surprise,Sexy Sexy ,old, Khuddar,,
Surprise,Ishq Samundar ,old, Kaante,,
Surprise,Dhoom Machale ,old, Dhoom,,
Surprise,Chak De India ,old, Chak De India.,,
Sympathy,Tere Bin ,new, Simmba,,
Sympathy,Tum Hi Ho ,new, Aashiqui 2,,
Sympathy,Channa Mereya ,new, Ae Dil Hai Mushkil,,
Sympathy,Agar Tum Saath Ho ,new, Tamasha,,
Sympathy,Tujhe Bhula Diya ,new, Anjaana Anjaani,,
Sympathy,Tum Se Hi ,new, Jab We Met,,
Sympathy,Tere Bina ,new, Guru,,
Sympathy,Tum Ho ,new, Rockstar,,
Sympathy,Main Rahoon Ya Na Rahoon ,new, Main Rahoon Ya Na Rahoon,,
Sympathy,Tera Yaar Hoon Main ,new, Sonu Ke Titu Ki Sweety,,
Sympathy,Tadap Tadap Ke ,old, Hum Dil De Chuke Sanam,,
Sympathy,Tere Naam ,old, Tere Naam,,
Sympathy,Kal Ho Naa Ho ,old, Kal Ho Naa Ho,,
