match_number,team1,team2,date_of_match,stadium,team1_goals,team2_goals,audience,team1_total_shots,team1_shots_on_target,team2_total_shots,team2_shots_on_target,team1_fouls,team1_corners,team1_blocked_shots,team1_passes,team1_accurate_passes,team1_accurate_long_balls,team1_accurate_crosses,team1_throws,team1_offsides,team1_yellowcards,team1_red_cards,team1_tackles_won,team1_interceptions,team1_blocks,team1_clearances,team1_keeper_saves,team1_duels_won,team1_successful_dribbles,team2_accurate_passes,team2_fouls_committed,team2_corners,team2_blocked_shots,team2_passes,team2_accurate_long_balls,team2_accurate_crosses,team2_throws,team2_offsides,team2_yellow_cards,team2_red_cards,team2_tackles_won,team2_interceptions,team2_blocks,team2_clearances,team2_keeper_saves,team2_duels_won,team2_successful_dribbles
11,Turkiye,Georgia,18-06-2024,BVB Stadion Dortmund,3,1,"59,127",22,8,14,5,10,5,7,573,241(77%),13(54%),4(24%),14,2,2,0,15(83%),6,4,18,3,47,3(18%),583(89%),7,5,3,441,21(46%),6(30%),18,1,1,0,16(70%),8,7,27,5,52,6(30%)
12,Portugal,Czechia,19-06-2024,Leipzig Stadium,2,1,"38,421",19,8,5,1,6,13,7,704,241(77%),28(61%),4(14%),17,3,2,0,8(80%),4,2,7,0,50,10(50%),583(89%),9,0,2,257,12(24%),1(13%),12,1,1,0,10(63%),11,7,31,7,40,4(40%)
13,Croatia,Albania,19-06-2024,Volksparkstadion,2,2,"46,784",22,10,15,7,15,3,5,634,438(87%),12(41%),9(31%),14,0,1,0,12(71%),14,6,7,5,64,16(76%),527(90%),11,1,6,311,29(48%),4(33%),8,4,3,0,7(64%),9,6,26,8,36,3(33%)
14,Germany,Hungary,19-06-2024,Stuttgart Arena,2,0,"54,000",19,7,11,4,12,11,7,718,438(87%),22(73%),4(15%),12,0,2,0,11(65%),6,4,20,3,42,4(40%),527(90%),10,7,3,308,16(39%),1(7%),12,1,2,0,6(46%),5,6,31,5,41,4(25%)
15,Scotland,Switzerland,20-06-2024,Cologne Stadium,1,1,"42,711",12,3,11,4,11,5,4,374,170(72%),23(40%),9(39%),24,0,3,0,5(63%),2,1,18,3,46,2(67%),516(87%),11,8,1,420,29(52%),2(13%),22,5,2,0,5(56%),8,3,24,2,38,5(56%)
16,Slovenia,Serbia,20-06-2024,Fuball Arena Mnchen,1,1,"63,028",11,4,15,4,13,4,3,346,170(72%),24(44%),4(25%),17,0,2,0,13(68%),6,8,36,3,54,7(37%),516(87%),8,9,8,527,25(54%),9(27%),18,0,4,0,10(59%),5,3,15,3,57,8(47%)
17,Denmark,England,20-06-2024,Frankfurt Arena,1,1,"46,177",16,7,12,4,13,4,5,548,488(85%),17(52%),5(31%),11,4,3,0,12(67%),11,1,11,3,45,4(50%),283(77%),5,2,1,528,30(56%),2(22%),18,0,1,0,7(70%),7,5,16,6,47,11(52%)
18,Spain,Italy,21-06-2024,Arena AufSchalke,1,0,"49,528",20,9,4,1,17,5,3,590,488(85%),22(52%),5(29%),9,0,3,0,8(50%),9,0,11,1,53,14(44%),283(77%),14,2,0,440,18(51%),4(33%),12,0,2,0,16(50%),9,4,15,8,61,2(33%)
19,Slovakia,Ukraine,21-06-2024,Dsseldorf Arena,1,2,"43,910",14,5,13,5,9,4,5,534,401(84%),15(38%),4(21%),22,2,0,0,8(89%),5,5,15,3,37,10(53%),390(86%),12,4,5,419,23(49%),3(18%),14,5,1,0,11(58%),8,5,19,4,44,5(63%)
20,Poland,Austria,21-06-2024,Olympiastadion Berlin,1,3,"69,455",15,3,15,9,15,4,7,390,401(84%),11(35%),6(33%),26,0,4,0,5(71%),6,4,21,6,42,9(69%),390(86%),15,3,4,443,14(31%),4(22%),18,2,2,0,5(45%),16,7,19,2,43,5(63%)
21,Netherlands,France,22-06-2024,Leipzig Stadium,0,0,"38,531",8,4,15,3,13,3,4,398,511(89%),12(55%),3(38%),12,4,1,0,7(88%),3,5,23,3,22,0(0%),379(86%),8,6,5,660,19(59%),4(20%),17,0,0,0,7(54%),2,3,9,4,38,9(69%)
22,Georgia,Czechia,22-06-2024,Volksparkstadion,1,1,"46,524",5,1,27,12,12,5,1,310,511(89%),19(40%),0(0%),13,0,4,0,13(68%),5,7,45,11,54,9(41%),379(86%),17,11,7,493,15(45%),9(20%),18,1,5,0,16(73%),3,1,19,0,56,3(21%)
23,Turkiye,Portugal,22-06-2024,BVB Stadion Dortmund,0,3,"61,047",11,3,12,3,16,9,4,433,618(88%),18(47%),2(13%),11,0,3,0,10(48%),8,2,13,1,44,10(63%),169(66%),8,1,2,566,18(53%),6(43%),17,4,2,0,6(40%),9,4,18,3,49,8(36%)
24,Belgium,Romania,23-06-2024,Cologne Stadium,2,0,"42,535",20,9,14,5,9,7,6,431,618(88%),32(64%),1(8%),25,5,1,0,12(67%),7,3,22,4,53,10(48%),169(66%),11,7,2,352,21(47%),4(33%),23,1,2,0,9(43%),4,6,24,7,39,1(17%)
25,Scotland,Hungary,24-06-2024,Stuttgart Arena,0,1,"54,000",4,0,14,5,16,2,3,501,572(90%),25(45%),6(32%),18,3,1,0,5(42%),6,2,26,4,67,7(54%),247(79%),13,6,2,357,23(33%),2(11%),23,5,5,0,9(45%),6,3,15,0,57,3(25%)
26,Switzerland,Germany,24-06-2024,Frankfurt Arena,1,1,"46,685",4,3,18,3,14,2,0,331,572(90%),18(50%),0(0%),18,2,3,0,9(53%),8,5,16,2,38,3(27%),247(79%),12,9,5,636,20(50%),8(30%),12,2,1,0,9(53%),7,0,11,2,48,10(67%)
27,Albania,Spain,25-06-2024,Dsseldorf Arena,0,1,"46,586",10,4,16,3,6,2,3,407,668(93%),21(45%),2(15%),18,1,2,0,9(53%),13,3,24,2,51,12(60%),248(81%),15,6,4,577,31(69%),7(30%),12,2,1,0,12(75%),5,3,20,4,42,6(33%)
28,Croatia,Italy,25-06-2024,Leipzig Stadium,1,1,"38,322",6,4,12,3,18,2,2,504,668(93%),20(49%),2(17%),12,0,6,0,12(80%),14,7,28,2,32,9(69%),248(81%),6,11,7,569,32(62%),6(25%),20,2,2,0,4(31%),1,1,13,3,46,5(50%)
29,France,Poland,25-06-2024,BVB Stadion Dortmund,1,1,"59,728",19,8,10,3,12,11,8,548,287(77%),21(58%),6(30%),14,1,1,0,15(88%),6,2,12,2,55,14(58%),344(82%),15,3,2,405,14(45%),2(20%),12,0,3,0,10(53%),10,8,31,7,41,7(54%)
30,Netherlands,Austria,25-06-2024,Olympiastadion Berlin,2,3,"68,363",11,2,9,5,10,5,3,428,287(77%),17(52%),5(22%),26,1,0,0,13(72%),4,3,5,3,58,9(36%),344(82%),16,2,3,404,33(49%),3(38%),16,1,3,0,16(70%),10,3,14,0,49,7(70%)
31,Denmark,Serbia,26-06-2024,Fuball Arena Mnchen,0,0,"64,288",10,3,5,1,11,8,2,562,269(78%),25(45%),3(14%),15,0,2,0,5(50%),10,1,20,1,43,3(30%),462(88%),5,2,1,488,30(44%),7(39%),17,3,2,0,7(50%),8,2,25,3,46,2(33%)
32,England,Slovenia,26-06-2024,Cologne Stadium,0,0,"41,536",12,4,4,1,11,6,4,746,269(78%),31(70%),8(44%),17,2,3,0,3(60%),3,1,5,1,26,5(36%),462(88%),9,0,1,275,13(30%),1(25%),12,0,2,0,10(67%),4,4,24,3,35,4(67%)
33,Slovakia,Romania,26-06-2024,Frankfurt Arena,1,1,"45,033",13,4,9,5,11,5,2,437,476(87%),20(38%),7(35%),24,3,1,0,5(50%),8,0,23,4,39,2(33%),455(86%),10,1,0,323,16(25%),0(0%),23,1,3,0,7(70%),7,2,29,3,39,7(70%)
34,Ukraine,Belgium,26-06-2024,Stuttgart Arena,0,0,"54,000",13,4,12,4,9,3,4,374,476(87%),22(44%),4(40%),16,2,1,0,9(50%),11,4,20,4,45,4(100%),455(86%),8,7,4,564,27(60%),1(11%),18,0,1,0,3(75%),2,4,10,4,32,8(53%)
35,Czechia,Turkiye,27-06-2024,Volksparkstadion,1,2,"47,683",12,7,18,5,16,3,2,229,537(91%),28(44%),5(31%),19,0,5,2,6(67%),2,7,19,3,39,7(44%),364(83%),9,7,7,512,25(43%),2(15%),14,1,11,0,11(73%),4,3,19,5,60,12(67%)
36,Georgia,Portugal,27-06-2024,Arena AufSchalke,2,0,"49,616",7,3,22,5,6,1,1,270,537(91%),15(33%),0(0%),14,0,1,0,13(62%),4,8,26,5,47,9(60%),364(83%),11,11,8,690,12(80%),8(21%),11,1,3,0,10(56%),8,1,10,1,49,13(50%)
37,Switzerland,Italy,29-06-2024,Olympiastadion Berlin,2,0,"68,172",16,4,11,1,9,4,7,513,480(90%),15(54%),0(0%),18,0,0,0,8(89%),6,3,26,1,36,5(50%),368(88%),15,6,3,520,6(27%),3(15%),14,1,3,0,10(83%),8,6,17,2,39,7(58%)
38,Germany,Denmark,30-06-2024,BVB Stadion Dortmund,2,0,"61,612",15,9,11,2,7,6,1,536,480(90%),24(55%),4(31%),20,4,0,0,6(75%),8,5,22,2,45,10(42%),368(88%),15,6,5,435,25(51%),3(20%),10,3,2,0,12(67%),4,1,18,7,40,4(80%)
39,England,Slovakia,30-06-2024,Arena AufSchalke,2,1,"47,244",16,2,13,3,12,9,7,808,311(80%),30(48%),6(17%),24,1,3,0,9(60%),6,3,9,2,70,14(54%),373(84%),19,1,3,472,19(32%),6(33%),13,2,6,0,12(57%),9,7,44,0,61,2(29%)
40,Spain,Georgia,01-07-2024,Cologne Stadium,4,1,"42,233",35,13,4,0,11,13,11,792,311(80%),19(76%),8(24%),15,3,1,0,10(56%),6,1,8,0,45,12(46%),373(84%),5,3,1,263,13(36%),0(0%),8,0,1,0,10(50%),7,11,28,9,41,7(41%)
41,France,Belgium,01-07-2024,Dsseldorf Arena,1,0,"46,810",19,2,5,2,7,5,1,609,352(88%),23(72%),7(37%),14,1,3,0,11(73%),7,2,18,3,41,9(56%),609(92%),10,2,2,496,20(47%),1(8%),15,0,2,0,11(65%),7,1,18,2,40,6(43%)
42,Portugal,Slovenia,02-07-2024,Frankfurt Arena,0,0,"46,576",20,6,10,2,8,11,6,770,352(88%),29(53%),11(28%),24,4,1,0,16(70%),12,2,25,2,83,22(55%),609(92%),17,4,2,305,24(32%),2(22%),25,6,5,0,22(61%),9,6,37,6,72,7(41%)
43,Romania,Netherlands,02-07-2024,Fuball Arena Mnchen,0,3,"65,012",5,1,23,6,8,4,1,271,246(79%),23(45%),2(13%),17,0,2,0,5(56%),8,6,35,3,26,1(14%),430(87%),9,13,6,500,25(58%),7(24%),22,4,2,0,4(33%),9,1,23,1,47,11(69%)
44,Austria,Turkiye,03-07-2024,Leipzig Stadium,1,2,"38,305",21,5,6,3,12,10,7,564,246(79%),23(53%),13(34%),24,2,2,0,5(42%),5,1,13,2,44,7(41%),430(87%),5,4,1,379,21(37%),4(29%),16,1,2,0,8(40%),13,7,55,4,56,7(58%)
45,Spain,Germany,05-07-2024,Stuttgart Arena,2,1,"54,000",18,6,23,5,17,1,3,576,373(86%),32(55%),4(44%),8,3,5,1,11(65%),11,7,37,5,70,13(50%),505(89%),22,5,7,588,28(52%),12(36%),21,2,8,0,14(61%),9,3,19,4,56,7(44%)
46,Portugal,France,06-07-2024,Volksparkstadion,0,0,"47,789",15,4,20,5,8,11,6,869,373(86%),25(66%),3(9%),21,1,1,0,11(65%),8,5,19,5,43,11(46%),505(89%),13,4,6,586,35(78%),3(19%),10,2,1,0,13(59%),6,6,35,4,48,14(61%)
47,England,Switzerland,06-07-2024,Dsseldorf Arena,1,1,"46,907",13,3,11,3,8,4,8,670,365(85%),46(69%),6(21%),22,3,1,0,16(70%),6,2,21,2,59,11(58%),286(81%),13,3,2,623,24(57%),5(23%),16,0,2,0,12(63%),3,8,30,2,42,7(54%)
48,Netherlands,Turkiye,07-07-2024,Olympiastadion Berlin,2,1,"70,091",11,4,15,4,16,3,3,536,365(85%),12(43%),3(20%),10,4,4,0,10(91%),8,4,20,2,37,8(42%),286(81%),7,7,3,361,22(46%),5(25%),8,2,1,1,7(41%),12,3,15,3,47,5(42%)
49,Spain,France,10-07-2024,Fuball Arena Mnchen,2,1,"62,042",6,2,9,3,9,4,2,500,411(82%),25(56%),2(14%),18,0,2,0,6(55%),1,3,30,2,33,4(31%),259(73%),14,6,3,339,15(52%),10(33%),17,0,2,0,12(63%),5,2,16,0,50,8(62%)
50,Netherlands,England,11-07-2024,BVB Stadion Dortmund,1,2,"60,926",7,2,9,5,11,3,2,414,411(82%),11(44%),6(46%),9,1,3,0,5(42%),10,3,16,2,29,2(29%),259(73%),6,0,2,589,26(74%),2(22%),16,4,3,0,6(60%),7,2,5,2,34,6(55%)
51,Spain,England,15-07-2024,Olympiastadion Berlin,2,1,"65,600",16,6,9,4,11,10,5,545,262(79%),24(63%),4(16%),21,1,1,0,10(71%),5,4,15,2,35,3(27%),571(90%),5,2,3,294,23(47%),1(14%),11,0,3,0,12(67%),5,5,27,4,43,4(33%)
