Product Name,Actual price,Discount price,Stars,Rating,Reviews,RAM (GB),Storage (GB),Display Size (inch),Camera,Description,Link
"vivo Y200e 5G (Black Diamond, 128 GB)","₹23,999","₹19,999",4.2,267 Ratings,13 Reviews,6,128,6.67,50MP + 2MP,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP  5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/vivo-y200e-5g-black-diamond-128-gb/p/itmc14e227de274a?pid=MOBGXWT82RGCAY6V&lid=LSTMOBGXWT82RGCAY6VXOQMCP&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_40_940&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=14d7e815-a060-4730-a0d1-33c3190d5e9a.MOBGXWT82RGCAY6V.SEARCH&ppt=None&ppn=None&ssid=n756jhl5mo0000001722741257735&qH=532c28d5412dd75b
"OPPO F25 Pro 5G (Ocean Blue, 128 GB)","₹28,999","₹23,999",4.3,"3,629 Ratings",299 Reviews,8,128,6.7,64MP + 8MP,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) Full HD+ Display64MP + 8MP + 2MP | 32MP  5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/oppo-f25-pro-5g-ocean-blue-128-gb/p/itm9451b9c477991?pid=MOBGXX3V3QWESTQY&lid=LSTMOBGXX3V3QWESTQYWEEFKC&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_31_741&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=88e1100d-68f2-4b6b-9db3-7da90e3ae08f.MOBGXX3V3QWESTQY.SEARCH&ppt=None&ppn=None&ssid=flxrr821m80000001722741112396&qH=532c28d5412dd75b
"Motorola G85 5G (Urban Grey, 128 GB)","₹20,999","₹17,999",4.5,"9,300 Ratings",537 Reviews,8,128,6.67,50MP + 8MP,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP  5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g85-5g-urban-grey-128-gb/p/itmd537bad93eed7?pid=MOBHY9PQHVCM54FH&lid=LSTMOBHY9PQHVCM54FHI6UBP0&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_14_331&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=dd80a18a-9f82-4bfa-960a-80db3afe9abe.MOBHY9PQHVCM54FH.SEARCH&ppt=None&ppn=None&ssid=6mykcwd4ds0000001722740688058&qH=532c28d5412dd75b
"Motorola G85 5G (Urban Grey, 128 GB)","₹20,999","₹17,999",4.5,"9,300 Ratings",537 Reviews,8,128,6.67,50MP + 8MP,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP  5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g85-5g-urban-grey-128-gb/p/itmd537bad93eed7?pid=MOBHY9PQHVCM54FH&lid=LSTMOBHY9PQHVCM54FHI6UBP0&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_18_421&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=a28eb9a4-352b-49c0-be0d-5060ddb12790.MOBHY9PQHVCM54FH.SEARCH&ppt=None&ppn=None&ssid=bk1y3d5za80000001722740727684&qH=532c28d5412dd75b
"Motorola g04s (Satin Blue, 64 GB)","₹9,999","₹6,999",4.2,"9,349 Ratings",517 Reviews,4,64,6.6,50MP ,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP  | 5MP  5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g04s-satin-blue-64-gb/p/itma899ac4728c8e?pid=MOBHY9PQM9H8HMEN&lid=LSTMOBHY9PQM9H8HMENQJT1JU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_29&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=d67ff0de-936b-4735-9a4f-5e428c1ed8f7.MOBHY9PQM9H8HMEN.SEARCH&ppt=None&ppn=None&ssid=rdrwipk0680000001722740530447&qH=532c28d5412dd75b
"Motorola g64 5G (Ice Lilac, 256 GB)","₹19,999","₹16,999",4.2,"12,943 Ratings",784 Reviews,12,256,6.5,8MP | 16MP  ,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) Full HD+ Display50MP (OIS) + 8MP | 16MP  6000 mAh BatteryDimensity 7025 Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g64-5g-ice-lilac-256-gb/p/itm1df450f035292?pid=MOBGY2JUGGJZJQNK&lid=LSTMOBGY2JUGGJZJQNKKF5P9H&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_3_52&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=696975f6-69ed-4d18-aa40-f0b1a0a1a5d7.MOBGY2JUGGJZJQNK.SEARCH&ppt=None&ppn=None&ssid=mv899f16ds0000001722740540041&qH=532c28d5412dd75b
"MOTOROLA G04 (Sunrise Orange, 64 GB)","₹9,999","₹6,999",4.2,"13,911 Ratings",894 Reviews,4,64,6.6,16MP ,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display16MP  | 5MP  5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/motorola-g04-sunrise-orange-64-gb/p/itm4fb15fb244a2b?pid=MOBGUFK4NYZHCY9V&lid=LSTMOBGUFK4NYZHCY9VGYAV1A&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_31_737&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=88e1100d-68f2-4b6b-9db3-7da90e3ae08f.MOBGUFK4NYZHCY9V.SEARCH&ppt=None&ppn=None&ssid=flxrr821m80000001722741112396&qH=532c28d5412dd75b
"Nothing Phone (2a) 5G (Blue, 128 GB)","₹25,999","₹23,999",4.4,"40,281 Ratings","4,089 Reviews",8,128,6.7,50MP | 32MP  ,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP  5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty,https://www.flipkart.com/nothing-phone-2a-5g-blue-128-gb/p/itm85c6bca5edadc?pid=MOBHY8KMDGZNWH4G&lid=LSTMOBHY8KMDGZNWH4GJWNMWZ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_29_675&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=0ea38224-600f-42ab-b0b4-f4b2cd2248e8.MOBHY8KMDGZNWH4G.SEARCH&ppt=None&ppn=None&ssid=p7yng8vnm80000001722740921399&qH=532c28d5412dd75b
"Nothing Phone (2a) 5G (Blue, 256 GB)","₹27,999","₹25,999",4.4,"40,281 Ratings","4,089 Reviews",8,256,6.7,50MP | 32MP  ,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP (OIS) + 50MP | 32MP  5000 mAh BatteryDimensity 7200 Pro Processor1 Year Manufacturing Warranty,https://www.flipkart.com/nothing-phone-2a-5g-blue-256-gb/p/itm85c6bca5edadc?pid=MOBHY8KMQYHVZ6GE&lid=LSTMOBHY8KMQYHVZ6GEMUK6QU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_29_677&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=0ea38224-600f-42ab-b0b4-f4b2cd2248e8.MOBHY8KMQYHVZ6GE.SEARCH&ppt=None&ppn=None&ssid=p7yng8vnm80000001722740921399&qH=532c28d5412dd75b
"OnePlus 12 (Silky Black, 512 GB)","₹69,999","₹59,629",4.6,881 Ratings,80 Reviews,16,512,6.82,64MP ,16 GB RAM | 512 GB ROM17.32 cm (6.82 inch) Display64MP 5400 mAh Battery1 Year Brand Warranty,https://www.flipkart.com/oneplus-12-silky-black-512-gb/p/itm4464454f95a2e?pid=MOBGXGT7VXK6HU9T&lid=LSTMOBGXGT7VXK6HU9TSZRRQR&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_13_308&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=65031789-3b71-45f3-90ce-44bda83988a1.MOBGXGT7VXK6HU9T.SEARCH&ppt=None&ppn=None&ssid=qn6txjkrpc0000001722740678319&qH=532c28d5412dd75b
"OnePlus 12 (Silky Black, 512 GB)","₹69,999","₹59,629",4.6,881 Ratings,80 Reviews,16,512,6.82,64MP ,16 GB RAM | 512 GB ROM17.32 cm (6.82 inch) Display64MP 5400 mAh Battery1 Year Brand Warranty,https://www.flipkart.com/oneplus-12-silky-black-512-gb/p/itm4464454f95a2e?pid=MOBGXGT7VXK6HU9T&lid=LSTMOBGXGT7VXK6HU9TSZRRQR&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_17_387&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=39ba0398-6d9e-47e0-aca4-22d45906434c.MOBGXGT7VXK6HU9T.SEARCH&ppt=None&ppn=None&ssid=zqswdpysuo0000001722740717927&qH=532c28d5412dd75b
"itel it5027 6.1cm Screen,1200mAh Battery Wireless FM Radio with Recording,KingVoice","₹1,499","₹1,177",3.8,466 Ratings,30 Reviews,NIL,NIL,2.4,3MP + 0MP,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) NA Display0.3MP + 0MP | 0MP  1200 mAh BatteryNA Processor12+1 Months Warranty for device 6 months for accessories 111 Days Replacement,https://www.flipkart.com/itel-it5027-6-1cm-screen-1200mah-battery-wireless-fm-radio-recording-kingvoice/p/itm96dacf1431f1e?pid=MOBGT2UHZVCBPBGH&lid=LSTMOBGT2UHZVCBPBGHGZGZL3&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_23_548&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=4fb6cf50-758a-4f55-8b85-3f2ab237e5bd.MOBGT2UHZVCBPBGH.SEARCH&ppt=None&ppn=None&ssid=kkil1pey0g0000001722740828920&qH=532c28d5412dd75b
"realme 12 Pro+ 5G (Navigator Beige, 256 GB)","₹37,999","₹33,999",4.4,"5,815 Ratings",643 Reviews,12,256,6.7,50MP + 8MP,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP  5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itm7f042fb6aebdb?pid=MOBGWH8STKHPCKGN&lid=LSTMOBGWH8STKHPCKGNZGIONJ&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_10_226&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=238cf886-85f1-46f2-bd32-ea8d40366dd6.MOBGWH8STKHPCKGN.SEARCH&ppt=None&ppn=None&ssid=6zc9yysp280000001722740637448&qH=532c28d5412dd75b
"realme 12 Pro+ 5G (Navigator Beige, 256 GB)","₹35,999","₹31,999",4.4,"17,356 Ratings","2,216 Reviews",8,256,6.7,50MP + 8MP,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP  5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itm7f042fb6aebdb?pid=MOBGWH8SFQGSBNDU&lid=LSTMOBGWH8SFQGSBNDUO8ZSP2&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_10_235&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=238cf886-85f1-46f2-bd32-ea8d40366dd6.MOBGWH8SFQGSBNDU.SEARCH&ppt=None&ppn=None&ssid=6zc9yysp280000001722740637448&qH=532c28d5412dd75b
"realme 12 Pro+ 5G (Navigator Beige, 256 GB)","₹35,999","₹31,999",4.4,"17,356 Ratings","2,216 Reviews",8,256,6.7,50MP + 8MP,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP + 64MP | 32MP  5000 mAh BatterySnapdragon 7s Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,https://www.flipkart.com/realme-12-pro-5g-navigator-beige-256-gb/p/itm7f042fb6aebdb?pid=MOBGWH8SFQGSBNDU&lid=LSTMOBGWH8SFQGSBNDURMZVFN&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_12_275&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=8de53f2a-77e4-4e78-821f-39058097449e.MOBGWH8SFQGSBNDU.SEARCH&ppt=None&ppn=None&ssid=oem629it400000001722740668575&qH=532c28d5412dd75b
Nokia 105,"₹1,699","₹1,399",3.4,753 Ratings,37 Reviews,NIL,NIL,1.77,0MP | 0MP  ,32 MB RAM | 32 MB ROM | Expandable Upto 32 MB4.5 cm (1.77 inch) Display0MP | 0MP  5000 mAh BatteryNO WARRANTY,https://www.flipkart.com/nokia-105/p/itm781c27468c0e8?pid=MOBGSFECDNDWE2HT&lid=LSTMOBGSFECDNDWE2HTME8YEL&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_36_853&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=35b544fa-296e-4bde-82ef-42572dc4d1e3.MOBGSFECDNDWE2HT.SEARCH&ppt=None&ppn=None&ssid=u3mz625qe80000001722741208071&qH=532c28d5412dd75b
"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹7,999","₹6,699",4.3,"33,838 Ratings","2,357 Reviews",3,64,6.6,,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP  5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-smart-8-hd-shiny-gold-64-gb/p/itm709d885ba6ac1?pid=MOBGVAPXG4WHFR9M&lid=LSTMOBGVAPXG4WHFR9MJIYCWG&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_8_175&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=f3f8273d-9128-45e9-b474-069258b48dee.MOBGVAPXG4WHFR9M.SEARCH&ppt=None&ppn=None&ssid=5od93xgutc0000001722740578924&qH=532c28d5412dd75b
"Infinix SMART 8 HD (Shiny Gold, 64 GB)","₹8,999","₹6,999",4.3,810 Ratings,30 Reviews,4,64,6.6,,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display13MP + AI Lens | 8MP  5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-smart-8-hd-shiny-gold-64-gb/p/itm709d885ba6ac1?pid=MOBHY9R9PYGXBGHX&lid=LSTMOBHY9R9PYGXBGHXDCNYRF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_8_190&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=f3f8273d-9128-45e9-b474-069258b48dee.MOBHY9R9PYGXBGHX.SEARCH&ppt=None&ppn=None&ssid=5od93xgutc0000001722740578924&qH=532c28d5412dd75b
"Apple iPhone 15 Plus (Yellow, 128 GB)","₹89,600","₹73,999",4.6,"7,658 Ratings",637 Reviews,NIL,128,6.7,48MP + 12MP,"128 GB ROM17.02 cm (6.7 inch) Super Retina XDR Display48MP + 12MP | 12MP  A16 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",https://www.flipkart.com/apple-iphone-15-plus-yellow-128-gb/p/itm94bb31f2af05a?pid=MOBGTAGPVSMQYGZX&lid=LSTMOBGTAGPVSMQYGZXNTFFPK&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_9_204&otracker=AS_Query_OrganicAutoSuggest_4_2_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_4_2_na_na_na&fm=organic&iid=725dd553-d92b-4657-8633-45a32b561a5d.MOBGTAGPVSMQYGZX.SEARCH&ppt=None&ppn=None&ssid=ms6kq9hjlc0000001722740588468&qH=532c28d5412dd75b
