id,name,now_cost,position,team,points_per_game,clean_sheets_per_90,red_cards,saves,own_goals,expected_goal_involvements_per_90,expected_assists,form_rank_type,influence_rank_type,expected_goal_involvements,now_cost_rank_type,expected_goals_conceded,expected_assists_per_90,penalties_saved,influence_rank,selected_rank_type,yellow_cards,goals_scored,creativity_rank,value_season,expected_goals,points_per_game_rank,web_name,goals_conceded_per_90,ict_index_rank,bps,ict_index_rank_type,corners_and_indirect_freekicks_order,form_rank,clean_sheets,ep_next,direct_freekicks_order,penalties_missed,selected_by_percent,influence,threat_rank_type,threat,creativity,saves_per_90,status,total_points,starts,minutes,ict_index,threat_rank,expected_goals_per_90,news,goals_conceded,news_added,chance_of_playing_next_round,creativity_rank_type,assists,now_cost_rank,bonus,starts_per_90,points_per_game_rank_type,selected_rank,penalties_order,expected_goals_conceded_per_90
11,Eddie Nketiah,60,FWD,Arsenal,2.6,0.51,0,0,0,0.43,0.53,45,30,5.18,21,10.21,0.04,0,257,50,3,5,223,11.8,4.65,195,Nketiah,0.85,190,206,29,,497,6,3.0,,0,0.4,235.0,27,417.0,136.3,0.0,a,71,10,1065,77.2,79,0.39,,10,,,27,4,76,5,0.85,30,304,,0.86
12,Ethan Nwaneri,45,MID,Arsenal,1.0,0.0,0,0,0,0.35,0.05,35,183,0.05,232,0.13,0.35,0,395,147,0,0,344,0.2,0.00,374,Nwaneri,0.0,385,3,178,,239,0,2.0,,0,0.2,2.0,175,4.0,12.3,0.0,a,1,0,13,1.8,349,0.0,,0,,,171,0,469,0,0.0,172,442,,0.9
13,Martin Ødegaard,85,MID,Arsenal,5.3,0.55,0,0,0,0.52,10.16,249,11,17.69,8,25.26,0.3,0,23,7,2,8,3,21.9,7.53,12,Ødegaard,0.67,6,703,6,3.0,568,19,3.9,1.0,0,16.9,910.4,14,757.0,1499.4,0.0,a,186,35,3098,317.0,29,0.22,,23,,,3,11,10,26,1.02,9,21,2.0,0.73
14,Aaron Ramsdale,45,GKP,Arsenal,3.3,0.33,0,9,0,0.0,0.01,45,31,0.01,29,5.81,0.0,0,342,30,0,0,477,4.4,0.00,103,Ramsdale,0.83,365,90,31,,167,2,3.2,,0,0.9,73.2,46,0.0,0.0,1.5,a,20,6,540,7.3,462,0.0,,5,,,53,0,397,0,1.0,19,188,,0.97
15,David Raya Martin,55,GKP,Arsenal,4.2,0.5,0,46,0,0.0,0.04,63,19,0.04,4,22.51,0.0,1,158,2,2,0,554,24.5,0.00,35,Raya,0.75,278,569,19,,440,16,5.0,,0,21.8,413.0,63,0.0,0.0,1.44,a,135,32,2880,41.1,554,0.0,,24,,,63,0,113,6,1.0,3,16,,0.7
16,Declan Rice,65,MID,Arsenal,4.3,0.47,0,0,0,0.24,5.09,217,10,8.62,29,27.08,0.14,0,19,24,5,7,31,25.4,3.53,33,Rice,0.78,30,744,22,2.0,521,17,3.3,2.0,0,5.6,959.4,45,451.0,745.3,0.0,a,165,37,3225,215.9,69,0.1,,28,,,26,9,48,17,1.03,18,71,,0.76
17,Bukayo Saka,100,MID,Arsenal,6.5,0.49,0,0,0,0.81,10.90,253,4,26.29,4,25.66,0.34,0,6,6,4,16,4,22.6,15.40,5,Saka,0.83,1,776,1,1.0,574,16,4.3,,0,26.4,1093.8,2,1342.0,1319.8,0.0,a,226,35,2922,375.7,5,0.47,,27,,,4,12,5,29,1.08,4,11,1.0,0.79
18,William Saliba,60,DEF,Arsenal,4.3,0.47,0,0,0,0.06,0.90,188,15,2.60,7,28.32,0.02,0,55,1,4,2,211,27.3,1.70,30,Saliba,0.76,141,781,33,,505,18,4.2,,0,40.8,697.2,52,140.0,152.1,0.0,a,164,38,3420,99.1,193,0.04,,29,,,61,1,84,13,1.0,5,4,,0.75
19,Emile Smith Rowe,55,MID,Arsenal,1.9,0.79,0,0,0,0.59,0.40,179,153,2.26,77,2.10,0.1,0,349,74,0,0,279,4.5,1.86,294,Smith Rowe,0.79,320,73,146,,455,3,3.0,,0,0.6,62.4,115,128.0,72.2,0.0,a,25,3,343,25.6,208,0.49,,3,,,151,2,128,0,0.79,128,231,,0.55
20,Thomas Partey,50,MID,Arsenal,1.7,0.57,0,0,0,0.12,0.58,83,134,1.01,124,8.45,0.07,0,314,184,3,0,236,4.8,0.43,314,Thomas,0.57,315,142,144,,306,5,2.5,,0,0.1,117.6,156,37.0,122.9,0.0,a,24,9,785,27.8,302,0.05,,5,,,136,0,197,0,1.03,136,495,,0.97
21,Kieran Tierney,45,DEF,Arsenal,0.0,0.0,0,0,0,0.0,0.00,90,177,0.00,80,0.00,0.0,0,472,137,0,0,468,0.0,0.00,474,Tierney,0.0,475,0,177,,137,0,2.9,,0,0.2,0.0,177,0.0,0.0,0.0,a,0,0,0,0.0,451,0.0,,0,,,177,0,367,0,0.0,176,361,,0.0
22,Tomiyasu Takehiro,50,DEF,Arsenal,3.2,0.47,1,0,0,0.19,0.68,165,92,2.42,31,14.03,0.05,0,252,107,0,2,218,14.0,1.74,119,Tomiyasu,0.79,243,244,79,,342,6,3.4,,0,0.4,247.0,51,143.0,141.8,0.0,a,70,10,1140,52.8,190,0.14,,10,,,66,1,233,4,0.79,28,287,,1.11
23,Leandro Trossard,70,MID,Arsenal,4.1,0.66,0,0,0,0.62,2.96,238,34,11.25,15,13.46,0.16,0,90,30,2,12,91,19.7,8.29,44,Trossard,0.55,53,398,37,,544,12,3.4,,0,3.4,563.6,19,746.0,384.7,0.0,a,138,18,1633,169.5,35,0.46,,10,,,65,2,26,11,0.99,25,98,,0.74
24,Benjamin White,65,DEF,Arsenal,4.9,0.54,0,0,0,0.15,3.66,190,11,4.93,2,24.95,0.11,0,42,12,8,4,51,28.0,1.27,17,White,0.78,64,776,5,,519,18,4.6,,0,12.1,765.8,17,234.0,589.4,0.0,a,182,35,2987,159.0,135,0.04,,26,,,7,5,46,14,1.05,1,31,,0.75
25,Oleksandr Zinchenko,50,DEF,Arsenal,3.9,0.47,0,0,0,0.17,2.65,160,58,3.25,26,12.33,0.14,0,168,51,2,1,67,20.8,0.60,49,Zinchenko,0.79,140,468,32,,329,9,3.4,,0,1.6,395.4,57,133.0,474.8,0.0,a,104,20,1717,100.4,205,0.03,,15,,,12,2,220,16,1.05,8,139,,0.65
26,Álex Moreno Lopera,45,DEF,Aston Villa,2.3,0.26,0,0,1,0.19,0.98,68,97,2.09,58,18.50,0.09,0,263,70,2,2,208,10.9,1.11,226,Alex Moreno,1.76,244,211,80,,104,3,1.9,,0,0.8,217.8,46,152.0,156.9,0.0,a,49,11,1024,52.7,182,0.1,,20,,,59,0,334,5,0.97,70,197,,1.63
27,Cameron Archer,50,FWD,Aston Villa,2.7,0.1,0,0,0,0.33,1.39,17,29,6.67,50,41.38,0.07,0,240,32,2,4,121,16.4,5.28,180,Archer,2.46,155,241,26,,365,2,1.4,,0,1.0,266.0,30,353.0,309.3,0.0,a,82,21,1829,92.8,97,0.26,,50,,,17,3,256,9,1.03,26,180,,2.04
28,Leon Bailey,65,MID,Aston Villa,4.2,0.22,0,0,0,0.58,7.17,221,24,13.46,33,36.17,0.31,0,63,26,5,10,36,22.8,6.29,38,Bailey,1.4,37,482,26,3.0,525,5,2.3,4.0,0,4.2,663.2,26,623.0,707.1,0.0,a,148,22,2063,199.1,46,0.27,,32,,,31,11,52,11,0.96,21,87,,1.58
29,Ross Barkley,55,MID,Aston Villa,3.2,0.07,0,0,0,0.22,2.73,160,22,6.64,58,60.84,0.09,0,56,55,6,5,44,18.4,3.91,122,Barkley,2.27,55,498,39,,423,2,2.0,,0,1.1,687.4,58,379.0,622.8,0.0,a,101,30,2616,168.7,90,0.13,,66,,,39,5,96,4,1.03,52,174,,2.09
30,Enzo Barrenechea,50,MID,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,142,235,0.00,183,0.00,0.0,0,544,189,0,0,543,0.0,0.00,544,Barrenechea,0.0,545,0,235,,397,0,1.5,,0,0.1,0.0,235,0.0,0.0,0.0,a,0,0,0,0.0,541,0.0,,0,,,235,0,288,0,0.0,235,501,,0.0
31,Emiliano Buendía Stati,55,MID,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,172,243,0.00,70,0.00,0.0,0,557,127,0,0,557,0.0,0.00,556,Buendia,0.0,557,0,243,,447,0,2.0,,0,0.2,0.0,243,0.0,0.0,0.0,a,0,0,0,0.0,557,0.0,,0,,,243,0,120,0,0.0,243,396,,0.0
32,Matty Cash,45,DEF,Aston Villa,2.2,0.13,0,0,1,0.29,2.47,93,45,6.88,83,36.78,0.1,0,140,41,8,2,163,14.2,4.41,240,Cash,1.52,125,337,28,,141,3,1.9,,0,2.9,465.2,5,378.0,231.8,0.0,a,64,23,2138,107.1,92,0.19,,36,,,37,2,371,4,0.97,79,110,,1.55
33,Leander Dendoncker,45,MID,Aston Villa,2.5,0.0,0,0,0,0.57,0.01,2,155,0.74,199,1.58,0.01,0,351,59,0,1,364,4.4,0.73,201,Dendoncker,2.29,360,64,162,,121,0,1.0,,0,0.9,59.2,155,37.0,3.9,0.0,a,20,1,118,10.0,299,0.56,,3,,,177,1,351,3,0.76,83,185,,1.21
34,Moussa Diaby,65,MID,Aston Villa,3.7,0.33,0,0,0,0.49,4.24,226,49,11.64,38,35.75,0.18,0,117,58,1,6,45,21.8,7.40,67,Diaby,1.66,44,429,30,,530,8,0.0,,0,1.0,515.4,22,675.0,617.8,0.0,u,142,25,2168,180.6,40,0.31,Permanent transfer to Al Ittihad,40,2024-07-26T08:50:40.300928Z,0.0,40,11,57,10,1.04,34,183,,1.48
35,Diego Carlos Santos Silva,45,DEF,Aston Villa,2.0,0.3,0,0,0,0.12,0.35,82,65,2.30,72,33.17,0.02,0,180,86,4,0,293,12.2,1.95,273,Diego Carlos,1.79,241,338,77,,128,6,1.9,,0,0.5,370.4,74,100.0,59.8,0.0,a,55,20,1809,53.2,237,0.1,,36,,,104,0,358,1,1.0,95,237,,1.65
36,Lucas Digne,45,DEF,Aston Villa,2.6,0.22,0,0,0,0.17,3.49,66,48,4.48,56,41.65,0.13,0,146,49,7,1,48,18.9,0.99,184,Digne,1.53,102,420,18,4.0,101,6,1.9,2.0,0,1.9,448.4,31,200.0,601.7,0.0,a,85,27,2405,125.1,155,0.04,,41,,,5,4,331,5,1.01,54,132,,1.56
37,Lewis Dobbin,50,MID,Aston Villa,1.5,0.4,0,0,0,0.19,0.12,131,152,0.46,172,3.72,0.05,0,347,236,1,1,304,3.6,0.34,338,Dobbin,1.19,336,54,153,,378,1,1.5,,0,0.0,68.4,143,59.0,50.5,0.0,a,18,1,226,17.7,276,0.14,,3,,,156,0,269,0,0.4,152,553,,1.48
38,Jhon Durán,60,FWD,Aston Villa,2.2,0.0,0,0,0,0.43,0.15,49,32,2.18,25,11.16,0.03,0,278,49,5,5,299,8.3,2.04,252,Duran,2.34,281,162,34,,507,0,2.0,,0,0.4,190.2,34,165.0,55.2,0.0,a,50,3,461,40.2,173,0.4,,12,,,37,1,86,7,0.59,34,295,,2.18
39,Joe Gauci,40,GKP,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,22,51,0.00,59,0.00,0.0,0,442,52,0,0,433,0.0,0.00,444,Gauci,0.0,445,0,51,,54,0,1.0,,0,0.3,0.0,23,0.0,0.0,0.0,a,0,0,0,0.0,407,0.0,,0,,,39,0,555,0,0.0,51,348,,0.0
40,Kortney Hause,40,DEF,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,9,141,0.00,150,0.00,0.0,0,411,95,0,0,400,0.0,0.00,413,Hause,0.0,414,0,141,,16,0,1.0,,0,0.5,0.0,138,0.0,0.0,0.0,a,0,0,0,0.0,373,0.0,,0,,,141,0,517,0,0.0,140,253,,0.0
41,Samuel Iling-Junior,55,MID,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,192,248,0.00,90,0.00,0.0,0,567,137,0,0,567,0.0,0.00,567,Iling Jr,0.0,567,0,248,,477,0,2.0,,0,0.2,0.0,248,0.0,0.0,0.0,a,0,0,0,0.0,567,0.0,,0,,,248,0,150,0,0.0,248,415,,0.0
42,Boubacar Kamara,50,MID,Aston Villa,2.0,0.38,1,0,0,0.09,1.39,108,102,1.52,149,24.68,0.08,0,245,254,7,0,127,8.0,0.13,279,Kamara,1.2,225,247,112,,345,7,0.0,,0,0.0,256.2,152,44.0,292.7,0.0,i,40,20,1653,59.1,292,0.01,Knee injury - Expected back 14 Sep,22,2024-07-17T13:30:04.954579Z,0.0,83,1,236,1,1.09,118,575,,1.34
43,Kaine Kesler-Hayden,40,DEF,Aston Villa,1.0,0.0,0,0,0,0.0,0.00,34,160,0.00,175,0.11,0.0,0,444,143,0,0,435,0.8,0.00,363,Kesler-Hayden,0.0,447,9,160,,57,0,1.0,,0,0.2,0.0,159,0.0,0.0,0.0,a,3,0,5,0.0,410,0.0,,0,,,160,0,558,0,0.0,126,372,,1.98
44,Ezri Konsa Ngoyo,45,DEF,Aston Villa,2.6,0.21,0,0,0,0.11,1.01,94,32,3.57,84,52.28,0.03,0,93,7,5,1,201,20.2,2.56,186,Konsa,1.58,151,562,39,,142,7,1.9,,0,18.5,554.4,23,223.0,170.6,0.0,a,91,35,3069,95.0,144,0.08,,54,,,54,1,372,7,1.03,56,19,,1.53
45,Ian Maatsen,50,DEF,Aston Villa,0.9,0.0,0,0,0,0.42,0.20,170,130,0.94,36,5.07,0.09,0,364,25,1,0,310,2.2,0.74,391,Maatsen,2.25,359,24,129,,373,0,2.4,,0,5.5,29.4,112,29.0,44.8,0.0,a,11,1,200,10.3,313,0.33,,5,,,113,0,264,0,0.45,130,73,,2.28
46,Filip Marschall,40,GKP,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,21,50,0.00,58,0.00,0.0,0,441,62,0,0,432,0.0,0.00,443,Marschall,0.0,444,0,50,,53,0,0.0,,0,0.0,0.0,22,0.0,0.0,0.0,u,0,0,0,0.0,406,0.0,Has joined MK Dons for the rest of the season,0,2024-07-18T09:50:40.812599Z,0.0,38,0,554,0,0.0,50,569,,0.0
47,Emiliano Martínez Romero,50,GKP,Aston Villa,3.4,0.24,0,95,2,0.0,0.01,56,10,0.01,7,49.87,0.0,0,37,5,4,0,335,23.0,0.00,88,Martinez,1.43,175,640,10,,286,8,3.1,,0,12.9,802.0,56,0.0,20.0,2.84,a,115,34,3015,82.2,516,0.0,,48,,,5,0,177,19,1.01,16,28,,1.49
48,John McGinn,55,MID,Aston Villa,3.4,0.21,1,0,0,0.3,4.99,165,25,10.00,63,49.85,0.15,0,71,41,9,6,37,21.6,5.01,92,McGinn,1.62,54,502,38,2.0,435,7,2.0,3.0,0,1.8,640.4,61,360.0,690.7,0.0,a,119,35,3000,169.4,96,0.15,,54,,,32,5,108,9,1.05,42,134,,1.5
49,Tyrone Mings,45,DEF,Aston Villa,0.0,0.0,0,0,0,0.51,0.16,77,134,0.17,67,1.08,0.48,0,388,83,0,0,342,0.0,0.01,469,Mings,6.0,380,5,132,,120,0,1.9,,0,0.6,3.6,127,5.0,13.0,0.0,a,0,1,30,2.2,345,0.03,,2,,,127,0,350,0,3.0,173,232,,3.24
50,Kosta Nedeljković,40,DEF,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,49,172,0.00,190,0.00,0.0,0,459,136,0,0,450,0.0,0.00,460,Nedeljkovic,0.0,462,0,172,,75,0,1.0,,0,0.2,0.0,172,0.0,0.0,0.0,a,0,0,0,0.0,426,0.0,,0,,,172,0,576,0,0.0,170,359,,0.0
51,Robin Olsen,45,GKP,Aston Villa,3.4,0.0,0,21,0,0.0,0.00,39,27,0.00,23,10.03,0.0,1,275,45,0,0,461,3.8,0.00,86,Olsen,2.89,333,107,27,,114,0,2.2,,0,0.3,194.6,40,0.0,0.0,4.67,a,17,4,405,19.5,442,0.0,,13,,,51,0,344,3,0.89,14,313,,2.23
52,Pau Torres,45,DEF,Aston Villa,2.9,0.22,0,0,0,0.07,0.71,128,43,1.67,118,40.00,0.03,0,135,54,1,2,213,18.9,0.96,161,Pau,1.35,191,461,55,,188,6,1.9,,0,1.4,479.4,56,135.0,150.6,0.0,a,85,27,2462,76.6,202,0.04,,37,,,63,0,418,4,0.99,43,152,,1.46
53,Jacob Ramsey,55,MID,Aston Villa,1.8,0.0,0,0,0,0.37,1.38,183,133,3.47,81,12.85,0.15,0,312,110,2,1,207,5.3,2.09,306,Ramsey,1.27,259,101,122,,461,0,2.0,,0,0.3,124.0,97,182.0,159.3,0.0,a,29,8,848,46.7,163,0.22,,12,,,124,1,134,0,0.85,134,339,,1.36
54,Morgan Rogers,50,MID,Aston Villa,3.2,0.28,0,0,0,0.24,0.33,116,123,1.68,157,14.55,0.05,0,287,22,3,3,241,7.0,1.35,121,Rogers,1.84,269,114,127,,355,2,1.5,,0,6.2,177.8,103,150.0,118.4,0.0,a,35,8,636,44.5,186,0.19,,13,,,138,1,246,0,1.13,51,65,,2.06
55,Viljami Sinisalo,40,GKP,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,17,46,0.00,54,0.00,0.0,0,434,63,0,0,425,0.0,0.00,436,Sinisalo,0.0,437,0,46,,45,0,0.0,,0,0.0,0.0,18,0.0,0.0,0.0,u,0,0,0,0.0,399,0.0,Permanent transfer to Celtic,0,2024-07-18T09:43:21.242291Z,0.0,34,0,546,0,0.0,46,570,,0.0
56,Lino da Cruz Sousa,40,DEF,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,41,166,0.00,182,0.00,0.0,0,453,114,0,0,444,0.0,0.00,454,Sousa,0.0,456,0,166,,67,0,1.0,,0,0.4,0.0,165,0.0,0.0,0.0,a,0,0,0,0.0,419,0.0,,0,,,166,0,568,0,0.0,164,302,,0.0
57,Youri Tielemans,55,MID,Aston Villa,2.4,0.22,0,0,0,0.18,1.98,170,77,3.22,68,31.07,0.11,0,181,76,3,2,116,14.0,1.24,223,Tielemans,1.51,171,318,88,,443,4,2.0,,0,0.5,369.2,110,136.0,325.4,0.0,a,77,17,1613,83.3,201,0.07,,27,,,79,6,116,2,0.95,93,242,,1.73
58,Ollie Watkins,90,FWD,Aston Villa,6.2,0.2,0,0,0,0.58,4.02,67,2,20.76,2,55.05,0.11,0,10,1,4,19,52,25.3,16.74,6,Watkins,1.56,10,752,2,,570,7,2.7,,0,55.4,1024.6,2,1420.0,588.5,0.0,a,228,37,3222,302.8,3,0.47,,56,,,3,18,8,29,1.03,2,1,2.0,1.54
233,Amadou Onana,50,MID,Aston Villa,2.2,0.22,0,0,0,0.16,1.39,130,80,3.61,171,36.94,0.06,0,189,63,5,2,134,13.2,2.22,247,Onana,1.64,163,304,84,,376,5,1.5,,0,0.9,354.0,82,254.0,282.7,0.0,a,66,23,2085,89.5,124,0.1,,38,,,89,0,267,5,0.99,101,195,,1.59
569,Jaden Philogene,55,MID,Aston Villa,0.0,0.0,0,0,0,0.0,0.00,194,249,0.00,92,0.00,0.0,0,568,155,0,0,568,0.0,0.00,568,Jaden,0.0,568,0,249,,480,0,2.0,,0,0.1,0.0,249,0.0,0.0,0.0,a,0,0,0,0.0,568,0.0,,0,,,249,0,153,0,0.0,249,460,,0.0
59,Max Aarons,45,DEF,Bournemouth,1.4,0.15,0,0,0,0.06,0.89,122,105,0.93,112,26.75,0.06,0,285,128,1,0,244,6.2,0.04,341,Aarons,2.55,304,199,110,,179,2,1.9,,0,0.3,179.6,116,27.0,114.0,0.0,a,28,13,1233,31.8,319,0.0,,35,,,77,1,409,0,0.95,118,329,,1.95
60,Tyler Adams,50,MID,Bournemouth,1.7,0.0,0,0,0,0.02,0.03,93,166,0.03,134,1.81,0.02,0,368,194,0,0,341,1.0,0.00,315,Adams,2.29,372,28,169,,320,0,0.0,,0,0.1,24.6,173,10.0,14.1,0.0,i,5,1,118,4.9,340,0.0,Back injury - Unknown return date,3,2024-07-21T20:00:04.554690Z,0.0,169,0,211,1,0.76,137,506,,1.38
61,Jaidon Anthony,45,MID,Bournemouth,1.0,0.0,0,0,0,0.05,0.02,15,174,0.09,212,4.44,0.01,0,379,90,1,0,361,0.7,0.07,366,Anthony,2.98,377,4,173,,197,0,1.0,,0,0.4,9.0,167,16.0,4.6,0.0,a,3,2,151,3.0,332,0.04,,5,,,174,0,427,0,1.19,166,277,,2.65
62,David Brooks,50,MID,Bournemouth,1.8,0.0,0,0,0,0.97,0.47,69,143,2.92,110,6.08,0.16,0,330,203,1,1,247,4.6,2.45,301,Brooks,2.32,305,71,138,,290,0,1.5,,0,0.1,88.2,120,113.0,112.4,0.0,a,23,2,271,31.4,223,0.81,,7,,,140,1,181,2,0.66,130,515,,2.02
63,Ryan Christie,50,MID,Bournemouth,2.4,0.25,0,0,0,0.25,5.37,79,29,7.86,120,48.61,0.17,0,78,120,6,0,30,18.0,2.49,216,Christie,1.73,46,433,32,4.0,302,8,1.5,,0,0.2,620.2,62,351.0,780.2,0.0,a,90,35,2908,175.4,98,0.08,,56,,,25,5,193,5,1.08,88,369,,1.5
64,Lewis Cook,50,MID,Bournemouth,2.3,0.26,1,0,0,0.1,2.92,78,47,3.34,119,50.30,0.09,0,114,191,5,0,39,15.4,0.42,237,Cook,1.65,98,446,63,2.0,301,8,1.5,,0,0.1,520.2,135,67.0,681.9,0.0,a,77,32,2787,127.2,262,0.01,,51,,,34,3,192,5,1.03,97,503,,1.62
65,Enes Ünal,55,FWD,Bournemouth,2.5,0.28,0,0,0,0.85,0.13,32,34,2.97,32,4.49,0.04,0,306,62,1,2,295,7.3,2.84,206,Enes Ünal,2.56,271,99,33,,444,1,1.7,,0,0.1,142.4,33,242.0,58.6,0.0,a,40,2,317,43.7,130,0.81,,9,,,36,4,117,3,0.57,32,467,,1.27
66,Romain Faivre,50,MID,Bournemouth,0.8,0.0,0,0,0,0.43,0.03,126,177,0.18,167,0.14,0.07,0,386,248,1,0,365,0.8,0.15,398,Faivre,2.43,386,9,179,,371,0,1.5,,0,0.0,5.0,171,13.0,2.5,0.0,a,4,0,37,1.8,338,0.36,,1,,,178,0,262,0,0.0,188,565,,0.34
67,Hamed Traorè,45,MID,Bournemouth,1.0,0.0,0,0,0,0.37,0.01,13,171,0.18,210,0.84,0.02,0,375,146,0,0,339,0.7,0.17,365,H.Traorè,2.05,370,10,167,,191,0,1.0,,0,0.2,12.8,160,30.0,14.8,0.0,a,3,0,44,5.7,310,0.35,,1,,,167,0,421,0,0.0,165,440,,1.72
68,James Hill,40,DEF,Bournemouth,1.0,0.0,0,0,0,0.01,0.01,33,129,0.01,174,1.34,0.01,0,363,117,0,0,366,1.2,0.00,362,Hill,1.22,376,22,130,,56,0,1.0,,0,0.4,32.6,158,0.0,2.2,0.0,a,5,1,74,3.5,409,0.0,,1,,,134,0,557,0,1.22,125,306,,1.63
69,Daniel Jebbison,45,FWD,Bournemouth,1.0,0.0,0,0,0,0.0,0.00,6,50,0.00,65,0.94,0.0,0,510,37,0,0,385,0.2,0.00,377,Jebbison,0.0,395,3,46,,251,0,1.0,,0,0.7,0.0,46,4.0,0.1,0.0,a,1,0,20,0.4,351,0.0,,0,,,46,0,481,0,0.0,42,211,,4.23
