popularity,release_date,title,vote_average
64.115,10/24/1978,Halloween,7.556
11.191,4/7/2016,Italian Race,7.554
22.331,7/29/2020,Father There Is Only One 2,7.545
26.2,3/14/2019,Hotel Mumbai,7.545
23.687,10/24/2008,Let the Right One In,7.537
15.287,4/7/1989,My Left Foot: The Story of Christy Brown,7.537
115.118,6/12/1987,Predator,7.534
103.379,5/15/2014,X-Men: Days of Future Past,7.532
18.923,6/22/1979,Escape from Alcatraz,7.527
16.406,6/16/2017,The Book of Henry,7.526
19.7,5/25/1969,Midnight Cowboy,7.519
38.921,6/11/1982,E.T. the Extra-Terrestrial,7.519
10.351,2/7/1986,Hannah and Her Sisters,7.5
21.439,4/25/1946,Gilda,7.5
23.709,10/18/2019,The Lighthouse,7.508
21.324,8/3/2022,Emergency Declaration,7.507
23.517,10/29/1946,Beauty and the Beast,7.502
22.874,8/14/1967,Bonnie and Clyde,7.501
48.558,5/31/2018,Upgrade,7.495
66.22,6/19/2019,Toy Story 4,7.495
20.569,2/8/2008,In Bruges,7.49
14.755,9/27/2018,Balloon,7.488
19.521,2/2/1978,The 36th Chamber of Shaolin,7.483
19.104,4/1/2005,A Bittersweet Life,7.483
40.148,5/25/1990,Back to the Future Part III,7.478
60.939,8/14/2020,The SpongeBob Movie: Sponge on the Run,7.477
50.773,6/14/2002,The Bourne Identity,7.5
15.675,3/17/2006,Volver,7.47
12.591,3/22/2019,The Dirt,7.462
28.122,8/14/1975,The Rocky Horror Picture Show,7.5
14.176,12/15/1967,In Cold Blood,7.457
16.281,5/13/1938,The Adventures of Robin Hood,7.457
14.875,12/15/2011,The Flowers of War,7.452
23.079,12/23/1998,The Thin Red Line,7.452
21.495,10/29/2004,Ray,7.447
21.371,11/24/2021,The Unforgivable,7.446
15.241,11/26/2009,Mulan: Rise of a Warrior,7.441
13.834,12/15/1961,The Innocents,7.4
24.143,3/17/2000,Erin Brockovich,7.4
16.086,2/25/2016,They Call Me Jeeg,7.436
33.235,10/21/1971,Trinity Is Still My Name,7.431
11.711,10/16/1991,The Lovers on the Bridge,7.431
22.706,4/7/2023,Ride On,7.4
13.942,7/12/2019,The Farewell,7.425
25.865,6/8/2001,Y Tu Mamá También,7.4
25.306,7/6/2000,"Crouching Tiger, Hidden Dragon",7.422
13.611,2/9/2009,The Secret of Kells,7.4
18.493,9/2/1999,Boys Don't Cry,7.416
17.358,11/27/2007,Futurama: Bender's Big Score,7.409
14.861,3/25/1988,Women on the Verge of a Nervous Breakdown,7.4
16.2,12/10/1992,The Muppet Christmas Carol,7.403
16.126,11/8/1945,Spellbound,7.4
10.007,11/28/2018,Through the Fire,7.398
32.382,8/21/1981,An American Werewolf in London,7.398
68.202,2/18/2008,Taken,7.4
12.375,10/17/1973,The Mad Adventures of Rabbi Jacob,7.393
52.317,1/30/2002,Asterix & Obelix: Mission Cleopatra,7.388
69.769,11/18/2021,Ghostbusters: Afterlife,7.387
1301.432,3/30/1988,Beetlejuice,7.38
17.197,5/18/1993,The Piano,7.4
25.23,7/20/1991,Only Yesterday,7.376
16.521,8/26/1948,Red River,7.4
15.26,7/14/2020,Summer of 85,7.37
42.905,1/10/2019,A Dog's Way Home,7.37
39.189,5/20/2004,Scooby-Doo! and the Loch Ness Monster,7.367
23.713,4/4/2001,Blow,7.367
21.167,6/3/1992,Twin Peaks: Fire Walk with Me,7.362
34.125,7/30/2011,Naruto Shippuden the Movie: Blood Prison,7.361
29.48,1/30/2008,CJ7,7.356
15.028,10/26/1967,Wait Until Dark,7.4
37.358,6/20/2002,Minority Report,7.351
18.849,12/17/1966,El Dorado,7.3
17.784,5/25/1960,The Time Machine,7.346
182.891,3/19/2024,Late Night with the Devil,7.344
10.293,11/22/1979,French Fried Vacation 2: The Bronzés go Skiing,7.342
34.655,9/20/1964,Goldfinger,7.342
20.863,5/27/1981,Possession,7.337
38.827,5/12/2016,The Wailing,7.336
19.688,8/30/2000,"O Brother, Where Art Thou?",7.331
84.483,7/8/2014,Dawn of the Planet of the Apes,7.33
17.346,7/14/1953,Gentlemen Prefer Blondes,7.3
97.503,10/12/2023,Trolls Band Together,7.3
16.951,11/6/2009,Precious,7.322
82.808,6/2/2009,The Hangover,7.322
12.78,4/25/2012,What's in a Name,7.315
91.528,12/12/2003,Love Don't Co$t a Thing,7.321
32.337,8/2/2018,Mia and the White Lion,7.3
66.191,10/16/2019,Maleficent: Mistress of Evil,7.308
12.397,3/9/1962,Knife in the Water,7.3
20.009,9/18/2007,Gone Baby Gone,7.304
23.175,9/10/1972,Jeremiah Johnson,7.3
48.938,11/13/1970,The Aristocats,7.299
21.486,5/19/2001,Conspiracy,7.294
43.908,9/10/1981,The Evil Dead,7.294
81.576,6/4/2008,Kung Fu Panda,7.289
28.197,3/6/1987,Lethal Weapon,7.289
13.646,12/20/2017,Promise at Dawn,7.3
15.89,3/12/2015,Suite Française,7.3
12.823,8/31/1977,The Duellists,7.3
18.014,5/31/1994,"The Adventures of Priscilla, Queen of the Desert",7.3
21.821,8/9/2007,Stardust,7.3
11.342,9/20/1991,The Fisher King,7.275
26.176,9/16/2003,Evil,7.269
13.912,10/20/1995,The Day of the Beast,7.27
44.824,11/13/1991,Cape Fear,7.264
37.971,8/17/2023,Strays,7.26
27.246,5/21/1999,Notting Hill,7.259
119.981,5/19/2007,Pirates of the Caribbean: At World's End,7.258
12.146,9/17/1998,Pleasantville,7.255
14.37,12/22/1999,Man on the Moon,7.255
14.511,11/17/2022,She Said,7.249
22.255,9/3/2013,Marvel One-Shot: Agent Carter,7.2
8.968,2/26/2021,Crazy About Her,7.244
14.573,10/25/2013,Ida,7.244
14.705,8/26/2011,Headhunters,7.241
13.444,3/31/2010,The Last Song,7.241
64.169,1/22/2023,The Wandering Earth II,7.236
12.63,11/19/2021,C'mon C'mon,7.236
15.112,10/27/1976,The Wing or the Thigh?,7.231
14.156,7/5/2021,Boiling Point,7.2
14.439,9/28/1971,And Now for Something Completely Different,7.225
24.995,11/17/2012,Evangelion: 3.0 You Can (Not) Redo,7.224
45.025,2/5/1953,Peter Pan,7.2
19.739,9/10/2004,Crash,7.219
14.011,11/6/2014,Labyrinth of Lies,7.2
14.665,8/17/1963,Black Sabbath,7.214
17.748,3/17/2011,The Lincoln Lawyer,7.209
54.197,3/6/1993,Dragon Ball Z: Broly – The Legendary Super Saiyan,7.209
31.354,9/24/2007,"Lust, Caution",7.2
15.445,7/29/2021,Resort to Love,7.204
13.123,2/3/1995,In the Mouth of Madness,7.198
19.506,2/13/2023,BlackBerry,7.197
8.573,9/30/2005,Romanzo Criminale,7.193
31.763,10/2/1998,What Dreams May Come,7.193
17.056,5/23/1973,Pat Garrett & Billy the Kid,7.189
35.992,6/22/1984,The Karate Kid,7.19
16.174,8/9/2007,Chak De! India,7.184
17.241,8/22/2005,Pusher 3,7.184
13.778,4/23/2015,Little Boy,7.2
20.044,4/12/2013,42,7.18
12.594,12/25/2009,Nowhere Boy,7.2
15.068,9/26/2005,Little Manhattan,7.2
16.338,9/13/1998,Elizabeth,7.171
22.054,6/17/2022,Cha Cha Real Smooth,7.173
28.529,10/3/2013,Gravity,7.165
21.037,9/19/2003,Secondhand Lions,7.166
16.309,6/24/1954,The Caine Mutiny,7.2
58.178,5/13/2004,Troy,7.162
30.14,6/28/1985,Pale Rider,7.156
12.13,10/1/1984,Stranger Than Paradise,7.156
9.547,12/19/2003,House of Sand and Fog,7.149
15.75,12/25/2021,American Underdog,7.148
25.564,3/1/2002,We Were Soldiers,7.144
13.099,9/14/2007,Across the Universe,7.1
35.785,11/22/2011,Sherlock Holmes: A Game of Shadows,7.14
17.344,11/1/1980,The Long Good Friday,7.14
146.573,12/7/2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.137
23.58,9/14/2012,Partysaurus Rex,7.136
45.685,11/24/2016,The Founder,7.1
34.161,6/7/1996,The Rock,7.13
19.786,3/1/1991,The Doors,7.1
33.181,3/11/2008,Stargate: The Ark of Truth,7.126
15.291,7/29/2011,With Every Heartbeat,7.119
13.413,9/12/1970,Five Easy Pieces,7.1
19.272,3/11/2010,Remember Me,7.115
27.881,2/26/2020,The Invisible Man,7.114
26.759,2/15/2002,John Q,7.112
14.484,10/21/1988,Ariel,7.112
30.603,7/9/2018,Mamma Mia! Here We Go Again,7.108
68.053,1/10/2018,Maze Runner: The Death Cure,7.107
16.611,9/26/2007,Before the Devil Knows You're Dead,7.1
15.059,5/25/1972,Frenzy,7.104
10.49,1/30/2003,Whale Rider,7.098
26.449,7/23/2021,Kingdom: Ashin of the North,7.097
23.829,12/10/2004,The Life Aquatic with Steve Zissou,7.093
13.092,12/19/1968,if....,7.1
30.458,10/23/1991,High Heels,7.089
10.091,11/14/1986,Hoosiers,7.1
12.025,12/7/2006,"I'm a Cyborg, but That's OK",7.1
21.628,12/25/2006,Notes on a Scandal,7.1
9.38,2/18/2015,Reality,7.079
11.021,7/20/2001,Ghost World,7.079
43.739,7/10/1993,Dragon Ball Z: Bojack Unbound,7.077
33.675,7/15/1994,True Lies,7.075
24.247,5/23/1981,Escape from New York,7.069
68.532,9/1/2021,After We Fell,7.067
13.805,10/19/1979,...And Justice for All,7.061
21.253,12/27/2000,Traffic,7.061
15.087,11/7/2007,Om Shanti Om,7.056
59.769,5/16/1986,Top Gun,7.056
20.266,2/15/2017,Handsome Devil,7.1
28.761,11/11/2016,Raw,7.051
18.461,10/2/2014,The Absent One,7.047
18.154,9/17/1994,Ashes of Time,7.047
43.954,3/11/2022,The Adam Project,7.041
14.216,9/25/2014,Marshland,7.042
16.077,7/4/2004,Before the Fall,7.038
18.998,12/3/2011,A Princess for Christmas,7
18.034,12/30/2020,Pieces of a Woman,7.031
41.081,8/5/2022,Warriors of Future,7.031
18.587,10/27/2020,Holidate,7.028
20.929,8/2/1985,Fright Night,7.028
22.426,5/16/2007,Stomp the Yard,7.024
17.632,1/19/2016,Batman: Bad Blood,7.023
14.377,9/10/2005,Dreamer: Inspired By a True Story,7.019
14.725,4/16/1993,Benny & Joon,7.019
17.225,12/25/2000,Thirteen Days,7
17.03,12/27/1991,Naked Lunch,7.015
17.804,6/27/1956,Moby Dick,7.011
68.274,7/25/2007,The Simpsons Movie,7.011
16.835,12/6/1991,Star Trek VI: The Undiscovered Country,7.007
164.278,4/3/2024,Monkey Man,7
19.183,10/13/1995,Strange Days,7
17.739,12/8/2021,West Side Story,7.001
31.045,10/1/2002,Barbie as Rapunzel,6.997
22.636,11/1/2007,Timecrimes,6.997
18.603,10/3/1955,The Trouble with Harry,6.996
13.869,9/30/2005,Capote,6.993
37.068,5/22/1996,Mission: Impossible,7
7.263,3/30/2016,Five,6.987
25.769,4/7/1995,A Goofy Movie,6.982
9.278,9/24/2008,The Class,6.982
27.722,3/3/2022,Fresh,6.975
18.414,7/7/2016,Emerald Green,6.974
15.037,8/30/1996,Pusher,6.971
29.703,3/14/2019,Us,7
14.655,7/14/2016,Toni Erdmann,6.966
26.743,6/16/2011,Hawaiian Vacation,6.966
64.23,7/26/2019,Skin,6.962
20.639,7/30/2010,Charlie St. Cloud,6.962
15.913,9/11/2014,Dolphin Tale 2,6.958
18.403,11/7/1963,"It's a Mad, Mad, Mad, Mad World",7
14.14,12/25/1997,Wag the Dog,6.955
75.175,2/23/2024,Through My Window 3: Looking at You,6.954
13.63,12/9/1974,Alice Doesn't Live Here Anymore,7
18.478,5/26/1977,Smokey and the Bandit,7
32.434,12/21/2016,Passengers,6.9
13.215,2/1/1983,Go for It,6.948
20.101,4/18/1973,Soylent Green,6.943
9.592,10/22/2020,Out of My League,6.942
22.263,12/2/2016,The Promise,6.937
39.108,10/9/2019,Zombieland: Double Tap,6.937
34.433,5/3/2019,Pokémon Detective Pikachu,6.932
16.597,7/18/2018,The Miseducation of Cameron Post,6.9
26.146,8/14/1987,Can't Buy Me Love,6.928
31.986,11/21/2007,The Mist,6.928
24.475,8/14/2009,The Time Traveler's Wife,6.924
22.354,4/16/1953,House of Wax,6.9
21.971,11/12/1999,Dogma,6.92
26.346,12/22/2017,Hostiles,6.9
19.746,5/2/2012,The Sessions,6.9
10.822,7/27/2011,Starbuck,6.914
20.884,8/17/1984,Wheels on Meals,6.9
25.621,3/6/2017,How to Be a Latin Lover,6.9
22.511,11/3/2008,Futurama: Bender's Game,6.903
16.051,12/14/1979,The Jerk,6.903
77.012,7/11/2013,Pacific Rim,6.9
16.157,1/29/2011,Cold Fish,6.899
39.087,5/28/1982,Rocky III,6.895
16.771,10/18/1996,Swingers,6.9
41.358,11/16/1995,GoldenEye,6.89
42.21,6/25/1996,Independence Day,6.889
13.096,6/14/2019,Plus One,6.887
8.339,5/16/2015,Those People,6.887
35.395,11/4/2009,A Christmas Carol,6.882
16.787,9/29/2000,Best in Show,6.882
14.419,12/23/2022,Women Talking,6.9
14.348,6/14/2017,Back to Burgundy,6.878
27.351,6/12/1981,Clash of the Titans,6.873
21.669,8/23/2001,The Believer,6.873
57.647,8/9/2023,The Last Voyage of the Demeter,6.867
37.454,3/29/2012,Sinister,6.865
15.96,10/17/1986,The Color of Money,6.9
36.616,3/7/2003,Tears of the Sun,6.863
20.189,11/9/2012,Lincoln,6.859
19.093,9/29/2023,Poison,6.861
18.811,2/27/1987,Some Kind of Wonderful,6.9
30.821,3/14/2006,Barbie Fairytopia: Mermaidia,6.854
13.747,2/17/2023,Kill Boksoon,6.849
53.794,7/20/2022,Nope,6.8
13.047,2/27/2016,Being 17,6.845
15.856,11/21/2014,A Girl Walks Home Alone at Night,6.845
16.471,5/15/1998,Quest for Camelot,6.843
99.533,4/28/2010,Iron Man 2,6.843
20.473,2/5/1999,Payback,6.8
38.039,5/22/2007,Death Proof,6.8
13.394,1/21/2001,Lost and Delirious,6.8
20.952,9/16/2008,Another Cinderella Story,6.8
10.922,6/1/1988,Bird,6.83
25.255,9/6/2018,Outlaw King,6.829
47.707,12/9/2017,Jumanji: Welcome to the Jungle,6.826
33.068,2/1/2012,Chronicle,6.825
20.238,12/22/1999,Any Given Sunday,6.821
41.923,11/20/2007,Enchanted,6.821
11.928,6/21/2013,The House at the End of Time,6.816
12.982,4/16/2014,Tom at the Farm,6.816
16.814,6/11/2010,Winter's Bone,6.811
23.842,12/13/1991,The Last Boy Scout,6.812
22.259,12/10/1997,Cube,6.807
15.821,10/19/2018,Can You Ever Forgive Me?,6.807
53.485,1/22/2021,The Sadness,6.803
19.492,2/12/2021,Rumble,6.803
15.639,7/7/2006,A Scanner Darkly,6.801
63.468,8/24/2022,After Ever Happy,6.8
55.288,12/21/2016,The Autopsy of Jane Doe,6.795
10.816,6/1/1971,The Panic in Needle Park,6.795
5.85,2/16/2011,The Women on the 6th Floor,6.8
15.154,6/4/1999,Human Traffic,6.8
70.499,1/18/2024,Miller's Girl,6.776
14.08,6/29/2012,People Like Us,6.785
33.721,9/3/2009,Tinker Bell and the Lost Treasure,6.78
18.708,12/14/2006,200 Pounds Beauty,6.78
26.4,5/4/1984,Sixteen Candles,6.775
33.533,8/5/1994,The Little Rascals,6.775
17.885,9/25/2015,99 Homes,6.771
17.121,3/1/1973,Charlotte's Web,6.8
14.391,12/10/2021,Red Rocket,6.766
16.192,5/26/1994,The Last Seduction,6.766
28.042,10/11/1996,The Ghost and the Darkness,6.8
12.994,4/4/1997,Chasing Amy,6.763
14.773,10/20/1995,Mallrats,6.76
12.057,3/16/2016,In Her Name,6.759
22.788,8/11/2005,Four Brothers,6.754
10.396,2/3/1988,Life Is a Long Quiet River,6.8
11.007,11/3/2017,Last Flag Flying,6.748
26.391,8/31/2018,The Quake,6.748
18.466,8/30/2005,Kinky Boots,6.7
13.171,12/21/2001,The Majestic,6.742
32.517,6/30/1993,The Firm,6.738
35.402,7/15/1989,Dragon Ball Z: Dead Zone,6.738
52.495,11/14/2015,The Good Dinosaur,6.733
11.927,9/13/2010,The Whistleblower,6.7
6.252,1/1/1985,RETURN,6.735
37.128,8/25/2022,Samaritan,6.731
20.023,10/12/2007,Twitches Too,6.7
17.723,2/7/1997,The Beautician and the Beast,6.7
11.939,9/24/1986,Henry: Portrait of a Serial Killer,6.725
17.193,8/13/1963,Lord of the Flies,6.725
20.137,1/31/2001,Brotherhood of the Wolf,6.722
717.35,7/10/2024,Longlegs,6.72
18.61,9/6/2018,Peppermint,6.718
14.532,1/14/2002,Narc,6.718
42.843,5/23/2003,Bruce Almighty,6.713
9.938,9/12/2018,The Freshmen,6.712
26.912,12/14/1990,Mermaids,6.708
32.389,10/2/2002,The Transporter,6.708
1.723,7/18/2006,Bring It On: All or Nothing,6.704
26.54,4/8/1998,Taxi,6.7
14.277,4/28/1971,Bananas,6.7
26.364,3/27/2008,21,6.7
8.119,11/19/2020,Aline,6.694
19.494,4/30/2004,Main Hoon Na,6.694
20.343,6/27/2018,Uncle Drew,6.69
76.879,6/6/2015,Jurassic World,6.69
21.48,7/20/1994,The Client,6.686
32.184,3/21/1997,Liar Liar,6.686
25.55,2/6/2019,The Lego Movie 2: The Second Part,6.681
13.067,3/14/2014,Spanish Affair,6.682
11.312,12/17/2010,The Last Circus,6.678
16.968,9/10/1999,Stir of Echoes,6.678
27.578,10/6/2000,Meet the Parents,6.675
18.934,6/26/1998,Out of Sight,6.7
18.725,2/19/2017,Their Finest,6.67
11.705,1/8/1937,Sabotage,6.67
20.343,7/19/2007,Hairspray,6.7
13.133,1/20/2022,The Royal Treatment,6.665
12.55,5/1/2019,Little White Lies 2,6.664
13.877,9/10/2013,How I Live Now,6.7
21.159,9/23/2018,Wildlife,6.7
13.963,11/14/2014,Foxcatcher,6.658
25.721,9/22/2016,Storks,6.654
84.231,5/23/2017,Pirates of the Caribbean: Dead Men Tell No Tales,6.654
12.104,1/8/2014,Yves Saint Laurent,6.65
28.736,10/13/2015,Crimson Peak,6.65
39.012,12/6/1984,2010,6.647
31.903,8/31/2006,Crank,6.647
15.585,10/21/2003,Batman: Mystery of the Batwoman,6.644
19.863,6/13/2009,Princess Protection Program,6.6
16.727,8/23/2013,All Is Lost,6.639
35.35,1/22/2005,Lilo & Stitch 2: Stitch Has a Glitch,6.639
21.207,3/15/2002,Resident Evil,6.636
15.171,12/5/2018,Ben Is Back,6.635
30.786,11/19/2004,National Treasure,6.633
15.134,11/8/2019,Playing with Fire,6.632
16.789,12/25/1993,Grumpy Old Men,6.628
15.386,2/12/2007,Breach,6.629
33.375,6/20/2007,Live Free or Die Hard,6.623
37.462,4/10/2008,Street Kings,6.623
13.775,5/8/2019,The Shiny Shrimps,6.618
20.919,6/3/2016,Popstar: Never Stop Never Stopping,6.618
38.786,6/27/2017,Jungle,6.611
17.693,8/23/2006,Taxidermia,6.6
25.588,2/19/2021,I Care a Lot,6.6
25.334,12/31/2014,A Most Violent Year,6.6
22.047,1/18/2008,Sunshine Cleaning,6.601
61.55,2/21/2003,Old School,6.601
15.269,7/12/2019,The Art of Self-Defense,6.596
20.287,10/24/2013,Ender's Game,6.596
11.311,8/4/2015,45 Years,6.592
21.313,3/12/1993,Fire in the Sky,6.592
35.017,9/9/2005,The Exorcism of Emily Rose,6.6
14.526,9/24/2005,Stay,6.589
13.199,2/2/2014,Barefoot,6.582
37.618,12/20/2006,Night at the Museum,6.582
16.74,11/18/2016,The Warriors Gate,6.577
10.082,9/9/2016,The Fury of a Patient Man,6.6
30.813,10/25/2023,The Killer,6.572
14.761,3/3/2017,The Last Word,6.572
10.997,9/30/2010,The Debt,6.567
62.909,11/16/2023,Thanksgiving,6.569
97.127,5/30/2012,Prometheus,6.6
38.939,11/3/2007,Big Stan,6.6
13.962,6/22/2012,Seeking a Friend for the End of the World,6.559
24.277,7/25/2008,Step Brothers,6.559
18.614,4/7/1989,Dead Calm,6.554
37.32,5/19/1999,Star Wars: Episode I - The Phantom Menace,6.554
17.123,11/17/1995,The American President,6.549
16.41,10/26/2007,Dan in Real Life,6.5
20.998,10/10/1985,Silver Bullet,6.546
18.638,6/26/1981,Stripes,6.546
8.35,1/19/2019,Brexit: The Uncivil War,6.541
11.322,8/14/2015,Mistress America,6.5
15.304,12/19/2007,Charlie Wilson's War,6.537
1133.019,7/31/2024,Trap,6.535
9.886,8/25/1993,The Man Without a Face,6.5
35.171,8/15/1997,Event Horizon,6.534
8.254,9/3/2014,Hippocrates,6.53
68.719,11/22/2014,Penguins of Madagascar,6.531
39.825,11/13/1987,The Running Man,6.5
12.892,10/14/2022,The Curse of Bridge Hollow,6.526
21.007,8/17/2007,High School Musical 2,6.5
20.636,8/1/1985,Weird Science,6.523
51.22,9/29/1997,Kiss the Girls,6.519
13.67,12/14/1984,The Cotton Club,6.5
22.569,10/2/2015,Burnt,6.516
8.233,1/1/1997,Doodlebug,6.516
33.453,3/19/2014,Rio 2,6.51
13.215,3/7/2013,Night Train to Lisbon,6.5
24.964,7/24/2009,The Ugly Truth,6.507
10.099,6/5/2003,2 Fast 2 Furious,6.5
19.85,2/6/2009,The Secret of Moonacre,6.503
33.012,9/8/2022,Ticket to Paradise,6.502
22.147,9/3/2020,Honest Thief,6.498
22.643,9/21/2017,The Lego Ninjago Movie,6.498
6.429,2/7/2019,When Mom Is Away,6.494
12.895,12/26/2012,Quartet,6.494
10.527,9/9/2005,Tideland,6.5
22.865,4/20/2000,U-571,6.489
26.443,4/16/2012,Safe,6.486
18.627,5/15/2003,The United States of Leland,6.486
17.83,5/20/2010,Fair Game,6.481
20.441,2/16/1990,Revenge,6.489
30.894,12/7/1979,Star Trek: The Motion Picture,6.476
4.978,7/4/2015,Return,6.476
39.743,6/7/1990,Dragon Ball Z: The Tree of Might,6.471
26.259,2/5/2009,Confessions of a Shopaholic,6.471
13.589,12/22/1995,Grumpier Old Men,6.468
16.096,9/18/1980,Super Fuzz,6.468
10.14,6/28/2002,Hey Arnold! The Movie,6.463
12.366,9/29/2006,A Guide to Recognizing Your Saints,6.463
16.043,1/20/2018,Ghost Stories,6.459
15.701,8/23/1996,Freeway,6.5
21.553,2/26/1999,8MM,6.456
18.056,6/15/2020,Return of the Tooth Fairy,6.455
11.765,12/20/1996,One Fine Day,6.453
18.31,5/16/1980,Fame,6.5
32.167,12/15/2000,What Women Want,6.448
16.872,2/18/2000,The Whole Nine Yards,6.448
16.709,3/18/1976,The Man Who Fell to Earth,6.445
14.591,3/11/1971,THX 1138,6.445
23.967,4/8/2016,The Invitation,6.4
