"Position","Job Title","Company Name","Location","Salary","Date","Logo","Job Link","Company Rating"
138,"Chief Enterprise Data Architect","ADP
3.9","Alpharetta, GA","$164K - $209K (Glassdoor est.)","30d+","https://media.glassdoor.com/sql/64/adp-squareLogo-1708712323439.png","https://www.glassdoor.com/partner/jobListing.htm?pos=518&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&cs=1_68188d0d&cb=1718615854165&jobListingId=1009279445472&cpc=F4EED0218A761C36&jrtk=5-yul1-0-1i0inpimkj3vg803-069cee2cbb835b79---6NYlbfkN0BdBocYeX87Z3tbYO-a3tIUonBsExDdYt9uQcyNDOozXqP-6GfjacfgnJd8vJ-A5HgTwzF50k1OJllrn7NF-wH66TyExODn9Ba2pltpGqqG3OViJ44fptMFNhY5eGARVFs27KljR75TU5I_3I4DVZ4KrR8b5NnkemenMviP80eG_UaN9JUp-jiUH-TmMR-Iv2vLllgkumYUAYJZlCGW6haq6W63dMTfjOSimnrM0a1WL2sUfyFVByYp2aX7fM6EC7GHSkOwFA_rnZ8Cnpi-ArhfYhIUH26CHT4b29gwSBmY4SdMyGN7X3Li9ofIgre2xJTyiGzk8RCAl6OJWHgNmxbnRUPStuwqC2mLAKK8is9Fny3RQSUTA13zFfCisM7_RxXqI1clmsLNfQoxYjBLzgZ8vhsAkpRI03XZvBbhE2Dd_VEyTnLf_wboo8pGuBIcETEqnauwXKzTXvpcoM16oRRVQ5Bn0eg-S4TZP6mrbJrbXeCpmzMy_4Zt6Rei3-VLfxqtCByHIjWfOWXyKyX1nJzAXq5rk376uaqtLuZEqeP0umYX04t0-HFoJW6FV0yu0oZvg35Qy2Fxf6SQ13p5LJrJ_I7R4wzma7kDJ5kaUgO3DA%3D%3D",3.9
139,"Senior Data Analyst","Care Plus NJ, Inc.
2.7","Paramus, NJ",,"25d","https://media.glassdoor.com/sql/715919/care-plus-nj-squarelogo-1447416064043.png","https://www.glassdoor.com/partner/jobListing.htm?pos=519&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&cs=1_459be916&cb=1718615854166&jobListingId=1009290920201&cpc=FB7E4A1762AE5BEC&jrtk=5-yul1-0-1i0inpimkj3vg803-965a2b1362bd69f4---6NYlbfkN0C_9sNM4h7l6RtAbmVC1SPabpCxegpaa_4Hq6pNUOjtRqCbtAAY4Pg_FwlRQ8nbQR4pvAx3yvI-Hw6HSeHmMgvmjBzx81TxA0eh7bUVbjxwxOvC5PUJCsqpZo0XyAaYayJde67ubw9eT7RNCQ3aWUM---nzfuGgeLwXNSlpQt9HsEPlbA87uudqbLsPmy7m7ljqa0ih-g8BRixpmB0GRhvWWUKwRDh_o71qHimvnh_dF1zHUxV0k3vEo-NfUvpX2WFXSjhMWTiP6O4TQ5Rgmz6g0JGbEt6Ubz8RMw4bSy2doLtLdxtPY9Yny3mwozxt79zIOcvNhGXUfpSExbuB7gbQAyyIVwypUBQQv3HdFTySvw4Nnbb3Y6N1KJt65TKETv1iqOfZIzknceSAtSXfiaGx6hqQ10vu2MJwc4FpeYNx5-YdJnKYp6W9qZBjEaJ2JVHjkLCkvOHqBAchFHg-DHRONkoao6hWxBkY6EfWYOpRTGTVZ0UZIUnaSjGaCvQzKTx4hKdKIxounz-HhMRDVYeYrygweo4M_hnYrFNNmN8A3V04xX1AgXhQEp8kntCr01-_ymK8ZxGYt5qSmrSUZfSMjaUvJRf9HdXjn-DJ6-ooxU2TlpJdw0G6n5CXyeOs_Axu3emdeDDhFg%3D%3D",2.7
140,"OAG #24-196: Data Miner (Research Data Analyst 2)","New Jersey Office of the Attorney General
3.7","Trenton, NJ","$75K - $107K (Employer est.)","3d","https://media.glassdoor.com/sql/141070/new-jersey-department-of-law-and-public-safety-squarelogo-1461749373433.png","https://www.glassdoor.com/partner/jobListing.htm?pos=520&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c9e0b192&cb=1718615854168&jobListingId=1009321888561&cpc=C4A69CCDBB3B9599&jrtk=5-yul1-0-1i0inpimkj3vg803-00765a52629ea4d5---6NYlbfkN0CwtkbA1fdKDfIoeob9I9-jJSM1bAscg2Tu5Zya_B_06D9HnQS0CAb_w9XrmFacI4vQR3ga0aonbojfqAZttB5gBYYP7w05esym-oBFPtf4hywM4Lr0KosX20w2xgqFxQyDPG1AvNo_HOlAMBBJwbyKC1ShmlDNf0fJ03bVDcSLPTeBDH4I-NvuQC5BPnMtEKEVe61VqQcl_QM33gaq1T4Yh1Qegb2OtJAjQp4muckKQssUv4WLkcfMHV3Ouo0Q3cKwSyRqeviRiMiqWD7XakzE1OLZGwHGt3sWN1th43xytpr1Ho5qhvjZD-T5aCDyZvibKft0lj8JrB7J2duwSRxVdz_X_2jR6BXL5iF0a-S3J0F9lewOhfWkmkSzT2WnUonirPSPgxHUfJuc5_cBLqsL8lDd59oYE0bYShCyhfWdZU9dVARr5oL9kY_WCgZZZUzmk-tdnvonF-JKDqwE9Y5U76YJwYUD_h4IqING4O09nMYA3fpRe271TjaNalx6rbSt5QJdDAC2ufjIvK0Wp9PiKMQWrfY0hzY3f7YjiiAyTQdeogh1A7ZL4uF5r4vHOEKTBpT1974hVvWkLdiKnDcUv15u9H8AjufDnqJHlw0JThfmMmjvUy-bN40axZdGP4UQoPW-FPK5NQ%3D%3D",3.7
141,"Chinese OSINT Collector","Leidos
3.9","Charlottesville, VA","$69K - $125K (Employer est.)","30d+","https://media.glassdoor.com/sql/730545/leidos-squareLogo-1705492937739.png","https://www.glassdoor.com/partner/jobListing.htm?pos=521&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&cs=1_a76b5ab2&cb=1718615854165&jobListingId=1009259955041&cpc=FB7E4A1762AE5BEC&jrtk=5-yul1-0-1i0inpimkj3vg803-91d02fb2abc76c66---6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRg-jJAGon0mA67MzECd_hpUYS20NeWGeyGRot4jwpi-71WymU4CtHQL8aATU-3iDdMvFvLWnBiV4pIAq0_nxza5uV8SS-jw44_nj7MFFjGIcIh7Z3S3Kgfi8e2s0Exhs0LZak_fcO41o6wejM_elspNa0gVS3DA4Df7pZVx4AQ6iNA84qTmGcpPGkDVb8CZgPUZmK73Et38M6bdd__RlnkeZ33lrfk0NmQ6KiXzwj9acvTKONbrtvbHl7-89hEKMZ_Gw3t0w7dw_kpu927bHqABGbgVog0vBaQUcJwLXo7EqD0fXR2KxvJfaAprIuezu-1NH1CRUnguHotso7tXnDR_q5gAFnsyH1YP8Ks9buZ9Vj26oLAHDL4i5ymTnuH-k4_b0ntUMp3WLkIx8UKMNgO1YSssw82sZeODG3FEHkX5A5t_vyzLbeNKfJvseG9dUFWSnUUrF3Ci9dE0q9EpQQa0kx3jjvYnpGKFRg8l6MDf7DdBvRUA9e36n8qQXv_3UKO5qHHOJec9bq9zghLy_Ammq0bkCA_AlfWrD-8dphpLLRpK0zgc38iBgDswlHGr8wIhTJ2aiOn05TIYahA58F6G3XwkSap7b7IPVIdFDRKkbhkOBGOjruxU_cq4gb7B7vQ9AHnUx_qM-Xg5tPsvOMG6VXNsbwIkHUT3qRA6Wz3Pe",3.9
142,"Immunology Key Account Manager","Inizio Engage
3.6","Chicago, IL",,"26d","https://media.glassdoor.com/sql/8794153/inizio-squarelogo-1686067168894.png","https://www.glassdoor.com/partner/jobListing.htm?pos=522&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&cs=1_77e66dd2&cb=1718615854166&jobListingId=1009288749425&cpc=FD1C1DA32C38CFA7&jrtk=5-yul1-0-1i0inpimkj3vg803-c1ac6b03ddf5db53---6NYlbfkN0Cj5q7ci9j2SncqQ1w4XhRvVZPDzgJIf779KjkIt1WaM_U__ND5VMGC2WtsRVEiVHZ16TKB5wnDqszb8u0rV0H_rK0y6pwbPaoJryuvoY-CbXsCquMTX_bjE-I2tuYQeUcyF5B2N7DQowM44hjmOx-CJZvwLaopjitTfSKrBMDna2kTPQXfNwjq9a4N0Aowe6Qiop1xNUpvuH33UsGD9cHQnR0z5eVZzBXuGucAXzyCyv7phbRnaa29JQZEzJDgXqXbyXdNAS9I1lvGwPotolq9rFld30vtPauvDaBB705QV26uWI4OmkWUmuJYekYrGJv9Z0AzAWoEemg7bFfIae3CeB_yCtlALL989-wJt-vgwUDvo9sAyYiuZ9I25TA7NlAR8YCR-uvKAaSDelPsxBcRtDyoiGnk2pZdTfoBqQhW7jY-yDYYkAZ5Xy65Xv85AtaelNqOfNv4QefVPdXG-YOjExoBNXenTcP8tDUTH5ThCxW1SYdCQZy72cqWMD2CcFCvieMd9DRZZ0SZD7OYmcRrujKnHRPwyFKJk0bR22dwj0Pi4lS26RCJcQSA-C_Ar4CUXifS4Gb3IpK19QUmvbx8Mn_bm1GFeFbaKLKvqZgXasKi8pcL57PrP56IjGmwQqjj8r3--F2qoEXNb-k7RCgiGPMpH1tGUNIooZK7ICnesP8UNE6GnrfOFzf3oiCD4adsw5Rm6oOu3s_5j8-FPGR_XMkY62CEj30%3D",3.6
143,"Rapid Deployment Representative","Inizio Engage
3.6","Chicago, IL","$51K - $80K (Glassdoor est.)","24d","https://media.glassdoor.com/sql/8794153/inizio-squarelogo-1686067168894.png","https://www.glassdoor.com/partner/jobListing.htm?pos=523&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&cs=1_e6716427&cb=1718615854166&jobListingId=1009291588731&cpc=47CFDC01B3F81FAC&jrtk=5-yul1-0-1i0inpimkj3vg803-752d3c351e4ba4bc---6NYlbfkN0Cj5q7ci9j2SncqQ1w4XhRvVZPDzgJIf779KjkIt1WaM_U__ND5VMGC2WtsRVEiVHZFKa9oKdUY-U3-7RgWFzGpZeeFSFGHqsjO3NkDmbvwcmLV1qTorMAkLjSxy7Be4b-LzumDtHJhycWO3uRs5e5oeAj-WjzzVLTH2ymYrzjDZ-owuMzWhXz2kP26GO5ZKu4-gD_JWmH676laj7q3qqtDyv9u5JEmw1h2b1YScOEf8UabV3SB8sd89JBWfPJItOYjNKoaVS-jMjGXzRUaskd4Vfekq12TuiVkyelTUwgnN6X1mr0A7Zrl0ktIexMyTZKRk-mlzEelDRvTkNJq4_EUIACiEa_qtD15Ak7k1YajfsOg9g8-ah-gG9zFJQ_BXjLj6PRGGzOKJuvHsd6u2Ov10X4PJBrlhtRImHeMWa0y3hFhA6lnWbQ9TOp7SPGG3aH_YYNNS5xXL-h7165jyl75qOFaHMiYLuhYANcleKWfVLrgiuiqi5iXHqMQl0M3KBQBSm1JNN7X7pthoKZ1-fwa8FaLDAnZCNVKvwaQaPSwf7wUvE6xIpzjjofwgq4f1LUEMj-UuniK7Hi4RYMONfoJ7C6SM7kMHeryF92YqoKHbYH5LSVHrwHHzhhtSh1563tVu36teBsZzhC6jZvwi-dSHIOUW9ZFMx8CgD0dTewmiMkWi70XvCetjiQkSEm24KWThoQeamJsQ5V6OHVy31wCSJojCN303O0%3D",3.6
144,"Data Science Technical Specialist","Purdue University
4.3","West Lafayette, IN","$71K - $106K (Glassdoor est.)","12d","https://media.glassdoor.com/sql/23491/purdue-university-squareLogo-1626816251143.png","https://www.glassdoor.com/partner/jobListing.htm?pos=524&ao=1136043&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e2af95ce&cb=1718615854168&jobListingId=1009308777799&jrtk=5-yul1-0-1i0inpimkj3vg803-46d7bc28894e75f3",4.3
145,"Data Platform Business Ownership, AVP","MUFG Bank, Ltd.
3.5","Tampa, FL","$106K - $122K (Employer est.)","30d+","https://media.glassdoor.com/sql/13322/mitsubishi-ufj-financial-group-squarelogo-1529519219723.png","https://www.glassdoor.com/partner/jobListing.htm?pos=525&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&cs=1_ddb0ef82&cb=1718615854167&jobListingId=1009264498157&cpc=6FC5BA77C9A4CD78&jrtk=5-yul1-0-1i0inpimkj3vg803-abf8b4def0fca4c2---6NYlbfkN0DmIoLEfx3e5FKWdzPrCZVymN6nI1W4eX3Ta9yHxbrh7ZgLWpkiUKmkIMUlIR3bmBQP--YchavKD1Y1nPXCkxvmkdzTbUypysnzQ7EK5pJJKvz0AmdzNmZxGLLgGP756KCUOwzekz3zat5ydYHR3Nwmnz4DEt4hN6DZ-iLLmZj1l-KwZa7vZNJuFoZigS95y7cvVEFzBfiyUw9X1d52bjtZ0Awnvh6t2FF-SPZW5DhOWQW5B8aCEHS9akwrjGcTVm_nGXWx-uVFmVbm5ZGux5HihlSwhV6_ToZhbMzHbvMIfzAIc0o0PFmWqsNv8qMmolrOfYQ-aM067lITehYuD6OtE8URk_PtvSO7oNwPAiouRElvvX_fxJtRPgrUtvqnhJONMP2PcTMOnN2DmvKbxlMQyWuredq867GzXvd-HzApRXkNK5PHNHOy8xA242F1CJHPws3reonxo6B4e_n3zEiErEHOPTExNYqSXa7eWreS5cyfBD7RwCY03_adi49XxyYkJINIZI1nMbaFThkgKrGVNLz4jMsk8chiIhV5FOVoPtnO4Kl_4FOya5iFIQEVyy0r2uEMlXHBeWcbTVZB8O37J9iUDSgYn85y0VWKlU_TnqGcn94HktZDu03VGjikXnKXi8-LFfynmhNSolm-dw15KGgYM7HPxrXk2ly-JJkcqvDfErYIyy_2esQIR-DQVMfopRRo6UHq2yTBCoOwJ_uBWZUF1bbUF6ux_fliw5NucQ%3D%3D",3.5
146,"Data Analyst","TRESUME
4.0","Jersey City, NJ","$55K - $60K (Employer est.)","2d","https://media.glassdoor.com/sql/7028088/tresume-squarelogo-1655888827744.png","https://www.glassdoor.com/partner/jobListing.htm?pos=526&ao=1136043&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e702e966&cb=1718615854167&jobListingId=1009323845677&jrtk=5-yul1-0-1i0inpimkj3vg803-f456ef0ab8d62749",4
147,"Principal Data Science","Discover Financial Services
3.9","Riverwoods, IL","$127K - $177K (Employer est.)","12d","https://media.glassdoor.com/sql/13990/discover-squarelogo.png","https://www.glassdoor.com/partner/jobListing.htm?pos=527&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&cs=1_f21f9436&cb=1718615854167&jobListingId=1009308989179&cpc=451933188B21919D&jrtk=5-yul1-0-1i0inpimkj3vg803-d8d7683ff6dc9817---6NYlbfkN0D1-PRMn-5_GyGHMaSnYrWWU6esYt57cMor9hOdsTJc2eiz3jhIP5F6oEh7zn1FBCU-ucoKFju558lOaME2hGcJObY54irv-YBUD2oq05yOB20nwR-kdzQOx62l-DzMuKeGu3dHn2Q-4Hilh19avPODa8xSoSva4gPsOlY8F6jCwlKICprWiCvWwUcciQS8g1QdwF02gvru5ZwsA2m7U7_OXZ3ZdFRoDF97cDz2mwjQb2WYNEtTt-zMkm7zC18yJ6eIZYk1Hjf7TH0rVPGeI4H42hfYFaqfgl3YwSktgaYHdmfOXZ8Pyq2kQznfbTg6JIO_x-L51NGO9u767kYC3awURO7AcGy9lvvQpQ4rqaP6ETWwF7VlOISk58lfIB7lFgo2P8OYcdIH4ntENJKyJ685UgptmFVWRgT6qPDt_mgHgoMtpLcPjRsmTuSMVito2dzs1mGSQrqP6f7P1-QEIcMp0-ZUafa0U5fUDSzFQpfuyrNKndl1uS2Lg8tfJnGR0LcgGcRMnGu2UXFJ7NqO0NlTWoDDUyOpkzxRo_PFqu8ClS1HBhVl8vCLsJgf39FqItzTsNJrbOxFRo3t6hxVTCc0ADdGzAdEG4AlNI0j1vh9zJGS1w-uqU1ac43Q59pQw3hfdYAQ4auhc68BoB1M0KNClz5uhtJMJc7Aasxg9qfE7p42Jm7W5z18jWCqj4kUZ5cO6Sx8F7sCP17wO4h9si-dBWXdwLpdRt1u0YOb77_fOQyBFbGB-MjGOiml2RTM6khEsL3MVcPBjPwSeX5DsJ-5sQymfG6LAlzxuOnTJ937jzYIPqr6RYapBtiQLF_5TuaDtChB91UtZUqjO9wi7KxIIO8q3wgdn50ytCerh9-zWymjHg97BHp1zUVCODCUQkHyeZm__zxjzdoOl30neaXBzbFRq_vwaLT75LmqB3DvteeSX7oMMwSFRoskJN16GoRT5KL0Snl-8vJwI1EVm0WR2CQIGHMAg19pEcYKYrsJL-sp6sjUDZg5Fy9Lk-CX2KMJJY3Ic40jN2zZg2Ab_lDveuChDfPHtx_7Pe0DIU6irn-N9j36nVkd82LqCpd9u3qFIYct5eHK5HgCugt0XUM0nbQEo_EyNZSqkxMBHNr5hBAScyTSJ6WeO2EpOYHOWYON5GvzR3tI7aowNrOY-IDO",3.9
148,"Senior Data Scientist","CarShield
4.5","United States",,"30d+","https://media.glassdoor.com/sql/1178650/carshield-squarelogo-1503052499476.png","https://www.glassdoor.com/partner/jobListing.htm?pos=528&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_11bc5d50&cb=1718615854168&jobListingId=1009220269117&cpc=C4A69CCDBB3B9599&jrtk=5-yul1-0-1i0inpimkj3vg803-a11b710ee2b2066c---6NYlbfkN0Ax6mGtBtA-rYls7Wpfn8bZ9E2_a1seVQL0pCXQxYHaUZ1n5Bzmxe_IDjFUb9qCgEVD28fQGwOI-F-hHGsg5or00lV0NGnY42NMwqRd6CdnyuLO2vS5KYPQfevUwK09pjtCfc5S-3lYZcpb-53OziOBMe5s0gjx0NR_cmnDNxqdfe84-8L_GeKifJNFcH5jqUDcLqObvKp4gg95bfCte6SQuAtJYkW-J8M247k9atqdspFo_FgHqbDXtzC3x78PEL_CiR18fpTFnmN8dc0Fy855YASwItb5YdBvnPWtII7rLoC2U4lCRSf6IElm7rNpXqxoEV4bt08nHIavFvQvcHH0jUYVpM_izSd7xznw4-JnY9ztqBtPcnA9UtGByRhnGK2KvMzKep1x6geKPIpy3k41Ou6aBv5UABxh9Gc3sL18Xbp9gDXhG83ZgP2XR-MUI1tgyyeUGA9sQF_ZGIT5gahWhLgW4pQm66u8U0dA6AuWTXanS270NBjxdZBNg5sBdvA9VTWVgfusD3ROroDsS_UMYJ-B0E0TTksBvAFAB34XEP1cNqkDU2kroAy4nxLxwlRt8xz68_v7A6XoaYgfCP1tU3lmO0_6wZG3CNNcZ2evtszWJJAvOew6EDVdqyyiNbvur51kHQ9hNZFnCGwn4Y5p6WeQrP27RJV2P5KSQL0VJROBNponYG0HsAhGN9nLS4bBpaWq97-YuV7UAtffq27XuuH0KJktsJN5WFR1961LBXU0703Fg21R8KkpdK-erzRfKZgVPy6fIDLXf3D2z6BRLoyUn05oJW_QebGQVubaodwnHN4_K3xU2CH00qIXgdxUt104LNnkTR5aMmiNEkpt1oU6VB9HRIZBmRi6X-ZWBw%3D%3D",4.5
149,"Machine Learning Sales Engineer","Confidential","United States",,"4d",,"https://www.glassdoor.com/partner/jobListing.htm?pos=529&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_44564f5a&cb=1718615854168&jobListingId=1009319776905&cpc=6FC5BA77C9A4CD78&jrtk=5-yul1-0-1i0inpimkj3vg803-9d708fe84db0b8e0---6NYlbfkN0DX3k362bZnSvfw81hP-ddUnIyqKdwKOofa6W-GHhqTLwloHiEvHXeN39WThZPfKWbvtrUkunc-ANegwCo42b0c7XKU572V7-zK7D6wmweiQOY6DodzQiEdSpCg-DrhPQEvahlV-DGc4cw02-5ayAuzQdnqQgVDwfJGnxtN73-kQcPzcgYUXRpMmzuXxAy6vd8vuDdXhuxTny2uikekeaHv8MxIoPssR-NIv7WmEgrJY2a4n0LjLOSt10gfj133Z09-XL2ZwsSQXAbM_f8VnIHI0pxjw0fan6-okGz-nr-rOT0DEKkrwW4MwxinyW7E8uH_c7S-aDpFHm4Y_D3SpmEWEqhvTovXOQvhtDi1TN0Dg8PUGTDvio9HCN4SmrQ5UpJhjxXxUw1I268tDef2y_gwA0YvfzQcRg_GXFchk2SrhlSzig-vG84Oc88btX5qIjD30gWOzZkahwa-QxfNAj2NZz9GTc7RiaZqvZBFuokurU6VvtNCvq-1EjztlV1UGRcaeROKF5G68kHMooEEKi7hIPmIDzzL0pREDhq6AjzOBqBfAUNo3Cn3-8E_G4OvXCkF-m2glER1TUpQgBJjZbv1KbseqUdJxUHd_KfaUoKAADypT-NqPU9-",
150,"Lead Sr. Data Engineer | Scientist","Evrecruit.io","Dayton, OH",,"2d",,"https://www.glassdoor.com/partner/jobListing.htm?pos=530&ao=1110586&s=58&guid=00000190257cca99a0f345d3efc63f56&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0e630807&cb=1718615854167&jobListingId=1009323364044&cpc=FA84DF7EA1EC2398&jrtk=5-yul1-0-1i0inpimkj3vg803-4f95385ea0af5203---6NYlbfkN0B0PDpAgYYXP583yxmXCdgy2YKfa3wQFpQuD7lWIFtEMkdYw2HV9GUs7HKXYGfjKxfcigH3qbnCKwP92UZalF1shqN90ALaqeTFxJPPHulujc2-2AXnIi481PYBGgUXVq7F9oiHj0RfYxNnFsJpYNbpoAcurMttQiD-sRoZ4m1fqIrknWD-eccs4xEYq7G_jp7PuOxXpAmFU8uj2Lp17QoIN-4qvH9iZfj-qWd5L4qEmcNBbuHT_iTYVXTIu7rofVhM1U8VGibwbb6X2NIkwpz9pr7Wxdk-XRsDIfrLM35xAZFICxc6l_MMGSvODnbJjRp6C4QcIuh1llPyCa_3R_LJ53RLkX5v9ucQIBl7SHrZ9o4jQPwmLnqphD_VyWUM2GlpR77hidU5sh9uATsOp81VFvdxg_YdKEY9u6_cgM_nbQ66902DqMrDQA_vByXbs82WBprCaBMDTN4gyBAUxlUU3n9_4tC760QoGkOrxLExTjyB0jvERANT2JSnI97kgeDdB-UZggJDutHlKbcejUKCSaolki4CcHdPzjRFknvH655lbLtrSAlFkGzWyRV5JriVtpNWqc7gBM9xw1c-422Z6E4i1xHqWGidH1O5EUEMdBryTzYWmw4a",
151,"Supply Chain Analyst","Tempur Sealy
3.5","Lexington, KY","$58K - $82K (Employer est.)","17d","https://media.glassdoor.com/sql/26592/tempur-sealy-international-squarelogo-1376515981376.png","https://www.glassdoor.com/partner/jobListing.htm?pos=601&ao=1110586&s=58&guid=00000190257ce282952575522e1c0809&src=GD_JOB_AD&t=SR&vt=w&cs=1_f625c045&cb=1718615860300&jobListingId=1009300853888&cpc=ACAF1607C5C1E404&jrtk=5-yul1-0-1i0inpolhg0nn800-e331f8bf388511bf---6NYlbfkN0ARUEC-OGRFkI86fAcJekL-BG3SPY6Qa2C6v1WKFAmvxml5NgOcXRVrMA3ZUgF5GhjBCf92JfG8OX1PtJ3lsDW1uCpeRqCHpXkNS-VO3u-6fJWaE_EPpEfc8KkBymfJlht0_0sJfgRFj2NnQ9oQvlj_jBZjMrvSEpzdZopEtID07WUZSdVchqfxG5iidC_7wdWHkeQVy39oC13_duyfHUvO-q7NswCiZNY5rpRykaeHH_KhjI6Jmaszztd6KTBcgGQ24cd4kK1_GH5YD_Onch-BFS3ezG804aGYVwrOGFr0GN5-9RSR3X1bhE5a_se8zpRar43p6f0-4zAJBw1XAZFFrCtI3lYRGJaLr4ji8bTY2punGCCpI_-4jvDRzb0RAA4HzXiGv-e9RxbERsHmhKC2t4DhBxFw5zdGnrvovtVNJ5tWUlZfiyjjuy3CTM4TYnyCTITmU7oaVgd6DyqQQ3y_YyNRH12K4mOa5p9ZQ6EtijbnpuJ3v0wNd2NmNgD8PfXGwHYEYuvuUlENOz-EBzyaQL0YM3ENTwf4YUTsO-XRmDkqfWMgCcCHKRr1IaKgXRYqHs1WnjRy_eveYef-NumAN9ziUf3Um0So12x_exmEIyptSxBeeTisnfgmA3M0GG0kuQ1VsOWUiPIMP2AuBFhD5w3-gMvqKiAea6wK22aFkGvF_DfjHH4oJU-GN_rmAUbG_bZKV9nt-Eyd-HUX_vKaZGt8GyRHGu-O84y1_GlUzA%3D%3D",3.5
152,"Solution Developer I - Automation & Innovation Management","Inland Empire Health Plan
3.7","Rancho Cucamonga, CA","$69K - $108K (Glassdoor est.)","30d+","https://media.glassdoor.com/sql/105445/inland-empire-health-plan-squarelogo.png","https://www.glassdoor.com/partner/jobListing.htm?pos=602&ao=1110586&s=58&guid=00000190257ce282952575522e1c0809&src=GD_JOB_AD&t=SR&vt=w&cs=1_4c27a126&cb=1718615860300&jobListingId=1009050609421&cpc=9DC6E4D8324653EE&jrtk=5-yul1-0-1i0inpolhg0nn800-ebbc32223f72a8dd---6NYlbfkN0D13NnhNDLmGdXWnC2klJex7Rjt3XIhXJ9PN3iDdYKU0Htxx09DcOy5O-AgEEYC25eoB6pv_JqepSnJ_qD9fZLusHUtsqbxcDBHzmk2qhvAthjzcdBGVeepJjU2IacCKDbKqwjkvDs27YiCyLIV2vRIQue0JM10CClan8YRKIeNn4A9dI_V1sb7bD37wDtT1eQEYUiMypecbZ83RhRSh1xBhU1yexwlr9FRtPmVXzfauC1t25ffjIOp-1s_XKRo2NToDEH4qkrvJLMbr6vSmAHsrOSV2-u7tTCagV8oUp-4LQ3vtOGAO7NLUBjCPrnbT0_RQBzXGyAD2Z_u-KZR9ErKulE2Uxm7pS1JxlnQeku9tRH7zB0FqDgpqDefmhkPaAztX1k2DF2FOnhqFu-oW4ox1p-QmgIrwS64NLy4MkvKESeoK0ihWSU5fnaTO2XXrPIR_F8bV8a5AZHjyTeymt697UoHdixgHsU5Wp_8ABvf4gGYKANOwDLuSG_B_H23DnlcEmyR7TAgtvwOSNf2XJmhYPJnLmPK7dYLXd_XfRG6RWCOA9bxYFBP55xotJ0FEKZn1_BENUQqLZkInyu9Ouw0kWcBo5rHz8ySFeVxUL03sFFbhHhVITGy",3.7
