Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Just Between You And Me,Lou Gramm,3:55,4,0.511,0.308,7,-15.021,1,0.0247,0.408,0.000024,0.15,0.38,83.545,45,1990
When I’m Back On My Feet Again,Michael Bolton,3:48,4,0.429,0.326,5,-12.703,1,0.03,0.377,0,0.101,0.185,77.849,44,1990
Janie’s Got A Gun,Aerosmith,5:28,4,0.622,0.829,5,-4.76,1,0.0296,0.0721,0.000286,0.179,0.415,115.491,43,1990
Whip Appeal,Babyface,5:49,4,0.454,0.548,11,-7.421,0,0.0476,0.309,0,0.076,0.598,73.011,43,1990
Thieves In The Temple,Prince,3:20,4,0.775,0.676,5,-10.582,0,0.042,0.0228,0,0.0631,0.646,129.948,42,1990
Two To Make It Right,Seduction,4:42,4,0.772,0.598,7,-10.857,0,0.0429,0.204,0.00345,0.513,0.717,114.419,41,1990
With Every Beat Of My Heart,Taylor Dayne,4:22,4,0.773,0.893,5,-4.768,1,0.034,0.0827,0.00000225,0.0984,0.971,121.37,36,1990
Giving You The Benefit,Pebbles,5:41,4,0.706,0.8,5,-10.496,0,0.0468,0.144,0.00137,0.0998,0.931,103.074,33,1990
I Wanna Be Rich,Calloway,5:04,4,0.733,0.781,0,-10.265,1,0.0857,0.0352,0.00793,0.147,0.869,114.181,33,1990
If Wishes Came True,Sweet Sensation,5:15,4,0.493,0.453,3,-10.878,1,0.0248,0.0944,0.00467,0.1,0.188,143.725,33,1990
Price Of Love,Bad English,4:50,4,0.59,0.367,2,-12.989,1,0.0295,0.217,0.0729,0.0824,0.159,108.421,33,1990
We Can’t Go Wrong,The Cover Girls,2:13,4,0.619,0.728,2,-8.736,1,0.0721,0.881,0.00132,0.101,0.963,105.852,32,1990
Make You Sweat (#14),Keith Sweat,3:39,4,0.65,0.97,5,-4.2,0,0.122,0.000625,0.388,0.033,0.743,139.958,26,1990
This One’s For The Children,New Kids on the Block,3:09,4,0.815,0.105,0,-20.005,1,0.257,0.99,0.934,0.113,0.543,96.86,11,1990
She Ain’t Worth It,Glenn Medeiros and Bobby Brown,3:26,4,0.812,0.694,11,-7.903,0,0.0842,0.586,0.00282,0.0833,0.73,109.122,3,1990
Girls Nite Out,Tyler Collins,4:13,4,0.794,0.856,5,-4.78,0,0.0793,0.0683,0.000016,0.303,0.881,102.017,2,1990
C’mon And Get My Love,D Mob featuring Cathy Dennis,4:11,4,0.517,0.999,9,-6.013,1,0.292,0.00141,0.0162,0.197,0.2,133.399,1,1990
(CAN’T Live Without Your) Love And Affection,Nelson,4:03,4,0.852,0.907,4,-5.571,1,0.0439,0.259,0.000188,0.0667,0.964,120.043,0,1990
I’ll Be Your Everything,Tommy Page,3:13,4,0.516,0.663,6,-6.027,0,0.0365,0.00018,0.829,0.103,0.622,193.99,0,1990
I’ll Be Your Shelter,Taylor Dayne,4:39,4,0.467,0.392,8,-7.556,1,0.028,0.105,0.00143,0.118,0.324,129.85,0,1990
Romantic,Karyn White,2:12,4,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,86,1991
Baby Baby,Amy Grant,1:37,4,0.762,0.604,7,-5.296,0,0.11,0.114,0,0.0271,0.847,168.007,85,1991
Losing My Religion,R.E.M.,4:28,4,0.666,0.855,9,-5.051,0,0.0295,0.179,0.0000012,0.0987,0.803,125.639,83,1991
The First Time,Surface,3:02,4,0.551,0.529,5,-10.469,0,0.0517,0.296,0.0093,0.178,0.521,75.515,81,1991
Joyride,Roxette,2:30,4,0.788,0.898,10,-4.653,0,0.0592,0.0182,0.000123,0.114,0.496,115.96,80,1991
Rush Rush,Paula Abdul,2:36,4,0.728,0.841,10,-7.682,0,0.0567,0.00242,0.0000909,0.106,0.402,125.991,80,1991
Wicked Game,Chris Isaak,4:49,4,0.663,0.296,9,-18.09,1,0.0294,0.68,0.00837,0.0879,0.359,112.306,80,1991
Crazy,Seal,3:56,4,0.646,0.77,2,-6.596,0,0.226,0.00249,0,0.0715,0.681,99.165,78,1991
Wind Of Change,Scorpions,5:12,4,0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,78,1991
Enter Sandman,Metallica,5:31,4,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,76,1991
It Ain’t Over ‘TIL It’s Over,Lenny Kravitz,4:02,4,0.679,0.568,6,-10.74,1,0.0423,0.422,0.00928,0.322,0.93,159.69,76,1991
More Than Words,Extreme,5:34,4,0.626,0.134,6,-14.898,1,0.0298,0.467,0,0.113,0.239,91.893,75,1991
Power Of Love/Love Power,Luther Vandross,3:54,4,0.768,0.828,5,-5.109,1,0.0313,0.0964,0.0000285,0.097,0.961,118.777,75,1991
Summertime,DJ Jazzy Jeff & The Fresh Prince,4:24,4,0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,75,1991
Play That Funky Music,Vanilla Ice,5:00,4,0.814,0.672,9,-12.068,1,0.0619,0.0435,0,0.061,0.933,109.394,72,1991
Someday,Mariah Carey,3:03,4,0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,72,1991
Disappear,INXS,3:48,3,0.538,0.304,9,-11.79,1,0.0352,0.613,0.000631,0.164,0.065,78.997,71,1991
Good Vibrations,Marky Mark and the Funky Bunch featuring Loleatta Holloway,3:39,4,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,71,1991
Shiny Happy People,R.E.M.,3:45,4,0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623,71,1991
High Enough,Damn Yankees,3:51,4,0.606,0.62,0,-5.005,1,0.0298,0.0301,0.0916,0.167,0.543,88.984,70,1991
Gonna Make You Sweat (EVERYBODY Dance Now),C+C Music Factory,4:04,4,0.557,0.798,6,-7.405,1,0.0935,0.000851,0.665,0.183,0.793,112.117,69,1991
Something To Talk About,Bonnie Raitt,3:24,4,0.612,0.934,9,-5.126,0,0.0663,0.049,0,0.103,0.293,130.002,69,1991
Round And Round,Tevin Campbell,4:25,4,0.628,0.934,11,-6.026,1,0.0527,0.00682,0.0000111,0.0853,0.491,126.539,68,1991
Cream,Prince and The New Power Generation,1:53,4,0.87,0.37,1,-6.143,1,0.393,0.12,0,0.117,0.747,169.927,67,1991
Emotions,Mariah Carey,2:11,4,0.63,0.631,9,-6.211,1,0.0396,0.0129,0,0.142,0.163,80.512,67,1991
Piece Of My Heart,Tara Kemp,4:13,4,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,66,1991
Temptation,Corina,4:04,4,0.775,0.707,10,-5.339,0,0.152,0.397,0,0.874,0.78,104.979,66,1991
Freedom 90,George Michael,6:30,4,0.673,0.863,5,-10.352,1,0.0451,0.243,0.0000323,0.0601,0.938,91.703,65,1991
Show Me The Way,Styx,4:03,4,0.7,0.726,2,-7.717,1,0.0329,0.434,0.0000011,0.0963,0.641,130.109,65,1991
O.P.P.,Naughty by Nature,4:31,4,0.848,0.838,4,-11.949,0,0.0721,0.0326,0.00000489,0.124,0.787,97.736,64,1991
Unbelievable,EMF,3:29,4,0.636,0.848,1,-6.854,1,0.0362,0.000339,0.0402,0.141,0.934,104.073,64,1991
(EVERYTHING I Do) I Do It For You,Bryan Adams,6:34,4,0.526,0.365,1,-12.605,1,0.028,0.0775,0.0000137,0.0618,0.254,131.251,63,1991
I Saw Red,Warrant,5:02,4,0.729,0.731,4,-4.823,1,0.0682,0.235,0.00000135,0.391,0.838,138.204,63,1991
Signs,Tesla,3:54,4,0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,63,1991
I Touch Myself,Divinyls,3:47,4,0.66,0.711,5,-10.211,1,0.0334,0.181,0.00000747,0.0647,0.726,109.328,62,1991
I’ll Be There,The Escape Club,3:52,4,0.527,0.852,2,-6.18,1,0.0456,0.0209,0.00000301,0.187,0.254,112.491,61,1991
Get Here,Oleta Adams,3:42,4,0.497,0.927,0,-4.52,1,0.0372,0.00286,0.00000126,0.413,0.608,96.987,60,1991
Now That We Found Love,Heavy D & the Boyz,4:18,4,0.744,0.697,8,-14.753,1,0.0631,0.039,0,0.171,0.683,119.955,60,1991
All This Time,Sting,2:48,3,0.519,0.964,6,-3.442,1,0.0721,0.000081,0,0.238,0.197,100.484,59,1991
I Wanna Sex You Up,Color Me Badd,3:56,4,0.551,0.591,6,-8.404,0,0.12,0.00549,0.00000655,0.0416,0.474,201.81,59,1991
Love Of A Lifetime,FireHouse,4:45,4,0.459,0.622,1,-6.174,1,0.0293,0.000361,0.00201,0.0921,0.113,123.185,59,1991
Motownphilly,Boyz II Men,3:55,4,0.754,0.857,2,-9.699,1,0.0605,0.0143,0.0000234,0.278,0.787,114.143,59,1991
Sadeness (PART I),Enigma,4:20,4,0.607,0.478,7,-13.677,1,0.0354,0.0866,0.106,0.0983,0.51,95.721,59,1991
The One And Only,Chesney Hawkes,3:43,4,0.681,0.697,4,-11.063,1,0.0327,0.357,0,0.388,0.775,119.957,59,1991
This House,Tracie Spencer,3:40,4,0.527,0.142,4,-17.44,1,0.0277,0.955,0.764,0.0917,0.0369,105.96,59,1991
Silent Lucidity,Queensrÿche,5:47,4,0.461,0.627,7,-5.659,1,0.0274,0.0528,0.000276,0.12,0.0977,140.04,58,1991
Impulsive,Wilson Phillips,1:56,4,0.612,0.885,11,-5.776,1,0.0396,0.0502,0.386,0.121,0.319,115.01,57,1991
One More Try,Timmy T,5:50,3,0.551,0.291,5,-12.544,1,0.0283,0.434,0.0000378,0.11,0.0823,119.005,57,1991
The Way You Do The Things You Do,UB40,2:45,4,0.618,0.704,4,-4.686,1,0.0321,0.159,0.000264,0.358,0.742,124.218,57,1991
Where Does My Heart Beat Now,Celine Dion,4:32,4,0.528,0.62,10,-10.419,1,0.0285,0.648,0.00000163,0.0801,0.595,74.051,57,1991
Don’t Cry,Guns N’ Roses,3:09,4,0.608,0.638,8,-7.215,1,0.0561,0.217,0,0.324,0.457,87.956,56,1991
Here I Am (COME And Take Me),UB40,4:02,4,0.802,0.621,5,-7.932,0,0.0377,0.0975,0.0256,0.0627,0.81,95.906,56,1991
Love Takes Time,Mariah Carey,3:49,4,0.403,0.338,8,-12.371,0,0.0322,0.727,0,0.0849,0.233,126.23,56,1991
Miles Away,Winger,4:15,4,0.368,0.608,5,-7.529,1,0.0326,0.0181,0.00000211,0.352,0.298,182.154,56,1991
P.A.S.S.I.O.N.,Rythm Syndicate,2:54,4,0.501,0.933,6,-3.476,0,0.198,0.0457,0,0.376,0.708,170.13,56,1991
"Right Here, Right Now",Jesus Jones,3:09,4,0.657,0.608,2,-13.565,1,0.0287,0.0088,0.00000345,0.103,0.723,106.862,56,1991
Coming Out Of The Dark,Gloria Estefan,2:53,4,0.63,0.44,11,-6.691,0,0.0426,0.00519,0,0.145,0.538,140.01,55,1991
Do Anything,Natural Selection,2:57,4,0.826,0.719,9,-4.476,1,0.0598,0.33,0.0000081,0.188,0.968,140.001,55,1991
Strike It Up,Black Box,4:58,4,0.875,0.862,6,-7.694,0,0.062,0.0116,0.000281,0.0658,0.915,118.398,55,1991
Tom’s Diner,DNA featuring Suzanne Vega,2:33,4,0.687,0.866,7,-7.777,0,0.161,0.0116,0.0000451,0.388,0.221,140.037,55,1991
All The Man That I Need,Whitney Houston,4:11,4,0.496,0.571,5,-9.958,0,0.0335,0.43,0,0.0332,0.25,150.944,54,1991
I Don’t Wanna Cry,Mariah Carey,2:43,4,0.484,0.692,4,-6.588,0,0.0341,0.0000174,0.878,0.11,0.176,142.082,54,1991
I’m Your Baby Tonight,Whitney Houston,4:11,4,0.496,0.571,5,-9.958,0,0.0335,0.43,0,0.0332,0.25,150.944,54,1991
Around The Way Girl,LL Cool J,4:08,4,0.62,0.445,1,-17.154,0,0.382,0.00273,0.0145,0.333,0.587,202.134,53,1991
From A Distance,Bette Midler,4:36,4,0.536,0.242,7,-11.716,1,0.0277,0.674,0,0.331,0.331,137.989,53,1991
Something To Believe In,Poison,3:48,4,0.623,0.886,1,-3.044,1,0.0404,0.0245,0,0.247,0.709,92.021,53,1991
Hold You Tight,Tara Kemp,5:04,4,0.537,0.521,3,-11.083,0,0.0432,0.622,0.859,0.12,0.781,135.589,51,1991
Hole Hearted,Extreme,3:39,4,0.4,0.747,6,-9.438,1,0.045,0.163,0,0.0774,0.674,203.396,51,1991
Sensitivity,Ralph Tresvant,4:41,4,0.683,0.661,1,-12.823,1,0.0459,0.137,0.557,0.0772,0.707,96.956,51,1991
I Like The Way (THE Kissing Game),Hi-Five,5:48,4,0.723,0.498,1,-10.53,1,0.0319,0.102,0.0278,0.0305,0.712,104.085,50,1991
Just Another Dream,Cathy Dennis,4:39,4,0.905,0.47,7,-9.598,0,0.0508,0.359,0.00291,0.0852,0.689,132.041,50,1991
After The Rain,Nelson,2:24,4,0.621,0.257,8,-18.043,1,0.0352,0.983,0.958,0.11,0.0596,119.977,49,1991
Place In This World,Michael W. Smith,3:13,4,0.481,0.521,6,-7.62,1,0.0477,0.114,0,0.137,0.299,77.066,49,1991
Real Real Real,Jesus Jones,3:40,4,0.702,0.846,7,-6.555,1,0.0296,0.382,0.306,0.187,0.949,142.433,48,1991
Everybody Plays The Fool,Aaron Neville,3:22,4,0.485,0.641,3,-8.752,1,0.0418,0.704,0.0000992,0.159,0.855,168.645,46,1991
Fading Like A Flower (EVERY Time You Leave),Roxette,3:50,4,0.609,0.668,0,-5.738,1,0.026,0.195,0,0.219,0.319,105.419,45,1991
Love Will Never Do (WITHOUT You),Janet Jackson,5:50,4,0.739,0.951,1,-8.863,1,0.0496,0.139,0.0062,0.462,0.551,103.17,45,1991
Rhythm Of My Heart,Rod Stewart,2:40,4,0.487,0.801,6,-6.433,1,0.158,0.0602,0,0.0764,0.673,109.273,45,1991
The Motown Song,Rod Stewart,4:00,4,0.65,0.807,9,-7.536,1,0.0437,0.144,0,0.0786,0.788,116.003,45,1991
Justify My Love,Madonna,5:00,4,0.696,0.655,7,-12.594,1,0.124,0.00218,0.738,0.0526,0.48,99.648,44,1991
Things That Make You Go Hmmm…,C+C Music Factory,5:22,4,0.807,0.935,8,-5.932,0,0.0498,0.0534,0.000844,0.343,0.97,113.327,44,1991
Can’t Stop This Thing We Started,Bryan Adams,4:29,4,0.536,0.88,9,-6.873,1,0.0404,0.0256,0,0.467,0.521,113.044,43,1991
I’ve Been Thinking About You,Londonbeat,3:08,4,0.689,0.711,10,-6.344,0,0.0375,0.0263,0.00764,0.0368,0.632,113.657,43,1991
I Adore Mi Amor,Color Me Badd,4:49,4,0.683,0.476,3,-9.995,0,0.027,0.243,0,0.0787,0.725,91.99,41,1991
Love Is A Wonderful Thing,Michael Bolton,4:42,4,0.727,0.824,2,-8.915,1,0.0394,0.00812,0.00000158,0.0922,0.935,125.104,41,1991
Too Many Walls,Cathy Dennis,4:25,4,0.723,0.587,10,-11.032,1,0.0265,0.36,0.0000883,0.0756,0.642,97.15,41,1991
"Time, Love And Tenderness",Michael Bolton,5:30,4,0.51,0.808,6,-8.649,0,0.0475,0.0281,0,0.295,0.738,170.037,40,1991
Touch Me (ALL Night Long),Cathy Dennis,3:29,4,0.655,0.776,10,-10.298,0,0.0326,0.00326,0.081,0.307,0.454,118.01,40,1991
Every Heartbeat,Amy Grant,3:33,4,0.648,0.89,2,-3.834,1,0.0429,0.288,0,0.119,0.808,126.956,39,1991
Here We Go (LET’S Rock N’ Roll),C+C Music Factory featuring Freedom Williams & Zelma Davis,5:40,4,0.433,0.947,6,-5.642,1,0.0687,0.00424,0.654,0.341,0.761,113.808,37,1991
I’m Not In Love,Will to Power,3:49,4,0.472,0.968,7,-5.322,0,0.182,0.00476,0.0019,0.361,0.158,135.953,37,1991
Iesha,Another Bad Creation,4:21,4,0.714,0.786,1,-9.717,1,0.164,0.0403,0,0.0302,0.692,111.855,37,1991
The Promise Of A New Day,Paula Abdul,4:32,4,0.754,0.82,1,-8.622,1,0.062,0.0911,0.00000162,0.0805,0.896,119.835,37,1991
Rico Suave,Gerardo,4:51,4,0.798,0.817,11,-11.337,0,0.121,0.00596,0.0000629,0.0548,0.446,105.931,35,1991
Cry For Help,Rick Astley,6:27,4,0.606,0.611,0,-8.953,1,0.0266,0.186,0.0000135,0.253,0.363,89.915,27,1991
Because I Love You (THE Postman Song),Stevie B,5:06,4,0.22,0.339,1,-8.082,1,0.037,0.812,0,0.139,0.0887,61.764,23,1991
