ID,Movie,Year,Genre,RunTime,Description,IMDB_Score
76,The Invincible Iron Man,(2007 Video),"Animation,Action,Adventure",83 min,"When a cocky industrialist's efforts to raise an ancient Chinese temple leads him to be seriously wounded and captured by enemy forces, he must use his ideas for a revolutionary power armor in order to fight back as a superhero.",5.9
77,Blade,-2011,"Animation,Action,Horror",25 min,"Legendary half-vampire, half-human vampire hunter Blade is tracking Deacon Frost, a very powerful and influential vampire who killed his mother and who heads Existence, a secretive vampire organization that operates in Southeast Asia.",6.5
78,Iron Man,(2008 Video Game),"Action,Adventure,Sci-Fi",0,"Tony Stark, gets kidnapped and forced to build a devastating weapon. Instead, he builds a high-tech suit of armor and escapes captivity. When he uncovers a nefarious plot with global implications, he vows to protect the world as Iron Man.",6.9
79,Thor: Tales of Asgard,(2011 Video),"Animation,Action,Adventure",77 min,The young Norse god Thor embarks on a quest with his brother Loki to find and recover a legendary sword.,6.3
80,The Oscars,(2018 TV Special),"Comedy,Music",187 min,"The 90th Annual Academy Awards ceremony, hosted by Jimmy Kimmel, celebrates the film industry's biggest achievements for the year 2017.",5.7
81,The Oscars,(2017 TV Special),"Comedy,Music",229 min,"The 89th Annual Academy Awards ceremony celebrates the film industry's best and biggest in cinema for the year 2016 with host Jimmy Kimmel, including awards for best actors, directors, songs, original screenplays and motion picture.",6.7
82,Iron Man 2,(2010 Video Game),"Action,Adventure,Crime",0,Video game based upon the film of the same name.,6.2
83,Echo,(II),"Action,Adventure,Crime",0,Plot Unknown.,0
84,Iron Man and Captain America: Heroes United,(2014 Video),"Animation,Action,Adventure",71 min,"Iron Man and Captain America battle to keep the Red Skull and his triggerman, Taskmaster, from unleashing an army of Hydra Brutes on the world.",5.5
85,Untitled Wakanda Project,,"Action,Adventure,Sci-Fi",0,Plot under wraps.,0
86,Iron Man & Hulk: Heroes United,(2013 Video),"Animation,Action,Adventure",71 min,The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet.,4.7
87,Lego Marvel Avengers: Climate Conundrum,(2020– ),Animation,30 min,"When Tony Stark's new weather machine is stolen by AIM, it's up to Black Widow and Hawkeye to retrieve it, taking them on a high-speed chase through New York City.",7.3
88,Marvel Studios: Expanding the Universe,-2019,"Documentary,Short",12 min,"An exciting look into the future of Marvel Studios, including never-before-seen footage featuring tales and filmmakers from upcoming Disney+ series.",6.8
89,Marvel Studios: Assembling a Universe,(2014 TV Movie),"Documentary,History",43 min,"A look at the story behind Marvel Studios and the Marvel Cinematic Universe, featuring interviews and behind-the-scenes footage from all of the Marvel films, the Marvel One-Shots and ""Marvel's Agents of S.H.I.E.L.D.""",7.4
90,Stuntwomen: The Untold Hollywood Story,-2020,Documentary,84 min,An action-documentary about the evolution of stunt women from The Perils of Pauline (1914) and beyond.,7
91,Untitled Marvel Cinematic Universe Television Show,,Action,0,Plot kept under wraps.,0
92,Spider-Man Venom Saga,-2005,Animation,100 min,A story arc from the 1994 animated series Spider-Man that focused on Venom.,7.7
93,Spider-Man: The Ultimate Villain Showdown,(2002 Video),"Animation,Action,Adventure",79 min,"Featuring Green Goblin, Kingpin, and Dr. Octopus.",7
94,2016 MTV Movie Awards,(2016 TV Special),"Comedy,News",0,"In a world of award shows that suck, MTV gives you an award show that doesn't suck. Kevin Hart and Dwayne ""The Rock"" Johnson host the 2016 MTV Movie Awards, an irreverent, in-your-face celebration of the movies fans really love with the stars they actually care about. And unlike other award shows, the fans choose the winners, not some exclusive committee of old, rich people. The show includes ...                See full summary »",5.2
95,Avengers S.T.A.T.I.O.N.,(2014 Video),Sci-Fi,0,a Plot,7.4
96,Marvel 75 Years: From Pulp to Pop!,(2014 TV Movie),"Documentary,History",42 min,Emily Vancamp hosts this one of a kind experience showing the history and development of Marvel from the first comic book to the latest blockbuster hit.,7.2
97,Untitled Disney Marvel Film,(III) (2022),Action,0,a Plot,0
98,Spider-Man: Maximum Venom,-2020,"Short,Action",0,a Plot,0
99,Untitled Disney Marvel Film,(II) (2022),Action,0,a Plot,0
100,Untitled Disney Marvel Film,(I) (2022),Action,0,a Plot,0
101,Prodigal,(III) (2011),"Short,Sci-Fi",25 min,"A father seeks redemption by rescuing his daughter, a PRODIGAL, from two organizations hell-bent on acquiring her ""special"" abilities.",6.9
102,The Infinite Six,(2015 Video),Short,7 min,"This short explains the six infinity stones that are at the heart of the Marvel cinematic universe. ""Age of Ultron"" executive producer Jeremy Latcham talks about how the stones were adapted from the comics to film.",5.6
103,Iron Man 3: The Prologue,-2013,"Short,Action",0,a Plot,6.2
104,Captain America: Civil War Save a Hero Campaign,(2016 Video),Short,0,a Plot,6
105,Jack Kirby: Story Teller,(2007 Video),Documentary,64 min,"The life of Jack Kirby as a comic book artist, from his humble beginnings to being the King of Comics.",6.5
106,19th Annual Critics' Choice Movie Awards,(2014 TV Special),,120 min,a Plot,6.2
107,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Mutant X encounters a new faction of New Mutants - the Strand, led by the powerful first mutant, Gabriel Ashlocke.",7.1
108,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X tracks down a rogue scientist while Shalimar breaks away from the team to help Adam save the scientist and uncover the real bad guy.,5.6
109,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X unearths an old military experiment involving an age-reversal serum and is surprised to discover that Jesse's grandfather is a one of the test subjects.,5.4
110,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A young New Mutant from Adam's past shows up, seeking revenge for her father's death.",6.8
111,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"As the Mutant X team fights to retrieve a formula hidden in a collection of artwork, Shalimar is given vital information from a mysterious source.",6.1
112,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team face their most dangerous mission yet when they set out to stop a group of eco-terrorists.,6.4
113,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Jesse is roped into a deadly undercover mission by his estranged father, who is working against Eckhart.",6.5
114,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A mutant who was disembodied takes over the bodies of various people. And sets out to go after the ones who did this to him. And one of them is a doctor, Shalamar likes.",6.2
115,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team learns about Lexa's estranged twin brother when he becomes the main target of an underground operation harvesting mutant organs.,5.9
116,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Lexa's suspicions lead Mutant X to unveil a traveling death camp, which is posed as a circus for mutant refugees and Mutant X's enemy within the Dominion.",6.1
117,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"While Brennan and Shalimar investigate a mysterious plane crash, Lexa contemplates her future with the Mutant X team.",5.4
118,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A boy who's developing new mutant abilities has been kidnapped. The team tries to find him, for his mother. They later learn she was the one who had her son kidnapped. She said it was too ...                See full summary »",6.3
119,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"The team set out to save Brennan, who has become trapped inside an invisible town - and is facing execution for a crime he didn't commit.",6
120,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Mutant X and Genomex are both captured on film using their powers, and they both have to deal with the reporter who plans to go public with the information.",5.9
121,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,The team encounters some people trying to break into a Genomex lab and discover that they're ferals. They learn that they're military and that they're entire unit was experimented on which ...                See full summary »,6.5
122,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team tries to stop Eckhart from acquiring a rare element. But a thief gets it. The woman who has the ability to make men fall in love with her sets her sights on Brennan. She makes him ...                See full summary »,6.5
123,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan is forced to return to his criminal past when Mutant X discovers that his old partner is involved in stealing secrets from the Dominion.,6.1
124,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"An old friend of Brennan's lures him and Emma into a trap - Emma ends up split into two separate entities, one good and one evil.",6.3
125,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X must stop a scientist from cloning women for use as slaves in his ultra-exclusive men's club.,5.7
126,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Shalimar's former boyfriend shows up and is trying to recover a Faberge Egg that holds a microchip of extraordinary power.,6.1
127,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"A mysterious tribunal finds Adam guilty of trying to dominate the world with his super-mutants and sentences him to death, sparking the rest of the team into life as they set out on a mission to save him.",5.7
128,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Shalimar becomes close to another feral when it's ""lust at first sight,"" but matters become complicated when her new boyfriend tries to find a cure for his condition.",6.4
129,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team go undercover to investigate unexplained deaths in a prison.,6.4
130,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Brennan is captured and falls under Eckhart's control, and forced to work against the New Mutants.",6.3
131,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"When Jesse's life hangs in the balance, Brennan must connect to him and lead him through past memories they've shared in order to save his life.",6.5
132,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Jesse falls in love with a computer hacker, who Eckhart wants to ""procure"" to use to corrupt the public computer news channels against New Mutants and to the GSA's benefit.",6.1
133,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"The team are on the trail of a pyromaniac mutant who is causing mayhem, and Shalimar is forced to set aside her fear of fire to save Emma",6.4
134,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Emma reunites with an old friend who possesses telecyber powers. The reunion turns dangerous, however, when Michelle tries to turn Emma over to the GSA.",4
135,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"In the exciting season opener, the surviving members of Mutant X emerge from a deadly explosion to meet the beautiful and mysterious Lexa, who makes them begin to question fundamental assumptions about their world.",6.7
136,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,A New Mutant is kidnapped from his family and Mutant X set out to recover him and find out what Eckhart's interest in him is.,6.4
137,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,The team encounters a mutant who kills other mutants by draining their energy. And can also come back to life after being killed. He eventually captures Emma.,6.5
138,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Shalimar reluctantly agrees to contact her estranged father when the team learn his company is involved in genetic testing and manipulation.,5.7
139,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Eckhart seeks a mutant who can absorb energy, one who Brennan becomes romantically involved with.",6.7
140,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,When a plague that only affects mutants is raging. Adam and Eckhart agree to work together to find a cure. And helping Adam is a mutant who is impervious to harm who thinks of it more as a curse rather than a blessing.,6.5
141,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"A mutant who has the ability to inter phase with any computer with his mind, who is paralyzed after an encounter with the team, takes over Sanctuary's computers. Shalimar and Lexa get out, ...                See full summary »",5.6
142,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"A military plane is shot down behind enemy lines, prompting the team to make a desperate bid to recover the secret government weapon that is hidden on board, before innocent lives are threatened.",6.3
143,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,A mutant with telepathic abilities who can make people experience mentally anything he wants manages to get into the minds of Mutant X. Now he is making them experience their worse fears. ...                See full summary »,7.1
144,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team step in to protect a main prosecution witness whose life has been threatened prior to the trial.,7.4
145,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team wrestle to contain Brennan's out-of-control mutant powers when he puts the mission to protect a senator's daughter in danger.,7.6
146,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"In a desperate attempt to save his own life, Ashlocke revives an ancient Egyptian alchemist who poses a lethal threat to the Mutant X team.",6.8
147,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan and the Mutant X team join forces with a time traveling mutant to defuse a bomb threatening devastating consequences.,6
148,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team struggle to disempower a military colonel who has threatened to unleash a nuclear holocaust.,6
149,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,Adam is framed for murder by a New Mutant with the ability to steal people's memories.,6.2
150,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan battles with a Guardian of the Prophecy to stop the late mutant Ashlocke's plan from beyond the grave of world domination.,6
151,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Shalimar gets into difficulties when the team encounter a Cold War-era mutant with the ability to alter reality and destroy people's minds.,6
152,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team help the crew of an ocean research station threatened by a prehistoric creature - previously thought to be extinct.,6.1
153,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Mutant X comes to the aid of a teenager New Mutant pursued by Russians - she holds the secret to a new weapon that targets mutants.,6
154,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team is called in to investigate bizarre activities occurring at a local hospital.,5.6
155,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Three extraterrestrials who pose a serious threat to humanity target Shalimar, so the team set out to save her from their evil clutches.",6.7
156,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Many of the mysteries surrounding Mutant X are revealed when Lexa and Jesse are captured by the Dominion and the team, along with Adam, goes in to rescue them.",6.2
157,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team is brought in to help a military base that has become infected with a deadly disease.,5.5
158,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Ashlocke is desperate to find a cure for his fatal condition, and infiltrates the Sanctuary to blackmail Adam into getting hold of the antidote.",5.9
159,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Brennan's shady ex-girlfriend turns to him for help when her latest scam takes a deadly turn.,6.1
160,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The Mutant X team embarks on a mission to locate and capture a powerful super-mutant who possesses god-like powers.,5.2
161,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"A mutant empath on the run from mysterious government agents is rescued by a team of fellow ""New Mutants"" - the group known as Mutant X.",6.3
162,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"When Lexa is unknowingly drugged with a lethal substance, the team must race to find the antidote before it's too late.",6.1
163,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"Ashlocke goes back in time to try and make himself invincible by giving something to his the younger self. Brennan and Shalimar follow him. Jesse takes the new mutant, who sent them back, ...                See full summary »",6.2
164,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Someone tries to kill Adam but the team saves him. The person who killed him was part of a group of assassins. So Adam sends Shalimar to join them and find out who wants to kill him. She ...                See full summary »,5.5
