Light Type,Model Lamp,Location,Site,Standardized Moon,Standardized Mean Temp,Standardized Mean Humidity,Standardized Max Wind,% Moon Visible,Start Tem,End Temp,Mean Temp,Humid Start,Humid End,Mean Humidity,Max Wind,Illumination,Diptera,Hymenoptera,Hemiptera,Psocoptera,Coleoptera,Collembola,Arachnid,Thysanura,Isoptera,Lepidoptera,Neuroptera,Larave,Orthoptera,Unident,Total,Other Orders
A,3500 Custom,Stunt,S4,0.183537264,0.064102564,0.55,0,26.4,13.9,7.4,10.65,44,71,57.5,0,1675,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
B,2700 Custom,Stunt,S3,0.183537264,0.064102564,0.55,0,26.4,13.9,7.4,10.65,44,71,57.5,0,1145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
C,2700 Custom,Stunt,S2,0.183537264,0.064102564,0.55,0,26.4,13.9,7.4,10.65,44,71,57.5,0,1830,0,0,0,0,0,0,1,0,0,3,0,0,0,1,5,2
LED,LED,Stunt,S1,0.183537264,0.064102564,0.55,0,26.4,13.9,7.4,10.65,44,71,57.5,0,275,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
CFL,CFL,Stunt,S5,0.183537264,0.064102564,0.55,0,26.4,13.9,7.4,10.65,44,71,57.5,0,253,1,0,0,0,0,1,0,0,0,7,0,0,0,0,9,1
No,No,Stunt,S6,0.183537264,0.064102564,0.55,0,26.4,13.9,7.4,10.65,44,71,57.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
A,3500 Custom,BG,B6,0.0756396,0.336538462,0.771428571,0.5625,16.7,16,13.8,14.9,71,75,73,0.9,1675,10,1,1,0,0,2,1,0,0,0,0,0,0,0,15,5
B,2700 Custom,BG,B1,0.0756396,0.336538462,0.771428571,0.5625,16.7,16,13.8,14.9,71,75,73,0.9,1145,14,1,0,0,0,1,0,0,0,0,0,0,0,0,16,2
C,2700 Custom,BG,B5,0.0756396,0.336538462,0.771428571,0.5625,16.7,16,13.8,14.9,71,75,73,0.9,1830,16,2,0,1,0,8,0,0,0,0,0,0,0,2,29,13
LED,LED,BG,B2,0.0756396,0.336538462,0.771428571,0.5625,16.7,16,13.8,14.9,71,75,73,0.9,275,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
CFL,CFL,BG,B4,0.0756396,0.336538462,0.771428571,0.5625,16.7,16,13.8,14.9,71,75,73,0.9,253,26,2,0,0,0,3,1,1,0,2,0,0,0,1,36,8
No,No,BG,B3,0.0756396,0.336538462,0.771428571,0.5625,16.7,16,13.8,14.9,71,75,73,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
A,3500 Custom,Stunt,S5,0,0.237179487,0.828571429,0,9.9,14.1,12.6,13.35,82,72,77,0,1675,1,0,1,0,0,1,0,3,0,4,0,0,0,0,10,5
B,2700 Custom,Stunt,S4,0,0.237179487,0.828571429,0,9.9,14.1,12.6,13.35,82,72,77,0,1145,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,1
C,2700 Custom,Stunt,S3,0,0.237179487,0.828571429,0,9.9,14.1,12.6,13.35,82,72,77,0,1830,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,2
LED,LED,Stunt,S2,0,0.237179487,0.828571429,0,9.9,14.1,12.6,13.35,82,72,77,0,275,0,1,0,0,0,1,0,0,0,2,0,0,0,0,4,2
CFL,CFL,Stunt,S6,0,0.237179487,0.828571429,0,9.9,14.1,12.6,13.35,82,72,77,0,253,4,0,0,0,1,0,0,0,0,9,0,0,0,0,14,1
No,No,Stunt,S1,0,0.237179487,0.828571429,0,9.9,14.1,12.6,13.35,82,72,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,3500 Custom,BG,B1,0.084538376,0.253205128,0.964285714,0,17.5,16.1,11.1,13.6,85,88,86.5,0,1675,4,1,1,0,0,10,0,0,0,0,0,0,0,0,16,12
B,2700 Custom,BG,B2,0.084538376,0.253205128,0.964285714,0,17.5,16.1,11.1,13.6,85,88,86.5,0,1145,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1
C,2700 Custom,BG,B6,0.084538376,0.253205128,0.964285714,0,17.5,16.1,11.1,13.6,85,88,86.5,0,1830,11,2,0,0,0,6,2,0,0,0,1,0,0,0,22,11
LED,LED,BG,B3,0.084538376,0.253205128,0.964285714,0,17.5,16.1,11.1,13.6,85,88,86.5,0,275,1,0,0,0,1,6,0,0,0,1,0,0,0,1,10,8
CFL,CFL,BG,B5,0.084538376,0.253205128,0.964285714,0,17.5,16.1,11.1,13.6,85,88,86.5,0,253,7,4,0,0,0,15,0,0,0,2,0,0,0,0,28,19
No,No,BG,B4,0.084538376,0.253205128,0.964285714,0,17.5,16.1,11.1,13.6,85,88,86.5,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,8,8
A,3500 Custom,BG,B2,0.288097887,0.291666667,0.878571429,0,35.8,16.8,11.6,14.2,78,83,80.5,0,1675,24,1,3,0,1,7,3,0,0,2,0,0,0,0,41,15
B,2700 Custom,BG,B3,0.288097887,0.291666667,0.878571429,0,35.8,16.8,11.6,14.2,78,83,80.5,0,1145,38,4,0,0,0,8,0,0,0,0,0,0,0,1,51,13
C,2700 Custom,BG,B1,0.288097887,0.291666667,0.878571429,0,35.8,16.8,11.6,14.2,78,83,80.5,0,1830,13,2,1,0,0,4,2,0,0,1,0,0,0,0,23,9
LED,LED,BG,B4,0.288097887,0.291666667,0.878571429,0,35.8,16.8,11.6,14.2,78,83,80.5,0,275,24,2,0,1,0,1,0,0,0,1,0,0,0,0,29,4
CFL,CFL,BG,B6,0.288097887,0.291666667,0.878571429,0,35.8,16.8,11.6,14.2,78,83,80.5,0,253,20,1,0,0,0,8,0,0,0,2,0,0,0,1,32,10
No,No,BG,B5,0.288097887,0.291666667,0.878571429,0,35.8,16.8,11.6,14.2,78,83,80.5,0,0,1,2,1,1,0,11,0,0,0,2,0,0,0,2,20,17
A,3500 Custom,BG,B3,0.863181313,0.397435897,0.821428571,0.0625,87.5,17.9,13.8,15.85,71,82,76.5,0.1,1675,40,5,0,0,0,31,4,0,0,0,0,0,0,0,80,40
B,2700 Custom,BG,B4,0.863181313,0.397435897,0.821428571,0.0625,87.5,17.9,13.8,15.85,71,82,76.5,0.1,1145,32,2,0,0,0,3,4,0,0,0,0,0,0,0,41,9
C,2700 Custom,BG,B2,0.863181313,0.397435897,0.821428571,0.0625,87.5,17.9,13.8,15.85,71,82,76.5,0.1,1830,31,1,0,1,0,3,4,0,0,1,0,0,0,0,41,9
LED,LED,BG,B5,0.863181313,0.397435897,0.821428571,0.0625,87.5,17.9,13.8,15.85,71,82,76.5,0.1,275,26,4,0,0,0,10,0,0,0,0,0,0,0,0,40,14
CFL,CFL,BG,B1,0.863181313,0.397435897,0.821428571,0.0625,87.5,17.9,13.8,15.85,71,82,76.5,0.1,253,15,0,0,1,0,6,6,0,0,1,1,0,0,1,31,15
No,No,BG,B6,0.863181313,0.397435897,0.821428571,0.0625,87.5,17.9,13.8,15.85,71,82,76.5,0.1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1
A,3500 Custom,LK,L3,0.96996663,0.5,0.214285714,0.6875,97.1,18.4,16.5,17.45,35,33,34,1.1,1675,63,3,0,0,1,0,0,0,0,3,0,0,0,0,70,4
B,2700 Custom,LK,L2,0.96996663,0.5,0.214285714,0.6875,97.1,18.4,16.5,17.45,35,33,34,1.1,1145,69,1,0,0,0,0,0,0,1,4,0,0,0,0,75,2
C,2700 Custom,LK,L1,0.96996663,0.5,0.214285714,0.6875,97.1,18.4,16.5,17.45,35,33,34,1.1,1830,69,0,0,0,1,0,0,0,0,4,0,0,0,0,74,1
LED,LED,LK,L6,0.96996663,0.5,0.214285714,0.6875,97.1,18.4,16.5,17.45,35,33,34,1.1,275,107,0,0,0,0,0,0,1,1,2,0,0,0,0,111,2
CFL,CFL,LK,L4,0.96996663,0.5,0.214285714,0.6875,97.1,18.4,16.5,17.45,35,33,34,1.1,253,216,2,1,0,1,0,0,0,0,2,0,0,0,0,222,4
No,No,LK,L5,0.96996663,0.5,0.214285714,0.6875,97.1,18.4,16.5,17.45,35,33,34,1.1,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,7,3
A,3500 Custom,BG,B4,0.687430478,0.349358974,0.714285714,0.0625,71.7,15.6,14.6,15.1,58,80,69,0.1,1675,30,1,0,0,0,6,3,0,0,0,0,0,0,0,40,10
B,2700 Custom,BG,B5,0.687430478,0.349358974,0.714285714,0.0625,71.7,15.6,14.6,15.1,58,80,69,0.1,1145,14,1,0,0,0,5,0,0,0,0,0,0,0,0,20,6
C,2700 Custom,BG,B3,0.687430478,0.349358974,0.714285714,0.0625,71.7,15.6,14.6,15.1,58,80,69,0.1,1830,22,0,0,0,0,17,1,0,0,0,0,0,0,1,41,19
LED,LED,BG,B6,0.687430478,0.349358974,0.714285714,0.0625,71.7,15.6,14.6,15.1,58,80,69,0.1,275,20,0,0,0,0,3,1,0,0,1,0,0,0,1,26,5
CFL,CFL,BG,B2,0.687430478,0.349358974,0.714285714,0.0625,71.7,15.6,14.6,15.1,58,80,69,0.1,253,20,1,0,0,0,3,1,0,0,0,0,0,0,0,25,5
No,No,BG,B1,0.687430478,0.349358974,0.714285714,0.0625,71.7,15.6,14.6,15.1,58,80,69,0.1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,6,6
A,3500 Custom,BG,B5,0.196885428,0.198717949,1,0,27.6,14.3,11.2,12.75,82,96,89,0,1675,6,0,0,0,0,6,1,0,0,0,0,0,0,0,13,7
B,2700 Custom,BG,B6,0.196885428,0.198717949,1,0,27.6,14.3,11.2,12.75,82,96,89,0,1145,5,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1
C,2700 Custom,BG,B4,0.196885428,0.198717949,1,0,27.6,14.3,11.2,12.75,82,96,89,0,1830,6,0,0,0,0,1,1,0,0,1,0,0,0,0,9,2
LED,LED,BG,B1,0.196885428,0.198717949,1,0,27.6,14.3,11.2,12.75,82,96,89,0,275,5,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3
CFL,CFL,BG,B3,0.196885428,0.198717949,1,0,27.6,14.3,11.2,12.75,82,96,89,0,253,12,0,0,0,1,0,0,0,0,2,0,0,0,1,16,2
No,No,BG,B2,0.196885428,0.198717949,1,0,27.6,14.3,11.2,12.75,82,96,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
A,3500 Custom,BG,B6,0.107897664,0.134615385,0.792857143,0.0625,19.6,13.1,10.4,11.75,69,80,74.5,0.1,1675,9,0,0,0,0,4,0,0,0,1,0,0,0,0,14,4
B,2700 Custom,BG,B1,0.107897664,0.134615385,0.792857143,0.0625,19.6,13.1,10.4,11.75,69,80,74.5,0.1,1145,5,0,0,0,0,1,6,0,0,0,0,0,0,0,12,7
C,2700 Custom,BG,B5,0.107897664,0.134615385,0.792857143,0.0625,19.6,13.1,10.4,11.75,69,80,74.5,0.1,1830,11,0,0,2,0,1,2,0,0,2,0,0,0,0,18,5
LED,LED,BG,B2,0.107897664,0.134615385,0.792857143,0.0625,19.6,13.1,10.4,11.75,69,80,74.5,0.1,275,3,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2
CFL,CFL,BG,B4,0.107897664,0.134615385,0.792857143,0.0625,19.6,13.1,10.4,11.75,69,80,74.5,0.1,253,10,1,0,1,1,10,0,0,0,2,0,0,0,0,25,13
No,No,BG,B3,0.107897664,0.134615385,0.792857143,0.0625,19.6,13.1,10.4,11.75,69,80,74.5,0.1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,3
A,3500 Custom,BG,B1,0.304783092,0.198717949,0.721428571,0,37.3,15.5,10,12.75,63,76,69.5,0,1675,13,0,0,0,1,0,0,0,0,0,0,0,0,0,14,1
B,2700 Custom,BG,B2,0.304783092,0.198717949,0.721428571,0,37.3,15.5,10,12.75,63,76,69.5,0,1145,32,4,0,1,0,1,0,0,0,2,0,0,0,0,40,6
C,2700 Custom,BG,B6,0.304783092,0.198717949,0.721428571,0,37.3,15.5,10,12.75,63,76,69.5,0,1830,16,0,0,0,2,3,2,1,0,1,0,0,0,0,25,8
LED,LED,BG,B3,0.304783092,0.198717949,0.721428571,0,37.3,15.5,10,12.75,63,76,69.5,0,275,54,2,1,0,1,5,0,0,0,2,0,0,0,0,65,9
CFL,CFL,BG,B5,0.304783092,0.198717949,0.721428571,0,37.3,15.5,10,12.75,63,76,69.5,0,253,51,3,2,1,4,5,0,0,0,7,0,0,0,0,73,15
No,No,BG,B4,0.304783092,0.198717949,0.721428571,0,37.3,15.5,10,12.75,63,76,69.5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,5,3
A,3500 Custom,LK,L4,0.525027809,0.217948718,0.35,0,57.1,21.7,4.4,13.05,26,61,43.5,0,1675,36,1,0,0,0,0,1,2,1,9,0,0,0,0,50,5
B,2700 Custom,LK,L3,0.525027809,0.217948718,0.35,0,57.1,21.7,4.4,13.05,26,61,43.5,0,1145,21,0,0,0,0,0,1,3,0,2,0,0,0,0,27,4
C,2700 Custom,LK,L2,0.525027809,0.217948718,0.35,0,57.1,21.7,4.4,13.05,26,61,43.5,0,1830,17,1,0,0,2,0,4,5,1,5,0,0,0,0,35,13
LED,LED,LK,L1,0.525027809,0.217948718,0.35,0,57.1,21.7,4.4,13.05,26,61,43.5,0,275,17,2,0,1,1,0,1,1,1,8,0,0,0,0,32,7
CFL,CFL,LK,L5,0.525027809,0.217948718,0.35,0,57.1,21.7,4.4,13.05,26,61,43.5,0,253,52,0,0,1,6,0,11,0,0,34,0,0,0,1,105,19
No,No,LK,L6,0.525027809,0.217948718,0.35,0,57.1,21.7,4.4,13.05,26,61,43.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
A,3500 Custom,Stunt,S6,0.617352614,1,0.085714286,0.75,65.4,27.2,23.3,25.25,21,29,25,1.2,1675,7,12,0,0,0,0,0,0,0,7,0,0,0,1,27,13
B,2700 Custom,Stunt,S5,0.617352614,1,0.085714286,0.75,65.4,27.2,23.3,25.25,21,29,25,1.2,1145,7,3,0,0,1,0,0,0,0,2,0,0,0,0,13,4
C,2700 Custom,Stunt,S4,0.617352614,1,0.085714286,0.75,65.4,27.2,23.3,25.25,21,29,25,1.2,1830,5,1,0,0,0,1,0,0,0,1,0,0,0,0,8,2
LED,LED,Stunt,S3,0.617352614,1,0.085714286,0.75,65.4,27.2,23.3,25.25,21,29,25,1.2,275,,,,,,,,,,,,,,,,
CFL,CFL,Stunt,S1,0.617352614,1,0.085714286,0.75,65.4,27.2,23.3,25.25,21,29,25,1.2,253,6,0,0,0,1,0,0,0,0,6,0,0,0,0,13,1
No,No,Stunt,S2,0.617352614,1,0.085714286,0.75,65.4,27.2,23.3,25.25,21,29,25,1.2,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,5,2
A,3500 Custom,BG,B2,0.721913237,0.266025641,0.592857143,0,74.8,19.8,7.8,13.8,53,68,60.5,0,1675,12,1,0,1,1,1,2,1,0,2,0,0,0,0,21,7
B,2700 Custom,BG,B3,0.721913237,0.266025641,0.592857143,0,74.8,19.8,7.8,13.8,53,68,60.5,0,1145,12,4,0,0,1,6,0,2,0,0,0,0,0,0,25,13
C,2700 Custom,BG,B1,0.721913237,0.266025641,0.592857143,0,74.8,19.8,7.8,13.8,53,68,60.5,0,1830,9,2,0,0,1,0,2,0,0,1,0,0,0,0,15,5
LED,LED,BG,B6,0.721913237,0.266025641,0.592857143,0,74.8,19.8,7.8,13.8,53,68,60.5,0,275,6,9,9,9,9,2,0,0,0,1,0,0,0,0,45,38
CFL,CFL,BG,B4,0.721913237,0.266025641,0.592857143,0,74.8,19.8,7.8,13.8,53,68,60.5,0,253,64,6,0,0,1,4,2,0,0,10,0,0,0,0,87,13
No,No,BG,B5,0.721913237,0.266025641,0.592857143,0,74.8,19.8,7.8,13.8,53,68,60.5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,3
A,3500 Custom,BG,B3,0.884315907,0.320512821,0.742857143,0,89.4,15.8,13.5,14.65,65,77,71,0,1675,16,1,0,0,0,3,0,0,1,0,1,0,0,0,22,6
B,2700 Custom,BG,B4,0.884315907,0.320512821,0.742857143,0,89.4,15.8,13.5,14.65,65,77,71,0,1145,22,2,0,0,0,5,1,0,0,3,0,0,0,0,33,8
C,2700 Custom,BG,B2,0.884315907,0.320512821,0.742857143,0,89.4,15.8,13.5,14.65,65,77,71,0,1830,12,2,0,0,0,2,3,0,0,1,0,0,0,0,20,7
LED,LED,BG,B1,0.884315907,0.320512821,0.742857143,0,89.4,15.8,13.5,14.65,65,77,71,0,275,7,0,0,0,0,2,0,0,0,2,0,0,0,0,11,2
CFL,CFL,BG,B5,0.884315907,0.320512821,0.742857143,0,89.4,15.8,13.5,14.65,65,77,71,0,253,22,2,0,0,0,2,2,0,3,0,0,0,0,0,31,9
No,No,BG,B6,0.884315907,0.320512821,0.742857143,0,89.4,15.8,13.5,14.65,65,77,71,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,7,7
A,3500 Custom,Stunt,S1,0.998887653,0.480769231,0.264285714,0.8125,99.7,20.2,14.1,17.15,28,47,37.5,1.3,1675,7,4,1,0,0,14,1,0,0,1,0,0,0,1,29,21
B,2700 Custom,Stunt,S6,0.998887653,0.480769231,0.264285714,0.8125,99.7,20.2,14.1,17.15,28,47,37.5,1.3,1145,13,2,2,1,1,0,0,1,0,7,0,0,0,0,27,7
C,2700 Custom,Stunt,S5,0.998887653,0.480769231,0.264285714,0.8125,99.7,20.2,14.1,17.15,28,47,37.5,1.3,1830,9,5,0,0,0,0,0,1,0,1,0,0,0,0,16,6
LED,LED2,Stunt,S4,0.998887653,0.480769231,0.264285714,0.8125,99.7,20.2,14.1,17.15,28,47,37.5,1.3,656,8,6,0,0,0,0,0,0,0,3,0,0,0,0,17,6
CFL,CFL2,Stunt,S2,0.998887653,0.480769231,0.264285714,0.8125,99.7,20.2,14.1,17.15,28,47,37.5,1.3,525,13,3,1,0,0,0,0,0,0,17,0,0,0,0,34,4
No,No,Stunt,S3,0.998887653,0.480769231,0.264285714,0.8125,99.7,20.2,14.1,17.15,28,47,37.5,1.3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1
A,3500 Custom,LK,L5,0.994438265,0.349358974,0.392857143,0,99.3,21.4,8.8,15.1,26,67,46.5,0,1675,111,4,0,0,3,0,1,0,0,4,0,0,0,0,123,8
B,2700 Custom,LK,L4,0.994438265,0.349358974,0.392857143,0,99.3,21.4,8.8,15.1,26,67,46.5,0,1145,84,1,0,0,0,0,0,0,0,2,0,0,0,0,87,1
C,2700 Custom,LK,L3,0.994438265,0.349358974,0.392857143,0,99.3,21.4,8.8,15.1,26,67,46.5,0,1830,46,2,0,0,0,1,0,0,0,5,0,0,0,0,54,3
LED,LED2,LK,L2,0.994438265,0.349358974,0.392857143,0,99.3,21.4,8.8,15.1,26,67,46.5,0,656,16,3,0,0,0,0,0,0,0,8,0,0,0,0,27,3
CFL,CFL2,LK,L6,0.994438265,0.349358974,0.392857143,0,99.3,21.4,8.8,15.1,26,67,46.5,0,525,82,6,0,0,0,0,2,1,0,30,0,0,0,0,121,9
No,No,LK,L1,0.994438265,0.349358974,0.392857143,0,99.3,21.4,8.8,15.1,26,67,46.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A,3500 Custom,Stunt,S2,0.9621802,0.378205128,0.6,0.0625,96.4,17.2,13.9,15.55,53,69,61,0.1,1675,3,1,0,2,0,0,0,0,0,1,0,0,0,0,7,3
B,2700 Custom,Stunt,S1,0.9621802,0.378205128,0.6,0.0625,96.4,17.2,13.9,15.55,53,69,61,0.1,1145,2,0,0,0,0,0,3,0,0,3,1,0,0,0,9,4
C,2700 Custom,Stunt,S6,0.9621802,0.378205128,0.6,0.0625,96.4,17.2,13.9,15.55,53,69,61,0.1,1830,7,0,0,0,1,0,0,0,0,1,0,0,0,0,9,1
LED,LED2,Stunt,S5,0.9621802,0.378205128,0.6,0.0625,96.4,17.2,13.9,15.55,53,69,61,0.1,656,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1
CFL,CFL2,Stunt,S3,0.9621802,0.378205128,0.6,0.0625,96.4,17.2,13.9,15.55,53,69,61,0.1,525,2,2,0,0,3,0,0,0,0,7,0,0,0,0,14,5
No,No,Stunt,S4,0.9621802,0.378205128,0.6,0.0625,96.4,17.2,13.9,15.55,53,69,61,0.1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
A,3500 Custom,BG,B4,0.906562848,0.435897436,0.728571429,0,91.4,17.8,15.1,16.45,69,71,70,0,1675,71,4,0,0,0,3,2,0,0,0,0,0,0,0,80,9
B,2700 Custom,BG,B5,0.906562848,0.435897436,0.728571429,0,91.4,17.8,15.1,16.45,69,71,70,0,1145,19,2,0,0,0,3,1,0,0,0,0,0,0,0,25,6
C,2700 Custom,BG,B3,0.906562848,0.435897436,0.728571429,0,91.4,17.8,15.1,16.45,69,71,70,0,1830,33,2,0,0,0,3,0,0,0,0,0,0,0,1,39,6
LED,LED2,BG,B2,0.906562848,0.435897436,0.728571429,0,91.4,17.8,15.1,16.45,69,71,70,0,656,23,1,0,3,0,2,1,1,0,2,0,0,0,0,33,8
CFL,CFL2,BG,B6,0.906562848,0.435897436,0.728571429,0,91.4,17.8,15.1,16.45,69,71,70,0,525,17,4,0,0,2,4,1,0,0,8,0,0,0,0,36,11
No,No,BG,B1,0.906562848,0.435897436,0.728571429,0,91.4,17.8,15.1,16.45,69,71,70,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,5,4
A,3500 Custom,LK,L6,0.820912125,0,0.75,0.5,83.7,12.1,7.2,9.65,71,72,71.5,0.8,1675,12,0,0,0,0,0,0,1,0,7,0,0,0,0,20,1
B,2700 Custom,LK,L5,0.820912125,0,0.75,0.5,83.7,12.1,7.2,9.65,71,72,71.5,0.8,1145,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
C,2700 Custom,LK,L4,0.820912125,0,0.75,0.5,83.7,12.1,7.2,9.65,71,72,71.5,0.8,1830,4,1,0,0,0,1,0,0,0,1,0,0,0,0,7,2
LED,LED2,LK,L3,0.820912125,0,0.75,0.5,83.7,12.1,7.2,9.65,71,72,71.5,0.8,656,4,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0
CFL,CFL2,LK,L1,0.820912125,0,0.75,0.5,83.7,12.1,7.2,9.65,71,72,71.5,0.8,525,20,1,0,0,0,0,0,2,0,20,0,0,0,0,43,3
No,No,LK,L2,0.820912125,0,0.75,0.5,83.7,12.1,7.2,9.65,71,72,71.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
