Year,Smoking_Population_Percentage,Male_Smokers_Percentage,Female_Smokers_Percentage,Smoking_Related_Deaths,Country,City,Age_Limit,Death_History,Average_Cigarettes_Per_Day,Healthcare_Costs,Anti_Smoking_Campaigns,Legislation_Strength,Youth_Smokers_Percentage
1962,47,28.2,18.8,273026,Russia,Moscow,18,273026,15,120474651692,33,1,6.348104536959782
1963,46,27.599999999999998,18.400000000000002,513222,Australia,Sydney,18,0,15,713531542435,40,3,4.7578821368521025
1964,45,27.0,18.0,104446,USA,New York,18,0,19,761024263568,39,2,11.370279807035198
1965,44,26.4,17.6,922284,UK,London,18,922284,14,561715920371,82,9,11.500834198046856
1966,43,25.8,17.2,465964,Germany,Berlin,18,465964,16,771196212774,1,10,7.278217161368847
1967,42,25.2,16.8,785734,France,Paris,18,0,16,494301800768,11,6,8.103260028692736
1968,41,24.599999999999998,16.400000000000002,255356,Japan,Tokyo,20,0,19,523210096552,92,10,9.42814419767066
1969,40,24.0,16.0,324670,China,Beijing,18,0,18,428113477340,57,3,4.38447139357627
1970,39,23.4,15.600000000000001,525127,India,Mumbai,18,0,18,26393707617,89,8,11.303336706412809
1971,38,22.8,15.200000000000001,774236,Brazil,São Paulo,18,774236,19,108783535566,50,8,10.538770943465162
1972,37,22.2,14.8,440924,Russia,Moscow,18,440924,18,32397756501,23,2,5.630612812728683
1973,36,21.599999999999998,14.4,92870,Australia,Sydney,18,92870,7,636774000852,31,6,3.7101926900907705
1974,35,21.0,14.0,202735,USA,New York,18,202735,16,315041625095,94,7,10.03405415655638
1975,34,20.4,13.600000000000001,530092,UK,London,18,0,11,509062120473,42,2,6.807071210623763
1976,33,19.8,13.200000000000001,871062,Germany,Berlin,18,0,8,907658907452,99,10,6.859891159440413
1977,32,19.2,12.8,405915,France,Paris,18,405915,13,250042936919,7,2,7.577368124148102
1978,31,18.599999999999998,12.4,531190,Japan,Tokyo,20,0,7,410972540112,16,10,6.918277219217465
1979,30,18.0,12.0,884424,China,Beijing,18,884424,9,755795587404,90,1,8.663349627364541
1980,29,17.4,11.600000000000001,265521,India,Mumbai,18,0,7,229569367326,60,8,8.37665926332597
1981,28,16.8,11.200000000000001,168387,Brazil,São Paulo,18,0,11,77902929918,2,1,7.656314027908022
1982,27,16.2,10.8,522314,Russia,Moscow,18,0,9,290461701460,1,9,6.136579426208461
1983,26,15.6,10.4,749866,Australia,Sydney,18,0,13,162060065966,48,6,6.764936332348478
1984,25,15.0,10.0,520174,USA,New York,18,520174,11,929767954690,12,7,5.8858417119149085
1985,24,14.399999999999999,9.600000000000001,796032,UK,London,18,0,6,808312259184,69,10,5.152161800025279
1986,23,13.799999999999999,9.200000000000001,987124,Germany,Berlin,18,987124,8,633770352753,37,7,2.891101624875987
1987,22,13.2,8.8,577205,France,Paris,18,0,13,871589129597,32,10,5.769298377638412
1988,21,12.6,8.4,479584,Japan,Tokyo,20,0,16,803868404822,9,3,5.546685798124613
1989,20,12.0,8.0,506020,China,Beijing,18,506020,18,187383488827,99,2,4.503758680406291
1990,19,11.4,7.6000000000000005,474995,India,Mumbai,18,474995,6,892666439491,19,9,5.017622006330818
1991,18,10.799999999999999,7.2,778709,Brazil,São Paulo,18,778709,14,539802899673,48,8,4.145345178688037
1992,17,10.2,6.800000000000001,677779,Russia,Moscow,18,677779,13,807632715008,80,10,2.4027268235809345
1993,16,9.6,6.4,772420,Australia,Sydney,18,0,14,896195208623,3,7,2.476675607427628
1994,15,9.0,6.0,450065,USA,New York,18,450065,9,318685471496,20,9,2.1437673591251225
1995,14,8.4,5.6000000000000005,308978,UK,London,18,308978,6,110941872603,24,4,2.4563254330383324
1996,13,7.8,5.2,521858,Germany,Berlin,18,521858,8,228707227379,54,4,1.4013041440066076
1997,12,7.199999999999999,4.800000000000001,413156,France,Paris,18,0,16,427680680837,33,1,2.6838093224109425
1998,11,6.6,4.4,52460,Japan,Tokyo,20,52460,19,818196751156,24,8,1.8404192727551982
1999,10,6.0,4.0,630861,China,Beijing,18,630861,16,860869852673,75,3,2.3114452707614843
2000,9,5.3999999999999995,3.6,683999,India,Mumbai,18,683999,11,7945178400,72,7,1.593713917738017
2001,8,4.8,3.2,496122,Brazil,São Paulo,18,496122,16,511236555274,36,2,1.8905818703564636
2002,7,4.2,2.8000000000000003,144222,Russia,Moscow,18,144222,17,417993592145,38,2,1.176874397249936
2003,6,3.5999999999999996,2.4000000000000004,591188,Australia,Sydney,18,591188,12,222885702660,84,7,0.9128334338830838
2004,5,3.0,2.0,583578,USA,New York,18,0,19,120745501966,99,6,0.9960374542934061
2005,4,2.4,1.6,700276,UK,London,18,700276,7,338277556232,89,3,0.9543122869535515
2006,3,1.7999999999999998,1.2000000000000002,567832,Germany,Berlin,18,567832,18,942966794208,99,9,0.5090019626719184
2007,2,1.2,0.8,482659,France,Paris,18,0,5,323879729088,25,10,0.5746592607422829
2008,1,0.6,0.4,420076,Japan,Tokyo,20,420076,8,519271831121,93,6,0.10783726533512926
2009,1,0.6,0.4,350840,China,Beijing,18,0,6,703315939936,18,10,0.18358920634311576
2010,1,0.6,0.4,483282,India,Mumbai,18,0,12,364265972776,82,10,0.29351611030404945
2011,1,0.6,0.4,572091,Brazil,São Paulo,18,0,8,971810300638,66,6,0.20959437664961744
2012,1,0.6,0.4,718519,Russia,Moscow,18,0,6,962484847647,54,1,0.18469418846162372
2013,1,0.6,0.4,184011,Australia,Sydney,18,0,18,252530513529,35,4,0.21370405674999166
2014,1,0.6,0.4,130971,USA,New York,18,0,10,497751257386,80,10,0.2151849150516169
2015,1,0.6,0.4,662259,UK,London,18,0,10,301577431506,61,6,0.24632955105992804
2016,1,0.6,0.4,386912,Germany,Berlin,18,386912,14,285555653883,41,6,0.12553794588449313
2017,1,0.6,0.4,90700,France,Paris,18,90700,8,37850060407,33,5,0.15000328984322092
2018,1,0.6,0.4,846565,Japan,Tokyo,20,846565,10,609954769645,68,1,0.21610880246878195
2019,1,0.6,0.4,615226,China,Beijing,18,615226,17,503176344205,33,8,0.27342332144194437
2020,1,0.6,0.4,795287,India,Mumbai,18,0,19,52427272498,14,5,0.21237333842875472
2021,1,0.6,0.4,712194,Brazil,São Paulo,18,712194,6,279367817772,21,5,0.14771937195806803
2022,1,0.6,0.4,127460,Russia,Moscow,18,127460,14,908357620080,48,7,0.23596895598004916
2023,1,0.6,0.4,212976,Australia,Sydney,18,0,16,240322328776,20,4,0.2479817520894749
