Drug Name,Problem,Agents,Age Restrictions,Tablet/ Injection/Syrup/ Cream,Usage,Side effects,Safety Advice,Interaction with drugs,Remarks
Atenolol Tablets IP 50mg,Hypertension,antihypertensive agents,,Tablet,"The tablets are usually taken orally with or without food, as directed by a healthcare professional. The dosage and frequency depend on the specific medical condition and individual patient response. It is essential to follow the prescribed instructions carefully.","Fatigue, Dizziness, cold extremities, and slow heart rate,difficulty breathing, swelling of the face or limbs, and irregular heartbeats","Atenolol 50mg Tablet may cause excessive drowsiness with alcohol.It  is unsafe to use during pregnancy as there is definite evidence of risk to the developing baby. However, the doctor may rarely prescribe it in some life-threatening situations if the benefits are more than the potential risks. Please consult your doctor.It  is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.It may decrease alertness, affect your vision or make you feel sleepy and dizzy. Do not drive if these symptoms occur.Atenolol 50mg Tablet should be used with caution in patients with kidney disease. Dose adjustment of Atenolol 50mg Tablet may be needed. Please consult your doctor.Regular monitoring of blood pressure is recommended and can help in better dose adjustment.","Antihypertensive medications,Digoxin,Clonidine",Before bed time
Atenolol Tablets IP 50mg,Chest Pain,antihypertensive agents,12,Tablet,"The tablets are usually taken orally with or without food, as directed by a healthcare professional. The dosage and frequency depend on the specific medical condition and individual patient response. It is essential to follow the prescribed instructions carefully.","Fatigue, Dizziness, cold extremities, and slow heart rate,difficulty breathing, swelling of the face or limbs, and irregular heartbeats","Atenolol 50mg Tablet may cause excessive drowsiness with alcohol.It  is unsafe to use during pregnancy as there is definite evidence of risk to the developing baby. However, the doctor may rarely prescribe it in some life-threatening situations if the benefits are more than the potential risks. Please consult your doctor.It  is probably unsafe to use during breastfeeding. Limited human data suggests that the drug may pass into the breastmilk and harm the baby.It may decrease alertness, affect your vision or make you feel sleepy and dizzy. Do not drive if these symptoms occur.Atenolol 50mg Tablet should be used with caution in patients with kidney disease. Dose adjustment of Atenolol 51mg Tablet may be needed. Please consult your doctor.Regular monitoring of blood pressure is recommended and can help in better dose adjustment.","Antihypertensive medications,Digoxin,Clonidine",Before bed time
Atorvastatin Tablets IP 10mg,Cholesterol,HMG-CoA,10,Tablet,"Take this medication by mouth with or without food as directed by your doctor, usually once daily.Take this medication by mouth with or without food as directed by your doctor, usually once daily.","Muscle pain, Tenderness, nausea, kidney problems","Individuals with liver problems, pregnant or breastfeeding women, and those with a history of allergic reactions to statins should exercise caution or consult with their healthcare provider before using Atorvastatin Tablets IP 10mg.Regular monitoring of liver function may be required during treatment.It is important to inform the healthcare provider about all medications, including over-the-counter drugs and supplements, being taken concurrently.","Warfarin,Gemfibrozi,Cyclosporine,Clarithromycin and Erthromycin",Regularly
Atropine Sulphate Injection IP 0.6 mg /ml,Bradycardia,Atropine Sulphate,10,Injection,The injection is usually administered by a healthcare professional. Dosage and frequency depend on the condition being treated. The route of administration and dosage should be determined by a healthcare provider.,"Fast heartrate, high pressure in the eye, worsening urinary retention, and mucus in your airways","Atropine should be used with caution in individuals with certain medical conditions, such as glaucoma, heart issues, or urinary retention. It may also interact with other medications, so a thorough medical history is essential.","Antihistamines, Digoxin, Ketoconazole, Antipsychotics",To increase Heart Beat
B Complex therapeutic (NFI III),Migraine headache,"Niacinamide,Calcium Pantothenate",12,Tablet,"Take this medication by mouth, usually once daily or as directed. If you are taking chewable tablets, chew the tablet thoroughly before swallowingIf it upsets your stomach, take it with food. Take it as directed on the label. Do not take it more often than directed.","Mild upset stomach ,allergic reaction,rash,dizziness","Before taking this product, tell your doctor or pharmacist if you are allergic to any of its ingredients; or if you have any other allergies. This product may contain inactive ingredients, which can cause allergic reactions or other problems. Talk to your pharmacist for more details.","Altretamine,Cisplatin,Levpdopa",Regularly
B Complex therapeutic (NFI III),Eye disorders,"Niacinamide,Calcium Pantothenate",12,Tablet,"Take this medication by mouth, usually once daily or as directed. If you are taking chewable tablets, chew the tablet thoroughly before swallowingIf it upsets your stomach, take it with food. Take it as directed on the label. Do not take it more often than directed.","Mild upset stomach ,allergic reaction,rash,dizziness","Before taking this product, tell your doctor or pharmacist if you are allergic to any of its ingredients; or if you have any other allergies. This product may contain inactive ingredients, which can cause allergic reactions or other problems. Talk to your pharmacist for more details.","Altretamine,Cisplatin,Levpdopa",Regularly
B Complex therapeutic (NFI III),Anameia,"Niacinamide,Calcium Pantothenate",12,Tablet,"Take this medication by mouth, usually once daily or as directed. If you are taking chewable tablets, chew the tablet thoroughly before swallowingIf it upsets your stomach, take it with food. Take it as directed on the label. Do not take it more often than directed.","Mild upset stomach ,allergic reaction,rash,dizziness","Before taking this product, tell your doctor or pharmacist if you are allergic to any of its ingredients; or if you have any other allergies. This product may contain inactive ingredients, which can cause allergic reactions or other problems. Talk to your pharmacist for more details.","Altretamine,Cisplatin,Levpdopa",Regularly
"Benzyl Benzoate application IP 25%w/w, 450ml bottle",Scabies,Benzyl Benzoate 25% w/w,ALL,Cream,"If your skin has any cream, lotion, ointment, or oil on it, wash, rinse, and dry your skin well before applying benzyl benzoate. If you take a bath or shower before using benzyl benzoate, dry the skin well before applying the medicine. Apply enough medicine to cover the entire skin surface from the neck down, including the soles of your feet, and rub in well. Allow the medicine to remain on the body for 24 hours. Then, thoroughly wash the body with warm water and soap. Rinse thoroughly and dry with a clean towel. Immediately after using benzyl benzoate, wash your hands to remove any medicine that may be on them.","Skin irritation, redness,itching and burning reactions","Washing all recently worn clothing such as underwear and pajamas, and used sheets, pillowcases, and towels in very hot water or dry-cleaning.Do not apply to broken or inflamed skin. Keep out of reach of childrenAvoid contact with eyes, nose, mouth, and other mucous membranes.",No significant systemic interactions reported,When infected
"Benzyl Benzoate application IP 25%w/w, 450ml bottle",Lice infestations,Benzyl Benzoate 26% w/w,ALL,Cream,"If your hair has any cream, lotion, ointment, or oil-based product on it, shampoo, rinse, and dry your hair and scalp well before applying benzyl benzoate. Apply enough medicine to thoroughly wet the dry hair and scalp or skin. Allow the medicine to remain on the affected areas for 24 hours. Then, thoroughly wash the affected areas with warm water and soap or regular shampoo. Rinse thoroughly and dry with a clean towel. After rinsing and drying, use a fine-toothed comb (less than 0.3 mm between the teeth) to remove any remaining nits (eggs) or nit shells from your hair, or, if you have fine hair, you may use a tweezer or your fingernails to pick nits out.","Skin irritation, redness,itching and burning reactions","Disinfecting or washing combs, curlers, and brushes in very hot water (65 °C or 150 °F) for about 10 minutes immediately after using. Washing in very hot water all recently worn clothing and used bed linens and towels, and drying them in a hot dryer for at least 20 minutes. Articles that cannot be washed may be dry-cleaned, pressed with a hot iron, or just placed in a hot dryer. Sealing stuffed toys and other non-washable articles in a plastic bag for 2 weeks, or placing these items in the freezer (in sealed plastic bags) for 12 to 24 hours. Vacuuming all rugs, mattresses, pillows, furniture, and car seats to get rid of fallen hairs with lice.",No significant systemic interactions reported,When infected
Betamethasone Dipropionate Ointment USP 0.1% 10 gms tube,Skin condtions,Synthetic corticosteriod,13,Cream,"Use this medication on the skin only. However, do not use it on the face, groin, or underarms or for diaper rash unless directed to do so by your doctor. Wash and dry your hands. Before applying the medication, clean and dry the affected area. Apply a thin film of the medication to the affected area and gently rub in as directed by your doctor, usually 1 to 2 times daily. Do not cover, bandage, or wrap the area unless directed to do so by your doctor.","Burning, itching, irritation, dryness, or redness at the application site and also cause adrenal suppression.","Avoid contact with eyes. In case of accidental contact, rinse thoroughly with water.Do not use on broken or infected skin unless directed by a healthcare professional.Inform your healthcare provider about any other medications,skin products you are using. Do not use the ointment for longer than prescribed.",No drug interaction,
Betamethasone Dipropionate Ointment USP 0.1% 10 gms tube,Swelling and itching,Synthetic corticosteriod,13,Cream,"Use this medication on the skin only. However, do not use it on the face, groin, or underarms or for diaper rash unless directed to do so by your doctor. Wash and dry your hands. Before applying the medication, clean and dry the affected area. Apply a thin film of the medication to the affected area and gently rub in as directed by your doctor, usually 1 to 3 times daily. Do not cover, bandage, or wrap the area unless directed to do so by your doctor.","Burning, itching, irritation, dryness, or redness at the application site and also cause adrenal suppression.","Avoid contact with eyes. In case of accidental contact, rinse thoroughly with water.Do not use on broken or infected skin unless directed by a healthcare professional.Inform your healthcare provider about any other medications,skin products you are using. Do not use the ointment for longer than prescribed.",No drug interaction,
Budesonide Respules Solution 0.5 mg/2ml,Asthma,Budesonide(0.5mg),B8,Liquid solution,"Take Budecort respules exactly as per indications from your physician. Carefully read the instructions for the use of nebulizers from the leaflet which comes with the nebulizer. Do not stop taking Budecort without consulting your doctor, even if you feel relieved after taking a few doses. Rinse your mouth after every use to prevent fungal infection & wash your face to avoid any facial irritation. Clean the nebulizer after every use as per the instructions mentioned.","Cough, Throat irritation, change of taste",Follow the prescribed dosage and administration instructions.Regularly clean and maintain the nebulizer equipment.Inform the healthcare provider of any pre-existing medical conditions or other medications being taken.Report any signs of allergic reactions or adverse effects promptly,"Ketoconazole,ritonavir",Regular
Budesonide Respules Solution 0.5 mg/2ml,chronic obstructive pulmonary disease (COPD),Budesonide(0.6mg),B8,Liquid solution,"Take Budecort respules exactly as per indications from your physician. Carefully read the instructions for the use of nebulizers from the leaflet which comes with the nebulizer. Do not stop taking Budecort without consulting your doctor, even if you feel relieved after taking a few doses. Rinse your mouth after every use to prevent fungal infection & wash your face to avoid any facial irritation. Clean the nebulizer after every use as per the instructions mentioned.","Cough, Throat irritation, change of taste,nose bleeding.",Follow the prescribed dosage and administration instructions.Regularly clean and maintain the nebulizer equipment.Inform the healthcare provider of any pre-existing medical conditions or other medications being taken.Report any signs of allergic reactions or adverse effects promptly,"Ketoconazole,ritonavir",Regular
Calamine Lotion 100 ml,"relieve itching and skin conditions(poison ivy,sunborn)","Zinc oxide,Ferric oxide",ALL,Lotion,"Shake the bottle well before use.Apply a thin layer of calamine lotion to the affected area.Allow it to dry on the skin.Reapply as needed, usually 3-4 times a day. Avoid applying near the eyes, nose, or mouth.",Mild irritation or allergic reactions,"Avoid contact with eyes, nose, and mouth.Do not use on broken or infected skin.If irritation occurs, discontinue use.Consult a healthcare professional before use on infants or young children.",No drug interaction,when symptoms are countered
Calcium Carbonate with Vitamin D3 Tablets 500mg +250 IU,Bone health,Calcium Carbonate and Vitamin D3,1,Tablet,"The tablets are usually taken orally with a glass of water, preferably with or after meals. The dosage and frequency will depend on the individual's health condition and the healthcare provider's recommendations.","Constipation, Hypercalcemia,weakness","It is essential to follow the prescribed dosage and not exceed recommended levels without consulting a healthcare professional.Individuals with a history of kidney stones, hypercalcemia, or certain other medical conditions should use this medication with caution and under medical supervision.Vitamin D and calcium intake from other dietary sources should be considered to prevent excessive supplementation","Thiazide Diuretics,Corticosteroids,Digoxin",only Precribed
Chlorbutol+ Bezoncaine+ Turpentine Oil+ Paradichloro Benzine Ear Drops,Ear Infections,"Chlorbutol,Benzocaine,Turpentine Oil,Paradichlorobenzene",3,Liquid,"The specific instructions for use will depend on the formulation and the prescribing doctor's recommendations. Generally, you may need to tilt your head to the side, administer the prescribed number of drops into the affected ear, and remain in that position for a short time to allow the drops to penetrate.","Burning sensation,Irritation","Follow the prescribed dosage and instructions. Do not use this medication in larger or smaller amounts than recommended.Inform your doctor about any existing medical conditions or allergies.Do not share ear drops with others.Avoid contact with eyes; if it occurs, rinse with water immediately.If symptoms persist or worsen, consult your healthcare provider.",No Interactions,full course as prescribed
Chlorbutol+ Bezoncaine+ Turpentine Oil+ Paradichloro Benzine Ear Drops,Ear pain and inflammation,"Chlorbutol,Benzocaine,Turpentine Oil,Paradichlorobenzene",3,Liquid,"The specific instructions for use will depend on the formulation and the prescribing doctor's recommendations. Generally, you may need to tilt your head to the side, administer the prescribed number of drops into the affected ear, and remain in that position for a short time to allow the drops to penetrate.","Burning sensation,Irritation","Follow the prescribed dosage and instructions. Do not use this medication in larger or smaller amounts than recommended.Inform your doctor about any existing medical conditions or allergies.Do not share ear drops with others.Avoid contact with eyes; if it occurs, rinse with water immediately.If symptoms persist or worsen, consult your healthcare provider.",No Interactions,full course as prescribed
