sampleID,Acetic_acid,Propanoic_acid,Propanoic_acid._2.methyl.,Butanoic_acid,Butanoic_acid._3.methyl.,Butanoic_acid._2.methyl.,Pentanoic_acid,Pentanoic_acid._2.methyl.,Pentanoic_acid._3.methyl.,Pentanoic_acid._4.methyl.,Hexanoic_acid,Hexanoic_acid._2.methyl.,Heptanoic_acid
RB1.UC3.Ivc.38L,24.52028276,5.258293602,0,12.92020361,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.Ivc.41L,21.60558247,5.082056864,0,10.06532085,0,0,0,0,0,0,0,0.007681672,0
RB1.DC1.Ivc.44L,46.65942527,12.14894762,0.999093832,16.7466749,1.332786987,0.834646039,0,0,0,0,0,0.007681672,0
RB1.DC2.Ivc.44L,36.12893888,12.10166617,0.645478152,6.830626944,0.677047469,0.36003331,0,0,0,0,0,0.007681672,0
RB1.DC3.Ivc.44L,34.97450636,11.83739102,0,14.11377165,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.Ivc.44L,35.65678929,6.945773983,0,10.15536958,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.Ivc.44L,48.03025137,11.89434527,0,2.297659772,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.Ivc.44L,21.55161549,5.354796121,0,10.27990209,0,0,0,0,0,0,0,0.007681672,0
RB2a.DC1.S5L,33.96068693,20.15630359,1.578445579,25.88913445,2.07602066,1.393771761,4.141313261,0,0,0,0,0.007681672,0
RB2a.DC1.S7L,31.98099117,20.53257339,1.360800552,22.84526346,1.774213323,1.22388593,3.585636183,0,0,0,0,0.007681672,0
RB2a.DC1.S9L,31.62427027,22.54735448,1.268431809,21.34903288,1.642053429,1.177223343,3.195754104,0,0,0,0,0.007681672,0
RB2a.DC2.S5L,23.82117147,20.29869335,1.39372122,22.27641932,1.701429551,1.183939946,3.745702797,0,0,0,0,0.007681672,0
RB2a.DC2.S7L,22.10554183,21.06831353,1.230477509,24.61098309,1.488418421,1.106146545,3.403738177,0,0,0,0,0.007681672,0
RB2a.DC2.S9L,22.35447427,22.49564052,1.233699542,25.41405202,1.501421293,1.085567577,3.203662717,0,0,0,0,0.007681672,0
RB2a.DC3.S5L,29.61243153,13.20991923,1.299637953,21.53775572,1.576890891,1.397359999,3.158236724,0,0,0,0,0.007681672,0
RB2a.DC3.S7L,29.3229627,14.44573268,1.528143987,25.03981864,1.922941284,1.322929371,3.724495055,0,0,0,0,0.007681672,0
RB2a.DC3.S9L,32.23639728,16.02201336,1.74660939,25.31270764,2.23685476,1.521953556,4.248620973,0,0,0,0,0.007681672,0
RB2a.UC1.S1L,10.36047161,8.711498245,0.826694132,15.15537831,1.367829335,0.934822514,0,0,0,0,0,0.007681672,0
RB2a.UC1.S2L,13.94923519,11.65262199,1.190236636,19.50315095,2.049712752,1.199632495,0,0,0,0,0,0.007681672,0
RB2a.UC1.S3L,14.52258018,12.30690591,1.309583097,20.47651784,2.271525833,1.368935964,0,0,0,0,0,0.007681672,0
RB2a.UC1.S4L,13.16258318,10.69789619,1.116602769,18.10313373,1.902796305,1.227049349,0,0,0,0,0,0.007681672,0
RB2a.UC1.S5L,23.15117213,23.58964588,2.312655279,34.84155752,3.759855642,2.372366167,0.110240151,0,0,0,0,0.007681672,0
RB2a.UC1.S7L,12.67635454,13.71345185,0.852007377,14.86980199,1.358386468,0.89313881,0,0,0,0,0,0.007681672,0
RB2a.UC1.S9L,14.00194771,16.47683077,0.941535618,15.83993554,1.446668299,0.930919221,0,0,0,0,0,0.007681672,0
RB2a.UC2.S1L,9.540299917,10.70022858,0.691835319,16.9881665,0.98884585,0.730966938,0.014906002,0,0,0,0,0.007681672,0
RB2a.UC2.S2L,12.83780538,14.69245811,1.098296258,23.018695,1.643466693,1.00537795,0.099614772,0,0,0,0,0.007681672,0
RB2a.UC2.S3L,13.57410247,15.43061929,1.14599459,23.74632781,1.644573583,1.128521819,0.090668135,0,0,0,0,0.007681672,0
RB2a.UC2.S4L,13.76124346,16.44135678,1.197658684,25.43195229,1.705206045,1.185830086,0.130133196,0,0,0,0,0.007681672,0
RB2a.UC2.S5L,13.54172562,18.30198079,1.110239019,26.26570991,1.508703646,1.259159209,0.174037338,0,0,0,0,0.007681672,0
RB2a.UC2.S7L,11.23110031,14.57863359,0.861391253,20.1826238,1.157418062,0.766976827,0.089527237,0,0,0,0,0.007681672,0
RB2a.UC2.S9L,11.63491979,18.53877137,0.950243862,24.61326592,1.261115474,0.934180456,0.217243578,0,0,0,0,0.007681672,0
RB2a.UC3.S1L,12.40775043,7.191832793,0.808661332,11.64157882,1.222071478,0.741491008,0,0,0,0,0,0.007681672,0
RB2a.UC3.S2L,14.78628243,8.559014669,0.951490107,15.46494231,1.526693332,1.014217305,0,0,0,0,0,0.007681672,0
RB2a.UC3.S3L,14.42576103,8.539016154,0.981113986,15.59478523,1.480944711,1.045980646,0,0,0,0,0,0.007681672,0
RB2a.UC3.S4L,17.97975831,11.10454266,1.312884122,20.20096062,2.004409413,1.457013316,0,0,0,0,0,0.007681672,0
RB2a.UC3.S5L,14.13688676,9.394562725,1.005601407,18.6835935,1.480730866,1.021052058,0,0,0,0,0,0.007681672,0
RB2a.UC3.S7L,15.13331663,9.835022183,1.219806416,18.83853062,1.867101276,1.334726297,0,0,0,0,0,0.007681672,0
RB2a.UC3.S9L,16.03454965,9.845225207,1.117991337,13.72185556,1.723262313,1.213865009,0,0,0,0,0,0.007681672,0
RB3.DC1.S10BL,62.16440577,19.25409103,1.741697499,31.99919442,2.113630699,1.459328438,3.919337609,0,0,0,0,0.007681672,0
RB3.DC1.S11BL,39.20241882,12.9824933,1.121837362,20.62976658,1.301489409,0.859143184,2.615915598,0,0,0,0,0.007681672,0
RB3.DC1.S5BL,25.61677558,8.115598317,0.929739946,16.41407127,1.369102614,0.975495675,0,0,0,0,0,0.007681672,0
RB3.DC1.S5L,39.62893222,13.20967274,1.234240911,19.87415337,1.621371455,1.237813832,3.159067104,0,0,0,0,0.007681672,0
RB3.DC1.S6BL,89.51165384,24.80144393,2.470213748,43.15099474,3.25805976,2.63851614,5.643904174,0,0,0,0,0.007681672,0
RB3.DC1.S6L,42.43381005,14.19912729,1.397075966,21.63342466,1.83117716,1.483884102,3.428875747,0,0,0,0,0.007681672,0
RB3.DC1.S8BL,58.79908343,18.39737936,1.79242742,30.36541354,2.298313489,1.630416332,4.053038089,0,0,0,0,0.007681672,0
RB3.DC1.S9BL,46.47708421,14.62957136,1.339280067,23.45947354,1.658065733,1.252307255,2.975107412,0,0,0,0,0.007681672,0
RB3.DC2.S10L,71.33770391,34.91757145,1.695257897,28.06438652,2.080221711,1.280607428,3.192818075,0,0,0.026041925,0,0.007681672,0
RB3.DC2.S11L,44.10472062,23.16357478,0.979149661,19.41779261,1.114179706,0.637016613,1.882968113,0,0,0,0,0.007681672,0
RB3.DC2.S12L,40.4378549,22.14886168,0.895276624,18.88768944,0.970008225,0.604883971,1.671234081,0,0,0,0,0.007681672,0
RB3.DC2.S13L,41.94417075,23.18616667,0.92637805,20.24272164,0.98233552,0.673999543,1.876389732,0,0,0,0,0.007681672,0
RB3.DC2.S5L,44.7170657,23.08892974,1.059025905,16.48442751,1.276429502,1.204510991,1.722442353,0,0,0,0,0.007681672,0
RB3.DC2.S6L,38.54308576,20.97332901,1.007642114,15.56863965,1.206700382,1.123059695,1.722883645,0,0,0,0,0.007681672,0
RB3.DC2.S7L,85.45492634,40.54971873,1.870332274,29.84826894,2.368892,1.833306407,2.906270244,0,0,0,0,0.007681672,0
RB3.DC2.S8L,93.48761898,42.80441779,2.00498517,32.2906728,2.568609093,1.961973433,3.417407161,0,0,0,0,0.007681672,0
RB3.DC3.S10L,72.88035654,23.17172953,1.072569742,22.92638997,1.575716342,1.138584908,3.757344528,0,0,0,0,0.007681672,0
RB3.DC3.S11L,67.18119573,21.64741397,0.949459577,20.61257504,1.340340351,0.833279578,3.332228761,0,0,0,0,0.007681672,0
RB3.DC3.S12L,65.62224357,21.6226434,0.964553248,20.84355363,1.300672835,0.847233134,3.330588857,0,0,0,0,0.007681672,0
RB3.DC3.S13L,72.83000366,23.46672534,1.117294367,23.38669126,1.522356115,0.987993048,3.574502888,0,0,0,0,0.007681672,0
RB3.DC3.S5L,56.89341876,17.30052128,1.02540911,19.06752938,1.523613923,1.354731943,3.686651359,0,0,0,0,0.007681672,0
RB3.DC3.S6L,54.77459023,16.93957978,1.049328453,19.04885598,1.559633833,1.368474461,3.559750873,0,0,0,0,0.007681672,0
RB3.DC3.S7L,153.952812,35.14739219,1.970060493,40.11373283,2.894742093,2.553110545,6.60766696,0,0,0,0,0.007681672,0
RB3.DC3.S8L,102.7004723,31.45995518,1.639791321,33.77804619,2.420102941,1.96326822,5.637386174,0,0,0,0,0.007681672,0
RB3.UC1.S10BL,29.13751413,9.918948704,0.938907464,19.50589577,1.310809328,0.838243056,0,0,0,0,0,0.007681672,0
RB3.UC1.S11BL,29.60547372,10.16178883,1.019883328,21.3359462,1.453006528,0.94639466,0,0,0,0,0,0.007681672,0
RB3.UC1.S1BL,22.99102043,6.37674559,0.655853289,13.09348958,0.977789451,0.816081302,0,0,0,0,0,0.007681672,0
RB3.UC1.S2BL,27.5113768,7.340062005,0.791205047,14.88288374,1.246242567,1.111379973,0,0,0,0,0,0.007681672,0
RB3.UC1.S3BL,26.88715204,7.652867711,0.862329134,15.59065312,1.369712719,0.962432814,0,0,0,0,0,0.007681672,0
RB3.UC1.S4BL,26.10416192,7.578749145,0.880259373,15.56788321,1.370654101,1.033252097,0,0,0,0,0,0.007681672,0
RB3.UC1.S5BL,37.84756975,13.33104284,1.33777774,20.38651292,1.728615098,1.509248278,3.315476843,0,0,0,0,0.007681672,0
RB3.UC1.S5L,27.32544163,8.785420041,0.944362085,16.81962206,1.406828128,1.177084565,0,0,0,0,0,0.007681672,0
RB3.UC1.S6BL,61.57801193,17.86076813,2.017858094,38.49804642,3.118807566,2.50327886,0,0,0,0,0,0.007681672,0
RB3.UC1.S6L,28.42769051,8.84987365,0.975185422,17.41551955,1.464302947,1.146877509,0,0,0,0,0,0.007681672,0
RB3.UC1.S8BL,37.63822726,11.82223344,1.193670336,24.81473945,1.782521688,1.265011554,0,0,0,0,0,0.007681672,0
RB3.UC1.S9BL,28.42726972,9.468169951,0.883360912,19.01597,1.249363393,0.865044323,0,0,0,0,0,0.007681672,0
RB3.UC2.S10L,27.68990208,17.76251071,0.801283888,22.43281073,1.339885179,0.820496459,0,0,0,0,0,0.007681672,0
RB3.UC2.S11L,19.39452334,13.67188971,0.591163659,17.57277324,0.92674415,0.581701687,0,0,0,0,0,0.007681672,0
RB3.UC2.S12L,21.18802154,14.6614514,0.60031578,18.71546393,0.92260968,0.543146676,0,0,0,0,0,0.007681672,0
RB3.UC2.S13L,21.59704707,15.49807339,0.656063216,19.50695176,0.934570874,0.632593655,0,0,0,0,0,0.007681672,0
RB3.UC2.S1L,22.27055742,10.49077011,0.422778686,11.58489646,0.793917426,0.445539998,0,0,0,0,0,0.007681672,0
RB3.UC2.S2L,24.30267499,11.34679225,0.453746907,12.26895672,0.876140866,0.554667091,0,0,0,0,0,0.007681672,0
RB3.UC2.S3L,26.14402787,12.57120001,0.488342829,13.14446166,0.963413558,0.645858775,0,0,0,0,0,0.007681672,0
RB3.UC2.S4L,23.64339079,11.91064318,0.494406008,12.45377324,0.951497046,0.707999739,0,0,0,0,0,0.007681672,0
RB3.UC2.S5L,25.87003619,13.10461362,0.671225968,14.27219124,1.146671432,0.987372075,0,0,0,0,0,0.007681672,0
RB3.UC2.S6L,23.57601837,12.72319326,0.652226762,14.27219672,1.122728712,0.99482333,0,0,0,0,0,0.007681672,0
RB3.UC2.S7L,42.25418923,22.42968894,1.186807854,25.34180449,2.091864389,1.866767878,0,0,0,0,0,0.007681672,0
RB3.UC2.S8L,51.6625481,27.92715254,1.515292135,32.74054886,2.63460126,2.224699958,0,0,0,0,0,0.007681672,0
RB3.UC3.S10L,52.55359989,15.34167045,0.491512465,14.62751443,1.349299194,0.793537126,0,0,0,0,0,0.007681672,0
RB3.UC3.S11L,39.14402442,12.07934647,0.453533462,12.98018371,1.255068997,0.497490584,0,0,0,0,0,0.007681672,0
RB3.UC3.S12L,34.01687472,10.07674168,0.36931752,11.20673374,1.028430334,0.34128999,0,0,0,0,0,0.007681672,0
RB3.UC3.S13L,53.49920644,15.71385327,1.020204744,21.39440514,2.118558504,1.358892751,0,0,0,0,0,0.007681672,0
RB3.UC3.S1L,31.48442165,7.053814975,0.338537169,9.721289184,0.81467636,0.409473612,0,0,0,0,0,0.007681672,0
RB3.UC3.S2L,33.66033006,7.407822354,0.350273522,10.10412492,0.840463331,0.506429648,0,0,0,0,0,0.007681672,0
RB3.UC3.S3L,36.24839856,7.919075009,0.351094919,10.5351856,0.857426907,0.37221613,0,0,0,0,0,0.007681672,0
RB3.UC3.S4L,33.52404968,7.733388094,0.322091628,10.03381436,0.806532785,0.416733901,0,0,0,0,0,0.007681672,0
RB3.UC3.S5L,39.7835275,9.66669344,0.42785537,11.50936311,1.002628447,0.728770162,0,0,0,0,0,0.007681672,0
RB3.UC3.S6L,40.84931579,11.63329779,0.495897666,12.53963988,1.164340612,0.874662293,0,0,0,0,0,0.007681672,0
RB3.UC3.S7L,86.91291069,20.23847894,0.741634018,20.52907544,1.817563628,1.524879272,0,0,0,0,0,0.007681672,0
RB3.UC3.S8L,66.23602659,18.32104297,0.742319487,18.34242228,1.840860439,1.219227357,0,0,0,0,0,0.007681672,0
RB1.I,2.264577907,1.035646103,0,0.605322476,0,0,0,0,0,0,0,0.007681672,0
RB2a.I,3.750330225,1.126228897,0,1.169163735,0,0,0,0,0,0,0,0.007681672,0
RB3.I,2.466608826,0.785987626,0,0.58880967,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.27L,21.17815637,1.722415767,0,10.03911104,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.29L,17.31577835,1.081707658,0,12.03426459,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.30L,18.43059389,1.096712023,0,12.39753706,0,0,0,0,0,0,0,0.007681672,0
RB1.UC3.35L,19.6186055,3.261809395,0,11.3772966,0,0,0,0,0,0,0,0.007681672,0
RB1.DC3.27L,37.3525748,10.99814412,0.335328188,11.09170053,0.489736708,0.361465257,0,0,0,0,0,0.007681672,0
RB1.DC3.29L,34.67842298,10.28504959,0.245314266,13.85786797,0.346857208,0.175630112,0,0,0,0,0,0.007681672,0
RB1.DC3.30L,39.10978806,11.59155134,0.247667877,18.16188651,0.350216293,0.196963053,0,0,0,0,0,0.007681672,0
RB1.DC3.35L,40.01290375,11.9247386,0.091494921,19.00587073,0.110285005,0,0,0,0,0,0,0.007681672,0
RB1.UC1.27L,35.54109836,5.0681295,0,6.817608936,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.29L,38.01997991,5.17300621,0,8.129319449,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.30L,35.43527566,5.179395653,0,8.633025045,0,0,0,0,0,0,0,0.007681672,0
RB1.UC1.35L,34.27528887,5.518263229,0,8.859277683,0,0,0,0,0,0,0,0.007681672,0
RB1.DC1.27L,45.51604957,12.06765636,0.766882874,12.06442757,1.11678312,0.726896667,0,0,0,0,0,0.007681672,0
RB1.DC1.29L,43.4791471,10.41775851,0.683122612,11.37253823,0.946453246,0.644365547,0,0,0,0,0,0.007681672,0
RB1.DC1.30L,43.88656275,10.39795109,0.707203988,12.17752423,0.946758543,0.629955514,0,0,0,0,0,0.007681672,0
RB1.DC1.35L,43.07984246,10.58853978,0.682893769,13.55478799,0.984187049,0.501026763,0,0,0,0,0,0.007681672,0
RB1.UC2.27L,29.03804863,10.51767417,0,2.478446629,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.29L,37.6999446,10.71242481,0,2.756732493,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.30L,40.11834543,10.01786452,0,2.397926115,0,0,0,0,0,0,0,0.007681672,0
RB1.UC2.35L,37.18220067,9.151896643,0,1.995982673,0,0,0,0,0,0,0,0.007681672,0
RB1.DC2.27L,39.97150341,19.80107879,0.803381153,10.80918602,1.009332322,0.650386795,0,0,0,0,0,0.007681672,0
RB1.DC2.29L,41.080003,18.02227191,0.801158703,9.732260998,0.992590097,0.563677046,0,0,0,0,0,0.007681672,0
RB1.DC2.30L,44.29163586,17.18791194,0.895775697,9.703817198,1.081619798,0.721428506,0,0,0,0,0,0.007681672,0
RB1.DC2.35L,45.59517735,15.70513449,0.79152442,8.669593009,0.942300173,0.506270929,0,0,0,0,0,0.007681672,0
RB2a.UC3.15L,13.99542498,3.71206061,0.624089623,12.10937495,1.100481902,0.382690949,0,0,0,0,0,0.007681672,0
RB2a.UC3.16L,16.55623331,4.786203833,0.791661105,13.19403227,1.255431738,0.552638108,0,0,0,0,0,0.007681672,0
RB2a.UC3.17L,16.30673106,5.725611906,0.771101199,13.34128434,1.165667222,0.646473873,0,0,0,0,0,0.007681672,0
RB2a.UC3.20L,13.7381058,7.988645023,0.863671963,14.61332724,1.222726003,0.769633637,0,0,0,0,0,0.007681672,0
RB2a.DC3.15L,32.44184141,10.71028357,1.119189498,18.24167972,1.377225366,0.749558569,2.778285682,0,0,0,0,0.007681672,0
RB2a.DC3.16L,32.43704285,10.89283018,1.200630273,18.14805175,1.410018212,0.750967362,2.876374523,0,0,0,0,0.007681672,0
RB2a.DC3.17L,32.76047199,11.16812995,1.247162789,18.46401445,1.4759687,0.894325761,2.947095499,0,0,0,0,0.007681672,0
RB2a.DC3.20L,30.69066561,11.77404482,1.191072712,19.05912038,1.412748164,0.958183426,2.753735337,0,0,0,0,0.007681672,0
RB2a.UC1.15L,15.44329671,11.03211764,0.893586199,13.99212138,1.447119138,0.654501983,0,0,0,0,0,0.007681672,0
RB2a.UC1.16L,17.03564896,15.3170378,1.04313661,18.21551095,1.611499135,0.754812625,0,0,0,0,0,0.007681672,0
RB2a.UC1.17L,14.31839212,14.83934184,0.928680324,20.63222809,1.429720683,0.671608342,0,0,0,0,0,0.007681672,0
RB2a.UC1.20L,8.73315426,8.860604527,0.716727083,14.60530057,1.102474396,0.530419498,0,0,0,0,0,0.007681672,0
RB2a.DC1.15L,29.7326766,12.92480395,1.088787765,18.41695173,1.352846601,0.729494272,2.686379092,0,0,0,0,0.007681672,0
RB2a.DC1.16L,31.21859617,14.94447143,1.183689555,19.74173911,1.493033846,0.769858449,3.069019452,0,0,0,0,0.007681672,0
RB2a.DC1.17L,32.2804978,17.88810597,1.387447206,22.22513203,1.773859689,0.940507817,3.495342472,0,0,0,0,0.007681672,0
RB2a.DC1.20L,24.97205667,15.09153222,1.112126735,19.50292384,1.390822742,0.849823069,2.918393714,0,0,0,0,0.007681672,0
RB2a.UC2.15L,11.60954616,14.87588836,0.681465857,15.52616827,0.899919025,0.39359421,0,0,0,0,0,0.007681672,0
RB2a.UC2.16L,13.28700611,15.8997365,0.612700866,16.56925862,0.801246973,0.24742831,0,0,0,0,0,0.007681672,0
RB2a.UC2.17L,11.49093305,12.76990056,0.583765899,17.1095784,0.760536342,0.380908613,0.027565064,0,0,0,0,0.007681672,0
RB2a.UC2.20L,10.67567294,12.85569744,0.718378731,18.51145644,0.941854173,0.50727341,0.055538758,0,0,0,0,0.007681672,0
RB2a.DC2.15L,25.49529981,16.76623515,0.99814951,17.4095506,1.16141111,0.582054277,2.437136297,0,0,0,0,0.007681672,0
RB2a.DC2.16L,23.76240779,17.51676654,0.950061457,17.17118965,1.09229695,0.52595048,2.557943871,0,0,0,0,0.007681672,0
RB2a.DC2.17L,22.75590403,17.53494906,0.912892596,18.06441301,1.064562453,0.598833546,2.568595059,0,0,0,0,0.007681672,0
RB2a.DC2.20L,21.85483874,17.11038233,1.024220217,20.84977158,1.230060935,0.826452561,2.90564617,0,0,0,0,0.007681672,0
RB3.UC3.15L,32.40460261,7.232495365,0.280736239,8.484188212,0.784762427,0.268890336,0,0,0,0,0,0.007681672,0
RB3.UC3.19L,29.98178265,8.210717576,0.493387879,9.231087504,1.064402252,0.498328092,0,0,0,0,0,0.007681672,0
RB3.UC3.22L,29.7174977,7.830451944,0.37503,8.882631257,0.891844283,0.395885016,0,0,0,0,0,0.007681672,0
RB3.UC3.25L,31.71974763,7.503325965,0.424049087,10.08102576,0.949908964,0.426759229,0,0,0,0,0,0.007681672,0
RB3.DC3.15L,42.90084907,13.78289282,0.757713124,16.09795653,1.203771109,0.738301968,3.427371781,0,0,0,0,0.007681672,0
RB3.DC3.19L,47.33376392,14.84299573,0.818307911,15.17739579,1.175740266,0.739210385,3.032989327,0,0,0,0,0.007681672,0
RB3.DC3.22L,42.82934738,14.26348606,0.823438855,14.47668011,1.150049863,0.670923627,3.001411192,0,0,0,0,0.007681672,0
RB3.DC3.25L,45.31861254,13.55020253,0.787899293,14.74418178,1.125805966,0.704562943,2.900941676,0,0,0,0,0.007681672,0
RB3.UC1.15L,22.08263469,5.699680255,0.770037378,12.69585087,1.175136786,0.690249225,0,0,0,0,0,0.007681672,0
RB3.UC1.19L,22.23048049,5.937776188,0.758850906,13.50896202,1.111210287,0.686470511,0,0,0,0,0,0.007681672,0
RB3.UC1.22L,23.37187277,6.981424631,0.801361366,14.5848615,1.147972845,0.685144652,0,0,0,0,0,0.007681672,0
RB3.UC1.25L,25.32259184,8.169717063,0.88944539,15.1469857,1.260918405,0.752538823,0,0,0,0,0,0.007681672,0
RB3.DC1.15L,33.53368522,11.30325932,1.255174526,16.60267844,1.497842138,0.932533878,3.053059141,0,0,0,0,0.007681672,0
RB3.DC1.19L,29.47281477,9.407540272,0.980819506,14.27778917,1.195026143,0.765979275,2.383722935,0,0,0,0,0.007681672,0
RB3.DC1.22L,31.34590558,9.75295172,0.959958726,15.3257314,1.163302751,0.701391201,2.319931492,0,0,0,0,0.007681672,0
RB3.DC1.25L,33.1924179,10.68622631,1.056592214,16.41732261,1.31965588,0.825770416,2.523662563,0,0,0,0,0.007681672,0
RB3.UC2.15L,23.71925834,9.180868835,0.436641244,11.01020213,0.899433141,0.41118793,0,0,0,0,0,0.007681672,0
RB3.UC2.19L,18.67743653,10.36491055,0.242995801,10.19671721,0.781587095,0.182303535,0,0,0,0,0,0.007681672,0
RB3.UC2.22L,24.32015843,11.80142427,0.476674498,12.8209041,0.926439538,0.548237475,0,0,0,0,0,0.007681672,0
RB3.UC2.25L,23.788599,11.30450288,0.507828472,12.2095153,0.898688959,0.468057149,0,0,0,0,0,0.007681672,0
RB3.DC2.15L,38.82675442,17.69614426,0.898714562,12.04388064,1.085736904,0.662476354,1.337190803,0,0,0,0,0.007681672,0
RB3.DC2.19L,34.24021415,18.9578678,0.795821208,15.79568918,0.973105193,0.659299847,1.103342635,0,0,0,0,0.007681672,0
RB3.DC2.22L,40.34780744,21.96004351,1.015505505,16.13091598,1.244090636,0.828456347,1.204837593,0,0,0,0,0.007681672,0
RB3.DC2.25L,38.18647194,19.00082887,0.858965753,14.00466051,0.999025923,0.541323485,1.373470577,0,0,0,0,0.007681672,0
