match_id,rival,rival_confederation,peru_score,rival_score,peru_awarded_score,rival_awarded_score,result,shootout_result,awarded_result,tournament_name,tournament_type,official,stadium,city,country,elevation,peru_condition,coach,coach_nationality,date
M0014,Brazil,CONMEBOL,2,3,2,3,L,,L,Sudamericano 1937,Copa América/Sudamericano,True,Estadio Viejo Gasómetro,Buenos Aires,Argentina,25,neutral,Alberto Denegri,Peru,1936-12-27
M0015,Uruguay,CONMEBOL,2,4,2,4,L,,L,Sudamericano 1937,Copa América/Sudamericano,True,Estadio Viejo Gasómetro,Buenos Aires,Argentina,25,neutral,Alberto Denegri,Peru,1937-01-06
M0016,Argentina,CONMEBOL,0,1,0,1,L,,L,Sudamericano 1937,Copa América/Sudamericano,True,Estadio Viejo Gasómetro,Buenos Aires,Argentina,25,away,Alberto Denegri,Peru,1937-01-16
M0017,Chile,CONMEBOL,2,2,2,2,D,,D,Sudamericano 1937,Copa América/Sudamericano,True,Estadio Viejo Gasómetro,Buenos Aires,Argentina,25,neutral,Alberto Denegri,Peru,1937-01-21
M0018,Paraguay,CONMEBOL,1,0,1,0,W,,W,Sudamericano 1937,Copa América/Sudamericano,True,Estadio Alvear y Tagle,Buenos Aires,Argentina,25,neutral,Alberto Denegri,Peru,1937-01-24
M0019,Colombia,CONMEBOL,4,2,4,2,W,,W,Juegos Bolivarianos 1938,Bolivarianos,True,Estadio Alfonso López Pumarejo,Bogota,Colombia,2582,away,Jack Greenwell,England,1938-08-08
M0020,Ecuador,CONMEBOL,9,1,9,1,W,,W,Juegos Bolivarianos 1938,Bolivarianos,True,Estadio Alfonso López Pumarejo,Bogota,Colombia,2582,neutral,Jack Greenwell,England,1938-08-11
M0021,Bolivia,CONMEBOL,3,0,3,0,W,,W,Juegos Bolivarianos 1938,Bolivarianos,True,Estadio Alfonso López Pumarejo,Bogota,Colombia,2582,neutral,Jack Greenwell,England,1938-08-14
M0022,Venezuela,CONMEBOL,2,1,2,1,W,,W,Juegos Bolivarianos 1938,Bolivarianos,True,Estadio Alfonso López Pumarejo,Bogota,Colombia,2582,neutral,Jack Greenwell,England,1938-08-17
M0023,Ecuador,CONMEBOL,5,2,5,2,W,,W,Sudamericano 1939,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Jack Greenwell,England,1939-01-15
M0024,Chile,CONMEBOL,3,1,3,1,W,,W,Sudamericano 1939,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Jack Greenwell,England,1939-01-22
M0025,Paraguay,CONMEBOL,3,0,3,0,W,,W,Sudamericano 1939,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Jack Greenwell,England,1939-01-29
M0026,Uruguay,CONMEBOL,2,1,2,1,W,,W,Sudamericano 1939,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Jack Greenwell,England,1939-02-12
M0027,Argentina,CONMEBOL,1,1,1,1,D,,D,Copa Roque Sáenz Peña,Copa Roque Sáenz Peña,False,Estadio Nacional de Perú,Lima,Peru,154,home,Domingo Arrillaga,Spain,1941-01-19
M0028,Argentina,CONMEBOL,1,1,1,1,D,,D,Copa Roque Sáenz Peña,Copa Roque Sáenz Peña,False,Estadio Nacional de Perú,Lima,Peru,154,home,Domingo Arrillaga,Spain,1941-01-26
M0029,Argentina,CONMEBOL,0,3,0,3,L,,L,Copa Roque Sáenz Peña,Copa Roque Sáenz Peña,False,Estadio Nacional de Perú,Lima,Peru,154,home,Domingo Arrillaga,Spain,1941-01-29
M0030,Chile,CONMEBOL,0,1,0,1,L,,L,Sudamericano 1941,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,away,Domingo Arrillaga,Spain,1941-02-09
M0031,Argentina,CONMEBOL,1,2,1,2,L,,L,Sudamericano 1941,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Domingo Arrillaga,Spain,1941-02-12
M0032,Ecuador,CONMEBOL,4,0,4,0,W,,W,Sudamericano 1941,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Domingo Arrillaga,Spain,1941-02-23
M0033,Uruguay,CONMEBOL,0,2,0,2,L,,L,Sudamericano 1941,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Domingo Arrillaga,Spain,1941-02-26
M0034,Paraguay,CONMEBOL,1,1,1,1,D,,D,Sudamericano 1942,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Ángel Fernández,Argentina,1942-01-18
M0035,Brazil,CONMEBOL,1,2,1,2,L,,L,Sudamericano 1942,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Ángel Fernández,Argentina,1942-01-21
M0036,Argentina,CONMEBOL,1,3,1,3,L,,L,Sudamericano 1942,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Ángel Fernández,Argentina,1942-01-25
M0037,Ecuador,CONMEBOL,2,1,2,1,W,,W,Sudamericano 1942,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Ángel Fernández,Argentina,1942-01-28
M0038,Uruguay,CONMEBOL,0,3,0,3,L,,L,Sudamericano 1942,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,away,Ángel Fernández,Argentina,1942-02-01
M0039,Chile,CONMEBOL,0,0,0,0,D,,D,Sudamericano 1942,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Ángel Fernández,Argentina,1942-02-07
M0040,Paraguay,CONMEBOL,2,2,2,2,D,,D,Sudamericano 1947,Copa América/Sudamericano,True,Estadio George Capwell,Guayaquil,Ecuador,4,neutral,José Arana,Peru,1947-12-06
M0041,Chile,CONMEBOL,1,2,1,2,L,,L,Sudamericano 1947,Copa América/Sudamericano,True,Estadio George Capwell,Guayaquil,Ecuador,4,neutral,José Arana,Peru,1947-12-09
M0042,Argentina,CONMEBOL,2,3,2,3,L,,L,Sudamericano 1947,Copa América/Sudamericano,True,Estadio George Capwell,Guayaquil,Ecuador,4,neutral,José Arana,Peru,1947-12-11
M0043,Ecuador,CONMEBOL,0,0,0,0,D,,D,Sudamericano 1947,Copa América/Sudamericano,True,Estadio George Capwell,Guayaquil,Ecuador,4,away,José Arana,Peru,1947-12-20
M0044,Colombia,CONMEBOL,5,1,5,1,W,,W,Sudamericano 1947,Copa América/Sudamericano,True,Estadio George Capwell,Guayaquil,Ecuador,4,neutral,José Arana,Peru,1947-12-23
M0045,Uruguay,CONMEBOL,0,1,0,1,L,,L,Sudamericano 1947,Copa América/Sudamericano,True,Estadio George Capwell,Guayaquil,Ecuador,4,neutral,José Arana,Peru,1947-12-25
M0046,Bolivia,CONMEBOL,2,0,2,0,W,,W,Sudamericano 1947,Copa América/Sudamericano,True,Estadio George Capwell,Guayaquil,Ecuador,4,neutral,José Arana,Peru,1947-12-27
M0047,Colombia,CONMEBOL,4,0,4,0,W,,W,Sudamericano 1949,Copa América/Sudamericano,True,Estádio São Januário,Rio de Janeiro,Brazil,11,neutral,Arturo Fernández,Peru,1949-04-10
M0048,Paraguay,CONMEBOL,1,3,1,3,L,,L,Sudamericano 1949,Copa América/Sudamericano,True,Estádio São Januário,Rio de Janeiro,Brazil,11,neutral,Arturo Fernández,Peru,1949-04-13
M0049,Ecuador,CONMEBOL,4,0,4,0,W,,W,Sudamericano 1949,Copa América/Sudamericano,True,Estádio São Januário,Rio de Janeiro,Brazil,11,neutral,Arturo Fernández,Peru,1949-04-20
M0050,Brazil,CONMEBOL,1,7,1,7,L,,L,Sudamericano 1949,Copa América/Sudamericano,True,Estádio São Januário,Rio de Janeiro,Brazil,11,away,Arturo Fernández,Peru,1949-04-24
M0051,Bolivia,CONMEBOL,3,0,3,0,W,,W,Sudamericano 1949,Copa América/Sudamericano,True,Estadio Vila Belmiro,Santos,Brazil,2,neutral,Arturo Fernández,Peru,1949-04-27
M0052,Chile,CONMEBOL,3,0,3,0,W,,W,Sudamericano 1949,Copa América/Sudamericano,True,Estádio do Pacaembu,Sao Paulo,Brazil,772,neutral,Arturo Fernández,Peru,1949-04-30
M0053,Uruguay,CONMEBOL,4,3,4,3,W,,W,Sudamericano 1949,Copa América/Sudamericano,True,Estadio General Severiano,Rio de Janeiro,Brazil,11,neutral,Arturo Fernández,Peru,1949-05-04
M0054,Panama,CONCACAF,7,1,7,1,W,,W,Panamericano 1952,Panamericanos,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Alfonso Huapaya,Peru,1952-03-23
M0055,Uruguay,CONMEBOL,2,5,2,5,L,,L,Panamericano 1952,Panamericanos,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Alfonso Huapaya,Peru,1952-03-30
M0056,Chile,CONMEBOL,2,3,2,3,L,,L,Panamericano 1952,Panamericanos,True,Estadio Nacional de Chile,Santiago,Chile,520,away,Alfonso Huapaya,Peru,1952-04-02
M0057,Brazil,CONMEBOL,0,0,0,0,D,,D,Panamericano 1952,Panamericanos,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Alfonso Huapaya,Peru,1952-04-10
M0058,Mexico,CONCACAF,3,0,3,0,W,,W,Panamericano 1952,Panamericanos,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Alfonso Huapaya,Peru,1952-04-20
M0059,Bolivia,CONMEBOL,0,1,0,1,L,,L,Sudamericano 1953,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,William Cook,Northern Ireland,1953-02-22
M0060,Ecuador,CONMEBOL,1,0,1,0,W,,W,Sudamericano 1953,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,William Cook,Northern Ireland,1953-02-28
M0061,Chile,CONMEBOL,0,0,0,0,D,,D,Sudamericano 1953,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,William Cook,Northern Ireland,1953-03-04
M0062,Paraguay,CONMEBOL,2,2,2,2,D,,W,Sudamericano 1953,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,William Cook,Northern Ireland,1953-03-08
M0063,Brazil,CONMEBOL,1,0,1,0,W,,W,Sudamericano 1953,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,William Cook,Northern Ireland,1953-03-19
M0064,Uruguay,CONMEBOL,0,3,0,3,L,,L,Sudamericano 1953,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,William Cook,Northern Ireland,1953-03-28
M0065,Chile,CONMEBOL,1,2,1,2,L,,L,Copa del Pacífico 1953,Copa del Pacífico,False,Estadio Nacional de Perú,Lima,Peru,154,home,Ángel Fernández,Argentina,1953-07-26
M0066,Chile,CONMEBOL,5,0,5,0,W,,W,Copa del Pacífico 1953,Copa del Pacífico,False,Estadio Nacional de Perú,Lima,Peru,154,home,Ángel Fernández,Argentina,1953-07-28
M0067,Chile,CONMEBOL,1,2,1,2,L,,L,Copa del Pacífico 1954,Copa del Pacífico,False,Estadio Nacional de Chile,Santiago,Chile,520,away,Juan Valdivieso,Peru,1954-09-17
M0068,Chile,CONMEBOL,4,2,4,2,W,,W,Copa del Pacífico 1954,Copa del Pacífico,False,Estadio Nacional de Chile,Santiago,Chile,520,away,Juan Valdivieso,Peru,1954-09-19
M0069,Chile,CONMEBOL,4,5,4,5,L,,L,Sudamericano 1955,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,away,Juan Valdivieso,Peru,1955-03-06
M0070,Ecuador,CONMEBOL,4,2,4,2,W,,W,Sudamericano 1955,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Juan Valdivieso,Peru,1955-03-13
M0071,Argentina,CONMEBOL,2,2,2,2,D,,D,Sudamericano 1955,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Juan Valdivieso,Peru,1955-03-16
M0072,Paraguay,CONMEBOL,1,1,1,1,D,,D,Sudamericano 1955,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Juan Valdivieso,Peru,1955-03-23
M0073,Uruguay,CONMEBOL,2,1,2,1,W,,W,Sudamericano 1955,Copa América/Sudamericano,True,Estadio Nacional de Chile,Santiago,Chile,520,neutral,Juan Valdivieso,Peru,1955-03-30
M0074,Argentina,CONMEBOL,1,2,1,2,L,,L,Sudamericano 1956,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Arturo Fernández,Peru,1956-01-22
M0075,Uruguay,CONMEBOL,0,2,0,2,L,,L,Sudamericano 1956,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,away,Arturo Fernández,Peru,1956-01-28
M0076,Brazil,CONMEBOL,1,2,1,2,L,,L,Sudamericano 1956,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Arturo Fernández,Peru,1956-02-01
M0077,Paraguay,CONMEBOL,1,1,1,1,D,,D,Sudamericano 1956,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Arturo Fernández,Peru,1956-02-05
M0078,Chile,CONMEBOL,3,4,3,4,L,,L,Sudamericano 1956,Copa América/Sudamericano,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,neutral,Arturo Fernández,Peru,1956-02-09
M0079,Argentina,CONMEBOL,0,0,0,0,D,,D,Panamericano 1956,Panamericanos,True,Estadio Olímpico Universitario,Mexico City,Mexico,2240,neutral,Arturo Fernández,Peru,1956-02-28
M0080,Mexico,CONCACAF,2,0,2,0,W,,W,Panamericano 1956,Panamericanos,True,Estadio Olímpico Universitario,Mexico City,Mexico,2240,away,Arturo Fernández,Peru,1956-03-04
M0081,Brazil,CONMEBOL,0,1,0,1,L,,L,Panamericano 1956,Panamericanos,True,Estadio Olímpico Universitario,Mexico City,Mexico,2240,neutral,Arturo Fernández,Peru,1956-03-06
M0082,Chile,CONMEBOL,2,2,2,2,D,,D,Panamericano 1956,Panamericanos,True,Estadio Olímpico Universitario,Mexico City,Mexico,2240,neutral,Arturo Fernández,Peru,1956-03-15
M0083,Costa Rica,CONCACAF,2,4,2,4,L,,L,Panamericano 1956,Panamericanos,True,Estadio Olímpico Universitario,Mexico City,Mexico,2240,neutral,Arturo Fernández,Peru,1956-03-17
M0084,Ecuador,CONMEBOL,2,1,2,1,W,,W,Sudamericano 1957,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-03-10
M0085,Chile,CONMEBOL,1,0,1,0,W,,W,Sudamericano 1957,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-03-16
M0086,Uruguay,CONMEBOL,3,5,3,5,L,,L,Sudamericano 1957,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-03-23
M0087,Colombia,CONMEBOL,4,1,4,1,W,,W,Sudamericano 1957,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-03-27
M0088,Brazil,CONMEBOL,0,1,0,1,L,,L,Sudamericano 1957,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-03-31
M0089,Argentina,CONMEBOL,2,1,2,1,W,,W,Sudamericano 1957,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-04-06
M0090,Argentina,CONMEBOL,1,4,1,4,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-04-09
M0091,Brazil,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 1958,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1957-04-13
M0092,Brazil,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 1958,FIFA World Cup Qualifiers,True,Estádio do Maracanã,Rio de Janeiro,Brazil,11,away,György Orth,Hungary,1957-04-21
M0093,Brazil,CONMEBOL,2,2,2,2,D,,D,Sudamericano 1959,Copa América/Sudamericano,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,neutral,György Orth,Hungary,1959-03-10
M0094,Uruguay,CONMEBOL,5,3,5,3,W,,W,Sudamericano 1959,Copa América/Sudamericano,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,neutral,György Orth,Hungary,1959-03-14
M0095,Argentina,CONMEBOL,1,3,1,3,L,,L,Sudamericano 1959,Copa América/Sudamericano,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,away,György Orth,Hungary,1959-03-18
M0096,Chile,CONMEBOL,1,1,1,1,D,,D,Sudamericano 1959,Copa América/Sudamericano,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,neutral,György Orth,Hungary,1959-03-21
M0097,Bolivia,CONMEBOL,0,0,0,0,D,,D,Sudamericano 1959,Copa América/Sudamericano,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,neutral,György Orth,Hungary,1959-03-29
M0098,Paraguay,CONMEBOL,1,2,1,2,L,,L,Sudamericano 1959,Copa América/Sudamericano,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,neutral,György Orth,Hungary,1959-04-02
M0099,England,UEFA,4,1,4,1,W,,W,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1959-05-17
M0100,Spain,UEFA,1,3,1,3,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,György Orth,Hungary,1960-07-10
M0101,Chile,CONMEBOL,2,5,2,5,L,,L,,,False,Estadio Nacional de Chile,Santiago,Chile,520,away,Marcos Calderón,Peru,1961-03-19
M0102,Colombia,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 1962,FIFA World Cup Qualifiers,True,Estadio El Campín,Bogota,Colombia,2582,away,Marcos Calderón,Peru,1961-04-30
M0103,Colombia,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 1962,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1961-05-07
M0104,England,UEFA,0,4,0,4,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Jaime de Almeida,Brazil,1962-05-20
M0105,Brazil,CONMEBOL,0,1,0,1,L,,L,Sudamericano 1963,Copa América/Sudamericano,True,Estadio Félix Capriles,Cochabamba,Bolivia,2558,neutral,Juan Valdivieso,Peru,1963-03-10
M0106,Argentina,CONMEBOL,2,1,2,1,W,,W,Sudamericano 1963,Copa América/Sudamericano,True,Estadio Félix Capriles,Cochabamba,Bolivia,2558,neutral,Juan Valdivieso,Peru,1963-03-13
M0107,Ecuador,CONMEBOL,2,1,2,1,W,,W,Sudamericano 1963,Copa América/Sudamericano,True,Estadio Hernando Siles,La Paz,Bolivia,3625,neutral,Juan Valdivieso,Peru,1963-03-17
M0108,Bolivia,CONMEBOL,2,3,2,3,L,,L,Sudamericano 1963,Copa América/Sudamericano,True,Estadio Hernando Siles,La Paz,Bolivia,3625,away,Juan Valdivieso,Peru,1963-03-21
M0109,Colombia,CONMEBOL,1,1,1,1,D,,D,Sudamericano 1963,Copa América/Sudamericano,True,Estadio Hernando Siles,La Paz,Bolivia,3625,neutral,Juan Valdivieso,Peru,1963-03-24
M0110,Paraguay,CONMEBOL,1,4,1,4,L,,L,Sudamericano 1963,Copa América/Sudamericano,True,Estadio Félix Capriles,Cochabamba,Bolivia,2558,neutral,Juan Valdivieso,Peru,1963-03-27
M0111,Paraguay,CONMEBOL,0,1,0,1,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1965-04-03
M0112,Chile,CONMEBOL,1,4,1,4,L,,L,Copa del Pacífico 1965,Copa del Pacífico,False,Estadio Nacional de Chile,Santiago,Chile,520,away,Marcos Calderón,Peru,1965-04-15
M0113,Chile,CONMEBOL,0,1,0,1,L,,L,Copa del Pacífico 1965,Copa del Pacífico,False,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1965-04-28
M0114,Venezuela,CONMEBOL,1,0,1,0,W,,W,FIFA World Cup Qualifiers 1966,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1965-05-16
M0115,Venezuela,CONMEBOL,6,3,6,3,W,,W,FIFA World Cup Qualifiers 1966,FIFA World Cup Qualifiers,True,Estadio Olímpico UCV,Caracas,Venezuela,1037,away,Marcos Calderón,Peru,1965-06-02
M0116,Uruguay,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 1966,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1965-06-06
M0117,Uruguay,CONMEBOL,1,2,1,2,L,,L,FIFA World Cup Qualifiers 1966,FIFA World Cup Qualifiers,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,away,Marcos Calderón,Peru,1965-06-13
M0118,Brazil,CONMEBOL,0,4,0,4,L,,L,,,False,Estádio do Morumbi,Sao Paulo,Brazil,772,away,José Gomes Nogueira,Brazil,1966-06-04
M0119,Brazil,CONMEBOL,1,3,1,3,L,,L,,,False,Estádio do Maracanã,Rio de Janeiro,Brazil,11,away,José Gomes Nogueira,Brazil,1966-06-08
M0120,Uruguay,CONMEBOL,0,1,0,1,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1967-07-28
M0121,Japan,AFC,1,0,1,0,W,,W,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1967-07-28
M0122,Japan,AFC,0,0,0,0,D,,D,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1967-07-30
M0123,Uruguay,CONMEBOL,1,2,1,2,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Marcos Calderón,Peru,1967-07-30
M0124,Brazil,CONMEBOL,3,4,3,4,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1968-07-14
M0125,Brazil,CONMEBOL,0,4,0,4,L,,L,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1968-07-17
M0126,Chile,CONMEBOL,1,2,1,2,L,,L,Copa del Pacífico 1968,Copa del Pacífico,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1968-08-18
M0127,Chile,CONMEBOL,0,0,0,0,D,,D,Copa del Pacífico 1968,Copa del Pacífico,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1968-08-21
M0128,Argentina,CONMEBOL,2,2,2,2,D,,D,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1968-08-29
M0129,Argentina,CONMEBOL,1,1,1,1,D,,D,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1968-09-01
M0130,Mexico,CONCACAF,3,3,3,3,D,,D,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1968-10-20
M0131,Brazil,CONMEBOL,1,2,1,2,L,,L,,,False,Estádio Beira-Rio,Porto Alegre,Brazil,10,away,Didí,Brazil,1969-04-07
M0132,Brazil,CONMEBOL,2,3,2,3,L,,L,,,False,Estádio do Maracanã,Rio de Janeiro,Brazil,11,away,Didí,Brazil,1969-04-09
M0133,Colombia,CONMEBOL,3,1,3,1,W,,W,,,False,Estadio El Campín,Bogota,Colombia,2582,away,Didí,Brazil,1969-05-08
M0134,El Salvador,CONCACAF,4,1,4,1,W,,W,,,False,Estadio Nacional Jorge 'Mágico' González,San Salvador,El Salvador,670,away,Didí,Brazil,1969-05-14
M0135,Mexico,CONCACAF,1,0,1,0,W,,W,,,False,Estadio Azteca,Mexico City,Mexico,2240,away,Didí,Brazil,1969-05-20
M0136,Mexico,CONCACAF,0,3,0,3,L,,L,,,False,Estadio León,Leon,Mexico,1800,away,Didí,Brazil,1969-05-22
M0137,Colombia,CONMEBOL,1,1,1,1,D,,D,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1969-06-18
M0138,Uruguay,CONMEBOL,1,0,1,0,W,,W,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1969-06-27
M0139,Paraguay,CONMEBOL,2,1,2,1,W,,W,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1969-07-09
M0140,Paraguay,CONMEBOL,2,1,2,1,W,,W,,,False,Estadio Nacional de Perú,Lima,Peru,154,home,Didí,Brazil,1969-07-18
