Month,Python Worldwide(%),JavaScript Worldwide(%),Java Worldwide(%),C# Worldwide(%),PhP Worldwide(%),Flutter Worldwide(%),React Worldwide(%),Swift Worldwide(%),TypeScript Worldwide(%),Matlab Worldwide(%)
2008-12,23,47,48,77,47,5,1,25,3,51
2009-01,21,44,45,75,47,6,1,25,4,46
2009-02,24,49,47,84,52,6,1,28,3,58
2009-03,23,50,47,83,52,6,1,30,3,63
2009-04,22,48,45,78,50,9,1,29,3,65
2009-05,21,45,44,80,46,6,1,32,3,62
2009-06,21,48,43,78,49,6,1,31,2,54
2009-07,23,47,40,74,48,6,1,30,3,46
2009-08,22,47,41,71,47,6,1,31,3,44
2009-09,22,44,43,71,45,6,1,61,3,56
2009-10,25,42,43,71,46,6,1,34,3,66
2009-11,22,44,44,70,45,6,1,47,3,67
2009-12,21,42,41,68,42,6,1,39,3,54
2010-01,21,41,39,62,43,6,1,33,3,50
2010-02,22,41,41,63,42,7,1,39,3,58
2010-03,21,44,43,71,47,6,1,30,3,67
2010-04,22,43,42,72,48,6,1,28,2,70
2010-05,22,41,39,68,44,6,1,26,2,62
2010-06,21,40,38,76,43,6,1,25,2,56
2010-07,20,38,34,60,40,6,1,24,2,43
2010-08,21,37,37,61,39,6,1,31,2,44
2010-09,21,35,39,63,39,6,1,33,2,60
2010-10,21,35,38,62,38,6,1,42,2,64
2010-11,21,36,37,60,39,6,1,44,2,67
2010-12,21,35,35,57,34,5,1,38,2,51
2011-01,21,34,35,55,38,5,1,36,3,51
2011-02,22,36,37,56,38,5,1,32,2,57
2011-03,22,37,39,61,39,6,1,28,2,63
2011-04,23,36,38,58,39,6,1,28,2,66
2011-05,23,36,37,59,37,6,1,28,2,59
2011-06,22,36,35,56,37,6,1,28,2,49
2011-07,21,35,35,51,36,5,1,28,2,42
2011-08,21,35,37,52,37,5,1,33,2,44
2011-09,22,35,36,51,35,5,1,28,2,58
2011-10,22,33,37,55,34,6,1,26,2,62
2011-11,23,35,37,58,37,5,1,32,2,66
2011-12,22,32,36,56,32,5,1,31,2,51
2012-01,20,33,33,53,33,6,1,27,2,49
2012-02,22,35,35,59,34,6,1,33,2,59
2012-03,22,36,36,63,35,7,1,29,2,63
2012-04,22,35,35,59,33,6,1,28,2,60
2012-05,22,34,35,61,35,6,1,25,2,59
2012-06,22,34,34,62,31,6,1,26,2,51
2012-07,23,35,36,61,32,6,1,26,1,43
2012-08,23,33,35,57,31,7,1,35,2,41
2012-09,23,34,37,61,32,7,1,38,2,55
2012-10,25,35,37,62,32,7,1,51,6,63
2012-11,23,32,35,59,31,7,1,49,3,62
2012-12,22,30,32,49,27,7,1,53,3,47
2013-01,23,31,39,55,29,8,1,48,4,48
2013-02,23,34,39,59,29,8,1,46,3,55
2013-03,23,34,39,59,31,8,1,44,4,56
2013-04,24,35,38,60,31,7,1,38,3,62
2013-05,24,34,35,58,29,7,1,36,3,53
2013-06,24,32,35,59,29,8,1,37,4,47
2013-07,24,34,36,60,28,7,1,37,4,42
2013-08,27,33,34,55,27,7,1,37,4,39
2013-09,24,33,35,56,27,7,1,29,3,53
2013-10,26,34,38,58,29,9,1,27,4,60
2013-11,30,35,36,57,28,8,1,31,4,62
2013-12,25,33,36,52,25,8,1,30,4,49
2014-01,25,33,38,57,28,8,1,30,4,49
2014-02,28,35,37,61,28,8,1,28,4,58
2014-03,30,36,36,61,28,8,2,28,4,62
2014-04,28,35,36,60,27,8,2,24,5,62
2014-05,27,34,34,58,28,8,2,26,4,56
2014-06,27,33,34,57,26,8,2,29,4,46
2014-07,29,35,34,57,26,8,2,25,4,43
2014-08,26,34,31,54,24,7,2,38,4,40
2014-09,28,35,34,57,26,8,3,34,4,52
2014-10,30,35,35,58,26,8,3,44,4,66
2014-11,30,32,36,56,25,8,3,63,4,63
2014-12,27,32,32,50,23,7,4,58,4,49
2015-01,27,33,32,52,24,8,4,52,4,45
2015-02,29,37,33,56,26,8,6,53,5,56
2015-03,30,35,33,58,26,8,6,46,7,61
2015-04,30,37,34,58,25,9,6,43,7,63
2015-05,29,35,30,54,24,8,7,54,7,52
2015-06,30,35,28,56,26,8,7,50,7,48
2015-07,30,36,30,55,24,8,8,48,7,41
2015-08,30,34,28,49,24,7,8,47,7,39
2015-09,29,34,30,55,25,8,9,44,8,51
2015-10,32,37,28,56,24,8,10,43,9,60
2015-11,32,35,28,51,25,9,10,38,9,61
2015-12,31,33,27,54,23,8,10,45,10,48
2016-01,34,34,24,51,24,8,12,34,10,47
2016-02,37,38,27,59,26,8,15,44,12,60
2016-03,36,36,25,57,25,8,15,34,13,64
2016-04,37,36,26,58,25,8,15,36,13,64
2016-05,40,38,25,59,27,8,16,32,16,59
2016-06,40,37,24,58,27,9,17,45,17,49
2016-07,35,35,22,52,24,8,16,51,16,39
2016-08,35,35,22,53,23,8,16,31,16,39
2016-09,39,37,23,56,25,8,18,31,19,51
2016-10,42,36,23,54,24,8,19,30,19,57
2016-11,43,40,24,57,27,8,25,30,21,65
2016-12,41,36,22,53,23,7,26,31,21,50
2017-01,41,38,22,52,25,8,28,29,23,50
2017-02,49,42,25,57,26,9,32,28,26,60
2017-03,51,42,26,62,27,9,36,29,27,68
2017-04,50,39,24,57,25,9,36,26,27,62
2017-05,46,39,23,56,24,10,37,28,29,56
2017-06,47,38,21,53,23,9,41,28,29,47
2017-07,45,37,21,48,22,9,40,27,30,41
2017-08,46,40,21,50,22,9,41,48,30,40
2017-09,51,39,22,52,22,8,38,38,30,52
2017-10,52,39,22,52,22,9,42,33,31,59
2017-11,55,40,22,56,25,9,44,42,32,62
2017-12,50,36,20,48,22,8,38,37,29,49
2018-01,52,37,20,49,22,10,45,33,32,46
2018-02,56,39,20,53,23,12,49,29,36,54
2018-03,57,39,20,54,23,14,51,30,38,58
2018-04,55,37,19,50,21,13,47,28,34,58
2018-05,55,39,19,51,21,15,49,31,37,53
2018-06,58,37,18,49,21,14,54,29,38,45
2018-07,59,38,19,46,20,15,53,30,37,42
2018-08,56,39,18,45,19,15,53,28,38,42
2018-09,60,36,19,46,20,16,50,27,35,53
2018-10,62,37,18,51,19,16,53,30,38,60
2018-11,63,37,17,46,20,18,53,25,43,59
2018-12,48,31,16,41,18,22,47,26,35,47
2019-01,59,33,16,43,19,22,50,26,41,46
2019-02,62,35,18,46,19,23,56,24,43,54
2019-03,64,36,17,49,20,25,58,25,43,57
2019-04,63,35,17,45,19,25,57,28,42,54
2019-05,65,36,17,42,19,29,59,28,44,50
2019-06,62,35,16,44,18,30,61,29,46,46
2019-07,65,38,17,44,20,33,68,30,50,44
2019-08,61,36,16,40,19,32,62,35,45,42
2019-09,70,35,18,43,19,33,65,30,44,51
2019-10,72,35,18,47,19,32,63,27,49,57
2019-11,72,35,17,45,19,35,60,29,50,57
2019-12,63,32,15,37,17,36,53,27,48,45
2020-01,71,33,16,42,18,37,61,25,46,46
2020-02,76,37,17,45,19,41,65,31,51,53
2020-03,69,34,15,41,16,41,62,23,49,50
2020-04,72,35,15,37,16,48,64,23,50,51
2020-05,70,33,14,35,16,50,66,24,49,50
2020-06,66,34,14,38,16,49,65,25,53,48
2020-07,68,34,13,38,17,53,67,34,53,43
2020-08,68,33,13,34,16,49,52,29,48,44
2020-09,71,33,16,38,15,48,55,27,50,53
2020-10,61,28,13,33,14,40,41,24,37,51
2020-11,56,25,12,30,13,39,35,24,34,49
2020-12,53,24,12,28,13,39,37,33,34,44
2021-01,54,24,11,29,13,40,41,24,31,42
2021-02,59,25,13,32,14,40,47,26,37,50
2021-03,60,28,14,34,14,51,45,28,37,53
2021-04,60,28,12,32,13,46,44,27,38,50
2021-05,58,26,12,30,13,48,44,23,37,45
2021-06,59,28,12,34,14,49,48,23,43,45
2021-07,55,28,12,30,19,48,49,24,43,43
2021-08,54,26,11,29,21,47,47,25,44,41
2021-09,62,28,13,33,21,49,48,23,47,52
2021-10,66,28,13,32,21,48,51,23,47,55
2021-11,66,31,13,33,20,51,54,41,49,54
2021-12,64,28,13,31,20,49,52,27,47,50
2022-01,84,39,15,38,25,77,73,29,68,67
2022-02,93,46,17,43,30,91,87,45,81,78
2022-03,100,47,19,45,26,94,92,29,84,88
2022-04,99,47,17,45,24,90,98,31,92,100
2022-05,92,44,17,40,22,88,96,29,81,87
2022-06,90,45,16,41,22,92,97,28,86,78
2022-07,87,41,16,37,20,88,92,28,97,81
2022-08,89,42,16,38,20,89,92,31,91,81
2022-09,93,45,18,40,21,89,90,30,88,89
2022-10,94,45,17,39,19,82,91,42,86,93
2022-11,99,44,17,40,20,89,91,51,91,91
2022-12,86,41,15,36,19,91,88,34,84,88
2023-01,87,42,15,37,19,100,91,32,91,75
2023-02,99,46,17,39,20,97,98,33,100,87
2023-03,91,45,17,40,19,91,100,40,97,81
2023-04,83,38,14,33,18,84,86,48,81,79
2023-05,80,38,15,32,18,92,93,54,84,79
2023-06,81,39,15,32,19,87,89,66,85,84
2023-07,79,39,14,33,19,89,88,70,86,71
2023-08,78,37,14,33,18,87,87,61,88,69
2023-09,83,34,14,33,18,86,85,74,85,74
2023-10,86,33,15,33,18,81,84,78,79,73
2023-11,81,35,14,32,19,83,83,77,82,72
2023-12,72,33,13,29,17,81,73,66,70,75
2024-01,81,36,14,31,18,86,89,65,79,71
2024-02,89,40,16,35,18,96,98,100,88,74
2024-03,86,38,15,34,19,90,91,59,85,71
2024-04,85,36,14,32,19,86,97,77,86,70
2024-05,80,36,14,32,18,92,96,61,80,69
2024-06,76,32,14,30,18,84,87,61,76,67
2024-07,75,33,14,29,17,84,92,55,80,65
2024-08,71,31,13,27,18,82,86,58,76,65
2024-09,79,31,13,27,19,79,85,59,73,71
